date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	37.791	38.169	37.791	38.169	125	EUR	
19/05/2015 00:00	38.169	38.169	38.027	38.027	16	EUR	
20/05/2015 00:00	38.027	38.027	38.027	38.027	233	EUR	
21/05/2015 00:00	38.027	38.169	37.602	38.169	201	EUR	
22/05/2015 00:00	38.169	38.169	38.121	38.169	127	EUR	
25/05/2015 00:00	38.169	38.169	38.169	38.169	26	EUR	
26/05/2015 00:00	38.169	38.169	38.169	38.169	26	EUR	
27/05/2015 00:00	38.169	38.216	38.169	38.216	92	EUR	
28/05/2015 00:00	38.216	38.216	38.216	38.216	26	EUR	
29/05/2015 00:00	38.216	38.216	38.206	38.206	70	EUR	
01/06/2015 00:00	38.736	38.736	38.736	38.736	17	EUR	
02/06/2015 00:00	38.736	39.019	38.726	39.019	143	EUR	
03/06/2015 00:00	38.736	38.736	37.791	38.358	222	EUR	
04/06/2015 00:00	38.358	38.972	38.263	38.972	69	EUR	
05/06/2015 00:00	38.972	38.972	38.688	38.962	106	EUR	
08/06/2015 00:00	38.962	38.962	38.641	38.736	106	EUR	
09/06/2015 00:00	38.736	38.736	38.263	38.736	137	EUR	
10/06/2015 00:00	38.263	38.736	38.216	38.688	101	EUR	
11/06/2015 00:00	38.688	38.688	38.688	38.688	26	EUR	
12/06/2015 00:00	38.688	38.736	38.688	38.736	26	EUR	
15/06/2015 00:00	38.736	38.736	38.736	38.736	26	EUR	
16/06/2015 00:00	38.736	38.736	37.791	38.736	80	EUR	
17/06/2015 00:00	38.972	38.972	38.83	38.83	10	EUR	
18/06/2015 00:00	38.83	38.83	37.791	38.736	424	EUR	
19/06/2015 00:00	38.736	38.736	38.736	38.736	10	EUR	
22/06/2015 00:00	38.972	38.972	38.924	38.924	21	EUR	
23/06/2015 00:00	38.943	38.943	38.688	38.736	91	EUR	
24/06/2015 00:00	38.736	38.736	38.188	38.736	238	EUR	
25/06/2015 00:00	38.736	38.736	38.263	38.641	26	EUR	
26/06/2015 00:00	38.736	38.736	37.885	38.736	476	EUR	
29/06/2015 00:00	38.547	38.547	38.452	38.452	26	EUR	
30/06/2015 00:00	38.736	38.736	38.263	38.547	52	EUR	
01/07/2015 00:00	38.547	38.736	37.791	38.736	281	EUR	
02/07/2015 00:00	38.736	38.736	38.736	38.736	52	EUR	
03/07/2015 00:00	38.736	38.736	38.736	38.736	26	EUR	
06/07/2015 00:00	38.736	38.736	37.602	37.791	26	EUR	
07/07/2015 00:00	38.736	38.736	38.641	38.641	15	EUR	
08/07/2015 00:00	38.49	38.736	38.49	38.736	38	EUR	
09/07/2015 00:00	38.736	38.736	38.584	38.584	52	EUR	
10/07/2015 00:00	38.736	38.736	38.736	38.736	52	EUR	
13/07/2015 00:00	38.736	38.736	37.791	38.736	24	EUR	
14/07/2015 00:00	38.972	38.972	38.972	38.972	35	EUR	
15/07/2015 00:00	38.924	38.924	38.736	38.736	69	EUR	
16/07/2015 00:00	38.924	38.924	38.924	38.924	10	EUR	
17/07/2015 00:00	38.943	38.943	38.717	38.943	212	EUR	
20/07/2015 00:00	38.943	38.943	38.405	38.736	128	EUR	
21/07/2015 00:00	38.783	38.783	38.452	38.736	34	EUR	
22/07/2015 00:00	38.783	38.783	38.641	38.641	48	EUR	
23/07/2015 00:00	38.641	38.783	38.254	38.783	106	EUR	
24/07/2015 00:00	38.783	38.783	38.518	38.736	344	EUR	
27/07/2015 00:00	38.736	38.736	38.641	38.641	26	EUR	
28/07/2015 00:00	38.641	38.641	38.547	38.547	26	EUR	
