date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	0.16	0.16	0.15	0.16	36200	EUR	
19/05/2015 00:00	0.15	0.16	0.15	0.16	831	EUR	
20/05/2015 00:00	0.17	0.17	0.17	0.17	1500	EUR	
21/05/2015 00:00	0.15	0.17	0.15	0.16	3226	EUR	
22/05/2015 00:00	0.16	0.16	0.15	0.16	12028	EUR	
25/05/2015 00:00	0.15	0.16	0.15	0.15	5107	EUR	
26/05/2015 00:00	0.15	0.15	0.15	0.15	817	EUR	
27/05/2015 00:00	0.16	0.16	0.15	0.15	4753	EUR	
28/05/2015 00:00	0.16	0.16	0.16	0.16	2750	EUR	
29/05/2015 00:00	0.16	0.16	0.15	0.15	36084	EUR	
01/06/2015 00:00	0.15	0.16	0.14	0.15	10650	EUR	
02/06/2015 00:00	0.15	0.16	0.15	0.16	4502	EUR	
03/06/2015 00:00	0.16	0.16	0.15	0.15	2010	EUR	
04/06/2015 00:00	0.15	0.15	0.15	0.15	10375	EUR	
05/06/2015 00:00	0.15	0.16	0.15	0.16	11000	EUR	
08/06/2015 00:00	0.15	0.15	0.15	0.15	420	EUR	
09/06/2015 00:00	0.15	0.15	0.15	0.15	40	EUR	
10/06/2015 00:00	0.15	0.15	0.15	0.15	300	EUR	
11/06/2015 00:00	0.15	0.15	0.15	0.15	609	EUR	
12/06/2015 00:00	0.15	0.16	0.13	0.13	48394	EUR	
15/06/2015 00:00	0.15	0.15	0.13	0.13	34259	EUR	
16/06/2015 00:00	0.13	0.13	0.11	0.12	95394	EUR	
17/06/2015 00:00	0.12	0.12	0.11	0.11	68673	EUR	
18/06/2015 00:00	0.1	0.12	0.1	0.1	22002	EUR	
19/06/2015 00:00	0.1	0.1	0.09	0.09	150217	EUR	
22/06/2015 00:00	0.09	0.12	0.09	0.11	110027	EUR	
23/06/2015 00:00	0.11	0.11	0.09	0.1	275566	EUR	
24/06/2015 00:00	0.1	0.1	0.08	0.1	240596	EUR	
25/06/2015 00:00	0.1	0.1	0.1	0.1	1500	EUR	
26/06/2015 00:00	0.09	0.09	0.09	0.09	30001	EUR	
29/06/2015 00:00	0.1	0.1	0.08	0.1	55284	EUR	
30/06/2015 00:00	0.09	0.1	0.09	0.09	4102	EUR	
01/07/2015 00:00	0.09	0.1	0.08	0.08	313651	EUR	
02/07/2015 00:00	0.09	0.1	0.08	0.09	248500	EUR	
03/07/2015 00:00	0.1	0.1	0.09	0.09	29900	EUR	
06/07/2015 00:00	0.09	0.09	0.09	0.09	1413	EUR	
07/07/2015 00:00	0.1	0.1	0.09	0.09	3147	EUR	
