date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	55.04	55.26	54.9	55.05	19188	EUR	
19/05/2015 00:00	55.25	56.88	55	56.88	39379	EUR	
20/05/2015 00:00	56.9	56.95	56	56.61	25041	EUR	
21/05/2015 00:00	56.93	56.93	55.82	56.87	22098	EUR	
22/05/2015 00:00	56.5	56.74	55.85	56.19	22700	EUR	
25/05/2015 00:00	56.35	56.6	56.05	56.6	5346	EUR	
26/05/2015 00:00	55.68	55.68	54.8	55.37	21260	EUR	
27/05/2015 00:00	55.12	56.02	54.75	56	67354	EUR	
28/05/2015 00:00	55.51	55.95	55.2	55.54	22047	EUR	
29/05/2015 00:00	55.76	56.23	55.35	56.23	87737	EUR	
01/06/2015 00:00	56.06	56.51	55.5	55.83	20482	EUR	
02/06/2015 00:00	55.69	56.14	55.25	55.89	75772	EUR	
03/06/2015 00:00	56.14	56.39	55.77	56.24	23340	EUR	
04/06/2015 00:00	56.2	56.2	55.01	55.4	89392	EUR	
05/06/2015 00:00	55.1	55.24	53.55	53.71	30122	EUR	
08/06/2015 00:00	55	55.99	54.77	55.81	66505	EUR	
09/06/2015 00:00	56.24	56.95	55.52	55.64	47419	EUR	
10/06/2015 00:00	56	58.3	55.75	58.15	48175	EUR	
11/06/2015 00:00	59	62.63	59	59.7	168921	EUR	
12/06/2015 00:00	60	60.17	59.31	59.71	53512	EUR	
15/06/2015 00:00	59.6	59.69	57.19	58.88	67587	EUR	
16/06/2015 00:00	58.51	60	57.56	59.59	46870	EUR	
17/06/2015 00:00	59.9	59.9	58.51	59.08	35591	EUR	
18/06/2015 00:00	58.8	59.25	57.56	58.08	43481	EUR	
19/06/2015 00:00	58.09	59.95	56.53	56.53	176208	EUR	
22/06/2015 00:00	57.5	58.79	57	58.75	83615	EUR	
23/06/2015 00:00	59	59.4	58.6	59.23	31439	EUR	
24/06/2015 00:00	59.35	59.35	58.78	58.98	49063	EUR	
