date	ouv	haut	bas	clot	vol	devise	
02/11/2016 00:00	10	10.76	10	10.41	10137793	USD	
03/11/2016 00:00	10.57	10.68	10.13	10.4	905686	USD	
04/11/2016 00:00	10.2	10.38	9.8	10	606004	USD	
07/11/2016 00:00	10.22	10.41	9.01	9.74	1043889	USD	
08/11/2016 00:00	9.75	9.95	9.72	9.74	104440	USD	
09/11/2016 00:00	9.75	9.772	9.61	9.64	194272	USD	
10/11/2016 00:00	9.73	9.775	9.63	9.72	107171	USD	
11/11/2016 00:00	9.64	9.72	9.64	9.65	22493	USD	
14/11/2016 00:00	9.55	9.759	9.475	9.55	121718	USD	
15/11/2016 00:00	9.5	9.55	9.125	9.42	117803	USD	
16/11/2016 00:00	9.14	9.22	8.55	8.83	615994	USD	
17/11/2016 00:00	8.83	8.97	8.2	8.82	814332	USD	
18/11/2016 00:00	8.9	9.09	8.9	9.09	24486	USD	
21/11/2016 00:00	9.03	9.515	9.014	9.47	146053	USD	
22/11/2016 00:00	9.48	9.906	9.284	9.8	59004	USD	
23/11/2016 00:00	9.95	10.424	9.416	10.24	179883	USD	
25/11/2016 00:00	10.25	10.726	10.25	10.3	66147	USD	
28/11/2016 00:00	10.26	10.26	9.75	10.02	306026	USD	
29/11/2016 00:00	10.07	10.115	9.9	10.01	395941	USD	
30/11/2016 00:00	10.13	10.2	9.98	10.02	42248	USD	
01/12/2016 00:00	10.12	10.12	9.88	10.01	142536	USD	
02/12/2016 00:00	10	10.17	10	10	17257	USD	
05/12/2016 00:00	9.9	10.09	9.9	9.93	62221	USD	
06/12/2016 00:00	10.09	10.11	9.91	9.95	58180	USD	
07/12/2016 00:00	9.955	10.08	9.93	10	31147	USD	
08/12/2016 00:00	10	10	9.44	9.8	132361	USD	
09/12/2016 00:00	9.72	10	9.435	9.99	30901	USD	
12/12/2016 00:00	10	10	9.54	9.68	23362	USD	
13/12/2016 00:00	9.62	9.82	9.45	9.82	38381	USD	
14/12/2016 00:00	9.76	9.834	9.415	9.61	29163	USD	
15/12/2016 00:00	9.74	9.785	9.44	9.56	104906	USD	
16/12/2016 00:00	9.51	9.698	9.01	9.5	54351	USD	
19/12/2016 00:00	9.26	9.47	8.81	9.21	47825	USD	
20/12/2016 00:00	8.96	9.28	8.86	8.86	37874	USD	
21/12/2016 00:00	9.01	9.04	8.03	8.05	117201	USD	
22/12/2016 00:00	8.07	8.35	7.54	8.09	143199	USD	
23/12/2016 00:00	7.91	8.39	7.56	8.17	76323	USD	
27/12/2016 00:00	8.65	8.891	8.65	8.65	53571	USD	
28/12/2016 00:00	8.6	8.999	8.43	8.65	73498	USD	
29/12/2016 00:00	8.75	9.074	8.64	8.93	154717	USD	
30/12/2016 00:00	9.01	9.1	8.47	8.6	44433	USD	
03/01/2017 00:00	8.87	9.14	8.36	8.49	79903	USD	
04/01/2017 00:00	8.48	9.021	8.26	8.295	58467	USD	
05/01/2017 00:00	8.25	8.762	8.235	8.5	99688	USD	
06/01/2017 00:00	8.5	9.08	8.05	8.38	238794	USD	
09/01/2017 00:00	8.4	8.5	8.06	8.2	35187	USD	
10/01/2017 00:00	8.06	8.42	8.06	8.1	28011	USD	
11/01/2017 00:00	8.1	8.1	8.01	8.01	9328	USD	
12/01/2017 00:00	8.01	8.063	7.9	7.95	33042	USD	
13/01/2017 00:00	7.95	8.171	7.95	8	6943	USD	
17/01/2017 00:00	8	8.2	7.97	8.05	14641	USD	
18/01/2017 00:00	7.97	8.18	7.91	7.97	15239	USD	
19/01/2017 00:00	7.9	8.01	7.81	7.81	9565	USD	
20/01/2017 00:00	7.95	8.26	7.81	8.19	39515	USD	
23/01/2017 00:00	8.1	8.48	8.1	8.15	31478	USD	
24/01/2017 00:00	8.41	8.43	8.15	8.17	15004	USD	
25/01/2017 00:00	8.1	8.3	8	8.17	142500	USD	
26/01/2017 00:00	8	8.2	7.819	7.82	355676	USD	
27/01/2017 00:00	8.03	8.035	7.882	7.92	78519	USD	
30/01/2017 00:00	8.1	8.141	7.9	7.99	176265	USD	
31/01/2017 00:00	7.95	8.38	7.95	8.26	35251	USD	
01/02/2017 00:00	8.08	8.327	8.04	8.04	4306	USD	
02/02/2017 00:00	7.9	8.13	7.9	8.03	144206	USD	
03/02/2017 00:00	8.06	8.14	7.91	8.01	92923	USD	
06/02/2017 00:00	8.03	8.07	7.96	7.99	54945	USD	
07/02/2017 00:00	8.5	9	8.09	8.8	852537	USD	
08/02/2017 00:00	8.88	8.99	8.25	8.36	31400	USD	
09/02/2017 00:00	8.37	8.549	8.31	8.31	52183	USD	
10/02/2017 00:00	8.28	8.465	8.09	8.31	50495	USD	
13/02/2017 00:00	8.23	8.382	8.195	8.23	11861	USD	
14/02/2017 00:00	8.25	8.4	8.24	8.25	8321	USD	
15/02/2017 00:00	8.36	8.48	8.23	8.23	23129	USD	
16/02/2017 00:00	8.23	8.43	8.06	8.43	48008	USD	
17/02/2017 00:00	8.4	8.4	8.15	8.28	64085	USD	
21/02/2017 00:00	8.3	8.457	8.2	8.2	64464	USD	
22/02/2017 00:00	8.49	8.49	8.21	8.25	3870	USD	
23/02/2017 00:00	8.3	8.329	8	8.02	46194	USD	
24/02/2017 00:00	8.09	8.16	8.01	8.15	35369	USD	
27/02/2017 00:00	8.14	8.38	7.95	7.95	72583	USD	
28/02/2017 00:00	7.97	8.04	7.7	7.77	96959	USD	
01/03/2017 00:00	7.77	8.2	7.57	7.65	98218	USD	
02/03/2017 00:00	7.8	8.017	7.8	7.96	49847	USD	
03/03/2017 00:00	7.95	8.06	7.66	7.95	74943	USD	
06/03/2017 00:00	8.1	8.12	7.8	7.99	61991	USD	
07/03/2017 00:00	7.96	7.97	7.86	7.95	15800	USD	
08/03/2017 00:00	7.91	7.91	7.72	7.88	48409	USD	
09/03/2017 00:00	7.88	7.95	7.72	7.8	45897	USD	
10/03/2017 00:00	7.69	7.892	7.65	7.69	39742	USD	
13/03/2017 00:00	7.78	7.78	7.63	7.78	103839	USD	
14/03/2017 00:00	7.76	8.52	7.61	8.47	455103	USD	
15/03/2017 00:00	8.47	8.47	7.94	8.32	280463	USD	
16/03/2017 00:00	8.38	8.38	8.12	8.21	11002	USD	
17/03/2017 00:00	8.4	8.44	8.247	8.44	57855	USD	
20/03/2017 00:00	8.49	8.5	8.27	8.4	49876	USD	
21/03/2017 00:00	8.4	8.4	7.83	8.14	140520	USD	
22/03/2017 00:00	8.12	8.12	7.798	8.12	81198	USD	
23/03/2017 00:00	7.95	8.53	7.937	8.22	99903	USD	
24/03/2017 00:00	8.23	8.41	8.2	8.41	15436	USD	
27/03/2017 00:00	8.37	8.765	8.35	8.64	41770	USD	
28/03/2017 00:00	8.56	8.87	8.51	8.64	46272	USD	
29/03/2017 00:00	8.6	8.74	8.43	8.53	26677	USD	
30/03/2017 00:00	8.55	8.66	8.4	8.45	69441	USD	
31/03/2017 00:00	8.49	8.49	8.19	8.27	64393	USD	
03/04/2017 00:00	8.32	8.45	8.305	8.36	94879	USD	
04/04/2017 00:00	8.36	8.57	8.19	8.28	134155	USD	
05/04/2017 00:00	8	8.45	8	8	82632	USD	
06/04/2017 00:00	8.02	8.28	8.01	8.16	76856	USD	
07/04/2017 00:00	8.07	8.29	8.05	8.06	107389	USD	
10/04/2017 00:00	8.08	8.22	8.05	8.06	68236	USD	
11/04/2017 00:00	8.13	8.31	8.13	8.13	66082	USD	
12/04/2017 00:00	8.25	8.35	8.1	8.1	40860	USD	
13/04/2017 00:00	8.08	8.59	8.08	8.19	321943	USD	
17/04/2017 00:00	8.22	8.44	8.08	8.17	85050	USD	
18/04/2017 00:00	8.06	8.42	8.06	8.1	110021	USD	
19/04/2017 00:00	8.1	8.25	8.1	8.17	110171	USD	
