date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	37	37.095	36.29	36.925	219927	EUR	
19/05/2015 00:00	36.46	40.08	36.38	40.025	667006	EUR	
20/05/2015 00:00	41.5	42	38.21	38.42	856550	EUR	
21/05/2015 00:00	38.1	39.49	37.62	38.5	255293	EUR	
22/05/2015 00:00	39	39	38.2	38.295	104137	EUR	
25/05/2015 00:00	38.2	38.7	37.7	38	159527	EUR	
26/05/2015 00:00	38.09	38.65	37.65	37.68	145651	EUR	
27/05/2015 00:00	38	38.65	37.8	38.495	150087	EUR	
28/05/2015 00:00	38.5	39.34	38.25	38.9	203527	EUR	
29/05/2015 00:00	38.9	38.9	37.9	38.19	251500	EUR	
01/06/2015 00:00	38.11	38.3	37.52	37.695	158672	EUR	
02/06/2015 00:00	37.75	39.25	37.4	37.87	238792	EUR	
03/06/2015 00:00	38	38.5	37.51	37.74	111848	EUR	
04/06/2015 00:00	37.76	38.2	37.22	38.075	130419	EUR	
05/06/2015 00:00	37.95	37.95	36.775	36.9	192197	EUR	
08/06/2015 00:00	36.8	36.92	36.01	36.47	171141	EUR	
09/06/2015 00:00	36.65	36.65	35.52	35.8	149083	EUR	
10/06/2015 00:00	35.55	37.08	35.2	36.775	180887	EUR	
11/06/2015 00:00	36.82	37.62	36.47	36.69	124772	EUR	
12/06/2015 00:00	36.45	36.5	35.31	35.71	131787	EUR	
15/06/2015 00:00	35.05	35.095	33.3	33.6	339605	EUR	
16/06/2015 00:00	33.5	34.745	32.415	34.49	347835	EUR	
17/06/2015 00:00	34.51	34.51	33	33.035	220102	EUR	
18/06/2015 00:00	32.5	33.03	31.47	32.57	373922	EUR	
19/06/2015 00:00	32.6	33.67	32.025	32.51	248246	EUR	
22/06/2015 00:00	33.12	34.09	33.05	33.76	194545	EUR	
23/06/2015 00:00	34.5	37.15	34.025	37.085	525465	EUR	
24/06/2015 00:00	37.86	38.6	36.15	36.57	343798	EUR	
25/06/2015 00:00	36.2	37.65	35.61	37.25	200790	EUR	
26/06/2015 00:00	37.2	37.93	36.3	37.25	156946	EUR	
29/06/2015 00:00	33.7	35.8	33	34.05	485651	EUR	
30/06/2015 00:00	34	35.26	33.8	34.84	268580	EUR	
01/07/2015 00:00	35.94	36.95	35.5	36.03	326854	EUR	
02/07/2015 00:00	36.445	36.445	34.675	34.87	172739	EUR	
03/07/2015 00:00	34.57	35.245	34.21	34.89	126488	EUR	
06/07/2015 00:00	34	35.09	33.8	34.55	134557	EUR	
07/07/2015 00:00	34.5	35.22	33.9	33.9	96753	EUR	
08/07/2015 00:00	34.3	34.32	33.4	33.755	88055	EUR	
09/07/2015 00:00	34	35.45	34	34.825	133946	EUR	
10/07/2015 00:00	35.95	36.9	35.6	36.69	221395	EUR	
13/07/2015 00:00	36.81	38.6	36.81	37.91	308422	EUR	
14/07/2015 00:00	38.15	38.215	37.01	37.45	109398	EUR	
15/07/2015 00:00	37.61	38.22	37.55	37.83	132010	EUR	
16/07/2015 00:00	38.1	38.25	37.37	37.7	123711	EUR	
17/07/2015 00:00	37.98	38.06	37.3	37.84	92028	EUR	
20/07/2015 00:00	38	38.195	37.3	37.615	141907	EUR	
21/07/2015 00:00	37.65	37.98	36.55	36.605	142949	EUR	
22/07/2015 00:00	36.395	36.64	36	36.445	107023	EUR	
23/07/2015 00:00	36.27	36.59	36.025	36.345	74311	EUR	
24/07/2015 00:00	36.095	37.92	36.065	37.735	154411	EUR	
27/07/2015 00:00	37.84	37.84	36.125	36.385	125691	EUR	
28/07/2015 00:00	36.38	36.7	36.055	36.25	90126	EUR	
29/07/2015 00:00	36.5	37.94	36.315	37.525	154525	EUR	
30/07/2015 00:00	37.525	37.525	36.5	36.675	80138	EUR	
31/07/2015 00:00	36.77	37.09	36.25	36.495	73309	EUR	
03/08/2015 00:00	36.15	36.45	36	36.3	100553	EUR	
04/08/2015 00:00	36.35	37.26	36	36.205	115161	EUR	
05/08/2015 00:00	36.135	36.35	36	36.22	115362	EUR	
06/08/2015 00:00	36.25	36.755	35.895	36.16	92745	EUR	
07/08/2015 00:00	36.34	36.34	35.5	35.715	106517	EUR	
10/08/2015 00:00	36.09	36.1	35.35	35.84	59620	EUR	
11/08/2015 00:00	35.875	36	35.615	35.995	59778	EUR	
12/08/2015 00:00	35.81	35.875	34.65	34.76	128643	EUR	
13/08/2015 00:00	35.43	35.79	35.32	35.425	47785	EUR	
14/08/2015 00:00	35.5	36.95	35.5	35.95	154258	EUR	
17/08/2015 00:00	36.49	36.5	35.03	35.575	84981	EUR	
18/08/2015 00:00	35.32	35.7	35.14	35.46	49867	EUR	
19/08/2015 00:00	35.46	35.64	34.3	34.35	99741	EUR	
