date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	18.175	18.316	18.175	18.288	5449	EUR	
19/05/2015 00:00	18.269	18.552	18.269	18.316	7383	EUR	
20/05/2015 00:00	18.345	18.467	18.232	18.335	6987	EUR	
21/05/2015 00:00	18.363	18.363	18.269	18.316	5875	EUR	
22/05/2015 00:00	18.316	18.354	17.987	18.194	29439	EUR	
25/05/2015 00:00	18.175	18.175	17.789	17.893	14803	EUR	
26/05/2015 00:00	18.081	18.081	17.704	17.751	4370	EUR	
27/05/2015 00:00	18.081	18.081	17.836	17.987	3780	EUR	
28/05/2015 00:00	18.034	18.034	17.695	17.808	5134	EUR	
29/05/2015 00:00	17.893	17.893	16.668	17.29	44530	EUR	
01/06/2015 00:00	18.297	18.297	17.535	17.657	29764	EUR	
02/06/2015 00:00	17.827	17.845	17.591	17.723	15504	EUR	
03/06/2015 00:00	17.845	17.845	17.629	17.704	13890	EUR	
04/06/2015 00:00	17.845	17.845	17.704	17.845	9053	EUR	
05/06/2015 00:00	17.808	17.893	17.798	17.845	7899	EUR	
08/06/2015 00:00	17.893	17.893	17.704	17.798	6057	EUR	
09/06/2015 00:00	17.798	17.827	17.469	17.61	11157	EUR	
10/06/2015 00:00	17.704	17.827	17.601	17.817	4877	EUR	
11/06/2015 00:00	17.808	17.827	17.676	17.798	6506	EUR	
12/06/2015 00:00	17.723	17.723	17.422	17.516	11029	EUR	
15/06/2015 00:00	17.516	17.535	17.102	17.328	16921	EUR	
16/06/2015 00:00	17.328	17.798	17.139	17.61	19550	EUR	
17/06/2015 00:00	17.751	17.987	17.601	17.704	46766	EUR	
18/06/2015 00:00	17.516	17.657	17.431	17.525	15289	EUR	
19/06/2015 00:00	17.422	17.648	17.177	17.422	17769	EUR	
22/06/2015 00:00	17.516	17.657	17.092	17.657	12315	EUR	
23/06/2015 00:00	17.657	17.808	17.572	17.714	10128	EUR	
24/06/2015 00:00	17.751	17.808	17.61	17.732	12563	EUR	
25/06/2015 00:00	17.751	17.798	17.704	17.732	5010	EUR	
26/06/2015 00:00	17.798	17.798	17.535	17.714	12917	EUR	
29/06/2015 00:00	17.092	17.328	16.97	17.328	16610	EUR	
30/06/2015 00:00	17.318	17.318	16.96	17.045	11016	EUR	
01/07/2015 00:00	16.96	17.328	16.96	17.328	18536	EUR	
02/07/2015 00:00	16.951	17.045	16.734	17.045	9269	EUR	
03/07/2015 00:00	17.026	17.139	16.8	17.139	11749	EUR	
06/07/2015 00:00	16.781	16.819	16.668	16.725	11160	EUR	
07/07/2015 00:00	16.715	16.762	16.602	16.602	7258	EUR	
08/07/2015 00:00	16.612	16.951	16.612	16.932	9128	EUR	
09/07/2015 00:00	16.932	17.158	16.932	17.13	10978	EUR	
10/07/2015 00:00	17.158	17.469	17.064	17.441	15788	EUR	
13/07/2015 00:00	17.441	17.648	17.441	17.648	6898	EUR	
14/07/2015 00:00	17.648	17.798	17.478	17.789	10662	EUR	
15/07/2015 00:00	17.798	17.855	17.554	17.855	9874	EUR	
16/07/2015 00:00	17.61	18.495	17.61	18.495	22379	EUR	
17/07/2015 00:00	18.74	18.825	18.561	18.627	14968	EUR	
20/07/2015 00:00	18.74	18.74	18.627	18.721	10679	EUR	
21/07/2015 00:00	18.665	18.731	17.94	18.552	11776	EUR	
22/07/2015 00:00	18.552	19.305	18.081	19.305	50437	EUR	
23/07/2015 00:00	19.277	19.399	18.844	19.399	27013	EUR	
24/07/2015 00:00	19.38	19.493	19.089	19.493	20886	EUR	
27/07/2015 00:00	19.493	19.493	19.211	19.315	9485	EUR	
28/07/2015 00:00	19.305	19.38	19.041	19.277	8626	EUR	
29/07/2015 00:00	19.38	19.399	19.145	19.305	7831	EUR	
30/07/2015 00:00	19.211	19.305	19.126	19.296	4994	EUR	
31/07/2015 00:00	19.305	19.371	19.211	19.371	7739	EUR	
03/08/2015 00:00	19.352	19.409	19.315	19.399	10004	EUR	
04/08/2015 00:00	19.399	19.399	19.296	19.399	5587	EUR	
05/08/2015 00:00	19.399	19.465	19.258	19.371	5643	EUR	
06/08/2015 00:00	19.38	19.399	19.267	19.399	6193	EUR	
07/08/2015 00:00	19.305	19.305	19.004	19.296	12028	EUR	
10/08/2015 00:00	19.428	19.428	19.211	19.399	4585	EUR	
11/08/2015 00:00	19.399	19.399	18.976	19.239	5746	EUR	
12/08/2015 00:00	18.976	19.06	17.893	18.363	24326	EUR	
13/08/2015 00:00	18.834	19.305	18.505	19.239	40293	EUR	
14/08/2015 00:00	19.362	19.371	19.041	19.277	6181	EUR	
17/08/2015 00:00	19.258	19.258	18.891	19.023	10968	EUR	
18/08/2015 00:00	18.91	19.211	18.787	19.211	27445	EUR	
19/08/2015 00:00	19.211	19.211	18.787	18.919	5816	EUR	
20/08/2015 00:00	18.834	18.928	18.213	18.552	11573	EUR	
21/08/2015 00:00	18.156	18.552	17.94	18.542	10898	EUR	
24/08/2015 00:00	18.156	18.156	16.96	17.28	23575	EUR	
25/08/2015 00:00	17.28	17.732	17.102	17.422	12411	EUR	
26/08/2015 00:00	17.704	17.704	17.243	17.516	10833	EUR	
27/08/2015 00:00	17.874	17.874	17.45	17.742	6365	EUR	
28/08/2015 00:00	17.742	18.081	17.619	18.081	17456	EUR	
31/08/2015 00:00	18.081	18.458	17.958	18.458	10654	EUR	
01/09/2015 00:00	18.458	18.458	17.704	17.94	30558	EUR	
02/09/2015 00:00	17.789	17.789	16.762	17.422	44662	EUR	
03/09/2015 00:00	17.469	17.469	17.252	17.422	12926	EUR	
04/09/2015 00:00	17.422	17.422	17.007	17.233	9872	EUR	
07/09/2015 00:00	17.139	17.328	17.139	17.233	3747	EUR	
08/09/2015 00:00	17.233	17.638	17.233	17.535	6604	EUR	
09/09/2015 00:00	17.544	17.817	16.97	17.563	5523	EUR	
10/09/2015 00:00	17.563	17.789	17.422	17.751	8203	EUR	
11/09/2015 00:00	17.751	17.761	17.243	17.441	18306	EUR	
14/09/2015 00:00	17.61	17.61	17.393	17.516	4234	EUR	
15/09/2015 00:00	17.591	17.591	17.393	17.591	7186	EUR	
16/09/2015 00:00	17.506	17.601	17.506	17.591	4134	EUR	
17/09/2015 00:00	17.591	17.601	17.431	17.554	5041	EUR	
18/09/2015 00:00	17.431	17.591	17.28	17.309	19338	EUR	
21/09/2015 00:00	17.422	17.422	16.81	16.951	17744	EUR	
22/09/2015 00:00	16.951	17.026	16.602	16.744	9597	EUR	
23/09/2015 00:00	16.744	16.762	16.518	16.593	5337	EUR	
24/09/2015 00:00	16.527	16.621	16.084	16.15	7475	EUR	
25/09/2015 00:00	16.386	16.433	16.056	16.226	10182	EUR	
28/09/2015 00:00	16.245	16.31	16.141	16.197	3210	EUR	
29/09/2015 00:00	16.188	16.188	15.538	16.197	5099	EUR	
30/09/2015 00:00	16.197	16.31	16.103	16.282	3767	EUR	
01/10/2015 00:00	16.254	16.348	15.943	16.009	11472	EUR	
02/10/2015 00:00	15.924	16.141	15.868	15.99	3924	EUR	
05/10/2015 00:00	16.009	16.094	15.774	15.99	11367	EUR	
