date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	16.1	16.37	15.97	16.1	1048	EUR	
19/05/2015 00:00	16.1	16.2	15.92	15.92	194	EUR	
20/05/2015 00:00	16.2	16.2	15.92	15.92	212	EUR	
21/05/2015 00:00	16	16.1	15.9	16.1	1362	EUR	
22/05/2015 00:00	16	16.43	16	16.01	996	EUR	
25/05/2015 00:00	16.35	16.71	16.34	16.71	1043	EUR	
26/05/2015 00:00	16.68	16.68	16.35	16.49	988	EUR	
27/05/2015 00:00	16.5	16.5	16.47	16.5	968	EUR	
28/05/2015 00:00	16.47	16.48	16.47	16.48	21	EUR	
29/05/2015 00:00	16.47	16.48	16.26	16.26	631	EUR	
01/06/2015 00:00	16.48	16.5	16.2	16.2	1091	EUR	
02/06/2015 00:00	16.2	16.2	16.2	16.2	1	EUR	
03/06/2015 00:00	16.2	16.2	16.2	16.2	101	EUR	
04/06/2015 00:00	16.2	16.2	16.02	16.02	370	EUR	
05/06/2015 00:00	16.03	16.03	16.03	16.03	1	EUR	
08/06/2015 00:00	16.02	16.03	15.95	15.95	2662	EUR	
09/06/2015 00:00	15.96	15.96	15.8	15.8	526	EUR	
10/06/2015 00:00	15.62	15.92	15.62	15.62	1332	EUR	
11/06/2015 00:00	15.63	15.92	15.63	15.9	138	EUR	
12/06/2015 00:00	15.89	15.93	15.5	15.93	2801	EUR	
15/06/2015 00:00	15.87	15.87	15.57	15.6	231	EUR	
16/06/2015 00:00	15.59	15.6	15.5	15.5	311	EUR	
17/06/2015 00:00	15.5	15.6	15.5	15.5	371	EUR	
18/06/2015 00:00	15.5	15.51	15.5	15.5	766	EUR	
19/06/2015 00:00	15.52	15.52	15.5	15.5	548	EUR	
22/06/2015 00:00	15.7	15.7	15.5	15.5	915	EUR	
23/06/2015 00:00	15.51	15.51	15.51	15.51	1	EUR	
24/06/2015 00:00	15.51	15.6	15.51	15.6	432	EUR	
25/06/2015 00:00	15.61	15.7	15.5	15.7	438	EUR	
26/06/2015 00:00	15.5	15.51	15.5	15.51	377	EUR	
29/06/2015 00:00	15.51	15.51	15.5	15.5	429	EUR	
30/06/2015 00:00	15.5	15.5	15.5	15.5	1029	EUR	
01/07/2015 00:00	15.5	15.5	15.24	15.38	290	EUR	
02/07/2015 00:00	15.38	15.38	15.25	15.25	102	EUR	
03/07/2015 00:00	15.25	15.25	15.08	15.25	244	EUR	
06/07/2015 00:00	14.98	14.98	14.85	14.97	1132	EUR	
07/07/2015 00:00	14.95	14.95	14.79	14.79	587	EUR	
08/07/2015 00:00	14.8	14.8	14.26	14.26	1017	EUR	
09/07/2015 00:00	14.26	14.59	13.92	13.93	1448	EUR	
10/07/2015 00:00	13.94	14.39	13.94	14.28	712	EUR	
13/07/2015 00:00	14.28	14.42	14.28	14.42	141	EUR	
14/07/2015 00:00	14.42	14.42	14.42	14.42	1	EUR	
15/07/2015 00:00	14.42	14.42	14.42	14.42	1	EUR	
16/07/2015 00:00	14.19	14.35	14.19	14.35	74	EUR	
17/07/2015 00:00	14.35	14.62	14.15	14.62	694	EUR	
20/07/2015 00:00	15.69	15.69	15.59	15.59	790	EUR	
21/07/2015 00:00	15.6	15.6	15.33	15.33	1201	EUR	
22/07/2015 00:00	15.41	15.71	15.41	15.7	946	EUR	
23/07/2015 00:00	15.71	15.79	15.71	15.79	132	EUR	
