date	ouv	haut	bas	clot	vol	devise	
19/05/2015 00:00	16	16	16	16	0	EUR	
25/05/2015 00:00	12.82	12.82	12.82	12.82	185	EUR	
26/05/2015 00:00	14	14	14	14	0	EUR	
02/06/2015 00:00	11.34	11.34	11.34	11.34	65	EUR	
03/06/2015 00:00	12.3	12.3	12.3	12.3	0	EUR	
09/06/2015 00:00	10	10	10	10	192	EUR	
10/06/2015 00:00	11	11	11	11	10	EUR	
11/06/2015 00:00	12	12	12	12	0	EUR	
15/06/2015 00:00	11.85	11.85	11.85	11.85	20	EUR	
16/06/2015 00:00	13	13	13	13	10	EUR	
17/06/2015 00:00	13.1	13.1	13.1	13.1	15	EUR	
18/06/2015 00:00	13.1	13.1	13.1	13.1	0	EUR	
22/06/2015 00:00	13.1	13.1	13.1	13.1	20	EUR	
23/06/2015 00:00	14.3	14.3	14.3	14.3	10	EUR	
24/06/2015 00:00	14.3	14.3	14.3	14.3	45	EUR	
25/06/2015 00:00	14.3	14.3	14.3	14.3	20	EUR	
26/06/2015 00:00	14.3	14.3	14.3	14.3	10	EUR	
30/06/2015 00:00	12.7	12.7	12.7	12.7	10	EUR	
01/07/2015 00:00	13.9	13.9	13.9	13.9	10	EUR	
02/07/2015 00:00	13.9	13.9	13.9	13.9	0	EUR	
06/07/2015 00:00	13.89	13.89	13.89	13.89	10	EUR	
07/07/2015 00:00	13.89	13.89	13.89	13.89	0	EUR	
09/07/2015 00:00	12.51	12.51	12.51	12.51	100	EUR	
10/07/2015 00:00	12.51	12.51	12.51	12.51	10	EUR	
13/07/2015 00:00	12.5	12.5	12.5	12.5	285	EUR	
14/07/2015 00:00	12.51	12.51	12.51	12.51	0	EUR	
20/07/2015 00:00	12.25	12.25	12.25	12.25	15	EUR	
21/07/2015 00:00	12.25	12.25	12.25	12.25	0	EUR	
23/07/2015 00:00	11.03	11.03	11.03	11.03	380	EUR	
24/07/2015 00:00	12	12	12	12	10	EUR	
27/07/2015 00:00	12	12	12	12	10	EUR	
28/07/2015 00:00	12	12	12	12	40	EUR	
29/07/2015 00:00	12	12	12	12	10	EUR	
30/07/2015 00:00	12	12	12	12	30	EUR	
31/07/2015 00:00	13	13	13	13	10	EUR	
04/08/2015 00:00	13	13	13	13	0	EUR	
07/08/2015 00:00	13	13	13	13	15	EUR	
11/08/2015 00:00	13	13	13	13	0	EUR	
13/08/2015 00:00	13	13	13	13	0	EUR	
20/08/2015 00:00	10	10	10	10	840	EUR	
21/08/2015 00:00	10.01	10.01	10.01	10.01	50	EUR	
24/08/2015 00:00	11	11	11	11	10	EUR	
25/08/2015 00:00	12	12	12	12	50	EUR	
26/08/2015 00:00	13	13	13	13	0	EUR	
28/08/2015 00:00	13.1	13.1	13.1	13.1	10	EUR	
31/08/2015 00:00	13.1	13.1	13.1	13.1	20	EUR	
01/09/2015 00:00	13.5	13.5	13.5	13.5	0	EUR	
04/09/2015 00:00	13.49	13.49	13.49	13.49	10	EUR	
07/09/2015 00:00	13	13	13	13	10	EUR	
08/09/2015 00:00	13	13	13	13	0	EUR	
16/09/2015 00:00	8.54	8.54	8.54	8.54	20	EUR	
17/09/2015 00:00	9.3	9.3	9.3	9.3	39	EUR	
18/09/2015 00:00	10	10	10	10	10	EUR	
21/09/2015 00:00	11	11	11	11	10	EUR	
22/09/2015 00:00	12	12	12	12	10	EUR	
23/09/2015 00:00	12	12	12	12	15	EUR	
24/09/2015 00:00	13	13	13	13	10	EUR	
25/09/2015 00:00	13	13	13	13	10	EUR	
28/09/2015 00:00	13	13	13	13	0	EUR	
30/09/2015 00:00	11.5	11.5	11.5	11.5	0	EUR	
02/10/2015 00:00	12.3	12.3	12.3	12.3	10	EUR	
05/10/2015 00:00	11.5	11.5	11.5	11.5	10	EUR	
06/10/2015 00:00	12.6	12.6	12.6	12.6	13	EUR	
07/10/2015 00:00	13	13	13	13	0	EUR	
12/10/2015 00:00	11.29	11.29	11.29	11.29	1	EUR	
13/10/2015 00:00	11.29	11.29	11.29	11.29	10	EUR	
14/10/2015 00:00	12	12	12	12	0	EUR	
16/10/2015 00:00	12	12	12	12	20	EUR	
19/10/2015 00:00	12	12	12	12	20	EUR	
20/10/2015 00:00	12	12	12	12	0	EUR	
22/10/2015 00:00	13	13	13	13	0	EUR	
26/10/2015 00:00	13	13	13	13	7	EUR	
27/10/2015 00:00	13.5	13.5	13.5	13.5	10	EUR	
28/10/2015 00:00	14	14	14	14	8	EUR	
29/10/2015 00:00	14	14	14	14	12	EUR	
30/10/2015 00:00	14.85	14.85	14.85	14.85	10	EUR	
02/11/2015 00:00	16.33	16.33	16.33	16.33	0	EUR	
06/11/2015 00:00	14.5	14.5	14.5	14.5	10	EUR	
10/11/2015 00:00	15.1	15.1	15.1	15.1	0	EUR	
23/11/2015 00:00	12	12	12	12	24	EUR	
24/11/2015 00:00	13	13	13	13	0	EUR	
26/11/2015 00:00	12.5	12.5	12.5	12.5	400	EUR	
27/11/2015 00:00	13	13	13	13	10	EUR	
02/12/2015 00:00	13	13	13	13	0	EUR	
04/12/2015 00:00	13	13	13	13	10	EUR	
08/12/2015 00:00	13	13	13	13	0	EUR	
16/12/2015 00:00	12.8	12.8	12.8	12.8	0	EUR	
21/12/2015 00:00	12.8	12.8	12.8	12.8	0	EUR	
28/12/2015 00:00	8.49	8.49	8.49	8.49	100	EUR	
29/12/2015 00:00	9.3	9.3	9.3	9.3	14	EUR	
30/12/2015 00:00	10.2	10.2	10.2	10.2	0	EUR	
04/01/2016 00:00	11.19	11.19	11.19	11.19	0	EUR	
07/01/2016 00:00	12	12	12	12	0	EUR	
11/01/2016 00:00	10	10	10	10	0	EUR	
13/01/2016 00:00	9.9	9.9	9.9	9.9	10	EUR	
14/01/2016 00:00	9.9	9.9	9.9	9.9	0	EUR	
18/01/2016 00:00	10.5	10.5	10.5	10.5	0	EUR	
22/01/2016 00:00	9.3	9.3	9.3	9.3	10	EUR	
25/01/2016 00:00	10.2	10.2	10.2	10.2	60	EUR	
26/01/2016 00:00	11.2	11.2	11.2	11.2	10	EUR	
27/01/2016 00:00	12	12	12	12	10	EUR	
28/01/2016 00:00	12.2	12.2	12.2	12.2	0	EUR	
01/02/2016 00:00	10.98	10.98	10.98	10.98	10	EUR	
02/02/2016 00:00	12	12	12	12	8	EUR	
03/02/2016 00:00	13	13	13	13	0	EUR	
08/02/2016 00:00	11	11	11	11	5	EUR	
09/02/2016 00:00	12	12	12	12	5	EUR	
10/02/2016 00:00	12.1	12.1	12.1	12.1	0	EUR	
12/02/2016 00:00	12.2	12.2	12.2	12.2	5	EUR	
15/02/2016 00:00	12.4	12.4	12.4	12.4	0	EUR	
19/02/2016 00:00	12.49	12.49	12.49	12.49	5	EUR	
22/02/2016 00:00	12.6	12.6	12.6	12.6	0	EUR	
26/02/2016 00:00	12.61	12.61	12.61	12.61	5	EUR	
01/03/2016 00:00	12.61	12.61	12.61	12.61	0	EUR	
04/03/2016 00:00	11	11	11	11	62	EUR	
07/03/2016 00:00	12	12	12	12	0	EUR	
10/03/2016 00:00	9.5	9.5	9.5	9.5	200	EUR	
11/03/2016 00:00	10.4	10.4	10.4	10.4	5	EUR	
14/03/2016 00:00	11.4	11.4	11.4	11.4	5	EUR	
15/03/2016 00:00	12.5	12.5	12.5	12.5	5	EUR	
16/03/2016 00:00	13.7	13.7	13.7	13.7	5	EUR	
17/03/2016 00:00	15	15	15	15	0	EUR	
29/03/2016 00:00	10	10	10	10	100	EUR	
30/03/2016 00:00	10	10	10	10	85	EUR	
31/03/2016 00:00	11	11	11	11	10	EUR	
01/04/2016 00:00	11.1	11.1	11.1	11.1	5	EUR	
05/04/2016 00:00	11	11	11	11	0	EUR	
08/04/2016 00:00	11.2	11.2	11.2	11.2	16	EUR	
12/04/2016 00:00	11.2	11.2	11.2	11.2	0	EUR	
14/04/2016 00:00	11.2	11.2	11.2	11.2	0	EUR	
20/04/2016 00:00	11.3	11.3	11.3	11.3	0	EUR	
29/04/2016 00:00	11	11	11	11	20	EUR	
03/05/2016 00:00	12	12	12	12	0	EUR	
09/05/2016 00:00	12.1	12.1	12.1	12.1	0	EUR	
12/05/2016 00:00	12.2	12.2	12.2	12.2	0	EUR	
25/05/2016 00:00	11.8	11.8	11.8	11.8	0	EUR	
01/06/2016 00:00	11.8	11.8	11.8	11.8	0	EUR	
09/06/2016 00:00	11.79	11.79	11.79	11.79	0	EUR	
17/06/2016 00:00	11.8	11.8	11.8	11.8	20	EUR	
22/06/2016 00:00	11.8	11.8	11.8	11.8	51	EUR	
23/06/2016 00:00	12.1	12.1	12.1	12.1	0	EUR	
08/07/2016 00:00	10	10	10	10	100	EUR	
11/07/2016 00:00	11	11	11	11	0	EUR	
18/07/2016 00:00	11.1	11.1	11.1	11.1	0	EUR	
22/07/2016 00:00	11.2	11.2	11.2	11.2	15	EUR	
25/07/2016 00:00	11.3	11.3	11.3	11.3	0	EUR	
12/08/2016 00:00	11.3	11.3	11.3	11.3	15	EUR	
19/08/2016 00:00	11.3	11.3	11.3	11.3	10	EUR	
31/08/2016 00:00	9.5	9.5	9.5	9.5	50	EUR	
01/09/2016 00:00	10	10	10	10	10	EUR	
02/09/2016 00:00	10.2	10.2	10.2	10.2	10	EUR	
16/09/2016 00:00	10.2	10.2	10.2	10.2	100	EUR	
27/09/2016 00:00	9	9	9	9	220	EUR	
28/09/2016 00:00	9.6	9.6	9.6	9.6	0	EUR	
03/10/2016 00:00	10	10	10	10	0	EUR	
07/10/2016 00:00	10	10	10	10	1	EUR	
27/10/2016 00:00	10	10	10	10	0	EUR	
15/11/2016 00:00	7.29	7.29	7.29	7.29	50	EUR	
16/11/2016 00:00	7.29	7.29	7.29	7.29	100	EUR	
17/11/2016 00:00	8	8	8	8	15	EUR	
18/11/2016 00:00	8.7	8.7	8.7	8.7	15	EUR	
21/11/2016 00:00	8.95	8.95	8.95	8.95	0	EUR	
23/11/2016 00:00	8.95	8.95	8.95	8.95	0	EUR	
25/11/2016 00:00	8.06	8.06	8.06	8.06	50	EUR	
29/11/2016 00:00	9.2	9.2	9.2	9.2	0	EUR	
01/12/2016 00:00	9.3	9.3	9.3	9.3	0	EUR	
09/12/2016 00:00	10.05	10.05	10.05	10.05	16	EUR	
16/12/2016 00:00	10.05	10.05	10.05	10.05	10	EUR	
21/12/2016 00:00	10.04	10.04	10.04	10.04	0	EUR	
23/12/2016 00:00	9.94	9.94	9.94	9.94	220	EUR	
30/12/2016 00:00	10.5	10.5	10.5	10.5	16	EUR	
04/01/2017 00:00	10.5	10.5	10.5	10.5	100	EUR	
05/01/2017 00:00	10.5	10.5	10.5	10.5	0	EUR	
10/01/2017 00:00	11	11	11	11	0	EUR	
20/01/2017 00:00	11	11	11	11	10	EUR	
27/01/2017 00:00	11	11	11	11	10	EUR	
31/01/2017 00:00	11	11	11	11	0	EUR	
13/02/2017 00:00	11	11	11	11	0	EUR	
27/02/2017 00:00	9.7	9.7	9.7	9.7	220	EUR	
28/02/2017 00:00	10	10	10	10	0	EUR	
09/03/2017 00:00	9	9	9	9	0	EUR	
13/03/2017 00:00	9.5	9.5	9.5	9.5	0	EUR	
17/03/2017 00:00	8.55	8.55	8.55	8.55	220	EUR	
22/03/2017 00:00	9	9	9	9	10	EUR	
23/03/2017 00:00	9.2	9.2	9.2	9.2	10	EUR	
24/03/2017 00:00	9.2	9.2	9.2	9.2	90	EUR	
30/03/2017 00:00	6.95	6.95	6.95	6.95	1615	EUR	
31/03/2017 00:00	6.95	6.95	6.95	6.95	3299	EUR	
06/04/2017 00:00	5.4	5.4	5.4	5.4	3100	EUR	
07/04/2017 00:00	5.4	5.4	5.4	5.4	1000	EUR	
10/04/2017 00:00	5.9	5.9	5.9	5.9	0	EUR	
12/04/2017 00:00	6.49	6.49	6.49	6.49	0	EUR	
20/04/2017 00:00	5.89	5.89	5.89	5.89	0	EUR	
24/04/2017 00:00	6.47	6.47	6.47	6.47	0	EUR	
27/04/2017 00:00	6.46	6.46	6.46	6.46	1	EUR	
28/04/2017 00:00	6.45	6.45	6.45	6.45	100	EUR	
09/05/2017 00:00	4	4	4	4	3000	EUR	
10/05/2017 00:00	4.01	4.01	4.01	4.01	125	EUR	
11/05/2017 00:00	4.01	4.01	4.01	4.01	240	EUR	
12/05/2017 00:00	4.38	4.38	4.38	4.38	302	EUR	
15/05/2017 00:00	4.8	4.8	4.8	4.8	20	EUR	
16/05/2017 00:00	5.2	5.2	5.2	5.2	0	EUR	
24/05/2017 00:00	5.39	5.39	5.39	5.39	0	EUR	
30/05/2017 00:00	5.39	5.39	5.39	5.39	0	EUR	
01/06/2017 00:00	5.8	5.8	5.8	5.8	0	EUR	
07/06/2017 00:00	6.3	6.3	6.3	6.3	0	EUR	
09/06/2017 00:00	6.29	6.29	6.29	6.29	52	EUR	
28/06/2017 00:00	2.74	2.74	2.74	2.74	3500	EUR	
29/06/2017 00:00	3.6	3.6	3.6	3.6	0	EUR	
03/07/2017 00:00	3.8	3.8	3.8	3.8	0	EUR	
