date	ouv	haut	bas	clot	vol	devise	
18/07/2019 00:00	4.37	4.6	4.1	4.55	12077	EUR	
19/07/2019 00:00	4.55	4.65	4.4	4.5	10365	EUR	
22/07/2019 00:00	4.5	4.64	4.48	4.56	6157	EUR	
23/07/2019 00:00	4.56	4.64	4.47	4.5	7182	EUR	
24/07/2019 00:00	4.56	4.56	4.46	4.47	5448	EUR	
25/07/2019 00:00	4.47	4.6	4.47	4.57	3262	EUR	
26/07/2019 00:00	4.57	4.57	4.46	4.525	2478	EUR	
29/07/2019 00:00	4.525	4.525	4.5	4.5	109	EUR	
30/07/2019 00:00	4.56	4.56	4.2	4.201	4272	EUR	
31/07/2019 00:00	4.5	4.55	4.2	4.4	1786	EUR	
01/08/2019 00:00	4.4	4.5	4.26	4.26	1454	EUR	
02/08/2019 00:00	4.261	4.5	4.26	4.26	280	EUR	
05/08/2019 00:00	4.281	4.3	4.14	4.3	1245	EUR	
06/08/2019 00:00	4.3	4.3	4.14	4.25	1772	EUR	
07/08/2019 00:00	4.25	4.3	4.25	4.26	2426	EUR	
08/08/2019 00:00	4.26	4.3	4.26	4.3	2063	EUR	
09/08/2019 00:00	4.351	4.42	4.35	4.42	1593	EUR	
12/08/2019 00:00	4.35	4.35	4.26	4.26	170	EUR	
13/08/2019 00:00	4.24	4.35	4.24	4.35	409	EUR	
14/08/2019 00:00	4.35	4.35	4.349	4.349	133	EUR	
15/08/2019 00:00	4.34	4.34	4.24	4.24	76	EUR	
16/08/2019 00:00	4.241	4.3	4.241	4.3	201	EUR	
19/08/2019 00:00	4.24	4.24	4.2	4.2	585	EUR	
20/08/2019 00:00	4.201	4.201	4.13	4.13	537	EUR	
21/08/2019 00:00	4.12	4.319	4.12	4.25	4008	EUR	
22/08/2019 00:00	4.261	4.45	4.26	4.261	928	EUR	
23/08/2019 00:00	4.3	4.3	4.3	4.3	1382	EUR	
26/08/2019 00:00	4.301	4.38	4.28	4.28	301	EUR	
27/08/2019 00:00	4.28	4.38	4.28	4.38	11	EUR	
28/08/2019 00:00	4.29	4.3	4.29	4.3	1634	EUR	
29/08/2019 00:00	4.3	4.38	4.29	4.3	1658	EUR	
30/08/2019 00:00	4.301	4.301	4.29	4.29	767	EUR	
02/09/2019 00:00	4.38	4.38	4.3	4.3	165	EUR	
03/09/2019 00:00	4.301	4.35	4.301	4.35	2	EUR	
04/09/2019 00:00	4.35	4.35	4.35	4.35	1	EUR	
05/09/2019 00:00	4.365	4.365	4.29	4.29	260	EUR	
06/09/2019 00:00	4.291	4.364	4.291	4.364	23	EUR	
09/09/2019 00:00	4.36	4.36	4.36	4.36	142	EUR	
10/09/2019 00:00	4.36	4.36	4.36	4.36	1	EUR	
11/09/2019 00:00	4.36	4.36	4.32	4.32	101	EUR	
12/09/2019 00:00	4.32	4.32	4.26	4.26	701	EUR	
13/09/2019 00:00	4.261	4.349	4.26	4.349	18	EUR	
16/09/2019 00:00	4.365	4.365	4.22	4.36	1501	EUR	
17/09/2019 00:00	4.36	4.36	4.36	4.36	1	EUR	
18/09/2019 00:00	4.36	4.36	4.24	4.24	1094	EUR	
19/09/2019 00:00	4.24	4.365	4.24	4.24	74	EUR	
20/09/2019 00:00	4.241	4.35	4.241	4.35	26	EUR	
23/09/2019 00:00	4.26	4.26	4.26	4.26	26	EUR	
24/09/2019 00:00	4.365	4.365	4.25	4.36	280	EUR	
25/09/2019 00:00	4.36	4.36	4.2	4.2	513	EUR	
26/09/2019 00:00	4.211	4.211	4.211	4.211	1	EUR	
27/09/2019 00:00	4.221	4.221	4.17	4.171	373	EUR	
30/09/2019 00:00	4.15	4.151	4.15	4.151	732	EUR	
01/10/2019 00:00	4.151	4.151	4.12	4.12	566	EUR	
02/10/2019 00:00	4.12	4.15	4.101	4.101	534	EUR	
03/10/2019 00:00	4.22	4.22	4.22	4.22	3	EUR	
04/10/2019 00:00	4.22	4.223	4.13	4.223	26	EUR	
07/10/2019 00:00	4.13	4.13	4.13	4.13	14	EUR	
08/10/2019 00:00	4.13	4.2	4.13	4.2	201	EUR	
09/10/2019 00:00	4.1	4.1	4.1	4.1	41	EUR	
10/10/2019 00:00	4.2	4.2	4.2	4.2	531	EUR	
11/10/2019 00:00	4.2	4.2	4.12	4.12	251	EUR	
14/10/2019 00:00	4.2	4.2	4.101	4.101	50	EUR	
15/10/2019 00:00	4.101	4.101	4.1	4.1	443	EUR	
16/10/2019 00:00	4.1	4.1	3.96	3.96	1728	EUR	
17/10/2019 00:00	3.91	4.039	3.91	4.039	57	EUR	
18/10/2019 00:00	4.039	4.039	3.901	3.931	221	EUR	
21/10/2019 00:00	3.931	3.931	3.931	3.931	254	EUR	
22/10/2019 00:00	3.931	3.931	3.931	3.931	7	EUR	
23/10/2019 00:00	4.09	4.13	4.001	4.001	1823	EUR	
24/10/2019 00:00	4.006	4.006	4.005	4.005	76	EUR	
25/10/2019 00:00	3.931	4	3.931	4	215	EUR	
28/10/2019 00:00	4	4	3.85	3.931	2311	EUR	
29/10/2019 00:00	3.98	4	3.98	4	107	EUR	
30/10/2019 00:00	4	4	3.89	3.89	12	EUR	
31/10/2019 00:00	3.8	3.801	3.8	3.801	596	EUR	
01/11/2019 00:00	3.81	4.1	3.81	3.925	5536	EUR	
04/11/2019 00:00	3.925	3.98	3.925	3.98	56	EUR	
05/11/2019 00:00	3.98	3.98	3.92	3.92	18	EUR	
