date	ouv	haut	bas	clot	vol	devise	
28/11/2017 00:00	0.05	0.05	0.05	0.05	789	EUR	
29/11/2017 00:00	0.05	0.05	0.05	0.05	0	EUR	
01/12/2017 00:00	0.04	0.04	0.04	0.04	950	EUR	
04/12/2017 00:00	0.04	0.05	0.04	0.05	32890	EUR	
05/12/2017 00:00	0.07	0.07	0.07	0.07	18980	EUR	
06/12/2017 00:00	0.09	0.09	0.09	0.09	0	EUR	
08/12/2017 00:00	0.08	0.09	0.08	0.09	3108	EUR	
11/12/2017 00:00	0.1	0.12	0.1	0.12	1330	EUR	
12/12/2017 00:00	0.1	0.1	0.1	0.1	24880	EUR	
13/12/2017 00:00	0.12	0.12	0.1	0.1	13549	EUR	
14/12/2017 00:00	0.1	0.1	0.1	0.1	0	EUR	
03/01/2018 00:00	0.07	0.07	0.07	0.07	0	EUR	
05/01/2018 00:00	0.09	0.09	0.09	0.09	10100	EUR	
08/01/2018 00:00	0.1	0.1	0.1	0.1	3888	EUR	
09/01/2018 00:00	0.1	0.1	0.1	0.1	4000	EUR	
10/01/2018 00:00	0.1	0.1	0.1	0.1	0	EUR	
12/01/2018 00:00	0.1	0.1	0.1	0.1	27251	EUR	
15/01/2018 00:00	0.1	0.1	0.1	0.1	62117	EUR	
16/01/2018 00:00	0.09	0.09	0.09	0.09	0	EUR	
19/01/2018 00:00	0.1	0.1	0.1	0.1	1000	EUR	
22/01/2018 00:00	0.09	0.09	0.09	0.09	6000	EUR	
23/01/2018 00:00	0.1	0.101	0.1	0.101	78693	EUR	
24/01/2018 00:00	0.1	0.1	0.1	0.1	2770	EUR	
25/01/2018 00:00	0.1	0.1	0.1	0.1	56000	EUR	
26/01/2018 00:00	0.09	0.09	0.09	0.09	770	EUR	
30/01/2018 00:00	0.11	0.11	0.11	0.11	6000	EUR	
31/01/2018 00:00	0.11	0.11	0.11	0.11	6710	EUR	
01/02/2018 00:00	0.11	0.11	0.11	0.11	0	EUR	
12/02/2018 00:00	0.11	0.11	0.11	0.11	0	EUR	
16/02/2018 00:00	0.134	0.134	0.134	0.134	66577	EUR	
19/02/2018 00:00	0.14	0.14	0.14	0.14	15000	EUR	
20/02/2018 00:00	0.15	0.15	0.15	0.15	1000	EUR	
21/02/2018 00:00	0.15	0.16	0.15	0.16	12061	EUR	
22/02/2018 00:00	0.16	0.16	0.16	0.16	4765	EUR	
23/02/2018 00:00	0.2	0.2	0.2	0.2	2000	EUR	
27/02/2018 00:00	0.2	0.22	0.2	0.22	39100	EUR	
