date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	37	37	37	33.625	42	EUR	
19/05/2015 00:00	35.29	35.29	35.29	32.962	1067	EUR	
20/05/2015 00:00	35.29	35.29	35.29	32.962	2	EUR	
21/05/2015 00:00	35.3	35.3	35.3	32.971	316	EUR	
22/05/2015 00:00	35.5	35.5	35.5	33.158	44	EUR	
25/05/2015 00:00	35.5	35.5	35.5	33.158	139	EUR	
26/05/2015 00:00	35.5	35.5	35.5	33.158	2029	EUR	
27/05/2015 00:00	35.5	35.5	35.5	33.158	101	EUR	
28/05/2015 00:00	35.51	35.51	35.51	33.167	31	EUR	
29/05/2015 00:00	35.51	35.51	35.51	33.167	1	EUR	
01/06/2015 00:00	35.52	35.52	35.52	33.177	284	EUR	
02/06/2015 00:00	35.52	35.52	35.52	33.177	1	EUR	
03/06/2015 00:00	35.53	35.53	35.53	33.186	36	EUR	
04/06/2015 00:00	35.53	35.53	35.53	33.186	1	EUR	
05/06/2015 00:00	35.53	35.53	35.53	33.186	1	EUR	
08/06/2015 00:00	35.53	35.53	35.53	33.186	1	EUR	
09/06/2015 00:00	35.85	35.85	35.85	33.485	90	EUR	
10/06/2015 00:00	36.5	36.5	36.5	34.092	945	EUR	
11/06/2015 00:00	36.91	36.91	36.91	34.475	1	EUR	
12/06/2015 00:00	36.34	36.34	36.34	33.942	1637	EUR	
15/06/2015 00:00	36.34	36.34	36.34	33.942	21	EUR	
16/06/2015 00:00	36.15	36.15	36.15	33.765	201	EUR	
17/06/2015 00:00	36.13	36.13	36.13	33.746	1	EUR	
18/06/2015 00:00	36	36	36	33.625	371	EUR	
19/06/2015 00:00	36	36	36	33.625	101	EUR	
22/06/2015 00:00	36.05	36.05	36.05	33.672	39	EUR	
23/06/2015 00:00	36.05	36.05	36.05	33.672	572	EUR	
24/06/2015 00:00	36.06	36.06	36.06	33.681	481	EUR	
25/06/2015 00:00	36.07	36.07	36.07	33.69	7	EUR	
26/06/2015 00:00	36.05	36.05	36.05	33.672	101	EUR	
29/06/2015 00:00	36	36	36	33.625	41	EUR	
30/06/2015 00:00	36.01	36.01	36.01	33.634	1	EUR	
01/07/2015 00:00	36.01	36.01	36.01	33.634	1	EUR	
02/07/2015 00:00	36.01	36.01	36.01	33.634	1	EUR	
