date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	9.4	9.68	9.35	9.5	28454	EUR	
19/05/2015 00:00	9.49	9.68	9.45	9.5	11280	EUR	
20/05/2015 00:00	9.49	9.64	9.45	9.55	8519	EUR	
21/05/2015 00:00	9.49	9.55	9.49	9.5	10897	EUR	
22/05/2015 00:00	9.5	9.55	9.49	9.5	4244	EUR	
25/05/2015 00:00	9.51	9.55	9.42	9.42	6593	EUR	
26/05/2015 00:00	9.49	9.49	9.37	9.37	5046	EUR	
27/05/2015 00:00	9.37	9.4	9.35	9.4	8014	EUR	
28/05/2015 00:00	9.4	9.4	9.35	9.39	5339	EUR	
29/05/2015 00:00	9.39	9.39	9.31	9.31	4546	EUR	
01/06/2015 00:00	9.35	9.39	9.3	9.3	3533	EUR	
02/06/2015 00:00	9.35	9.35	9.27	9.3	1059	EUR	
03/06/2015 00:00	9.3	9.3	9.25	9.29	2412	EUR	
04/06/2015 00:00	9.29	9.3	9.12	9.24	11775	EUR	
05/06/2015 00:00	9.11	9.2	9.11	9.17	5235	EUR	
08/06/2015 00:00	9.18	9.18	9	9.05	8209	EUR	
09/06/2015 00:00	9.06	9.14	9.01	9.14	4247	EUR	
10/06/2015 00:00	9.13	9.13	9.03	9.13	1917	EUR	
11/06/2015 00:00	9.13	9.13	9.07	9.12	9803	EUR	
12/06/2015 00:00	9.12	9.13	9	9	5470	EUR	
15/06/2015 00:00	9.12	9.12	8.82	8.9	5746	EUR	
16/06/2015 00:00	9	9.08	8.84	9	4497	EUR	
17/06/2015 00:00	9.67	9.67	9.26	9.39	34184	EUR	
18/06/2015 00:00	9.39	9.39	9.15	9.25	2659	EUR	
19/06/2015 00:00	9.2	9.25	9.1	9.1	4233	EUR	
22/06/2015 00:00	9.25	9.25	9.03	9.1	6684	EUR	
23/06/2015 00:00	8.83	9.08	8.83	9.08	32301	EUR	
24/06/2015 00:00	9.01	9.12	9.01	9.1	371	EUR	
25/06/2015 00:00	9.05	9.11	9.05	9.11	251	EUR	
26/06/2015 00:00	9.05	9.15	9.05	9.13	2407	EUR	
29/06/2015 00:00	8.84	8.91	8.76	8.9	9167	EUR	
30/06/2015 00:00	8.88	9	8.88	9	1988	EUR	
01/07/2015 00:00	9.01	9.17	9	9.17	33143	EUR	
02/07/2015 00:00	9.07	9.38	9.07	9.3	4614	EUR	
03/07/2015 00:00	9.35	9.35	9.21	9.25	1615	EUR	
06/07/2015 00:00	9.1	9.3	8.98	9.25	5637	EUR	
07/07/2015 00:00	9.31	9.4	9.25	9.37	2508	EUR	
08/07/2015 00:00	9.26	9.4	9.26	9.35	3538	EUR	
09/07/2015 00:00	9.41	9.49	9.35	9.42	3464	EUR	
10/07/2015 00:00	9.43	9.64	9.38	9.46	10813	EUR	
13/07/2015 00:00	9	9.14	8.99	9.14	11186	EUR	
14/07/2015 00:00	9.22	9.22	9.08	9.19	3972	EUR	
15/07/2015 00:00	9.19	9.19	9.09	9.15	5125	EUR	
16/07/2015 00:00	9.11	9.57	9.1	9.48	8672	EUR	
17/07/2015 00:00	9.52	9.52	9.35	9.46	5374	EUR	
20/07/2015 00:00	9.45	9.45	9.35	9.41	5714	EUR	
21/07/2015 00:00	9.07	9.81	9.07	9.7	32863	EUR	
22/07/2015 00:00	9.6	9.95	9.5	9.95	15092	EUR	
23/07/2015 00:00	9.72	9.94	9.6	9.66	3769	EUR	
24/07/2015 00:00	9.6	9.78	9.5	9.74	2128	EUR	
27/07/2015 00:00	9.68	9.68	9.37	9.4	1676	EUR	
28/07/2015 00:00	9.37	9.6	9.36	9.6	2540	EUR	
29/07/2015 00:00	9.59	9.59	9.37	9.45	13829	EUR	
30/07/2015 00:00	9.45	9.57	9.41	9.42	1210	EUR	
31/07/2015 00:00	9.46	9.55	9.16	9.5	2309	EUR	
03/08/2015 00:00	9.5	9.66	9.32	9.34	1036	EUR	
04/08/2015 00:00	9.41	9.63	9.41	9.58	1355	EUR	
05/08/2015 00:00	9.58	9.59	9.4	9.55	403	EUR	
06/08/2015 00:00	9.55	9.59	9.42	9.45	954	EUR	
07/08/2015 00:00	9.45	9.56	9.41	9.41	925	EUR	
10/08/2015 00:00	9.4	9.41	9.4	9.41	236	EUR	
11/08/2015 00:00	9.41	9.41	9.34	9.35	1016	EUR	
12/08/2015 00:00	9.34	9.35	9.3	9.32	2325	EUR	
13/08/2015 00:00	9.3	9.43	9.3	9.32	2449	EUR	
14/08/2015 00:00	9.33	9.5	9.33	9.45	1394	EUR	
17/08/2015 00:00	9.45	9.54	9.45	9.45	1086	EUR	
18/08/2015 00:00	9.45	9.6	9.33	9.6	6182	EUR	
19/08/2015 00:00	9.58	9.6	9.5	9.6	1653	EUR	
20/08/2015 00:00	9.6	9.64	9.52	9.52	1117	EUR	
21/08/2015 00:00	9.52	9.52	9.44	9.44	5252	EUR	
24/08/2015 00:00	9.31	9.48	9.1	9.2	14672	EUR	
25/08/2015 00:00	9.2	9.26	9.1	9.25	2068	EUR	
