date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	34.16	34.16	34.16	34.16	30	EUR	
19/05/2015 00:00	35	35	35	35	514	EUR	
20/05/2015 00:00	35	35	35	35	566	EUR	
21/05/2015 00:00	35.1	35.1	35.1	35.1	511	EUR	
22/05/2015 00:00	35.1	35.1	35.1	35.1	51	EUR	
25/05/2015 00:00	35.05	35.05	35.05	35.05	36	EUR	
26/05/2015 00:00	35.06	35.06	35.06	35.06	26	EUR	
27/05/2015 00:00	35.06	35.06	35.06	35.06	21	EUR	
28/05/2015 00:00	35.06	35.06	35.06	35.06	1	EUR	
29/05/2015 00:00	35	35	35	35	51	EUR	
01/06/2015 00:00	34.97	34.97	34.97	34.97	179	EUR	
02/06/2015 00:00	35	35	35	35	148	EUR	
03/06/2015 00:00	35	35	35	35	26	EUR	
04/06/2015 00:00	35	35	35	35	14	EUR	
05/06/2015 00:00	34.85	34.85	34.85	34.85	101	EUR	
08/06/2015 00:00	34.85	34.85	34.85	34.85	83	EUR	
09/06/2015 00:00	34.85	34.85	34.85	34.85	71	EUR	
10/06/2015 00:00	34.85	34.85	34.85	34.85	141	EUR	
11/06/2015 00:00	34.86	34.86	34.86	34.86	12	EUR	
12/06/2015 00:00	34.7	34.7	34.7	34.7	204	EUR	
15/06/2015 00:00	34.7	34.7	34.7	34.7	1	EUR	
16/06/2015 00:00	34.34	34.34	34.34	34.34	1059	EUR	
17/06/2015 00:00	34.9	34.9	34.9	34.9	201	EUR	
18/06/2015 00:00	34.9	34.9	34.9	34.9	1	EUR	
19/06/2015 00:00	34.84	34.84	34.84	34.84	51	EUR	
22/06/2015 00:00	34.84	34.84	34.84	34.84	1	EUR	
23/06/2015 00:00	34.84	34.84	34.84	34.84	1	EUR	
24/06/2015 00:00	34.84	34.84	34.84	34.84	61	EUR	
25/06/2015 00:00	34.24	34.24	34.24	34.24	21	EUR	
26/06/2015 00:00	34.3	34.3	34.3	34.3	9	EUR	
29/06/2015 00:00	34.3	34.3	34.3	34.3	156	EUR	
30/06/2015 00:00	34.25	34.25	34.25	34.25	47	EUR	
01/07/2015 00:00	34.25	34.25	34.25	34.25	1	EUR	
02/07/2015 00:00	34	34	34	34	107	EUR	
03/07/2015 00:00	34	34	34	34	1	EUR	
06/07/2015 00:00	34	34	34	34	104	EUR	
07/07/2015 00:00	34	34	34	34	42	EUR	
08/07/2015 00:00	34	34	34	34	101	EUR	
09/07/2015 00:00	33.9	33.9	33.9	33.9	11	EUR	
10/07/2015 00:00	33.9	33.9	33.9	33.9	1	EUR	
13/07/2015 00:00	33.5	33.5	33.5	33.5	155	EUR	
14/07/2015 00:00	33.7	33.7	33.7	33.7	179	EUR	
15/07/2015 00:00	33.7	33.7	33.7	33.7	1	EUR	
16/07/2015 00:00	33.9	33.9	33.9	33.9	101	EUR	
17/07/2015 00:00	33	33	33	33	286	EUR	
20/07/2015 00:00	33.63	33.63	33.63	33.63	301	EUR	
21/07/2015 00:00	33.59	33.59	33.59	33.59	101	EUR	
22/07/2015 00:00	33.59	33.59	33.59	33.59	1	EUR	
23/07/2015 00:00	33.75	33.75	33.75	33.75	221	EUR	
24/07/2015 00:00	32.6	32.6	32.6	32.6	432	EUR	
27/07/2015 00:00	32.6	32.6	32.6	32.6	221	EUR	
28/07/2015 00:00	32.6	32.6	32.6	32.6	316	EUR	
29/07/2015 00:00	32.4	32.4	32.4	32.4	351	EUR	
30/07/2015 00:00	32.32	32.32	32.32	32.32	36	EUR	
31/07/2015 00:00	32.32	32.32	32.32	32.32	21	EUR	
03/08/2015 00:00	31.68	31.68	31.68	31.68	169	EUR	
04/08/2015 00:00	32	32	32	32	101	EUR	
05/08/2015 00:00	32	32	32	32	201	EUR	
06/08/2015 00:00	31.99	31.99	31.99	31.99	1	EUR	
07/08/2015 00:00	31.99	31.99	31.99	31.99	84	EUR	
10/08/2015 00:00	31.6	31.6	31.6	31.6	201	EUR	
11/08/2015 00:00	31.59	31.59	31.59	31.59	112	EUR	
12/08/2015 00:00	31.24	31.24	31.24	31.24	301	EUR	
13/08/2015 00:00	31.24	31.24	31.24	31.24	1	EUR	
14/08/2015 00:00	31.24	31.24	31.24	31.24	1	EUR	
17/08/2015 00:00	31.25	31.25	31.25	31.25	71	EUR	
18/08/2015 00:00	31.26	31.26	31.26	31.26	101	EUR	
19/08/2015 00:00	30.51	30.51	30.51	30.51	214	EUR	
20/08/2015 00:00	30.21	30.21	30.21	30.21	116	EUR	
21/08/2015 00:00	30.21	30.21	30.21	30.21	15	EUR	
24/08/2015 00:00	29.98	29.98	29.98	29.98	381	EUR	
25/08/2015 00:00	29.98	29.98	29.98	29.98	94	EUR	
26/08/2015 00:00	29.99	29.99	29.99	29.99	141	EUR	
27/08/2015 00:00	29.99	29.99	29.99	29.99	11	EUR	
28/08/2015 00:00	29.98	29.98	29.98	29.98	1	EUR	
31/08/2015 00:00	29.98	29.98	29.98	29.98	106	EUR	
01/09/2015 00:00	29.98	29.98	29.98	29.98	1	EUR	
02/09/2015 00:00	29.9	29.9	29.9	29.9	101	EUR	
03/09/2015 00:00	29.91	29.91	29.91	29.91	1	EUR	
04/09/2015 00:00	29.91	29.91	29.91	29.91	11	EUR	
07/09/2015 00:00	28.7	28.7	28.7	28.7	156	EUR	
08/09/2015 00:00	28.7	28.7	28.7	28.7	151	EUR	
09/09/2015 00:00	29	29	29	29	121	EUR	
10/09/2015 00:00	29	29	29	29	301	EUR	
11/09/2015 00:00	29	29	29	29	141	EUR	
14/09/2015 00:00	29	29	29	29	66	EUR	
15/09/2015 00:00	28.98	28.98	28.98	28.98	1	EUR	
16/09/2015 00:00	29	29	29	29	101	EUR	
17/09/2015 00:00	29	29	29	29	71	EUR	
18/09/2015 00:00	29	29	29	29	1	EUR	
21/09/2015 00:00	29	29	29	29	6	EUR	
22/09/2015 00:00	29	29	29	29	2	EUR	
23/09/2015 00:00	29.1	29.1	29.1	29.1	101	EUR	
24/09/2015 00:00	29.12	29.12	29.12	29.12	51	EUR	
25/09/2015 00:00	29.12	29.12	29.12	29.12	1	EUR	
28/09/2015 00:00	29.12	29.12	29.12	29.12	1	EUR	
29/09/2015 00:00	29.12	29.12	29.12	29.12	1	EUR	
30/09/2015 00:00	29.12	29.12	29.12	29.12	31	EUR	
01/10/2015 00:00	28.7	28.7	28.7	28.7	75	EUR	
02/10/2015 00:00	28.7	28.7	28.7	28.7	71	EUR	
05/10/2015 00:00	27.5	27.5	27.5	27.5	206	EUR	
06/10/2015 00:00	27.5	27.5	27.5	27.5	1	EUR	
07/10/2015 00:00	27.5	27.5	27.5	27.5	101	EUR	
08/10/2015 00:00	27.5	27.5	27.5	27.5	11	EUR	
09/10/2015 00:00	27.5	27.5	27.5	27.5	11	EUR	
12/10/2015 00:00	27.3	27.3	27.3	27.3	91	EUR	
13/10/2015 00:00	27.3	27.3	27.3	27.3	1	EUR	
14/10/2015 00:00	27.31	27.31	27.31	27.31	5	EUR	
15/10/2015 00:00	27.84	27.84	27.84	27.84	563	EUR	
16/10/2015 00:00	27.66	27.66	27.66	27.66	245	EUR	
19/10/2015 00:00	28	28	28	28	61	EUR	
20/10/2015 00:00	27.66	27.66	27.66	27.66	108	EUR	
21/10/2015 00:00	27.66	27.66	27.66	27.66	54	EUR	
22/10/2015 00:00	27.67	27.67	27.67	27.67	76	EUR	
23/10/2015 00:00	27.12	27.12	27.12	27.12	1001	EUR	
26/10/2015 00:00	27.3	27.3	27.3	27.3	51	EUR	
27/10/2015 00:00	27.3	27.3	27.3	27.3	1	EUR	
28/10/2015 00:00	27.34	27.34	27.34	27.34	62	EUR	
29/10/2015 00:00	27.4	27.4	27.4	27.4	372	EUR	
30/10/2015 00:00	27.39	27.39	27.39	27.39	11	EUR	
02/11/2015 00:00	27.11	27.11	27.11	27.11	276	EUR	
03/11/2015 00:00	27.15	27.15	27.15	27.15	341	EUR	
04/11/2015 00:00	27.15	27.15	27.15	27.15	1	EUR	
05/11/2015 00:00	27.15	27.15	27.15	27.15	30	EUR	
06/11/2015 00:00	27.4	27.4	27.4	27.4	32	EUR	
09/11/2015 00:00	27.4	27.4	27.4	27.4	11	EUR	
10/11/2015 00:00	27.5	27.5	27.5	27.5	11	EUR	
11/11/2015 00:00	27.93	27.93	27.93	27.93	520	EUR	
12/11/2015 00:00	27.93	27.93	27.93	27.93	21	EUR	
13/11/2015 00:00	27.93	27.93	27.93	27.93	201	EUR	
16/11/2015 00:00	27.93	27.93	27.93	27.93	1	EUR	
17/11/2015 00:00	27.49	27.49	27.49	27.49	254	EUR	
18/11/2015 00:00	27.49	27.49	27.49	27.49	31	EUR	
19/11/2015 00:00	27.49	27.49	27.49	27.49	1	EUR	
20/11/2015 00:00	27.5	27.5	27.5	27.5	31	EUR	
23/11/2015 00:00	27.43	27.43	27.43	27.43	41	EUR	
24/11/2015 00:00	27.43	27.43	27.43	27.43	1	EUR	
25/11/2015 00:00	27.43	27.43	27.43	27.43	1	EUR	
26/11/2015 00:00	27.3	27.3	27.3	27.3	59	EUR	
27/11/2015 00:00	27.3	27.3	27.3	27.3	12	EUR	
30/11/2015 00:00	27.3	27.3	27.3	27.3	81	EUR	
01/12/2015 00:00	27.3	27.3	27.3	27.3	81	EUR	
02/12/2015 00:00	27.3	27.3	27.3	27.3	131	EUR	
03/12/2015 00:00	27.3	27.3	27.3	27.3	11	EUR	
04/12/2015 00:00	27.3	27.3	27.3	27.3	11	EUR	
07/12/2015 00:00	27.3	27.3	27.3	27.3	258	EUR	
08/12/2015 00:00	27.3	27.3	27.3	27.3	11	EUR	
09/12/2015 00:00	27.3	27.3	27.3	27.3	15	EUR	
10/12/2015 00:00	27.25	27.25	27.25	27.25	50	EUR	
11/12/2015 00:00	26.2	26.2	26.2	26.2	216	EUR	
14/12/2015 00:00	26.2	26.2	26.2	26.2	501	EUR	
15/12/2015 00:00	26.2	26.2	26.2	26.2	1	EUR	
16/12/2015 00:00	26.2	26.2	26.2	26.2	1	EUR	
17/12/2015 00:00	25.68	25.68	25.68	25.68	245	EUR	
18/12/2015 00:00	25.71	25.71	25.71	25.71	600	EUR	
21/12/2015 00:00	25.71	25.71	25.71	25.71	33	EUR	
22/12/2015 00:00	25.71	25.71	25.71	25.71	1	EUR	
23/12/2015 00:00	25.71	25.71	25.71	25.71	101	EUR	
24/12/2015 00:00	25.71	25.71	25.71	25.71	1171	EUR	
28/12/2015 00:00	25.71	25.71	25.71	25.71	1	EUR	
29/12/2015 00:00	25.83	25.83	25.83	25.83	166	EUR	
30/12/2015 00:00	25.83	25.83	25.83	25.83	56	EUR	
31/12/2015 00:00	26.3	26.3	26.3	26.3	251	EUR	
04/01/2016 00:00	26.26	26.26	26.26	26.26	26	EUR	
05/01/2016 00:00	26.1	26.1	26.1	26.1	531	EUR	
06/01/2016 00:00	26.1	26.1	26.1	26.1	31	EUR	
07/01/2016 00:00	26.1	26.1	26.1	26.1	6	EUR	
08/01/2016 00:00	26.1	26.1	26.1	26.1	78	EUR	
11/01/2016 00:00	26.6	26.6	26.6	26.6	225	EUR	
12/01/2016 00:00	26.6	26.6	26.6	26.6	23	EUR	
13/01/2016 00:00	27.11	27.11	27.11	27.11	351	EUR	
