date	ouv	haut	bas	clot	vol	devise	
07/01/2016 00:00	13	13	13	13	1	EUR	
08/01/2016 00:00	13	13	13	13	444	EUR	
11/01/2016 00:00	13.25	13.25	13.25	13.25	190	EUR	
12/01/2016 00:00	13.5	13.5	13.5	13.5	663	EUR	
13/01/2016 00:00	13.75	13.75	13.75	13.75	180	EUR	
14/01/2016 00:00	13.75	13.75	13.75	13.75	0	EUR	
19/01/2016 00:00	13.75	13.75	13.75	13.75	5	EUR	
20/01/2016 00:00	13.75	13.75	13.75	13.75	0	EUR	
25/01/2016 00:00	13.75	13.75	13.75	13.75	0	EUR	
29/01/2016 00:00	13	13	13	13	330	EUR	
01/02/2016 00:00	13	13	13	13	8	EUR	
02/02/2016 00:00	13	13	13	13	157	EUR	
03/02/2016 00:00	13	13	13	13	0	EUR	
05/02/2016 00:00	13.1	13.1	13.1	13.1	100	EUR	
08/02/2016 00:00	13	13	13	13	0	EUR	
10/02/2016 00:00	12.5	12.5	12.5	12.5	100	EUR	
11/02/2016 00:00	12	12	12	12	150	EUR	
12/02/2016 00:00	13	13	13	13	62	EUR	
15/02/2016 00:00	13	13	13	13	20	EUR	
16/02/2016 00:00	10.58	10.58	10.58	10.58	20	EUR	
17/02/2016 00:00	10.9	10.9	10.9	10.9	616	EUR	
18/02/2016 00:00	10.9	10.9	10.9	10.9	89	EUR	
19/02/2016 00:00	12	12	12	12	20	EUR	
29/02/2016 00:00	10.61	10.61	10.61	10.61	0	EUR	
07/03/2016 00:00	12	12	12	12	0	EUR	
15/03/2016 00:00	13.1	13.1	13.1	13.1	0	EUR	
17/03/2016 00:00	12	12	12	12	0	EUR	
10/05/2016 00:00	10.58	10.58	10.58	10.58	1	EUR	
11/05/2016 00:00	10.58	10.58	10.58	10.58	0	EUR	
24/05/2016 00:00	10.58	10.58	10.58	10.58	0	EUR	
27/06/2016 00:00	10.58	10.58	10.58	10.58	0	EUR	
20/07/2016 00:00	10.55	10.55	10.55	10.55	0	EUR	
01/08/2016 00:00	12	12	12	12	99	EUR	
02/08/2016 00:00	14.4	14.4	14.4	14.4	0	EUR	
29/08/2016 00:00	14.4	14.4	14.4	14.4	0	EUR	
13/09/2016 00:00	9.61	9.61	9.61	9.61	40	EUR	
14/09/2016 00:00	9.61	9.61	9.61	9.61	0	EUR	
26/09/2016 00:00	11.51	11.51	11.51	11.51	0	EUR	
18/10/2016 00:00	11.51	11.51	11.51	11.51	50	EUR	
19/10/2016 00:00	11.59	11.59	11.59	11.59	0	EUR	
21/10/2016 00:00	9.28	9.28	9.28	9.28	14	EUR	
24/10/2016 00:00	8.5	8.5	8.5	8.5	0	EUR	
26/10/2016 00:00	8.51	8.51	8.51	8.51	0	EUR	
13/12/2016 00:00	8.55	8.55	8.55	8.55	150	EUR	
14/12/2016 00:00	8.55	8.55	8.55	8.55	0	EUR	
09/01/2017 00:00	8.55	8.55	8.55	8.55	0	EUR	
23/02/2017 00:00	9	9	9	9	0	EUR	
27/02/2017 00:00	8.25	8.25	8.25	8.25	0	EUR	
13/03/2017 00:00	9	9	9	9	165	EUR	
14/03/2017 00:00	9.5	9.5	9.5	9.5	0	EUR	
24/04/2017 00:00	11	11	11	11	0	EUR	
08/05/2017 00:00	13.1	13.1	13.1	13.1	0	EUR	
23/05/2017 00:00	13.1	13.1	13.1	13.1	0	EUR	
14/06/2017 00:00	13.1	13.1	13.1	13.1	0	EUR	
23/06/2017 00:00	10.5	10.5	10.5	10.5	5479	EUR	
26/06/2017 00:00	12.5	12.5	12.5	12.5	500	EUR	
27/06/2017 00:00	13.1	13.1	13.1	13.1	0	EUR	
12/07/2017 00:00	13.3	13.3	13.3	13.3	0	EUR	
31/07/2017 00:00	13.1	13.1	13.1	13.1	0	EUR	
14/08/2017 00:00	13.1	13.1	13.1	13.1	0	EUR	
23/08/2017 00:00	11	11	11	11	0	EUR	
25/08/2017 00:00	9.5	9.5	9.5	9.5	690	EUR	
28/08/2017 00:00	9.5	9.5	9.5	9.5	0	EUR	
30/08/2017 00:00	8.25	8.25	8.25	8.25	0	EUR	
01/09/2017 00:00	9.48	9.48	8.26	8.26	2322	EUR	
04/09/2017 00:00	9.91	9.91	9.91	9.91	100	EUR	
05/09/2017 00:00	10	10	10	10	0	EUR	
04/10/2017 00:00	5.13	5.13	5.13	5.13	0	EUR	
09/10/2017 00:00	9.86	9.86	9.86	9.86	0	EUR	
13/10/2017 00:00	9.84	9.84	9.84	9.84	150	EUR	
24/10/2017 00:00	9.84	9.84	9.84	9.84	0	EUR	
08/11/2017 00:00	6.56	6.56	6.56	6.56	0	EUR	
10/11/2017 00:00	6.62	6.62	6.62	6.62	100	EUR	
