date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	5	5	5	5	179	EUR	
19/05/2015 00:00	4.7	4.7	4.7	4.7	0	EUR	
22/05/2015 00:00	4.82	4.82	4.82	4.82	1	EUR	
25/05/2015 00:00	5.2	5.2	5.2	5.2	7	EUR	
26/05/2015 00:00	5.2	5.2	5.2	5.2	0	EUR	
29/05/2015 00:00	5.2	5.2	5.2	5.2	1	EUR	
03/06/2015 00:00	4.91	4.91	4.91	4.91	280	EUR	
04/06/2015 00:00	5.33	5.33	5.33	5.33	33	EUR	
05/06/2015 00:00	5	5	5	5	62	EUR	
12/06/2015 00:00	5	5	5	5	440	EUR	
19/06/2015 00:00	5.01	5.01	5.01	5.01	1	EUR	
23/06/2015 00:00	5	5	5	5	0	EUR	
26/06/2015 00:00	5.34	5.34	5.34	5.34	3	EUR	
29/06/2015 00:00	5	5	5	5	0	EUR	
01/07/2015 00:00	5.02	5.02	5.02	5.02	0	EUR	
03/07/2015 00:00	5.03	5.03	5.03	5.03	1	EUR	
06/07/2015 00:00	5.02	5.02	5.02	5.02	0	EUR	
10/07/2015 00:00	5.03	5.03	5.03	5.03	1	EUR	
15/07/2015 00:00	5.03	5.03	5.03	5.03	1	EUR	
16/07/2015 00:00	5.03	5.03	5.03	5.03	1	EUR	
17/07/2015 00:00	5.03	5.03	5.03	5.03	1	EUR	
24/07/2015 00:00	5.02	5.02	5.02	5.02	330	EUR	
27/07/2015 00:00	5.12	5.12	5.12	5.12	0	EUR	
31/07/2015 00:00	5.12	5.12	5.12	5.12	1	EUR	
04/08/2015 00:00	4.61	4.61	4.61	4.61	300	EUR	
05/08/2015 00:00	5	5	5	5	0	EUR	
07/08/2015 00:00	5.5	5.5	5.5	5.5	2	EUR	
11/08/2015 00:00	5.8	5.8	5.8	5.8	0	EUR	
14/08/2015 00:00	5.79	5.79	5.79	5.79	1	EUR	
21/08/2015 00:00	5.79	5.79	5.79	5.79	1	EUR	
27/08/2015 00:00	5.6	5.6	5.6	5.6	300	EUR	
28/08/2015 00:00	5.6	5.6	5.6	5.6	1	EUR	
31/08/2015 00:00	5.6	5.6	5.6	5.6	0	EUR	
04/09/2015 00:00	5.6	5.6	5.6	5.6	1	EUR	
11/09/2015 00:00	5.6	5.6	5.6	5.6	1	EUR	
15/09/2015 00:00	5.6	5.6	5.6	5.6	0	EUR	
18/09/2015 00:00	5.6	5.6	5.6	5.6	1	EUR	
24/09/2015 00:00	5.2	5.2	5.2	5.2	560	EUR	
25/09/2015 00:00	5.2	5.2	5.2	5.2	1	EUR	
29/09/2015 00:00	5	5	5	5	0	EUR	
02/10/2015 00:00	5	5	5	5	1	EUR	
06/10/2015 00:00	5	5	5	5	0	EUR	
08/10/2015 00:00	5.2	5.2	5.2	5.2	300	EUR	
09/10/2015 00:00	5.2	5.2	5.2	5.2	1	EUR	
14/10/2015 00:00	4.8	4.8	4.8	4.8	0	EUR	
16/10/2015 00:00	4.81	4.81	4.81	4.81	1	EUR	
23/10/2015 00:00	5.01	5.01	5.01	5.01	1	EUR	
30/10/2015 00:00	5.01	5.01	5.01	5.01	17	EUR	
03/11/2015 00:00	5.5	5.5	5.5	5.5	0	EUR	
06/11/2015 00:00	5.5	5.5	5.5	5.5	1	EUR	
12/11/2015 00:00	5.78	5.78	5.78	5.78	100	EUR	
13/11/2015 00:00	5.76	5.76	5.76	5.76	1	EUR	
20/11/2015 00:00	5.76	5.76	5.76	5.76	1	EUR	
27/11/2015 00:00	5.76	5.76	5.76	5.76	1	EUR	
30/11/2015 00:00	5.59	5.59	5.59	5.59	320	EUR	
01/12/2015 00:00	5.59	5.59	5.59	5.59	0	EUR	
04/12/2015 00:00	5.5	5.5	5.5	5.5	139	EUR	
11/12/2015 00:00	5.5	5.5	5.5	5.5	1	EUR	
14/12/2015 00:00	5.8	5.8	5.8	5.8	409	EUR	
15/12/2015 00:00	5.41	5.41	5.41	5.41	500	EUR	
16/12/2015 00:00	5.95	5.95	5.95	5.95	850	EUR	
17/12/2015 00:00	5.96	5.96	5.96	5.96	1006	EUR	
18/12/2015 00:00	5.95	5.95	5.95	5.95	350	EUR	
21/12/2015 00:00	6.12	6.12	6.12	6.12	0	EUR	
24/12/2015 00:00	6.12	6.12	6.12	6.12	83	EUR	
31/12/2015 00:00	6.11	6.11	6.11	6.11	1	EUR	
05/01/2016 00:00	5.95	5.95	5.95	5.95	0	EUR	
08/01/2016 00:00	5.95	5.95	5.95	5.95	1	EUR	
12/01/2016 00:00	6.3	6.3	6.3	6.3	0	EUR	
15/01/2016 00:00	5.7	5.7	5.7	5.7	1	EUR	
22/01/2016 00:00	5.81	5.81	5.81	5.81	1	EUR	
27/01/2016 00:00	5.81	5.81	5.81	5.81	0	EUR	
29/01/2016 00:00	5.81	5.81	5.81	5.81	1	EUR	
05/02/2016 00:00	5.81	5.81	5.81	5.81	1	EUR	
12/02/2016 00:00	5.81	5.81	5.81	5.81	1	EUR	
19/02/2016 00:00	5.81	5.81	5.81	5.81	1	EUR	
22/02/2016 00:00	6.1	6.1	6.1	6.1	0	EUR	
26/02/2016 00:00	6.1	6.1	6.1	6.1	1	EUR	
29/02/2016 00:00	6.1	6.1	6.1	6.1	0	EUR	
04/03/2016 00:00	6.1	6.1	6.1	6.1	1	EUR	
07/03/2016 00:00	6.12	6.12	6.12	6.12	0	EUR	
11/03/2016 00:00	6.12	6.12	6.12	6.12	1	EUR	
18/03/2016 00:00	6.12	6.12	6.12	6.12	1	EUR	
24/03/2016 00:00	6.12	6.12	6.12	6.12	1	EUR	
01/04/2016 00:00	6.12	6.12	6.12	6.12	1	EUR	
05/04/2016 00:00	6.3	6.3	6.3	6.3	1	EUR	
06/04/2016 00:00	6.48	6.48	6.48	6.48	0	EUR	
08/04/2016 00:00	6.44	6.44	6.44	6.44	301	EUR	
13/04/2016 00:00	6.44	6.44	6.44	6.44	0	EUR	
15/04/2016 00:00	6.39	6.39	6.39	6.39	1	EUR	
19/04/2016 00:00	6.4	6.4	6.4	6.4	0	EUR	
21/04/2016 00:00	6.4	6.4	6.4	6.4	150	EUR	
22/04/2016 00:00	6.39	6.39	6.39	6.39	1	EUR	
25/04/2016 00:00	6.4	6.4	6.4	6.4	0	EUR	
29/04/2016 00:00	6.48	6.48	6.48	6.48	251	EUR	
04/05/2016 00:00	6.49	6.49	6.49	6.49	0	EUR	
06/05/2016 00:00	6.47	6.47	6.47	6.47	1	EUR	
13/05/2016 00:00	6.46	6.46	6.46	6.46	1	EUR	
20/05/2016 00:00	6.45	6.45	6.45	6.45	1	EUR	
23/05/2016 00:00	6.3	6.3	6.3	6.3	0	EUR	
27/05/2016 00:00	6.28	6.28	6.28	6.28	1	EUR	
01/06/2016 00:00	6.49	6.49	6.49	6.49	200	EUR	
02/06/2016 00:00	6.48	6.48	6.48	6.48	326	EUR	
03/06/2016 00:00	6.48	6.48	6.48	6.48	1	EUR	
10/06/2016 00:00	6.48	6.48	6.48	6.48	1	EUR	
16/06/2016 00:00	6.49	6.49	6.49	6.49	356	EUR	
17/06/2016 00:00	6.49	6.49	6.49	6.49	193	EUR	
21/06/2016 00:00	6.48	6.48	6.48	6.48	0	EUR	
24/06/2016 00:00	6.49	6.49	6.49	6.49	1	EUR	
27/06/2016 00:00	6.48	6.48	6.48	6.48	1110	EUR	
28/06/2016 00:00	6.7	6.7	6.7	6.7	0	EUR	
30/06/2016 00:00	6.69	6.69	6.69	6.69	0	EUR	
08/07/2016 00:00	6.69	6.69	6.69	6.69	1	EUR	
15/07/2016 00:00	6.69	6.69	6.69	6.69	1	EUR	
19/07/2016 00:00	6.35	6.35	6.35	6.35	0	EUR	
22/07/2016 00:00	6.69	6.69	6.69	6.69	1	EUR	
28/07/2016 00:00	6.2	6.2	6.2	6.2	350	EUR	
29/07/2016 00:00	6.21	6.21	6.21	6.21	1	EUR	
03/08/2016 00:00	6.21	6.21	6.21	6.21	0	EUR	
05/08/2016 00:00	6.21	6.21	6.21	6.21	1	EUR	
12/08/2016 00:00	6.69	6.69	6.69	6.69	1	EUR	
16/08/2016 00:00	6.7	6.7	6.7	6.7	0	EUR	
19/08/2016 00:00	6.69	6.69	6.69	6.69	1	EUR	
23/08/2016 00:00	6.89	6.89	6.89	6.89	350	EUR	
24/08/2016 00:00	6.89	6.89	6.89	6.89	100	EUR	
25/08/2016 00:00	6.9	6.9	6.9	6.9	150	EUR	
26/08/2016 00:00	7.19	7.19	7.19	7.19	201	EUR	
29/08/2016 00:00	7.24	7.24	7.24	7.24	300	EUR	
30/08/2016 00:00	7.35	7.35	7.35	7.35	500	EUR	
31/08/2016 00:00	7.46	7.46	7.46	7.46	1701	EUR	
01/09/2016 00:00	7.51	7.51	7.51	7.51	1465	EUR	
02/09/2016 00:00	7.99	7.99	7.99	7.99	885	EUR	
07/09/2016 00:00	8	8	8	8	500	EUR	
08/09/2016 00:00	7.96	7.96	7.96	7.96	450	EUR	
09/09/2016 00:00	8	8	8	8	500	EUR	
16/09/2016 00:00	7.95	7.95	7.95	7.95	61	EUR	
23/09/2016 00:00	7.94	7.94	7.94	7.94	1	EUR	
30/09/2016 00:00	7.5	7.5	7.5	7.5	101	EUR	
06/10/2016 00:00	7.52	7.52	7.52	7.52	1	EUR	
07/10/2016 00:00	7.52	7.52	7.52	7.52	1	EUR	
12/10/2016 00:00	7.5	7.5	7.5	7.5	0	EUR	
14/10/2016 00:00	7.5	7.5	7.5	7.5	1	EUR	
17/10/2016 00:00	7.4	7.4	7.4	7.4	0	EUR	
19/10/2016 00:00	7.93	7.93	7.93	7.93	500	EUR	
20/10/2016 00:00	7.93	7.93	7.93	7.93	500	EUR	
21/10/2016 00:00	7.92	7.92	7.92	7.92	1	EUR	
24/10/2016 00:00	7.93	7.93	7.93	7.93	55	EUR	
25/10/2016 00:00	7.94	7.94	7.94	7.94	0	EUR	
28/10/2016 00:00	7.94	7.94	7.94	7.94	201	EUR	
31/10/2016 00:00	7.93	7.93	7.93	7.93	0	EUR	
03/11/2016 00:00	8	8	8	8	362	EUR	
04/11/2016 00:00	8	8	8	8	251	EUR	
07/11/2016 00:00	8	8	8	8	0	EUR	
09/11/2016 00:00	8	8	8	8	0	EUR	
11/11/2016 00:00	8.01	8.01	8.01	8.01	1	EUR	
18/11/2016 00:00	8.01	8.01	8.01	8.01	1	EUR	
23/11/2016 00:00	7.99	7.99	7.99	7.99	884	EUR	
24/11/2016 00:00	7.66	7.66	7.66	7.66	400	EUR	
25/11/2016 00:00	7.55	7.55	7.55	7.55	361	EUR	
28/11/2016 00:00	7.35	7.35	7.35	7.35	275	EUR	
29/11/2016 00:00	7	7	7	7	300	EUR	
30/11/2016 00:00	7	7	7	7	560	EUR	
01/12/2016 00:00	6.99	6.99	6.99	6.99	800	EUR	
02/12/2016 00:00	6.7	6.7	6.7	6.7	882	EUR	
12/12/2016 00:00	7.42	7.42	7.42	7.42	860	EUR	
13/12/2016 00:00	7.7	7.7	7.7	7.7	364	EUR	
14/12/2016 00:00	8.29	8.29	8.29	8.29	183	EUR	
15/12/2016 00:00	8.31	8.31	8.31	8.31	464	EUR	
16/12/2016 00:00	8.49	8.49	8.49	8.49	496	EUR	
20/12/2016 00:00	8.55	8.55	8.55	8.55	0	EUR	
23/12/2016 00:00	8.6	8.6	8.6	8.6	51	EUR	
27/12/2016 00:00	8.99	8.99	8.99	8.99	0	EUR	
30/12/2016 00:00	8.99	8.99	8.99	8.99	1	EUR	
06/01/2017 00:00	9.09	9.09	9.09	9.09	1201	EUR	
09/01/2017 00:00	9.1	9.1	9.1	9.1	397	EUR	
10/01/2017 00:00	9.26	9.26	9.26	9.26	548	EUR	
11/01/2017 00:00	9.28	9.28	9.28	9.28	1000	EUR	
12/01/2017 00:00	8.77	8.77	8.77	8.77	0	EUR	
19/01/2017 00:00	8.5	8.5	8.5	8.5	300	EUR	
20/01/2017 00:00	8.51	8.51	8.51	8.51	1	EUR	
25/01/2017 00:00	8.5	8.5	8.5	8.5	153	EUR	
26/01/2017 00:00	8.5	8.5	8.5	8.5	277	EUR	
27/01/2017 00:00	8.49	8.49	8.49	8.49	1	EUR	
31/01/2017 00:00	8.49	8.49	8.49	8.49	0	EUR	
03/02/2017 00:00	8.49	8.49	8.49	8.49	1	EUR	
07/02/2017 00:00	8.61	8.61	8.61	8.61	1	EUR	
08/02/2017 00:00	8.6	8.6	8.6	8.6	0	EUR	
10/02/2017 00:00	8.59	8.59	8.59	8.59	1	EUR	
16/02/2017 00:00	8.6	8.6	8.6	8.6	1	EUR	
17/02/2017 00:00	8.59	8.59	8.59	8.59	142	EUR	
24/02/2017 00:00	8.6	8.6	8.6	8.6	116	EUR	
01/03/2017 00:00	7.82	7.82	7.82	7.82	0	EUR	
03/03/2017 00:00	7.83	7.83	7.83	7.83	1	EUR	
07/03/2017 00:00	8.6	8.6	8.6	8.6	0	EUR	
09/03/2017 00:00	8.73	8.73	8.73	8.73	1551	EUR	
10/03/2017 00:00	9	9	9	9	3	EUR	
17/03/2017 00:00	8.99	8.99	8.99	8.99	1	EUR	
24/03/2017 00:00	8.99	8.99	8.99	8.99	1	EUR	
31/03/2017 00:00	8.99	8.99	8.99	8.99	1	EUR	
06/04/2017 00:00	8.5	8.5	8.5	8.5	100	EUR	
07/04/2017 00:00	8.5	8.5	8.5	8.5	1	EUR	
13/04/2017 00:00	9	9	9	9	78	EUR	
18/04/2017 00:00	8.48	8.48	8.48	8.48	0	EUR	
21/04/2017 00:00	8.49	8.49	8.49	8.49	1	EUR	
25/04/2017 00:00	7.83	7.83	7.83	7.83	0	EUR	
28/04/2017 00:00	7.83	7.83	7.83	7.83	1	EUR	
02/05/2017 00:00	8.6	8.6	8.6	8.6	0	EUR	
04/05/2017 00:00	9.01	9.01	9.01	9.01	111	EUR	
05/05/2017 00:00	9.02	9.02	9.02	9.02	1	EUR	
08/05/2017 00:00	9.29	9.29	9.29	9.29	254	EUR	
09/05/2017 00:00	9.31	9.31	9.31	9.31	100	EUR	
10/05/2017 00:00	9.31	9.31	9.31	9.31	53	EUR	
11/05/2017 00:00	9.55	9.55	9.55	9.55	200	EUR	
12/05/2017 00:00	9.55	9.55	9.55	9.55	200	EUR	
16/05/2017 00:00	8.95	8.95	8.95	8.95	60	EUR	
17/05/2017 00:00	8.95	8.95	8.95	8.95	0	EUR	
19/05/2017 00:00	8.96	8.96	8.96	8.96	1	EUR	
26/05/2017 00:00	9.28	9.28	9.28	9.28	2	EUR	
31/05/2017 00:00	9.75	9.75	9.75	9.75	0	EUR	
02/06/2017 00:00	9.73	9.73	9.73	9.73	1	EUR	
05/06/2017 00:00	9.73	9.73	9.73	9.73	0	EUR	
09/06/2017 00:00	9.73	9.73	9.73	9.73	1	EUR	
16/06/2017 00:00	9.73	9.73	9.73	9.73	17	EUR	
21/06/2017 00:00	8.95	8.95	8.95	8.95	0	EUR	
23/06/2017 00:00	9.73	9.73	9.73	9.73	1	EUR	
30/06/2017 00:00	9.73	9.73	9.73	9.73	1	EUR	
07/07/2017 00:00	9.73	9.73	9.73	9.73	1	EUR	
17/07/2017 00:00	9.49	9.49	9.49	9.49	0	EUR	
21/07/2017 00:00	9.21	9.21	9.21	9.21	76	EUR	
24/07/2017 00:00	9.21	9.21	9.21	9.21	0	EUR	
