date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	14.5	14.66	14.305	14.495	17010759	EUR	
19/05/2015 00:00	14.62	14.88	14.565	14.86	18829607	EUR	
20/05/2015 00:00	14.81	15.035	14.77	15	17354741	EUR	
21/05/2015 00:00	14.955	15.03	14.92	14.97	12242237	EUR	
22/05/2015 00:00	14.96	15.05	14.925	15	10420420	EUR	
25/05/2015 00:00	14.96	15.01	14.855	14.98	2936845	EUR	
26/05/2015 00:00	14.87	15	14.75	14.795	14978866	EUR	
27/05/2015 00:00	14.865	15.24	14.815	15.17	21068910	EUR	
28/05/2015 00:00	15.1	15.22	14.975	15.145	13866332	EUR	
29/05/2015 00:00	15.11	15.15	14.865	14.975	25156075	EUR	
01/06/2015 00:00	15.055	15.115	14.805	14.83	17481250	EUR	
02/06/2015 00:00	14.92	15.015	14.73	14.885	20246106	EUR	
03/06/2015 00:00	14.9	15.085	14.77	14.95	17986364	EUR	
04/06/2015 00:00	14.88	15.045	14.675	14.9	17602217	EUR	
05/06/2015 00:00	14.79	14.82	14.49	14.615	18964560	EUR	
08/06/2015 00:00	14.505	14.655	14.385	14.385	14880601	EUR	
09/06/2015 00:00	14.35	14.435	14.115	14.415	18321889	EUR	
10/06/2015 00:00	14.4	14.81	14.26	14.715	19637975	EUR	
11/06/2015 00:00	14.67	14.975	14.635	14.81	16952389	EUR	
12/06/2015 00:00	14.725	14.87	14.45	14.65	15576877	EUR	
15/06/2015 00:00	14.44	14.46	14.185	14.35	17293732	EUR	
16/06/2015 00:00	14.19	14.435	14.06	14.36	21504595	EUR	
17/06/2015 00:00	14.45	14.51	14.23	14.25	16238752	EUR	
18/06/2015 00:00	14.17	14.38	14.005	14.375	20130533	EUR	
19/06/2015 00:00	14.35	14.69	14.33	14.58	22836230	EUR	
22/06/2015 00:00	14.88	15.335	14.85	15.3	29123236	EUR	
23/06/2015 00:00	15.405	15.54	15.31	15.375	18058636	EUR	
24/06/2015 00:00	15.37	15.44	15.14	15.295	17644337	EUR	
25/06/2015 00:00	15.24	15.48	15.15	15.3	22091258	EUR	
26/06/2015 00:00	15.255	15.555	15.145	15.485	16400413	EUR	
29/06/2015 00:00	14.63	14.99	14.5	14.63	33278547	EUR	
30/06/2015 00:00	14.7	15.085	14.53	14.81	31066183	EUR	
01/07/2015 00:00	15.09	15.39	14.925	15.23	27144567	EUR	
02/07/2015 00:00	15.305	15.32	14.915	14.93	15230288	EUR	
03/07/2015 00:00	14.945	15.005	14.73	14.85	14136006	EUR	
06/07/2015 00:00	14.5	14.645	14.265	14.385	21721528	EUR	
07/07/2015 00:00	14.43	14.44	13.895	13.915	24570212	EUR	
08/07/2015 00:00	13.92	14.145	13.805	13.99	21508004	EUR	
09/07/2015 00:00	14.05	14.68	14.02	14.61	18172427	EUR	
10/07/2015 00:00	15.21	15.255	14.965	15.175	24303987	EUR	
13/07/2015 00:00	15.34	15.58	15.25	15.49	22071440	EUR	
14/07/2015 00:00	15.5	15.565	15.37	15.565	14919557	EUR	
15/07/2015 00:00	15.55	15.635	15.515	15.61	15339859	EUR	
16/07/2015 00:00	15.72	15.95	15.7	15.9	20357307	EUR	
17/07/2015 00:00	15.95	15.95	15.77	15.81	14991348	EUR	
20/07/2015 00:00	15.85	16	15.785	15.86	10887564	EUR	
21/07/2015 00:00	15.915	15.94	15.62	15.695	12372098	EUR	
22/07/2015 00:00	15.575	15.81	15.57	15.66	13719628	EUR	
23/07/2015 00:00	15.805	15.82	15.635	15.735	9797478	EUR	
24/07/2015 00:00	15.665	15.77	15.51	15.56	11947800	EUR	
27/07/2015 00:00	15.46	15.5	15.22	15.27	13136004	EUR	
28/07/2015 00:00	15.39	15.595	15.33	15.51	13352754	EUR	
29/07/2015 00:00	15.535	15.61	15.31	15.345	13012259	EUR	
30/07/2015 00:00	15.43	15.49	15.31	15.45	10709451	EUR	
31/07/2015 00:00	15.5	15.525	15.335	15.49	15207981	EUR	
03/08/2015 00:00	15.46	15.785	15.445	15.725	12869470	EUR	
04/08/2015 00:00	15.77	15.77	15.54	15.61	11445681	EUR	
05/08/2015 00:00	15.35	15.45	14.89	15.065	33335676	EUR	
06/08/2015 00:00	15.19	15.19	14.91	15.06	15316538	EUR	
07/08/2015 00:00	14.95	14.95	14.57	14.62	15905604	EUR	
10/08/2015 00:00	14.7	14.87	14.49	14.855	12888088	EUR	
11/08/2015 00:00	14.88	14.915	14.73	14.785	11681630	EUR	
12/08/2015 00:00	14.64	14.64	14.06	14.175	24860088	EUR	
13/08/2015 00:00	14.41	14.47	14.11	14.16	19771554	EUR	
14/08/2015 00:00	14.18	14.34	14.015	14.11	13394576	EUR	
17/08/2015 00:00	14.205	14.27	13.895	14.09	17630282	EUR	
18/08/2015 00:00	14.09	14.625	14.02	14.525	17283412	EUR	
19/08/2015 00:00	14.41	14.54	14.19	14.21	15701255	EUR	
20/08/2015 00:00	14.13	14.215	13.595	13.66	20641768	EUR	
21/08/2015 00:00	13.3	13.73	13.155	13.155	32214776	EUR	
24/08/2015 00:00	12.7	12.85	11.87	12.47	62592954	EUR	
25/08/2015 00:00	12.68	13.485	12.615	13.355	44362338	EUR	
26/08/2015 00:00	13.17	13.44	12.88	13.2	29216129	EUR	
27/08/2015 00:00	13.725	13.82	13.575	13.72	22615320	EUR	
28/08/2015 00:00	13.755	13.76	13.52	13.665	13668957	EUR	
31/08/2015 00:00	13.645	13.67	13.46	13.645	8345361	EUR	
01/09/2015 00:00	13.4	13.47	13.06	13.23	18217842	EUR	
02/09/2015 00:00	13.275	13.445	13.08	13.215	16823719	EUR	
03/09/2015 00:00	13.37	13.73	13.3	13.585	19259107	EUR	
04/09/2015 00:00	13.45	13.475	12.975	13.1	21835235	EUR	
07/09/2015 00:00	13.23	13.35	13.195	13.275	11909487	EUR	
08/09/2015 00:00	13.375	13.66	13.325	13.41	17409826	EUR	
09/09/2015 00:00	13.78	13.865	13.605	13.62	16063661	EUR	
10/09/2015 00:00	13.53	13.64	13.31	13.46	16053296	EUR	
11/09/2015 00:00	13.53	13.535	13.235	13.25	12307054	EUR	
14/09/2015 00:00	13.295	13.4	13.025	13.085	14675969	EUR	
15/09/2015 00:00	13.085	13.405	12.99	13.295	11497764	EUR	
16/09/2015 00:00	13.4	13.475	13.215	13.25	12969987	EUR	
17/09/2015 00:00	13.31	13.37	13.235	13.32	13196985	EUR	
18/09/2015 00:00	13.225	13.235	12.685	12.76	34133888	EUR	
21/09/2015 00:00	12.75	13.09	12.75	12.985	13879248	EUR	
22/09/2015 00:00	13	13.015	12.47	12.58	18727372	EUR	
23/09/2015 00:00	12.505	12.73	12.475	12.53	16954165	EUR	
24/09/2015 00:00	12.585	12.715	12.26	12.38	19086420	EUR	
25/09/2015 00:00	12.605	12.925	12.57	12.865	18941988	EUR	
