date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	26.1	26.225	25.56	25.96	51186	EUR	
19/05/2015 00:00	25.76	26.16	25.76	25.78	67821	EUR	
20/05/2015 00:00	25.4	25.5	25.01	25.405	109764	EUR	
21/05/2015 00:00	25.3	25.84	25.3	25.6	65579	EUR	
22/05/2015 00:00	25.45	25.88	25.45	25.735	51783	EUR	
25/05/2015 00:00	25.56	25.725	25.36	25.595	10707	EUR	
26/05/2015 00:00	25.405	25.795	25.395	25.56	80856	EUR	
27/05/2015 00:00	25.41	25.74	25.36	25.52	39695	EUR	
28/05/2015 00:00	25.5	25.6	24.985	25	43982	EUR	
29/05/2015 00:00	24.985	25.07	24.31	24.355	63230	EUR	
01/06/2015 00:00	24.4	24.5	24.155	24.285	44061	EUR	
02/06/2015 00:00	24.35	24.485	24.085	24.38	33459	EUR	
03/06/2015 00:00	24.3	24.56	24.21	24.505	65518	EUR	
04/06/2015 00:00	24.275	24.35	23.85	23.97	48437	EUR	
05/06/2015 00:00	23.86	23.88	23.61	23.78	27808	EUR	
08/06/2015 00:00	23.61	23.69	23.4	23.435	39282	EUR	
09/06/2015 00:00	23.2	24.46	23.2	24.2	115289	EUR	
10/06/2015 00:00	24.1	25.05	24.1	24.9	112335	EUR	
11/06/2015 00:00	24.9	24.99	24.485	24.825	59355	EUR	
12/06/2015 00:00	24.65	24.825	23.805	24.05	59550	EUR	
15/06/2015 00:00	23.85	23.935	23.29	23.415	54195	EUR	
16/06/2015 00:00	23.4	23.615	22.945	23.565	68620	EUR	
17/06/2015 00:00	23.5	23.73	23.09	23.185	60054	EUR	
18/06/2015 00:00	23.2	23.265	22.79	22.985	84708	EUR	
19/06/2015 00:00	23.155	23.18	22.435	22.435	198844	EUR	
22/06/2015 00:00	22.5	23.415	22.485	23.375	337125	EUR	
23/06/2015 00:00	23.575	24.14	23.55	24.065	72935	EUR	
24/06/2015 00:00	23.97	24.225	23.62	23.78	149515	EUR	
25/06/2015 00:00	23.58	24.13	23.58	24.01	183162	EUR	
26/06/2015 00:00	24	24.145	23.81	24.075	53407	EUR	
29/06/2015 00:00	22.66	23.735	22.075	23.72	109555	EUR	
30/06/2015 00:00	23.52	23.655	23.105	23.185	68002	EUR	
01/07/2015 00:00	22.27	22.87	22.235	22.465	92589	EUR	
02/07/2015 00:00	22.665	22.88	22.52	22.805	68503	EUR	
03/07/2015 00:00	22.75	22.75	22.27	22.54	52131	EUR	
06/07/2015 00:00	22.11	22.725	22.1	22.44	83054	EUR	
07/07/2015 00:00	22.31	22.56	21.29	21.62	77120	EUR	
08/07/2015 00:00	21.725	21.88	21.52	21.69	65013	EUR	
09/07/2015 00:00	21.89	22.43	21.82	22.415	40724	EUR	
