date	ouv	haut	bas	clot	vol	devise	
25/05/2015 00:00	4.79	4.82	4.78	4.79	3291	EUR	
26/05/2015 00:00	4.79	4.98	4.79	4.95	9500	EUR	
27/05/2015 00:00	4.95	5	4.79	4.94	5506	EUR	
28/05/2015 00:00	4.94	4.95	4.89	4.94	2109	EUR	
29/05/2015 00:00	4.94	4.95	4.8	4.94	2122	EUR	
01/06/2015 00:00	4.94	4.94	4.9	4.94	3302	EUR	
02/06/2015 00:00	4.94	4.94	4.78	4.84	10045	EUR	
03/06/2015 00:00	4.85	4.91	4.85	4.9	1216	EUR	
04/06/2015 00:00	4.9	4.9	4.77	4.88	5771	EUR	
05/06/2015 00:00	4.77	4.77	4.77	4.77	2671	EUR	
08/06/2015 00:00	4.88	4.99	4.88	4.94	8133	EUR	
09/06/2015 00:00	4.95	4.98	4.88	4.96	5080	EUR	
10/06/2015 00:00	4.97	5.03	4.9	5	9006	EUR	
11/06/2015 00:00	5	5.25	4.9	5.25	4077	EUR	
12/06/2015 00:00	5.25	5.25	5.11	5.19	941	EUR	
15/06/2015 00:00	5.1	5.15	4.97	5.05	6534	EUR	
16/06/2015 00:00	5.05	5.05	4.78	4.94	3872	EUR	
17/06/2015 00:00	4.94	4.94	4.9	4.9	401	EUR	
18/06/2015 00:00	4.9	4.9	4.65	4.8	3598	EUR	
19/06/2015 00:00	4.8	5.05	4.8	4.87	4386	EUR	
22/06/2015 00:00	4.89	5	4.84	4.84	831	EUR	
23/06/2015 00:00	4.84	4.95	4.8	4.95	1426	EUR	
24/06/2015 00:00	4.95	4.95	4.8	4.95	5451	EUR	
25/06/2015 00:00	4.95	4.95	4.95	4.95	203	EUR	
26/06/2015 00:00	4.95	4.96	4.71	4.88	3571	EUR	
29/06/2015 00:00	4.51	4.68	4.51	4.68	5496	EUR	
30/06/2015 00:00	4.68	4.7	4.62	4.68	666	EUR	
01/07/2015 00:00	4.68	4.8	4.68	4.8	2274	EUR	
02/07/2015 00:00	4.8	4.8	4.8	4.8	301	EUR	
03/07/2015 00:00	4.8	4.8	4.7	4.8	2115	EUR	
06/07/2015 00:00	4.61	4.76	4.61	4.76	2431	EUR	
07/07/2015 00:00	4.76	4.76	4.61	4.68	231	EUR	
08/07/2015 00:00	4.67	4.69	4.65	4.69	461	EUR	
09/07/2015 00:00	4.69	4.69	4.69	4.69	1	EUR	
10/07/2015 00:00	4.69	4.85	4.69	4.85	2321	EUR	
13/07/2015 00:00	4.86	4.92	4.65	4.68	10331	EUR	
14/07/2015 00:00	4.68	4.75	4.68	4.75	498	EUR	
15/07/2015 00:00	4.75	4.8	4.75	4.8	738	EUR	
16/07/2015 00:00	4.76	4.79	4.57	4.79	6614	EUR	
17/07/2015 00:00	4.77	4.78	4.64	4.78	3184	EUR	
20/07/2015 00:00	4.77	4.85	4.76	4.78	4411	EUR	
21/07/2015 00:00	4.8	4.89	4.65	4.78	4273	EUR	
22/07/2015 00:00	4.78	4.89	4.75	4.77	3341	EUR	
23/07/2015 00:00	4.77	5.25	4.77	5.2	28617	EUR	
24/07/2015 00:00	5.32	5.8	5.18	5.7	24539	EUR	
27/07/2015 00:00	5.85	7.05	5.85	6.04	94783	EUR	
28/07/2015 00:00	6.1	6.38	5.76	5.8	24148	EUR	
29/07/2015 00:00	6	6.18	5.31	5.68	25119	EUR	
30/07/2015 00:00	5.68	6.65	5.55	6.57	59579	EUR	
31/07/2015 00:00	6.59	7.47	6.4	7.28	118497	EUR	
03/08/2015 00:00	6.99	7.57	6.57	6.88	36598	EUR	
04/08/2015 00:00	6.87	6.87	6.25	6.26	18583	EUR	
05/08/2015 00:00	6.2	6.28	6	6.25	14448	EUR	
06/08/2015 00:00	6.24	6.42	6.11	6.42	8643	EUR	
07/08/2015 00:00	6.42	6.44	6.25	6.43	1907	EUR	
10/08/2015 00:00	6.3	6.39	6.2	6.32	2852	EUR	
11/08/2015 00:00	6.23	6.43	6.23	6.3	2849	EUR	
12/08/2015 00:00	6.37	6.4	6.15	6.15	3598	EUR	
13/08/2015 00:00	6.25	6.45	6.16	6.21	5812	EUR	
14/08/2015 00:00	6.26	6.49	6.26	6.3	3304	EUR	
17/08/2015 00:00	6.3	6.5	6.3	6.3	5732	EUR	
18/08/2015 00:00	6.4	7.21	6.4	7	32086	EUR	
19/08/2015 00:00	7.22	7.3	6.6	6.75	19121	EUR	
20/08/2015 00:00	6.65	6.8	6.65	6.72	3350	EUR	
21/08/2015 00:00	6.72	6.72	6.4	6.5	6510	EUR	
24/08/2015 00:00	6.37	6.37	5.67	5.94	20710	EUR	
25/08/2015 00:00	5.85	6.77	5.85	6.51	7123	EUR	
26/08/2015 00:00	6.51	6.6	6.42	6.51	4304	EUR	
27/08/2015 00:00	6.69	6.96	6.62	6.96	8309	EUR	
28/08/2015 00:00	7	7.1	6.55	6.85	4749	EUR	
31/08/2015 00:00	6.85	6.91	6.8	6.81	4815	EUR	
01/09/2015 00:00	6.12	6.3	5.96	6.07	12052	EUR	
02/09/2015 00:00	6.07	6.28	5.9	6.07	7102	EUR	
03/09/2015 00:00	6.11	6.25	6.06	6.25	1390	EUR	
04/09/2015 00:00	6.25	6.25	6.11	6.11	2661	EUR	
07/09/2015 00:00	6.12	6.28	5.95	5.96	3203	EUR	
08/09/2015 00:00	6	6.1	5.41	5.7	19916	EUR	
09/09/2015 00:00	5.8	5.8	5.45	5.6	5667	EUR	
10/09/2015 00:00	5.6	5.6	5.55	5.6	1834	EUR	
11/09/2015 00:00	5.61	5.65	5.5	5.55	4291	EUR	
14/09/2015 00:00	5.55	5.61	5.55	5.57	1280	EUR	
15/09/2015 00:00	5.55	5.57	5.55	5.56	1169	EUR	
16/09/2015 00:00	5.56	5.6	5.56	5.6	4566	EUR	
17/09/2015 00:00	5.65	5.78	5.6	5.78	1941	EUR	
18/09/2015 00:00	5.78	5.78	5.65	5.75	596	EUR	
21/09/2015 00:00	5.75	5.75	5.7	5.71	1921	EUR	
22/09/2015 00:00	5.71	5.79	5.58	5.6	5086	EUR	
23/09/2015 00:00	5.55	5.59	5.55	5.55	1263	EUR	
24/09/2015 00:00	5.55	5.56	5.45	5.45	2804	EUR	
25/09/2015 00:00	5.45	5.6	5.4	5.59	7185	EUR	
28/09/2015 00:00	5.59	5.59	5.32	5.5	4776	EUR	
29/09/2015 00:00	5.49	5.55	5.32	5.49	4594	EUR	
30/09/2015 00:00	5.49	5.5	5.32	5.43	717	EUR	
01/10/2015 00:00	5.43	5.46	5.38	5.39	465	EUR	
02/10/2015 00:00	5.39	5.39	5.17	5.34	6054	EUR	
05/10/2015 00:00	5.4	5.5	5.35	5.5	776	EUR	
06/10/2015 00:00	5.5	5.78	5.5	5.78	1976	EUR	
07/10/2015 00:00	5.78	5.78	5.53	5.69	2565	EUR	
08/10/2015 00:00	5.69	5.69	5.52	5.69	212	EUR	
09/10/2015 00:00	5.69	5.75	5.64	5.66	3079	EUR	
12/10/2015 00:00	5.72	6	5.72	6	7236	EUR	
13/10/2015 00:00	6.05	6.1	6.02	6.1	3061	EUR	
14/10/2015 00:00	6.12	6.19	6.06	6.1	4290	EUR	
15/10/2015 00:00	6.1	6.14	6.06	6.12	1904	EUR	
16/10/2015 00:00	6.12	6.14	6.08	6.12	464	EUR	
19/10/2015 00:00	6.24	6.34	6.2	6.22	3780	EUR	
20/10/2015 00:00	6.22	6.29	5.9	6.14	4542	EUR	
21/10/2015 00:00	6.14	6.14	5.96	6.12	408	EUR	
22/10/2015 00:00	6.12	6.17	6.01	6.15	4021	EUR	
23/10/2015 00:00	6.13	6.19	6.06	6.1	3324	EUR	
26/10/2015 00:00	6.24	6.43	6.16	6.36	8462	EUR	
27/10/2015 00:00	6.36	6.61	6.36	6.37	4399	EUR	
28/10/2015 00:00	6.4	6.8	6.4	6.6	3465	EUR	
29/10/2015 00:00	6.66	6.95	6.66	6.7	6718	EUR	
30/10/2015 00:00	6.95	6.95	6.75	6.9	2999	EUR	
02/11/2015 00:00	6.97	6.97	6.9	6.91	5635	EUR	
03/11/2015 00:00	6.92	6.98	6.81	6.81	4189	EUR	
04/11/2015 00:00	6.81	6.92	6.8	6.81	1051	EUR	
05/11/2015 00:00	6.82	6.82	6.7	6.78	3711	EUR	
06/11/2015 00:00	6.8	6.8	6.7	6.71	3428	EUR	
09/11/2015 00:00	6.63	6.71	6.55	6.62	2189	EUR	
10/11/2015 00:00	6.61	6.63	6.61	6.63	632	EUR	
11/11/2015 00:00	6.65	6.88	6.65	6.75	2468	EUR	
12/11/2015 00:00	6.85	6.9	6.76	6.83	1823	EUR	
13/11/2015 00:00	6.92	6.99	6.85	6.99	10928	EUR	
16/11/2015 00:00	6.9	6.95	6.85	6.9	5193	EUR	
17/11/2015 00:00	6.9	6.94	6.73	6.88	3729	EUR	
18/11/2015 00:00	6.89	6.89	6.75	6.76	2266	EUR	
19/11/2015 00:00	6.76	6.79	6.65	6.65	2664	EUR	
20/11/2015 00:00	6.61	6.69	6.61	6.69	691	EUR	
23/11/2015 00:00	6.7	6.7	6.68	6.7	439	EUR	
