date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	24.35	24.51	24.35	24.5	392	EUR	
19/05/2015 00:00	24.5	24.5	24.5	24.5	2050	EUR	
20/05/2015 00:00	24.5	24.65	24.5	24.65	172	EUR	
21/05/2015 00:00	24.65	24.65	24.5	24.5	140	EUR	
22/05/2015 00:00	24.5	24.65	24.5	24.65	693	EUR	
25/05/2015 00:00	24.5	24.55	24.5	24.55	178	EUR	
26/05/2015 00:00	24.55	24.55	24.5	24.5	187	EUR	
27/05/2015 00:00	24.5	24.5	24.5	24.5	105	EUR	
28/05/2015 00:00	24.54	24.54	24.54	24.54	100	EUR	
29/05/2015 00:00	24.55	24.55	24.2	24.54	310	EUR	
01/06/2015 00:00	24.54	24.54	24.5	24.5	235	EUR	
02/06/2015 00:00	24.5	24.5	24.34	24.35	447	EUR	
03/06/2015 00:00	24.35	24.35	24	24	76	EUR	
04/06/2015 00:00	24	24.15	23.92	24	620	EUR	
05/06/2015 00:00	24	24.15	24	24.15	3	EUR	
08/06/2015 00:00	24.14	24.14	23.85	23.85	73	EUR	
09/06/2015 00:00	23.85	24	23.85	24	101	EUR	
10/06/2015 00:00	23.85	23.95	23.75	23.95	228	EUR	
11/06/2015 00:00	23.95	23.95	23.95	23.95	136	EUR	
12/06/2015 00:00	23.95	23.95	23.83	23.95	435	EUR	
15/06/2015 00:00	24.1	24.1	23.49	23.49	245	EUR	
16/06/2015 00:00	23.49	23.55	23.49	23.55	200	EUR	
17/06/2015 00:00	23.55	23.55	23.55	23.55	79	EUR	
18/06/2015 00:00	23.55	23.6	23.55	23.6	338	EUR	
19/06/2015 00:00	23.6	23.65	23.6	23.6	182	EUR	
22/06/2015 00:00	23.75	23.75	23.75	23.75	12	EUR	
23/06/2015 00:00	23.75	23.75	23.75	23.75	1	EUR	
24/06/2015 00:00	23.3	23.99	22.06	22.99	3342	EUR	
25/06/2015 00:00	22.9	23.01	22.9	23	2580	EUR	
26/06/2015 00:00	23	23	22.98	22.98	83	EUR	
29/06/2015 00:00	22.5	22.5	22.5	22.5	166	EUR	
30/06/2015 00:00	22.5	23.1	22.5	23.1	258	EUR	
01/07/2015 00:00	23.1	23.25	23.1	23.25	26	EUR	
02/07/2015 00:00	23.25	23.25	23.25	23.25	1	EUR	
03/07/2015 00:00	23.25	23.25	23.05	23.05	71	EUR	
06/07/2015 00:00	23.05	23.2	23	23.2	636	EUR	
07/07/2015 00:00	23.2	23.2	23.11	23.11	151	EUR	
08/07/2015 00:00	23.05	23.05	23	23	425	EUR	
09/07/2015 00:00	23	23.15	23	23.15	107	EUR	
10/07/2015 00:00	23.15	23.15	23.15	23.15	327	EUR	
13/07/2015 00:00	23.15	23.3	23.15	23.3	482	EUR	
14/07/2015 00:00	23.3	23.84	23.3	23.84	121	EUR	
15/07/2015 00:00	23.84	24	23.76	24	416	EUR	
16/07/2015 00:00	24	24	24	24	1	EUR	
17/07/2015 00:00	24	24	23.75	24	117	EUR	
20/07/2015 00:00	24	24	23.25	23.25	566	EUR	
21/07/2015 00:00	23.25	23.25	23.25	23.25	1	EUR	
22/07/2015 00:00	23.1	23.1	23	23	31	EUR	
23/07/2015 00:00	23.1	23.1	23.09	23.1	241	EUR	
24/07/2015 00:00	23.2	23.25	23.2	23.25	202	EUR	
27/07/2015 00:00	23.25	23.41	23.25	23.39	533	EUR	
28/07/2015 00:00	23.39	23.5	23.11	23.11	232	EUR	
29/07/2015 00:00	23.11	23.11	22.98	22.98	384	EUR	
30/07/2015 00:00	22.98	22.98	22.4	22.5	1280	EUR	
31/07/2015 00:00	22.56	22.95	22.56	22.95	151	EUR	
03/08/2015 00:00	22.95	23	22.95	23	46	EUR	
04/08/2015 00:00	23	23	23	23	15	EUR	
05/08/2015 00:00	23	23.15	23	23.15	51	EUR	
06/08/2015 00:00	23.15	23.3	23.15	23.29	66	EUR	
07/08/2015 00:00	23.29	23.4	23.29	23.4	51	EUR	
10/08/2015 00:00	23.4	24	23.4	23.95	192	EUR	
11/08/2015 00:00	24	24.25	24	24.1	334	EUR	
12/08/2015 00:00	24.1	24.19	23.7	24.1	446	EUR	
13/08/2015 00:00	24.1	24.1	23.65	23.8	209	EUR	
14/08/2015 00:00	23.8	24.1	23.8	24.1	139	EUR	
17/08/2015 00:00	24.26	24.26	23.65	23.65	398	EUR	
18/08/2015 00:00	23.65	23.65	21.3	22.8	1371	EUR	
19/08/2015 00:00	23.34	23.34	23.34	23.34	250	EUR	
20/08/2015 00:00	23.34	23.65	23.2	23.2	547	EUR	
21/08/2015 00:00	23.2	23.35	23.2	23.35	38	EUR	
24/08/2015 00:00	23.35	23.49	22.4	22.4	553	EUR	
25/08/2015 00:00	22.4	22.4	22.05	22.2	236	EUR	
26/08/2015 00:00	22.2	22.34	22.2	22.34	57	EUR	
27/08/2015 00:00	22.35	22.87	22.15	22.45	788	EUR	
28/08/2015 00:00	22.6	23.19	22.6	23.19	256	EUR	
31/08/2015 00:00	23.3	23.3	23.3	23.3	6	EUR	
01/09/2015 00:00	23.5	23.57	23.5	23.57	273	EUR	
02/09/2015 00:00	23.57	23.7	23.4	23.7	525	EUR	
03/09/2015 00:00	23.7	23.78	23.7	23.75	128	EUR	
04/09/2015 00:00	23.75	23.75	23.75	23.75	21	EUR	
07/09/2015 00:00	23.75	23.75	23.6	23.75	37	EUR	
08/09/2015 00:00	23.75	23.75	23.75	23.75	73	EUR	
09/09/2015 00:00	23.75	23.75	23.5	23.5	226	EUR	
10/09/2015 00:00	23.5	23.75	23	23.74	327	EUR	
11/09/2015 00:00	23.74	23.74	23.14	23.65	77	EUR	
14/09/2015 00:00	23.65	23.65	23.65	23.65	66	EUR	
15/09/2015 00:00	23.65	23.8	23.5	23.8	52	EUR	
16/09/2015 00:00	23.9	23.9	23.65	23.65	313	EUR	
17/09/2015 00:00	23.65	23.65	23.65	23.65	1	EUR	
18/09/2015 00:00	23.65	23.75	23.65	23.75	34	EUR	
21/09/2015 00:00	23.4	23.79	23.25	23.79	463	EUR	
22/09/2015 00:00	23.79	23.9	23.79	23.9	7	EUR	
23/09/2015 00:00	23.9	23.9	23.75	23.86	328	EUR	
24/09/2015 00:00	23.86	23.9	22.9	23	1996	EUR	
25/09/2015 00:00	23	23	23	23	1	EUR	
28/09/2015 00:00	23	23	22.95	22.95	59	EUR	
29/09/2015 00:00	22.95	22.95	22.8	22.8	41	EUR	
30/09/2015 00:00	22.8	22.8	22.8	22.8	1	EUR	
01/10/2015 00:00	22.8	22.8	22.8	22.8	1	EUR	
02/10/2015 00:00	22.8	22.8	22.8	22.8	1	EUR	
