date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	78	78	78	78	292	EUR	
19/05/2015 00:00	78	78	77.995	77.995	794	EUR	
20/05/2015 00:00	77.89	78	77.89	78	142	EUR	
21/05/2015 00:00	78	78.005	78	78.005	76	EUR	
22/05/2015 00:00	78.005	78.005	78	78	42	EUR	
25/05/2015 00:00	78	78	78	78	2	EUR	
26/05/2015 00:00	78	78.005	78	78.005	40	EUR	
27/05/2015 00:00	78.005	78.01	77.98	77.98	390	EUR	
28/05/2015 00:00	78.01	78.01	77.98	77.98	18	EUR	
29/05/2015 00:00	77.98	78.01	77.98	78.01	202	EUR	
01/06/2015 00:00	78.01	78.01	78.005	78.005	32	EUR	
02/06/2015 00:00	78.005	78.005	78.005	78.005	80	EUR	
03/06/2015 00:00	78.005	78.05	77.99	78	1364	EUR	
04/06/2015 00:00	78	78	77.98	77.99	964	EUR	
05/06/2015 00:00	78	78	77.69	77.99	1976	EUR	
08/06/2015 00:00	77.99	78	77.9	77.99	7490	EUR	
09/06/2015 00:00	77.99	78	76	77.5	1726	EUR	
10/06/2015 00:00	77.5	77.5	75.755	77	776	EUR	
11/06/2015 00:00	77.25	77.25	76.75	77.125	1158	EUR	
12/06/2015 00:00	77.25	77.25	76.42	76.75	2358	EUR	
15/06/2015 00:00	76.75	76.75	75.75	75.75	776	EUR	
16/06/2015 00:00	76.25	76.25	75.5	75.5	136	EUR	
17/06/2015 00:00	76.25	76.375	76	76.375	450	EUR	
18/06/2015 00:00	76.37	76.375	76.35	76.35	72	EUR	
19/06/2015 00:00	76.35	76.375	76	76	292	EUR	
22/06/2015 00:00	76	76.005	75.15	75.92	888	EUR	
23/06/2015 00:00	75.92	76.45	75.92	76.45	1070	EUR	
24/06/2015 00:00	76.45	76.5	76.45	76.5	490	EUR	
25/06/2015 00:00	76.505	76.75	76.505	76.695	512	EUR	
26/06/2015 00:00	76.695	77	76.5	77	3110	EUR	
29/06/2015 00:00	76.695	77.75	76.695	77.5	926	EUR	
30/06/2015 00:00	77.5	78.05	77.5	78.05	888	EUR	
01/07/2015 00:00	78.05	78.235	78.05	78.235	412	EUR	
02/07/2015 00:00	78.235	78.25	78.235	78.25	166	EUR	
03/07/2015 00:00	78.25	78.275	78.25	78.25	162	EUR	
06/07/2015 00:00	78.25	78.325	78.235	78.235	1068	EUR	
07/07/2015 00:00	78.235	78.24	77.9	77.9	1094	EUR	
08/07/2015 00:00	78.24	79.9	77.7	78.025	4338	EUR	
09/07/2015 00:00	78.025	78.125	78.025	78.05	252	EUR	
10/07/2015 00:00	78.055	78.175	78.025	78.175	794	EUR	
13/07/2015 00:00	78.175	78.45	78.05	78.3	720	EUR	
14/07/2015 00:00	78.3	78.4	78.295	78.4	148	EUR	
15/07/2015 00:00	78.4	78.5	78.4	78.45	162	EUR	
16/07/2015 00:00	78.5	79.9	78.5	79.9	1736	EUR	
17/07/2015 00:00	79.9	79.94	79.5	79.9	3016	EUR	
20/07/2015 00:00	79.85	79.9	79.625	79.625	290	EUR	
21/07/2015 00:00	79.8	79.8	79.625	79.63	406	EUR	
22/07/2015 00:00	79.725	79.725	79.5	79.5	1088	EUR	
23/07/2015 00:00	79.5	79.63	79.5	79.63	316	EUR	
24/07/2015 00:00	79.63	79.65	79.575	79.65	884	EUR	
27/07/2015 00:00	79.45	79.65	79.45	79.65	138	EUR	
28/07/2015 00:00	79.65	80.025	79.65	80.025	962	EUR	
29/07/2015 00:00	80.025	80.125	80.025	80.025	72	EUR	
30/07/2015 00:00	80.03	80.375	80.03	80.25	154	EUR	
31/07/2015 00:00	80.25	80.3	79.625	80.1	758	EUR	
03/08/2015 00:00	80.095	80.25	79.75	79.975	588	EUR	
04/08/2015 00:00	79.975	80.05	79.875	79.95	276	EUR	
05/08/2015 00:00	80	80	79.8	79.9	412	EUR	
06/08/2015 00:00	79.95	80	79.75	79.9	266	EUR	
07/08/2015 00:00	79.745	80.05	79.58	80.05	386	EUR	
10/08/2015 00:00	80.05	82	80.05	82	1138	EUR	
11/08/2015 00:00	82.25	82.375	82	82.375	456	EUR	
12/08/2015 00:00	82.375	82.5	81.75	82.5	906	EUR	
13/08/2015 00:00	82.5	85.495	82.5	84	638	EUR	
14/08/2015 00:00	84	85.55	84	85.525	830	EUR	
17/08/2015 00:00	85.525	86.495	85.525	86.35	692	EUR	
18/08/2015 00:00	86.355	86.355	86.355	86.355	40	EUR	
19/08/2015 00:00	86.355	86.5	86.35	86.5	1522	EUR	
20/08/2015 00:00	86.5	86.5	86.355	86.5	172	EUR	
21/08/2015 00:00	86	86.49	85.75	85.875	652	EUR	
24/08/2015 00:00	85.875	85.875	83.775	83.84	1432	EUR	
25/08/2015 00:00	82.69	84.965	82.605	84.965	366	EUR	
26/08/2015 00:00	84.965	84.965	82.81	83.25	1140	EUR	
27/08/2015 00:00	83.25	83.5	83	83.005	2596	EUR	
28/08/2015 00:00	83.01	83.45	83.005	83.45	804	EUR	
31/08/2015 00:00	83.5	84.97	83.5	84.97	790	EUR	
01/09/2015 00:00	84.975	84.975	84.45	84.875	852	EUR	
02/09/2015 00:00	84.88	84.88	84.455	84.5	1044	EUR	
03/09/2015 00:00	84.5	84.675	84.495	84.675	632	EUR	
04/09/2015 00:00	84.75	85.25	84.75	84.95	1150	EUR	
07/09/2015 00:00	85	85.875	85	85.25	174	EUR	
08/09/2015 00:00	85.25	85.625	85.25	85.625	330	EUR	
09/09/2015 00:00	85.625	87.5	85.245	87.27	1450	EUR	
10/09/2015 00:00	87.27	87.5	87.265	87.5	442	EUR	
11/09/2015 00:00	87.5	87.5	84.95	87.5	672	EUR	
14/09/2015 00:00	87.5	87.6	87.495	87.5	364	EUR	
15/09/2015 00:00	87.495	87.6	87.495	87.5	280	EUR	
16/09/2015 00:00	87.51	87.51	87.5	87.5	264	EUR	
17/09/2015 00:00	87.5	87.525	87.5	87.525	304	EUR	
18/09/2015 00:00	87.525	87.525	87.425	87.5	408	EUR	
21/09/2015 00:00	87.5	87.5	87.495	87.5	116	EUR	
22/09/2015 00:00	87.495	87.495	87.25	87.25	318	EUR	
23/09/2015 00:00	87.25	87.4	85	85.495	1032	EUR	
24/09/2015 00:00	85.495	85.5	85.28	85.28	404	EUR	
25/09/2015 00:00	85.5	85.5	84.96	85	402	EUR	
28/09/2015 00:00	85.005	85.005	84.995	84.995	468	EUR	
29/09/2015 00:00	85	85	84.725	84.77	672	EUR	
30/09/2015 00:00	84.77	84.775	84.72	84.72	396	EUR	
01/10/2015 00:00	84.72	84.725	84.72	84.72	5024	EUR	
02/10/2015 00:00	84.725	84.725	84.72	84.725	374	EUR	
05/10/2015 00:00	84.725	84.735	84.725	84.735	456	EUR	
06/10/2015 00:00	84.735	85.275	84.735	85.275	1060	EUR	
07/10/2015 00:00	85.4	86.5	85.4	85.71	4606	EUR	
08/10/2015 00:00	85.715	85.715	85.45	85.45	666	EUR	
09/10/2015 00:00	85.45	85.75	85.45	85.75	1484	EUR	
12/10/2015 00:00	85.75	85.845	85.5	85.8	428	EUR	
