date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	13.55	13.6	13.45	13.45	5224	EUR	
19/05/2015 00:00	13.47	13.49	13.34	13.4	37002	EUR	
20/05/2015 00:00	13.4	13.4	13.25	13.35	4687	EUR	
21/05/2015 00:00	13.31	13.32	12.8	13.02	24825	EUR	
22/05/2015 00:00	12.95	13.3	12.95	13.15	35635	EUR	
25/05/2015 00:00	13.14	13.14	13.01	13.04	1998	EUR	
26/05/2015 00:00	13.05	13.06	12.77	12.78	26059	EUR	
27/05/2015 00:00	13.02	13.15	13	13.1	16646	EUR	
28/05/2015 00:00	13.15	13.25	13.1	13.19	13383	EUR	
29/05/2015 00:00	13.15	13.72	13.15	13.6	59531	EUR	
01/06/2015 00:00	13.62	13.95	13.5	13.62	27436	EUR	
02/06/2015 00:00	13.35	13.77	13.35	13.77	20152	EUR	
03/06/2015 00:00	13.67	13.83	13.6	13.68	17635	EUR	
04/06/2015 00:00	13.83	14.1	13.3	13.36	71063	EUR	
05/06/2015 00:00	13.25	13.45	13.2	13.29	18736	EUR	
08/06/2015 00:00	13.44	13.44	12.85	12.85	8326	EUR	
09/06/2015 00:00	13	13	12.65	12.7	8831	EUR	
10/06/2015 00:00	12.7	12.7	11.95	12.5	66823	EUR	
11/06/2015 00:00	12.22	12.6	12.22	12.42	45087	EUR	
12/06/2015 00:00	12.4	12.5	12.2	12.31	13384	EUR	
15/06/2015 00:00	12.3	12.3	11.69	11.94	59986	EUR	
16/06/2015 00:00	11.8	12.13	11.8	12.03	27435	EUR	
17/06/2015 00:00	12.2	12.5	12.08	12.46	21152	EUR	
18/06/2015 00:00	12.3	12.31	11.91	12	71493	EUR	
19/06/2015 00:00	12	12.1	11.83	12	90813	EUR	
22/06/2015 00:00	12.2	12.2	12.01	12.14	58964	EUR	
23/06/2015 00:00	12.15	12.3	12.02	12.1	19109	EUR	
24/06/2015 00:00	12.2	12.55	12.1	12.55	37766	EUR	
25/06/2015 00:00	12.3	12.69	12.3	12.55	17670	EUR	
26/06/2015 00:00	12.5	12.72	12.39	12.72	12032	EUR	
29/06/2015 00:00	12.12	12.72	12.05	12.72	30562	EUR	
30/06/2015 00:00	12.5	12.8	12.5	12.8	52571	EUR	
01/07/2015 00:00	12.9	13.25	12.8	13.25	20505	EUR	
02/07/2015 00:00	13.15	13.17	12.93	13	12090	EUR	
03/07/2015 00:00	12.7	13	12.61	12.65	11460	EUR	
06/07/2015 00:00	12.55	12.67	12.41	12.55	10068	EUR	
07/07/2015 00:00	12.45	12.55	12.35	12.5	7511	EUR	
08/07/2015 00:00	12.53	12.73	12.31	12.68	14804	EUR	
09/07/2015 00:00	12.7	12.96	12.7	12.9	21275	EUR	
10/07/2015 00:00	12.9	13.07	12.87	12.91	16479	EUR	
13/07/2015 00:00	12.83	13.15	12.83	13.1	20585	EUR	
14/07/2015 00:00	13.11	13.15	13.03	13.03	3455	EUR	
15/07/2015 00:00	13.03	13.65	13.03	13.64	42139	EUR	
16/07/2015 00:00	13.64	13.89	13.63	13.77	16494	EUR	
17/07/2015 00:00	13.87	13.87	13.51	13.52	11629	EUR	
20/07/2015 00:00	13.52	13.65	13.52	13.63	13441	EUR	
21/07/2015 00:00	13.62	14	13.61	13.93	21070	EUR	
22/07/2015 00:00	13.93	14	13.84	13.96	13948	EUR	
23/07/2015 00:00	14	14.18	13.83	13.85	15439	EUR	
24/07/2015 00:00	13.84	13.9	13.84	13.87	8032	EUR	
27/07/2015 00:00	13.9	14.09	13.83	14.08	17085	EUR	
28/07/2015 00:00	14.02	14.04	13.9	14	4517	EUR	
29/07/2015 00:00	14	14.08	13.9	13.91	9957	EUR	
30/07/2015 00:00	13.92	14.65	13.85	14.3	17325	EUR	
31/07/2015 00:00	13.46	13.5	12.44	13.19	84374	EUR	
03/08/2015 00:00	12.95	12.96	12.2	12.31	48956	EUR	
04/08/2015 00:00	12.31	12.31	11.6	11.9	97669	EUR	
05/08/2015 00:00	11.87	12.3	11.87	12.2	38633	EUR	
06/08/2015 00:00	12.18	12.27	11.93	11.93	14241	EUR	
07/08/2015 00:00	12	12	11.75	11.8	14441	EUR	
10/08/2015 00:00	11.83	11.83	11.26	11.35	61065	EUR	
11/08/2015 00:00	11.3	11.31	10.98	11.03	36649	EUR	
12/08/2015 00:00	11.02	11.05	10.58	10.6	47228	EUR	
13/08/2015 00:00	10.74	11.18	10.72	11.08	27613	EUR	
14/08/2015 00:00	11.07	11.18	11.01	11.15	10404	EUR	
17/08/2015 00:00	11.18	11.18	10.9	10.9	11779	EUR	
