date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	50.32	50.78	49.84	50.57	556499	EUR	
19/05/2015 00:00	50.79	52.18	50.79	51.96	971520	EUR	
20/05/2015 00:00	51.9	52.04	51.72	51.88	514568	EUR	
21/05/2015 00:00	51.88	52.26	51.76	52.03	456562	EUR	
22/05/2015 00:00	52.2	52.26	51.65	51.68	481499	EUR	
25/05/2015 00:00	51.95	51.95	51.49	51.81	49629	EUR	
26/05/2015 00:00	51.98	52.17	51.09	51.38	469513	EUR	
27/05/2015 00:00	51.71	53.02	51.62	52.93	660023	EUR	
28/05/2015 00:00	52.67	52.9	52.18	52.38	445736	EUR	
29/05/2015 00:00	52.35	52.38	51.2	51.24	650539	EUR	
01/06/2015 00:00	51.45	51.84	51.1	51.61	779833	EUR	
02/06/2015 00:00	51.23	51.26	50.55	50.86	1067568	EUR	
03/06/2015 00:00	50.99	51.71	50.62	51.49	907188	EUR	
04/06/2015 00:00	51.16	51.5	50.13	51.04	945686	EUR	
05/06/2015 00:00	51.2	51.98	50.64	50.95	1113810	EUR	
08/06/2015 00:00	50.9	51	50.46	50.61	645215	EUR	
09/06/2015 00:00	50.62	50.75	49.98	50.6	712865	EUR	
10/06/2015 00:00	50.46	51.67	50.1	51.48	658485	EUR	
11/06/2015 00:00	51.25	52.27	51.23	52.02	835499	EUR	
12/06/2015 00:00	51.77	52.05	51.08	51.88	1502365	EUR	
15/06/2015 00:00	51.37	51.78	50.87	51.03	665240	EUR	
16/06/2015 00:00	50.8	51.18	50.21	51.06	827746	EUR	
17/06/2015 00:00	51	51.25	49.96	50.07	886630	EUR	
18/06/2015 00:00	49.89	50.45	49.325	50.42	818625	EUR	
19/06/2015 00:00	50.48	50.96	50.38	50.75	897173	EUR	
22/06/2015 00:00	51.7	52.31	51.5	52.2	672146	EUR	
23/06/2015 00:00	52.41	53.14	52.4	52.69	637217	EUR	
24/06/2015 00:00	52.84	53.02	52.41	52.52	816626	EUR	
25/06/2015 00:00	52.29	53.02	52.12	52.93	911647	EUR	
