date	ouv	haut	bas	clot	vol	devise	
19/05/2015 00:00	0.03	0.03	0.03	0.03	0	EUR	
21/05/2015 00:00	0.04	0.04	0.04	0.04	1000	EUR	
22/05/2015 00:00	0.05	0.05	0.05	0.05	1157	EUR	
28/05/2015 00:00	0.04	0.04	0.04	0.04	0	EUR	
23/06/2015 00:00	0.04	0.04	0.04	0.04	0	EUR	
26/06/2015 00:00	0.03	0.03	0.03	0.03	500	EUR	
07/07/2015 00:00	0.03	0.03	0.03	0.03	0	EUR	
09/07/2015 00:00	0.03	0.03	0.03	0.03	0	EUR	
15/07/2015 00:00	0.03	0.03	0.03	0.03	1919	EUR	
16/07/2015 00:00	0.03	0.03	0.03	0.03	0	EUR	
20/07/2015 00:00	0.03	0.03	0.03	0.03	0	EUR	
22/07/2015 00:00	0.03	0.03	0.03	0.03	0	EUR	
24/07/2015 00:00	0.05	0.05	0.05	0.05	3894	EUR	
28/07/2015 00:00	0.03	0.03	0.03	0.03	0	EUR	
31/07/2015 00:00	0.06	0.06	0.06	0.06	2000	EUR	
03/08/2015 00:00	0.06	0.06	0.06	0.06	0	EUR	
14/08/2015 00:00	0.04	0.04	0.04	0.04	12500	EUR	
17/08/2015 00:00	0.05	0.05	0.05	0.05	1000	EUR	
18/08/2015 00:00	0.06	0.06	0.06	0.06	0	EUR	
27/08/2015 00:00	0.05	0.05	0.05	0.05	0	EUR	
03/09/2015 00:00	0.04	0.04	0.04	0.04	0	EUR	
09/09/2015 00:00	0.05	0.05	0.05	0.05	0	EUR	
14/09/2015 00:00	0.05	0.05	0.05	0.05	3000	EUR	
15/09/2015 00:00	0.05	0.05	0.05	0.05	0	EUR	
17/09/2015 00:00	0.04	0.04	0.04	0.04	0	EUR	
22/09/2015 00:00	0.04	0.04	0.04	0.04	0	EUR	
01/10/2015 00:00	0.04	0.04	0.04	0.04	1500	EUR	
02/10/2015 00:00	0.03	0.03	0.03	0.03	10000	EUR	
07/10/2015 00:00	0.05	0.05	0.05	0.05	0	EUR	
12/10/2015 00:00	0.04	0.04	0.04	0.04	0	EUR	
15/10/2015 00:00	0.04	0.04	0.04	0.04	0	EUR	
23/10/2015 00:00	0.04	0.04	0.04	0.04	800	EUR	
26/10/2015 00:00	0.03	0.03	0.03	0.03	1700	EUR	
27/10/2015 00:00	0.04	0.04	0.04	0.04	6100	EUR	
28/10/2015 00:00	0.05	0.05	0.05	0.05	500	EUR	
29/10/2015 00:00	0.06	0.06	0.06	0.06	0	EUR	
02/11/2015 00:00	0.06	0.06	0.06	0.06	0	EUR	
04/11/2015 00:00	0.06	0.06	0.06	0.06	0	EUR	
13/11/2015 00:00	0.06	0.06	0.06	0.06	500	EUR	
24/11/2015 00:00	0.05	0.05	0.05	0.05	500	EUR	
25/11/2015 00:00	0.05	0.05	0.05	0.05	0	EUR	
30/11/2015 00:00	0.06	0.06	0.06	0.06	500	EUR	
01/12/2015 00:00	0.06	0.06	0.06	0.06	0	EUR	
08/12/2015 00:00	0.05	0.05	0.05	0.05	250	EUR	
09/12/2015 00:00	0.05	0.05	0.05	0.05	0	EUR	
14/12/2015 00:00	0.06	0.06	0.06	0.06	400	EUR	
15/12/2015 00:00	0.06	0.06	0.06	0.06	0	EUR	
17/12/2015 00:00	0.06	0.06	0.06	0.06	0	EUR	
22/12/2015 00:00	0.06	0.06	0.06	0.06	0	EUR	
24/12/2015 00:00	0.05	0.05	0.05	0.05	4000	EUR	
30/12/2015 00:00	0.05	0.05	0.05	0.05	1200	EUR	
31/12/2015 00:00	0.06	0.06	0.06	0.06	400	EUR	
05/01/2016 00:00	0.06	0.06	0.06	0.06	0	EUR	
13/01/2016 00:00	0.06	0.06	0.06	0.06	0	EUR	
19/01/2016 00:00	0.05	0.05	0.05	0.05	0	EUR	
22/01/2016 00:00	0.05	0.05	0.05	0.05	19700	EUR	
27/01/2016 00:00	0.06	0.06	0.06	0.06	0	EUR	
14/03/2016 00:00	0.04	0.04	0.04	0.04	5000	EUR	
15/03/2016 00:00	0.03	0.03	0.03	0.03	0	EUR	
18/03/2016 00:00	0.06	0.06	0.06	0.06	400	EUR	
07/04/2016 00:00	0.03	0.03	0.03	0.03	0	EUR	
11/04/2016 00:00	0.05	0.05	0.05	0.05	0	EUR	
20/04/2016 00:00	0.03	0.03	0.03	0.03	0	EUR	
10/05/2016 00:00	0.03	0.03	0.03	0.03	0	EUR	
18/05/2016 00:00	0.03	0.03	0.03	0.03	0	EUR	
24/06/2016 00:00	0.03	0.03	0.03	0.03	500	EUR	
15/07/2016 00:00	0.05	0.05	0.05	0.05	500	EUR	
21/07/2016 00:00	0.03	0.03	0.03	0.03	0	EUR	
27/07/2016 00:00	0.04	0.04	0.04	0.04	0	EUR	
01/08/2016 00:00	0.03	0.03	0.03	0.03	0	EUR	
09/08/2016 00:00	0.03	0.03	0.03	0.03	0	EUR	
17/08/2016 00:00	0.03	0.03	0.03	0.03	100	EUR	
18/08/2016 00:00	0.04	0.04	0.04	0.04	0	EUR	
23/08/2016 00:00	0.04	0.04	0.04	0.04	0	EUR	
25/08/2016 00:00	0.04	0.04	0.04	0.04	0	EUR	
30/08/2016 00:00	0.04	0.04	0.04	0.04	0	EUR	
14/09/2016 00:00	0.03	0.03	0.03	0.03	150	EUR	
15/09/2016 00:00	0.04	0.04	0.04	0.04	500	EUR	
16/09/2016 00:00	0.03	0.03	0.03	0.03	230	EUR	
28/09/2016 00:00	0.03	0.03	0.03	0.03	0	EUR	
03/10/2016 00:00	0.04	0.04	0.04	0.04	0	EUR	
13/10/2016 00:00	0.02	0.02	0.02	0.02	0	EUR	
17/10/2016 00:00	0.03	0.03	0.03	0.03	100	EUR	
18/10/2016 00:00	0.04	0.04	0.04	0.04	400	EUR	
19/10/2016 00:00	0.04	0.04	0.04	0.04	0	EUR	
26/10/2016 00:00	0.02	0.02	0.02	0.02	0	EUR	
28/10/2016 00:00	0.04	0.04	0.04	0.04	1000	EUR	
31/10/2016 00:00	0.04	0.04	0.04	0.04	0	EUR	
03/11/2016 00:00	0.04	0.04	0.04	0.04	0	EUR	
16/11/2016 00:00	0.03	0.03	0.03	0.03	1490	EUR	
17/11/2016 00:00	0.03	0.03	0.03	0.03	3510	EUR	
18/11/2016 00:00	0.03	0.03	0.03	0.03	900	EUR	
