date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	19.7	19.84	19.69	19.79	6464	EUR	
19/05/2015 00:00	19.81	19.88	19.65	19.82	8173	EUR	
20/05/2015 00:00	19.75	19.88	19.75	19.8	6545	EUR	
21/05/2015 00:00	19.8	19.88	19.76	19.86	10887	EUR	
22/05/2015 00:00	19.87	20.12	19.87	20.04	13178	EUR	
25/05/2015 00:00	20	20.06	19.94	20.01	4925	EUR	
26/05/2015 00:00	20	20.09	19.9	20.02	25805	EUR	
27/05/2015 00:00	20.08	20.6	20.05	20.6	27689	EUR	
28/05/2015 00:00	20.6	20.77	20.52	20.65	7723	EUR	
29/05/2015 00:00	20.65	20.65	20.26	20.57	3973	EUR	
01/06/2015 00:00	20.4	20.4	20.15	20.35	4324	EUR	
02/06/2015 00:00	20.15	20.42	20.15	20.42	3560	EUR	
03/06/2015 00:00	20.42	20.42	20.22	20.35	2067	EUR	
04/06/2015 00:00	20.76	20.8	20.42	20.55	15887	EUR	
05/06/2015 00:00	20.6	20.75	20.5	20.54	10663	EUR	
08/06/2015 00:00	20.57	20.57	20.4	20.4	5399	EUR	
09/06/2015 00:00	20.43	20.48	20.32	20.47	5944	EUR	
10/06/2015 00:00	20.5	20.89	20.33	20.65	16482	EUR	
11/06/2015 00:00	20.65	20.75	20.3	20.6	7508	EUR	
12/06/2015 00:00	20.64	20.64	20.3	20.39	8044	EUR	
15/06/2015 00:00	20.3	20.64	20.19	20.23	6775	EUR	
16/06/2015 00:00	20.24	20.25	20.1	20.19	5408	EUR	
17/06/2015 00:00	20.2	20.2	20.07	20.15	3756	EUR	
18/06/2015 00:00	20.14	20.19	20	20.06	9228	EUR	
19/06/2015 00:00	20	20.14	20	20.07	3733	EUR	
22/06/2015 00:00	20.1	20.2	20	20.07	8418	EUR	
23/06/2015 00:00	20.08	20.1	19.85	20.06	11275	EUR	
24/06/2015 00:00	19.82	20.38	19.8	20.3	10538	EUR	
25/06/2015 00:00	20.88	20.94	20.58	20.65	27397	EUR	
26/06/2015 00:00	20.85	20.85	20.6	20.65	13049	EUR	
29/06/2015 00:00	20.2	20.2	19.8	20.01	21560	EUR	
30/06/2015 00:00	20.02	20.19	20	20.15	6279	EUR	
01/07/2015 00:00	19.95	20.42	19.95	20.22	6910	EUR	
02/07/2015 00:00	20.21	20.38	20.15	20.15	3482	EUR	
03/07/2015 00:00	20.08	20.16	20.02	20.1	31250	EUR	
06/07/2015 00:00	20.01	20.11	19.9	20.04	5780	EUR	
07/07/2015 00:00	19.97	20	19.66	19.75	5683	EUR	
08/07/2015 00:00	19.8	20.12	19.7	20	6843	EUR	
09/07/2015 00:00	19.85	20.6	19.85	20.6	17497	EUR	
10/07/2015 00:00	20.82	20.94	20.62	20.67	9243	EUR	
13/07/2015 00:00	20.95	21.31	20.81	21.31	23100	EUR	
14/07/2015 00:00	21.25	21.4	21.17	21.31	9138	EUR	
15/07/2015 00:00	21.42	21.6	21.35	21.6	22234	EUR	
16/07/2015 00:00	21.6	21.66	21.29	21.6	29793	EUR	
17/07/2015 00:00	21.65	21.71	21.4	21.5	18632	EUR	
20/07/2015 00:00	21.61	21.8	21.55	21.67	28973	EUR	
21/07/2015 00:00	21.75	21.81	21.6	21.65	18187	EUR	
22/07/2015 00:00	21.7	21.7	21.5	21.7	12546	EUR	
23/07/2015 00:00	21.7	21.88	21.65	21.88	8962	EUR	
24/07/2015 00:00	21.88	22	21.75	21.85	10271	EUR	
27/07/2015 00:00	21.99	21.99	21.61	21.67	7125	EUR	
28/07/2015 00:00	21.61	21.77	21.6	21.7	10629	EUR	
29/07/2015 00:00	21.7	22	21.65	22	20366	EUR	
30/07/2015 00:00	21.98	21.99	21.78	21.79	2393	EUR	
31/07/2015 00:00	21.8	21.8	21.65	21.7	1525	EUR	
03/08/2015 00:00	21.65	21.9	21.6	21.7	6445	EUR	
04/08/2015 00:00	21.75	21.99	21.75	21.8	9668	EUR	
05/08/2015 00:00	21.9	22.12	21.75	22	14406	EUR	
06/08/2015 00:00	22	22.05	21.91	21.99	5999	EUR	
07/08/2015 00:00	22	22	21.3	21.38	21159	EUR	
10/08/2015 00:00	21.5	21.62	21.15	21.6	11923	EUR	
11/08/2015 00:00	21.6	21.89	21.6	21.85	8587	EUR	
12/08/2015 00:00	21.85	21.85	21.45	21.45	11975	EUR	
13/08/2015 00:00	21.79	21.85	21.6	21.78	6904	EUR	
14/08/2015 00:00	21.79	21.85	21.6	21.65	4428	EUR	
17/08/2015 00:00	21.7	21.72	21.51	21.7	4771	EUR	
18/08/2015 00:00	21.65	21.85	21.6	21.8	7602	EUR	
19/08/2015 00:00	21.73	21.85	21.51	21.54	5066	EUR	
20/08/2015 00:00	21.4	21.4	21.06	21.19	10160	EUR	
21/08/2015 00:00	21.06	21.33	20.81	20.81	12515	EUR	
24/08/2015 00:00	20.65	20.65	20.02	20.4	27492	EUR	
25/08/2015 00:00	20.25	21.28	20.25	21.28	14215	EUR	
26/08/2015 00:00	21.29	21.29	20.91	21.19	11122	EUR	
27/08/2015 00:00	21.19	21.37	21.15	21.15	6689	EUR	
28/08/2015 00:00	21.2	21.3	21.05	21.11	3572	EUR	
31/08/2015 00:00	21.19	21.19	20.9	21.04	3451	EUR	
01/09/2015 00:00	20.9	21.04	20.62	20.75	3591	EUR	
02/09/2015 00:00	20.6	20.75	20.14	20.7	6870	EUR	
03/09/2015 00:00	20.63	20.65	20.1	20.53	5488	EUR	
04/09/2015 00:00	20.54	20.62	20.35	20.45	9649	EUR	
