date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	1.75	1.75	1.7	1.73	30251	EUR	
19/05/2015 00:00	1.73	1.73	1.6	1.64	11356	EUR	
20/05/2015 00:00	1.64	1.67	1.63	1.66	7251	EUR	
21/05/2015 00:00	1.7	1.7	1.69	1.69	1146	EUR	
22/05/2015 00:00	1.68	1.68	1.63	1.65	40371	EUR	
25/05/2015 00:00	1.65	1.65	1.65	1.65	1	EUR	
26/05/2015 00:00	1.65	1.65	1.65	1.65	726	EUR	
27/05/2015 00:00	1.64	1.64	1.5	1.52	68397	EUR	
28/05/2015 00:00	1.5	1.54	1.47	1.54	13028	EUR	
29/05/2015 00:00	1.54	1.54	1.54	1.54	721	EUR	
01/06/2015 00:00	1.55	1.55	1.53	1.53	1986	EUR	
02/06/2015 00:00	1.56	1.56	1.46	1.5	17746	EUR	
03/06/2015 00:00	1.49	1.49	1.49	1.49	1	EUR	
04/06/2015 00:00	1.49	1.62	1.49	1.52	19803	EUR	
05/06/2015 00:00	1.52	1.52	1.52	1.52	1	EUR	
08/06/2015 00:00	1.47	1.54	1.47	1.54	5692	EUR	
09/06/2015 00:00	1.55	1.55	1.48	1.55	2440	EUR	
10/06/2015 00:00	1.54	1.55	1.54	1.55	41	EUR	
11/06/2015 00:00	1.54	1.54	1.45	1.49	18231	EUR	
12/06/2015 00:00	1.49	1.49	1.49	1.49	1	EUR	
15/06/2015 00:00	1.42	1.42	1.41	1.42	3884	EUR	
16/06/2015 00:00	1.42	1.45	1.36	1.4	3270	EUR	
17/06/2015 00:00	1.4	1.42	1.4	1.42	41	EUR	
18/06/2015 00:00	1.4	1.42	1.4	1.4	721	EUR	
19/06/2015 00:00	1.39	1.4	1.39	1.4	3550	EUR	
22/06/2015 00:00	1.35	1.43	1.35	1.41	6526	EUR	
23/06/2015 00:00	1.41	1.42	1.36	1.42	7995	EUR	
24/06/2015 00:00	1.39	1.43	1.38	1.43	19631	EUR	
25/06/2015 00:00	1.5	1.64	1.36	1.43	70711	EUR	
26/06/2015 00:00	1.39	1.45	1.36	1.4	14521	EUR	
29/06/2015 00:00	1.38	1.38	1.21	1.33	13591	EUR	
30/06/2015 00:00	1.31	1.32	1.3	1.32	9031	EUR	
01/07/2015 00:00	1.32	1.48	1.32	1.45	7224	EUR	
02/07/2015 00:00	1.42	1.43	1.33	1.4	1101	EUR	
03/07/2015 00:00	1.38	1.38	1.38	1.38	241	EUR	
06/07/2015 00:00	1.38	1.39	1.33	1.39	4259	EUR	
07/07/2015 00:00	1.35	1.35	1.3	1.34	3271	EUR	
08/07/2015 00:00	1.34	1.4	1.31	1.4	2882	EUR	
09/07/2015 00:00	1.39	1.43	1.39	1.42	5317	EUR	
10/07/2015 00:00	1.41	1.47	1.41	1.46	21041	EUR	
13/07/2015 00:00	1.46	1.58	1.45	1.49	21191	EUR	
14/07/2015 00:00	1.58	1.72	1.51	1.7	61259	EUR	
15/07/2015 00:00	1.7	1.7	1.54	1.63	31705	EUR	
16/07/2015 00:00	1.61	1.63	1.56	1.61	4789	EUR	
17/07/2015 00:00	1.58	1.59	1.49	1.57	13274	EUR	
20/07/2015 00:00	1.58	1.58	1.52	1.55	10698	EUR	
21/07/2015 00:00	1.53	1.54	1.51	1.54	1202	EUR	
22/07/2015 00:00	1.54	1.62	1.54	1.62	2134	EUR	
23/07/2015 00:00	1.58	1.58	1.56	1.56	2906	EUR	
24/07/2015 00:00	1.61	1.65	1.56	1.58	5700	EUR	
27/07/2015 00:00	1.58	1.58	1.49	1.57	13699	EUR	
28/07/2015 00:00	1.56	1.56	1.51	1.52	1301	EUR	
29/07/2015 00:00	1.52	1.6	1.49	1.53	18359	EUR	
30/07/2015 00:00	1.55	1.69	1.51	1.66	29832	EUR	
31/07/2015 00:00	1.66	1.8	1.61	1.68	50237	EUR	
03/08/2015 00:00	1.68	1.68	1.53	1.64	19225	EUR	
04/08/2015 00:00	1.65	1.73	1.63	1.67	4522	EUR	
05/08/2015 00:00	1.7	1.7	1.63	1.63	969	EUR	
06/08/2015 00:00	1.62	1.63	1.58	1.58	9682	EUR	
07/08/2015 00:00	1.58	1.64	1.57	1.57	4217	EUR	
10/08/2015 00:00	1.6	1.64	1.6	1.64	351	EUR	
11/08/2015 00:00	1.61	1.63	1.55	1.58	2766	EUR	
12/08/2015 00:00	1.58	1.58	1.53	1.57	4256	EUR	
13/08/2015 00:00	1.54	1.67	1.52	1.62	11695	EUR	
14/08/2015 00:00	1.62	1.63	1.61	1.61	2621	EUR	
17/08/2015 00:00	1.57	1.64	1.56	1.57	3533	EUR	
18/08/2015 00:00	1.58	1.58	1.57	1.57	852	EUR	
19/08/2015 00:00	1.58	1.58	1.52	1.53	15881	EUR	
20/08/2015 00:00	1.54	1.56	1.51	1.56	1918	EUR	
21/08/2015 00:00	1.54	1.54	1.41	1.42	10642	EUR	
24/08/2015 00:00	1.48	1.48	1.25	1.3	21049	EUR	
25/08/2015 00:00	1.3	1.42	1.3	1.4	6105	EUR	
26/08/2015 00:00	1.4	1.43	1.36	1.4	3156	EUR	
27/08/2015 00:00	1.45	1.54	1.42	1.43	12473	EUR	
28/08/2015 00:00	1.54	1.54	1.45	1.45	4144	EUR	
31/08/2015 00:00	1.65	1.99	1.65	1.75	203364	EUR	
01/09/2015 00:00	1.75	1.75	1.47	1.47	207721	EUR	
02/09/2015 00:00	1.53	1.62	1.51	1.59	119446	EUR	
03/09/2015 00:00	1.63	1.64	1.56	1.59	21911	EUR	
04/09/2015 00:00	1.57	1.63	1.52	1.6	24254	EUR	
07/09/2015 00:00	1.6	1.63	1.55	1.57	17045	EUR	
08/09/2015 00:00	1.62	1.62	1.54	1.58	14721	EUR	
09/09/2015 00:00	1.6	1.6	1.52	1.54	32027	EUR	
10/09/2015 00:00	1.55	1.58	1.54	1.54	5366	EUR	
11/09/2015 00:00	1.55	1.58	1.54	1.54	1160	EUR	
14/09/2015 00:00	1.54	1.54	1.5	1.54	24076	EUR	
15/09/2015 00:00	1.53	1.56	1.53	1.56	3321	EUR	
16/09/2015 00:00	1.55	1.6	1.51	1.6	25785	EUR	
17/09/2015 00:00	1.58	1.62	1.54	1.6	4727	EUR	
18/09/2015 00:00	1.59	1.61	1.56	1.56	2983	EUR	
21/09/2015 00:00	1.57	1.57	1.5	1.54	41621	EUR	
22/09/2015 00:00	1.54	1.54	1.5	1.5	2485	EUR	
23/09/2015 00:00	1.52	1.53	1.5	1.5	15523	EUR	
24/09/2015 00:00	1.51	1.51	1.47	1.47	4801	EUR	
25/09/2015 00:00	1.51	1.55	1.49	1.53	4181	EUR	
28/09/2015 00:00	1.53	1.53	1.49	1.5	8023	EUR	
29/09/2015 00:00	1.52	1.52	1.4	1.4	5301	EUR	
30/09/2015 00:00	1.5	1.5	1.41	1.41	2846	EUR	
01/10/2015 00:00	1.43	1.44	1.43	1.44	315	EUR	
02/10/2015 00:00	1.45	1.46	1.4	1.46	11514	EUR	
05/10/2015 00:00	1.43	1.43	1.42	1.42	1001	EUR	
06/10/2015 00:00	1.42	1.43	1.41	1.41	441	EUR	
07/10/2015 00:00	1.42	1.44	1.4	1.44	19461	EUR	
