date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	17.9	17.97	17.75	17.8	4490	EUR	
19/05/2015 00:00	17.75	17.95	17.66	17.95	7182	EUR	
20/05/2015 00:00	18	18	17.75	17.76	6012	EUR	
21/05/2015 00:00	17.8	17.85	17.33	17.5	18211	EUR	
22/05/2015 00:00	17.5	17.5	17.15	17.15	10012	EUR	
25/05/2015 00:00	17.15	17.15	16.58	17.05	8792	EUR	
26/05/2015 00:00	17.06	17.09	16.61	17.04	7931	EUR	
27/05/2015 00:00	17.05	17.08	16.65	17.02	7318	EUR	
28/05/2015 00:00	17.02	17.05	16.84	16.96	3287	EUR	
29/05/2015 00:00	16.8	16.92	16.75	16.75	5754	EUR	
01/06/2015 00:00	16.71	17	16.71	16.95	4308	EUR	
02/06/2015 00:00	16.95	16.95	16.55	16.79	4348	EUR	
03/06/2015 00:00	16.79	16.85	16.1	16.64	13488	EUR	
04/06/2015 00:00	16.6	17	16.59	17	8049	EUR	
05/06/2015 00:00	16.9	16.9	16.6	16.63	18625	EUR	
08/06/2015 00:00	16.55	16.6	16.3	16.55	6425	EUR	
09/06/2015 00:00	16.5	16.61	16.5	16.51	3938	EUR	
10/06/2015 00:00	16.1	17	16.1	17	17612	EUR	
11/06/2015 00:00	17.16	17.35	17.1	17.3	7137	EUR	
12/06/2015 00:00	17.3	17.4	16.88	17	14647	EUR	
15/06/2015 00:00	16.9	16.92	16.71	16.79	3624	EUR	
16/06/2015 00:00	16.72	16.76	16.5	16.75	6354	EUR	
17/06/2015 00:00	16.8	16.95	16.73	16.95	5865	EUR	
18/06/2015 00:00	16.9	16.95	16.73	16.86	3942	EUR	
19/06/2015 00:00	16.62	17.39	16.62	17.39	7556	EUR	
22/06/2015 00:00	17.5	18.18	17.5	17.75	22476	EUR	
23/06/2015 00:00	18.01	18.03	17.8	17.97	6402	EUR	
24/06/2015 00:00	17.96	18	17.85	18	3913	EUR	
25/06/2015 00:00	17.7	17.94	17.6	17.7	3419	EUR	
26/06/2015 00:00	17.5	17.76	17.45	17.45	4043	EUR	
29/06/2015 00:00	17	17	15.46	16.85	14049	EUR	
30/06/2015 00:00	16.85	17.02	16.72	17.01	4092	EUR	
01/07/2015 00:00	17.02	17.2	16.95	17.2	2488	EUR	
02/07/2015 00:00	17.05	17.3	17	17.22	6237	EUR	
03/07/2015 00:00	17.2	17.26	16.95	16.95	6547	EUR	
06/07/2015 00:00	16.93	17	16.81	17	5097	EUR	
07/07/2015 00:00	17	17.09	16.6	16.6	7943	EUR	
08/07/2015 00:00	16.68	16.7	16.51	16.51	4725	EUR	
09/07/2015 00:00	16.51	16.81	16.51	16.6	37052	EUR	
10/07/2015 00:00	16.56	16.79	16.51	16.51	14797	EUR	
13/07/2015 00:00	16.45	17.07	16.45	17.07	51296	EUR	
14/07/2015 00:00	17.05	17.15	16.8	16.99	2558	EUR	
15/07/2015 00:00	17.05	17.95	17.05	17.93	16753	EUR	
16/07/2015 00:00	17.8	19.4	17.8	19.04	34387	EUR	
17/07/2015 00:00	19.03	19.2	18.95	18.95	22140	EUR	
20/07/2015 00:00	18.8	19.48	18.52	19.48	17990	EUR	
21/07/2015 00:00	19.1	19.5	19.07	19.47	22906	EUR	
22/07/2015 00:00	19.4	19.5	19.01	19.4	16551	EUR	
23/07/2015 00:00	18.9	19.19	18.82	18.82	6880	EUR	
24/07/2015 00:00	18.53	18.73	18.41	18.5	13726	EUR	
27/07/2015 00:00	18.47	18.58	18.3	18.3	9077	EUR	
28/07/2015 00:00	18.3	18.4	18.05	18.27	5781	EUR	
29/07/2015 00:00	18.29	18.35	18.16	18.35	7539	EUR	
30/07/2015 00:00	18.3	18.35	18.05	18.05	5688	EUR	
31/07/2015 00:00	18.01	18.09	17.55	17.67	10074	EUR	
03/08/2015 00:00	17.75	17.75	17.55	17.55	14553	EUR	
04/08/2015 00:00	17.59	17.59	17.2	17.2	6974	EUR	
05/08/2015 00:00	17.3	17.5	17.26	17.4	5820	EUR	
06/08/2015 00:00	17.5	17.5	17.3	17.31	6830	EUR	
07/08/2015 00:00	17.6	17.6	17.2	17.2	7419	EUR	
10/08/2015 00:00	17.3	17.3	16.8	17.01	9947	EUR	
11/08/2015 00:00	17.1	17.26	17	17.26	2109	EUR	
12/08/2015 00:00	17	17.09	16.8	16.96	6313	EUR	
13/08/2015 00:00	16.99	16.99	16.78	16.8	1657	EUR	
14/08/2015 00:00	16.7	16.85	16.7	16.78	1717	EUR	
17/08/2015 00:00	16.85	16.94	16.82	16.93	2283	EUR	
18/08/2015 00:00	16.8	16.98	16.8	16.86	9871	EUR	
19/08/2015 00:00	16.78	16.9	16.78	16.85	3454	EUR	
20/08/2015 00:00	16.85	16.85	16.6	16.68	7408	EUR	
21/08/2015 00:00	16.6	16.61	15.3	15.86	35465	EUR	
24/08/2015 00:00	16.3	16.3	15.22	15.6	19567	EUR	
25/08/2015 00:00	15.45	16.05	15.45	15.7	11237	EUR	
26/08/2015 00:00	15.7	16.19	15.65	16.19	5724	EUR	
27/08/2015 00:00	16.2	16.55	16.19	16.55	10119	EUR	
28/08/2015 00:00	16.6	16.65	16.55	16.65	1450	EUR	
31/08/2015 00:00	16.7	17.2	16.6	17.2	4915	EUR	
01/09/2015 00:00	17.4	17.4	16.34	16.5	3564	EUR	
02/09/2015 00:00	16.5	16.5	15.8	16.1	17330	EUR	
03/09/2015 00:00	16.1	16.19	15.82	16.1	5231	EUR	
04/09/2015 00:00	16.3	16.3	15.96	16.01	876	EUR	
07/09/2015 00:00	16	16.2	16	16.2	1430	EUR	
08/09/2015 00:00	16.2	16.3	15.9	16.3	10277	EUR	
09/09/2015 00:00	16	16.21	16	16.07	13922	EUR	
10/09/2015 00:00	16.07	16.3	15.92	16.3	3486	EUR	
