date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	12	12.1	11.69	11.69	192	EUR	
19/05/2015 00:00	11.69	11.8	11.5	11.8	2056	EUR	
20/05/2015 00:00	12.1	12.1	11.85	11.85	90	EUR	
21/05/2015 00:00	11.8	11.8	11.55	11.55	766	EUR	
22/05/2015 00:00	10.99	11.25	10.7	10.92	792	EUR	
25/05/2015 00:00	10.98	11.05	10.98	11.05	80	EUR	
26/05/2015 00:00	11.01	11.1	10.8	10.91	210	EUR	
27/05/2015 00:00	10.9	10.9	10.78	10.81	35	EUR	
28/05/2015 00:00	10.95	10.95	10.7	10.85	1145	EUR	
29/05/2015 00:00	10.95	10.95	10.71	10.84	620	EUR	
01/06/2015 00:00	10.95	10.95	10.78	10.78	316	EUR	
02/06/2015 00:00	10.84	10.84	10.7	10.75	477	EUR	
03/06/2015 00:00	10.75	10.75	10.75	10.75	28	EUR	
04/06/2015 00:00	10.84	10.84	10.6	10.69	3093	EUR	
05/06/2015 00:00	10.84	10.84	10.66	10.69	120	EUR	
08/06/2015 00:00	10.84	10.84	10.6	10.84	295	EUR	
09/06/2015 00:00	10.84	10.84	10.25	10.25	642	EUR	
10/06/2015 00:00	10.11	10.14	10	10.05	680	EUR	
11/06/2015 00:00	10	10.2	10	10.06	472	EUR	
12/06/2015 00:00	10	10.39	10	10.04	959	EUR	
15/06/2015 00:00	10	10.16	10	10	258	EUR	
16/06/2015 00:00	10	10.21	10	10	255	EUR	
17/06/2015 00:00	10	10	9.81	9.81	1395	EUR	
18/06/2015 00:00	9.7	9.82	9.7	9.7	655	EUR	
19/06/2015 00:00	9.7	9.7	9.6	9.66	784	EUR	
22/06/2015 00:00	9.74	9.89	9.7	9.81	606	EUR	
23/06/2015 00:00	9.9	9.9	9.7	9.79	393	EUR	
24/06/2015 00:00	9.9	9.94	9.78	9.8	431	EUR	
25/06/2015 00:00	9.89	9.89	9.75	9.85	298	EUR	
26/06/2015 00:00	9.8	9.87	9.79	9.85	428	EUR	
29/06/2015 00:00	9.71	10	9.71	9.89	2751	EUR	
30/06/2015 00:00	9.76	9.88	9.76	9.88	330	EUR	
01/07/2015 00:00	9.87	10.09	9.84	10.09	1440	EUR	
02/07/2015 00:00	10.2	10.2	10.05	10.15	420	EUR	
03/07/2015 00:00	10.02	10.2	10.02	10.2	620	EUR	
06/07/2015 00:00	10.18	10.28	10	10.28	5526	EUR	
07/07/2015 00:00	10.28	10.28	10.27	10.27	200	EUR	
08/07/2015 00:00	10.28	10.45	10.15	10.45	491	EUR	
09/07/2015 00:00	10.45	10.45	10.44	10.45	202	EUR	
10/07/2015 00:00	10.46	10.7	10.46	10.57	858	EUR	
13/07/2015 00:00	10.67	10.69	10.56	10.64	219	EUR	
14/07/2015 00:00	10.65	10.85	10.65	10.84	689	EUR	
15/07/2015 00:00	10.9	10.9	10.86	10.9	280	EUR	
16/07/2015 00:00	11	11	10.89	10.96	326	EUR	
17/07/2015 00:00	10.85	10.91	10.8	10.87	641	EUR	
20/07/2015 00:00	10.87	11	10.87	11	219	EUR	
21/07/2015 00:00	11	11	10.9	11	299	EUR	
22/07/2015 00:00	11	11	10.78	10.88	584	EUR	
23/07/2015 00:00	10.89	10.91	10.73	10.76	659	EUR	
24/07/2015 00:00	10.75	10.77	10.69	10.75	432	EUR	
27/07/2015 00:00	10.61	10.74	10.52	10.74	2348	EUR	
28/07/2015 00:00	10.76	10.86	10.76	10.86	336	EUR	
29/07/2015 00:00	10.75	11	10.75	10.93	2054	EUR	
30/07/2015 00:00	10.8	10.9	10.8	10.9	400	EUR	
31/07/2015 00:00	10.9	10.92	10.8	10.92	250	EUR	
03/08/2015 00:00	10.91	10.93	10.91	10.91	535	EUR	
04/08/2015 00:00	10.85	11	10.85	10.94	361	EUR	
05/08/2015 00:00	10.99	11.2	10.99	11.2	675	EUR	
06/08/2015 00:00	11.36	11.36	11.2	11.2	395	EUR	
07/08/2015 00:00	11.2	11.2	10.97	10.97	514	EUR	
10/08/2015 00:00	10.99	10.99	10.89	10.98	308	EUR	
11/08/2015 00:00	10.99	10.99	10.8	10.8	452	EUR	
12/08/2015 00:00	10.84	10.9	10.66	10.66	745	EUR	
13/08/2015 00:00	10.75	10.84	10.66	10.68	612	EUR	
14/08/2015 00:00	10.61	10.68	10.61	10.68	181	EUR	
17/08/2015 00:00	10.74	10.77	10.6	10.6	484	EUR	
18/08/2015 00:00	10.7	10.7	10.6	10.6	241	EUR	
19/08/2015 00:00	10.7	10.7	10.5	10.52	978	EUR	
20/08/2015 00:00	10.7	10.7	10.5	10.5	917	EUR	
21/08/2015 00:00	10.54	10.54	10.45	10.5	458	EUR	
24/08/2015 00:00	10.7	10.7	10.41	10.47	347	EUR	
25/08/2015 00:00	10.5	10.75	10.36	10.41	978	EUR	
26/08/2015 00:00	11.2	11.2	10.14	10.14	677	EUR	
27/08/2015 00:00	10.15	10.43	10.15	10.43	234	EUR	
28/08/2015 00:00	10.39	10.39	10.37	10.37	226	EUR	
31/08/2015 00:00	10.39	10.39	10.16	10.23	796	EUR	
01/09/2015 00:00	10.25	10.31	10.16	10.18	293	EUR	
02/09/2015 00:00	10.29	10.34	10.23	10.25	384	EUR	
03/09/2015 00:00	10.37	10.44	10.25	10.25	277	EUR	
04/09/2015 00:00	10.25	10.26	10.15	10.25	1154	EUR	
07/09/2015 00:00	10.29	10.37	10.29	10.35	307	EUR	
08/09/2015 00:00	10.34	10.4	10.15	10.3	1196	EUR	
09/09/2015 00:00	10.29	10.29	10.12	10.2	2408	EUR	
10/09/2015 00:00	10.2	10.2	10.1	10.2	7270	EUR	
11/09/2015 00:00	10.29	10.3	10.2	10.3	1050	EUR	
14/09/2015 00:00	10.34	10.34	10.24	10.25	1587	EUR	
15/09/2015 00:00	10.25	10.25	10.15	10.15	1746	EUR	
16/09/2015 00:00	10.18	10.3	10.18	10.3	500	EUR	
17/09/2015 00:00	10.3	10.3	10.16	10.2	2267	EUR	
18/09/2015 00:00	10.29	10.29	9.6	9.6	19092	EUR	
21/09/2015 00:00	10.1	10.19	9.8	10.03	4689	EUR	
22/09/2015 00:00	10.14	10.14	9.8	10.05	12294	EUR	
23/09/2015 00:00	10.09	10.16	9.98	10.16	585	EUR	
24/09/2015 00:00	10.3	10.3	9.96	10.15	3309	EUR	
25/09/2015 00:00	10.3	10.3	9.9	10.15	855	EUR	
28/09/2015 00:00	10.3	10.3	10.15	10.15	376	EUR	
29/09/2015 00:00	10.29	10.29	10.16	10.16	82	EUR	
30/09/2015 00:00	10.29	10.29	10.12	10.12	190	EUR	
01/10/2015 00:00	10.3	10.3	10	10.15	12877	EUR	
02/10/2015 00:00	10.15	10.18	10.13	10.13	161	EUR	
05/10/2015 00:00	10.3	10.3	10.08	10.1	123	EUR	
06/10/2015 00:00	10.3	10.3	9.91	9.92	235	EUR	
07/10/2015 00:00	9.93	9.93	9.67	9.74	27601	EUR	
08/10/2015 00:00	9.74	9.84	9.62	9.84	9914	EUR	
09/10/2015 00:00	9.84	9.85	9.7	9.85	13350	EUR	
12/10/2015 00:00	9.88	9.88	9.64	9.87	10600	EUR	
13/10/2015 00:00	9.89	9.89	9.7	9.82	8500	EUR	
14/10/2015 00:00	9.84	9.85	9.66	9.85	1600	EUR	
15/10/2015 00:00	9.84	9.85	9.66	9.85	1300	EUR	
16/10/2015 00:00	9.85	9.86	9.68	9.86	6100	EUR	
19/10/2015 00:00	9.89	9.94	9.65	9.81	2170	EUR	
20/10/2015 00:00	9.89	9.89	9.7	9.7	604	EUR	
21/10/2015 00:00	9.89	9.97	9.7	9.95	614	EUR	
22/10/2015 00:00	9.85	9.89	9.5	9.89	20015	EUR	
23/10/2015 00:00	9.89	10.03	9.89	10.03	60	EUR	
26/10/2015 00:00	10.2	10.2	9.96	9.96	889	EUR	
27/10/2015 00:00	10.01	10.07	9.96	10.07	510	EUR	
28/10/2015 00:00	10.09	10.18	10	10.13	418	EUR	
29/10/2015 00:00	10.3	10.3	10.1	10.1	401	EUR	
30/10/2015 00:00	10.1	10.23	10.1	10.12	543	EUR	
02/11/2015 00:00	10.12	10.21	10.12	10.19	990	EUR	
03/11/2015 00:00	10.29	10.29	10.2	10.21	531	EUR	
04/11/2015 00:00	10.19	10.44	10.19	10.38	473	EUR	
05/11/2015 00:00	10.26	10.48	10.26	10.48	240	EUR	
06/11/2015 00:00	10.59	10.59	10.35	10.42	260	EUR	
09/11/2015 00:00	10.3	10.79	10.3	10.69	3098	EUR	
10/11/2015 00:00	10.75	10.85	10.58	10.85	1612	EUR	
11/11/2015 00:00	10.89	10.89	10.77	10.84	130	EUR	
12/11/2015 00:00	10.75	10.82	10.75	10.82	255	EUR	
13/11/2015 00:00	10.85	10.85	10.74	10.85	191	EUR	
16/11/2015 00:00	10.99	10.99	10.72	10.73	1170	EUR	
17/11/2015 00:00	10.98	10.98	10.73	10.74	504	EUR	
18/11/2015 00:00	10.72	10.84	10.72	10.75	102	EUR	
19/11/2015 00:00	10.79	10.79	10.69	10.79	1597	EUR	
20/11/2015 00:00	10.79	10.79	10.64	10.66	1346	EUR	
23/11/2015 00:00	10.74	10.79	10.61	10.63	319	EUR	
24/11/2015 00:00	10.47	10.54	10.47	10.54	622	EUR	
25/11/2015 00:00	10.64	10.64	10.47	10.52	931	EUR	
26/11/2015 00:00	10.62	10.62	10.45	10.51	837	EUR	
27/11/2015 00:00	10.51	10.58	10.4	10.58	1353	EUR	
30/11/2015 00:00	10.62	10.8	10.61	10.8	2501	EUR	
01/12/2015 00:00	10.76	10.79	10.67	10.69	1263	EUR	
02/12/2015 00:00	10.6	10.73	10.6	10.73	752	EUR	
03/12/2015 00:00	10.73	10.82	10.66	10.66	500	EUR	
04/12/2015 00:00	10.79	10.79	10.56	10.56	501	EUR	
07/12/2015 00:00	10.59	10.59	10.41	10.57	3501	EUR	
08/12/2015 00:00	10.6	10.6	10.46	10.52	382	EUR	
09/12/2015 00:00	10.6	10.6	10.32	10.41	40414	EUR	
10/12/2015 00:00	10.44	10.44	10.35	10.39	805	EUR	
11/12/2015 00:00	10.32	10.4	10.29	10.32	846	EUR	
14/12/2015 00:00	10.6	10.6	10.31	10.33	885	EUR	
15/12/2015 00:00	10.4	10.4	10.23	10.29	632	EUR	
16/12/2015 00:00	10.4	10.4	10.29	10.32	376	EUR	
17/12/2015 00:00	10.4	10.4	10.1	10.24	23824	EUR	
18/12/2015 00:00	10.2	10.32	10.2	10.31	623	EUR	
21/12/2015 00:00	10.24	10.32	10.24	10.32	375	EUR	
22/12/2015 00:00	10.37	10.37	10.27	10.28	12686	EUR	
23/12/2015 00:00	10.34	10.38	10.25	10.37	1560	EUR	
24/12/2015 00:00	10.47	10.47	10.35	10.44	171	EUR	
28/12/2015 00:00	10.31	10.34	10.26	10.26	693	EUR	
29/12/2015 00:00	10.24	10.34	10.15	10.3	347	EUR	
30/12/2015 00:00	10.31	10.45	10.3	10.4	247	EUR	
31/12/2015 00:00	10.2	10.34	10.2	10.34	458	EUR	
04/01/2016 00:00	10.2	10.4	10.2	10.4	627	EUR	
05/01/2016 00:00	10.4	10.41	10.39	10.41	397	EUR	
06/01/2016 00:00	10.42	10.42	10.37	10.39	763	EUR	
07/01/2016 00:00	10.38	10.38	10.28	10.38	1753	EUR	
08/01/2016 00:00	10.38	10.38	10.38	10.38	250	EUR	
11/01/2016 00:00	10.4	10.4	10.4	10.4	272	EUR	
12/01/2016 00:00	10.4	10.43	10.4	10.41	436	EUR	
13/01/2016 00:00	10.41	10.41	10.33	10.39	2567	EUR	
14/01/2016 00:00	10.31	10.39	10.31	10.39	560	EUR	
15/01/2016 00:00	10.39	10.47	10.38	10.44	510	EUR	
18/01/2016 00:00	10.35	10.48	10.3	10.43	7626	EUR	
19/01/2016 00:00	10.48	10.56	10.35	10.56	2514	EUR	
20/01/2016 00:00	10.55	10.55	10.42	10.52	1370	EUR	
