date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	4.36	4.36	4.24	4.28	17949	EUR	
19/05/2015 00:00	4.45	4.53	4.36	4.37	100351	EUR	
20/05/2015 00:00	4.35	4.38	4.33	4.35	23226	EUR	
21/05/2015 00:00	4.37	4.39	4.35	4.39	18598	EUR	
22/05/2015 00:00	4.36	4.36	4.32	4.33	22837	EUR	
25/05/2015 00:00	4.34	4.34	4.31	4.33	8560	EUR	
26/05/2015 00:00	4.33	4.33	4.3	4.3	10488	EUR	
27/05/2015 00:00	4.32	4.39	4.3	4.32	21382	EUR	
28/05/2015 00:00	4.32	4.37	4.32	4.32	14618	EUR	
29/05/2015 00:00	4.35	4.35	4.29	4.3	17196	EUR	
01/06/2015 00:00	4.32	4.46	4.29	4.45	38504	EUR	
02/06/2015 00:00	4.47	4.49	4.39	4.41	19253	EUR	
03/06/2015 00:00	4.41	4.42	4.35	4.36	14966	EUR	
04/06/2015 00:00	4.37	4.43	4.37	4.37	6009	EUR	
05/06/2015 00:00	4.37	4.42	4.34	4.41	12840	EUR	
08/06/2015 00:00	4.42	4.5	4.36	4.5	27267	EUR	
09/06/2015 00:00	4.5	4.5	4.27	4.39	29204	EUR	
10/06/2015 00:00	4.53	4.53	4.37	4.37	39631	EUR	
11/06/2015 00:00	4.37	4.39	4.31	4.34	16912	EUR	
12/06/2015 00:00	4.28	4.33	4.26	4.26	24699	EUR	
15/06/2015 00:00	4.28	4.28	4.2	4.21	16693	EUR	
16/06/2015 00:00	4.21	4.21	4.14	4.18	13357	EUR	
17/06/2015 00:00	4.18	4.19	4.12	4.15	10622	EUR	
18/06/2015 00:00	4.14	4.18	4.14	4.14	3605	EUR	
19/06/2015 00:00	4.18	4.28	4.17	4.22	19623	EUR	
22/06/2015 00:00	4.23	4.4	4.23	4.4	24745	EUR	
23/06/2015 00:00	4.49	4.53	4.35	4.36	26867	EUR	
24/06/2015 00:00	4.35	4.35	4.27	4.29	16132	EUR	
25/06/2015 00:00	4.29	4.29	4.17	4.21	38179	EUR	
26/06/2015 00:00	4.2	4.2	4.14	4.18	35308	EUR	
29/06/2015 00:00	4.07	4.11	3.97	4.08	40894	EUR	
30/06/2015 00:00	4.08	4.08	3.99	4	13320	EUR	
01/07/2015 00:00	4.04	4.05	3.98	4	13790	EUR	
02/07/2015 00:00	4.01	4.02	3.98	3.98	5702	EUR	
03/07/2015 00:00	3.98	4.01	3.93	3.98	16459	EUR	
06/07/2015 00:00	3.99	3.99	3.91	3.94	13207	EUR	
07/07/2015 00:00	4.02	4.06	3.91	3.94	50186	EUR	
08/07/2015 00:00	4	4.05	3.94	3.94	26132	EUR	
09/07/2015 00:00	3.95	4.03	3.95	3.97	17565	EUR	
10/07/2015 00:00	4.03	4.03	3.97	3.97	17684	EUR	
13/07/2015 00:00	4.01	4.2	4.01	4.2	68861	EUR	
14/07/2015 00:00	4.21	4.21	4.12	4.18	21918	EUR	
15/07/2015 00:00	4.18	4.19	4.12	4.19	25739	EUR	
16/07/2015 00:00	3.98	4.08	3.92	4.07	129297	EUR	
17/07/2015 00:00	4.06	4.06	3.95	3.98	64839	EUR	
20/07/2015 00:00	3.95	3.99	3.92	3.95	46207	EUR	
21/07/2015 00:00	3.95	3.97	3.91	3.93	17033	EUR	
22/07/2015 00:00	3.91	3.92	3.8	3.84	71230	EUR	
23/07/2015 00:00	3.99	3.99	3.87	3.88	88503	EUR	
24/07/2015 00:00	3.88	3.98	3.84	3.87	43890	EUR	
27/07/2015 00:00	3.8	3.8	3.7	3.73	49943	EUR	
28/07/2015 00:00	3.75	3.76	3.71	3.72	16812	EUR	
29/07/2015 00:00	3.75	3.75	3.65	3.65	34330	EUR	
30/07/2015 00:00	3.65	3.65	3.6	3.62	25238	EUR	
31/07/2015 00:00	3.6	3.61	3.5	3.52	51823	EUR	
03/08/2015 00:00	3.4	3.4	3.2	3.3	125156	EUR	
04/08/2015 00:00	3.33	3.33	3.25	3.25	44760	EUR	
05/08/2015 00:00	3.22	3.22	3.14	3.21	71555	EUR	
06/08/2015 00:00	3.2	3.52	3.18	3.28	193888	EUR	
07/08/2015 00:00	3.28	3.29	3.22	3.23	29558	EUR	
10/08/2015 00:00	3.24	3.25	3.2	3.22	18125	EUR	
11/08/2015 00:00	3.22	3.24	3.2	3.21	9153	EUR	
12/08/2015 00:00	3.2	3.24	3.19	3.19	18718	EUR	
13/08/2015 00:00	3.19	3.24	3.19	3.21	15894	EUR	
14/08/2015 00:00	3.21	3.26	3.21	3.22	12329	EUR	
17/08/2015 00:00	3.22	3.28	3.22	3.26	11613	EUR	
18/08/2015 00:00	3.27	3.27	3.23	3.26	7884	EUR	
19/08/2015 00:00	3.26	3.26	3.2	3.2	19155	EUR	
20/08/2015 00:00	3.21	3.21	2.9	3.07	101844	EUR	
21/08/2015 00:00	3.03	3.03	2.9	2.94	85878	EUR	
24/08/2015 00:00	2.9	2.9	2.62	2.78	49585	EUR	
25/08/2015 00:00	2.84	2.84	2.7	2.77	53917	EUR	
26/08/2015 00:00	2.95	3.63	2.95	3.28	493689	EUR	
27/08/2015 00:00	3.34	3.37	3.2	3.21	106158	EUR	
28/08/2015 00:00	3.21	3.21	3.09	3.14	41571	EUR	
31/08/2015 00:00	3.15	3.21	3.08	3.09	26795	EUR	
01/09/2015 00:00	3.09	3.13	2.99	3.04	46214	EUR	
02/09/2015 00:00	3.03	3.03	2.99	3	9942	EUR	
03/09/2015 00:00	3.01	3.08	3	3.05	14768	EUR	
04/09/2015 00:00	3.05	3.06	2.97	3	31594	EUR	
07/09/2015 00:00	3	3.02	2.9	2.98	23789	EUR	
08/09/2015 00:00	2.99	2.99	2.92	2.99	13801	EUR	
09/09/2015 00:00	3	3	2.95	2.99	37188	EUR	
10/09/2015 00:00	2.99	3	2.93	3	41266	EUR	
11/09/2015 00:00	3.27	3.45	3.14	3.2	345647	EUR	
14/09/2015 00:00	3.27	3.27	3.04	3.1	107961	EUR	
15/09/2015 00:00	3.09	3.1	2.95	2.98	77939	EUR	
16/09/2015 00:00	2.98	2.99	2.83	2.93	95337	EUR	
17/09/2015 00:00	2.94	2.94	2.89	2.89	20807	EUR	
18/09/2015 00:00	3.07	3.19	2.96	3.03	115248	EUR	
21/09/2015 00:00	3.03	3.04	2.93	2.93	23298	EUR	
22/09/2015 00:00	2.94	2.96	2.88	2.9	24254	EUR	
23/09/2015 00:00	2.9	2.91	2.84	2.88	17607	EUR	
24/09/2015 00:00	2.87	2.88	2.75	2.75	25109	EUR	
25/09/2015 00:00	2.75	2.85	2.75	2.83	46786	EUR	
28/09/2015 00:00	2.82	2.82	2.72	2.78	30940	EUR	
29/09/2015 00:00	2.73	2.73	2.65	2.68	40607	EUR	
30/09/2015 00:00	2.68	2.78	2.68	2.78	12596	EUR	
01/10/2015 00:00	2.82	2.9	2.72	2.85	46043	EUR	
02/10/2015 00:00	2.85	2.9	2.78	2.88	36882	EUR	
05/10/2015 00:00	2.95	2.96	2.89	2.92	15716	EUR	
06/10/2015 00:00	2.93	2.96	2.92	2.92	12290	EUR	
07/10/2015 00:00	2.88	2.97	2.87	2.96	24907	EUR	
08/10/2015 00:00	2.75	2.9	2.7	2.87	278139	EUR	
09/10/2015 00:00	2.87	2.89	2.77	2.85	62836	EUR	
12/10/2015 00:00	2.86	2.86	2.75	2.76	20962	EUR	
13/10/2015 00:00	2.75	2.78	2.71	2.77	26695	EUR	
14/10/2015 00:00	2.75	2.75	2.69	2.71	27990	EUR	
15/10/2015 00:00	2.68	2.72	2.67	2.69	23323	EUR	
16/10/2015 00:00	2.54	2.56	2.44	2.55	148660	EUR	
19/10/2015 00:00	2.55	2.55	2.47	2.5	51695	EUR	
20/10/2015 00:00	2.5	2.5	2.45	2.47	20752	EUR	
21/10/2015 00:00	2.47	2.48	2.44	2.46	29825	EUR	
22/10/2015 00:00	2.48	2.5	2.46	2.49	18598	EUR	
23/10/2015 00:00	2.5	2.5	2.44	2.46	27137	EUR	
26/10/2015 00:00	2.5	2.5	2.43	2.43	26467	EUR	
27/10/2015 00:00	2.43	2.46	2.27	2.36	28279	EUR	
28/10/2015 00:00	3.81	4.12	3.55	3.75	2604036	EUR	
29/10/2015 00:00	3.63	3.71	3.27	3.27	477241	EUR	
30/10/2015 00:00	3.27	3.29	3.01	3.18	244650	EUR	
02/11/2015 00:00	3.14	3.45	3.06	3.3	225232	EUR	
03/11/2015 00:00	3.3	3.44	3.16	3.23	225435	EUR	
04/11/2015 00:00	3.26	3.41	3.17	3.27	116453	EUR	
05/11/2015 00:00	3.32	3.37	3.19	3.35	114070	EUR	
06/11/2015 00:00	3.35	3.55	3.31	3.4	158278	EUR	
09/11/2015 00:00	3.4	3.48	3.32	3.32	40470	EUR	
10/11/2015 00:00	3.32	3.32	3.23	3.24	38925	EUR	
11/11/2015 00:00	3.28	3.39	3.24	3.35	45463	EUR	
12/11/2015 00:00	3.37	3.37	3.28	3.31	56562	EUR	
13/11/2015 00:00	3.35	3.35	3.25	3.25	48028	EUR	
16/11/2015 00:00	3.19	3.27	3.1	3.1	94242	EUR	
17/11/2015 00:00	3.1	3.17	3.1	3.13	8420	EUR	
18/11/2015 00:00	3.13	3.28	3.09	3.19	57797	EUR	
19/11/2015 00:00	3.19	3.21	3.17	3.2	9661	EUR	
20/11/2015 00:00	3.19	3.2	3.14	3.14	13428	EUR	
23/11/2015 00:00	3.14	3.15	3.01	3.04	63208	EUR	
24/11/2015 00:00	3.06	3.1	3.03	3.09	28134	EUR	
25/11/2015 00:00	3.09	3.1	3.01	3.01	39937	EUR	
26/11/2015 00:00	3.03	3.07	3.01	3.05	20939	EUR	
27/11/2015 00:00	3.03	3.05	3.03	3.05	14584	EUR	
30/11/2015 00:00	3.04	3.04	2.96	2.98	38040	EUR	
01/12/2015 00:00	3	3.05	2.94	2.99	43092	EUR	
02/12/2015 00:00	2.99	3.01	2.92	2.92	27000	EUR	
03/12/2015 00:00	2.92	2.92	2.81	2.83	67434	EUR	
04/12/2015 00:00	3.09	3.2	2.94	2.98	207971	EUR	
07/12/2015 00:00	2.97	3	2.9	2.98	41565	EUR	
08/12/2015 00:00	2.98	2.98	2.85	2.87	17564	EUR	
09/12/2015 00:00	3.3	3.44	3.07	3.35	540594	EUR	
10/12/2015 00:00	3.35	3.38	3.15	3.2	118559	EUR	
11/12/2015 00:00	3.8	4.18	3.23	3.27	1035164	EUR	
14/12/2015 00:00	3.3	3.35	3.16	3.3	130973	EUR	
15/12/2015 00:00	3.27	3.31	3.2	3.25	52847	EUR	
16/12/2015 00:00	3.25	3.25	3.18	3.21	29914	EUR	
17/12/2015 00:00	3.22	3.38	3.15	3.36	96076	EUR	
18/12/2015 00:00	3.35	3.39	3.26	3.3	36770	EUR	
21/12/2015 00:00	3.31	3.34	3.23	3.24	22595	EUR	
22/12/2015 00:00	3.22	3.24	3.13	3.19	49655	EUR	
23/12/2015 00:00	3.2	3.22	3.14	3.15	26058	EUR	
24/12/2015 00:00	3.15	3.19	3.15	3.19	5557	EUR	
28/12/2015 00:00	3.19	3.19	3.09	3.11	50522	EUR	
29/12/2015 00:00	3.12	3.14	3.08	3.09	39295	EUR	
30/12/2015 00:00	3.09	3.22	3.09	3.09	53512	EUR	
31/12/2015 00:00	3.09	3.12	3.07	3.07	21371	EUR	
04/01/2016 00:00	3.07	3.07	3.01	3.02	32648	EUR	
05/01/2016 00:00	3.01	3.07	2.98	3.03	76221	EUR	
06/01/2016 00:00	3.04	3.06	2.99	3.04	27595	EUR	
07/01/2016 00:00	2.99	3	2.91	2.95	61684	EUR	
08/01/2016 00:00	2.96	3	2.9	3	28159	EUR	
11/01/2016 00:00	3	3.02	2.91	2.91	36095	EUR	
12/01/2016 00:00	2.92	2.97	2.91	2.97	14513	EUR	
