date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	7.85	7.892	7.709	7.717	449719	EUR	
19/05/2015 00:00	7.72	7.75	7.452	7.467	716700	EUR	
20/05/2015 00:00	7.467	7.573	7.44	7.493	369038	EUR	
21/05/2015 00:00	7.55	7.62	7.479	7.549	430796	EUR	
22/05/2015 00:00	7.6	7.684	7.494	7.559	386944	EUR	
25/05/2015 00:00	7.58	7.6	7.454	7.492	84827	EUR	
26/05/2015 00:00	7.505	7.525	7.31	7.339	274284	EUR	
27/05/2015 00:00	7.39	7.4	7.204	7.277	349904	EUR	
28/05/2015 00:00	7.24	7.278	7.13	7.201	418588	EUR	
29/05/2015 00:00	7.183	7.22	7.111	7.129	408725	EUR	
01/06/2015 00:00	7.15	7.186	7.004	7.038	537327	EUR	
02/06/2015 00:00	7.128	7.2	7.009	7.167	445196	EUR	
03/06/2015 00:00	7.199	7.2	7.06	7.13	306262	EUR	
04/06/2015 00:00	7.15	7.15	7.009	7.056	474212	EUR	
05/06/2015 00:00	7.064	7.142	7.007	7.09	308001	EUR	
08/06/2015 00:00	7.062	7.105	7.001	7.041	200873	EUR	
09/06/2015 00:00	7.05	7.064	6.889	7.024	381865	EUR	
10/06/2015 00:00	7.08	7.43	7.07	7.42	696006	EUR	
11/06/2015 00:00	7.43	7.462	7.201	7.202	387237	EUR	
12/06/2015 00:00	7.21	7.27	6.962	7.027	427336	EUR	
15/06/2015 00:00	7.024	7.061	6.84	6.9	413873	EUR	
16/06/2015 00:00	6.92	6.925	6.801	6.923	352363	EUR	
17/06/2015 00:00	7.095	7.15	6.923	6.952	424201	EUR	
18/06/2015 00:00	6.96	6.973	6.85	6.87	468602	EUR	
19/06/2015 00:00	6.85	7.164	6.85	7.093	936563	EUR	
22/06/2015 00:00	7.2	7.2	7	7.04	371006	EUR	
23/06/2015 00:00	7.098	7.167	7.06	7.138	274649	EUR	
24/06/2015 00:00	7.112	7.235	7.104	7.114	259449	EUR	
25/06/2015 00:00	7.12	7.122	7	7.027	321746	EUR	
26/06/2015 00:00	7.02	7.06	6.964	6.983	217467	EUR	
29/06/2015 00:00	6.8	6.83	6.751	6.752	509693	EUR	
30/06/2015 00:00	6.752	6.771	6.553	6.662	607179	EUR	
01/07/2015 00:00	6.751	6.818	6.659	6.723	379316	EUR	
02/07/2015 00:00	6.75	6.8	6.65	6.785	245886	EUR	
03/07/2015 00:00	6.77	6.784	6.57	6.602	343292	EUR	
06/07/2015 00:00	6.552	6.553	6.4	6.418	407711	EUR	
07/07/2015 00:00	6.4	6.41	6.07	6.085	549276	EUR	
08/07/2015 00:00	6.1	6.32	6.1	6.189	361057	EUR	
09/07/2015 00:00	6.233	6.348	6.109	6.311	508757	EUR	
10/07/2015 00:00	6.41	6.497	6.388	6.442	498950	EUR	
13/07/2015 00:00	6.428	6.477	6.349	6.408	286873	EUR	
14/07/2015 00:00	6.45	6.573	6.4	6.573	270459	EUR	
15/07/2015 00:00	6.599	6.634	6.42	6.449	243651	EUR	
16/07/2015 00:00	6.469	6.49	6.407	6.459	268977	EUR	
17/07/2015 00:00	6.48	6.48	6.4	6.418	397211	EUR	
20/07/2015 00:00	6.418	6.428	6.16	6.214	516395	EUR	
21/07/2015 00:00	6.22	6.308	6.187	6.254	251812	EUR	
22/07/2015 00:00	6.249	6.249	6.07	6.089	428688	EUR	
23/07/2015 00:00	6.13	6.18	6.064	6.089	253426	EUR	
24/07/2015 00:00	6.089	6.123	6	6.036	371195	EUR	
27/07/2015 00:00	6.037	6.04	5.81	5.848	456846	EUR	
28/07/2015 00:00	5.88	5.915	5.773	5.806	373801	EUR	
29/07/2015 00:00	5.821	5.89	5.686	5.875	555320	EUR	
30/07/2015 00:00	5.9	6.031	5.806	5.832	461466	EUR	
31/07/2015 00:00	5.833	5.873	5.703	5.841	378459	EUR	
03/08/2015 00:00	5.839	5.921	5.721	5.817	456798	EUR	
04/08/2015 00:00	5.817	5.817	5.395	5.417	1087843	EUR	
05/08/2015 00:00	5.444	5.444	5.179	5.216	1045680	EUR	
06/08/2015 00:00	5.211	5.213	5.041	5.046	911879	EUR	
07/08/2015 00:00	5.062	5.2	5.062	5.117	483135	EUR	
10/08/2015 00:00	5.16	5.16	5.007	5.125	536532	EUR	
11/08/2015 00:00	5.148	5.29	5.041	5.051	525912	EUR	
12/08/2015 00:00	5.08	5.22	5.003	5.19	651611	EUR	
13/08/2015 00:00	5.261	5.261	5.073	5.097	564033	EUR	
14/08/2015 00:00	5.12	5.15	5.025	5.031	436521	EUR	
17/08/2015 00:00	5.03	5.046	4.961	5.004	492089	EUR	
18/08/2015 00:00	5.003	5.01	4.85	4.879	556831	EUR	
19/08/2015 00:00	4.855	4.88	4.654	4.654	890193	EUR	
20/08/2015 00:00	4.65	4.65	4.473	4.539	1214724	EUR	
21/08/2015 00:00	4.51	4.698	4.46	4.61	703079	EUR	
24/08/2015 00:00	4.594	4.6	4.135	4.18	1095994	EUR	
25/08/2015 00:00	4.24	4.421	4.223	4.274	814104	EUR	
26/08/2015 00:00	4.249	4.495	4.168	4.335	1122468	EUR	
27/08/2015 00:00	4.517	4.72	4.417	4.69	909221	EUR	
28/08/2015 00:00	4.818	4.941	4.61	4.829	1670955	EUR	
31/08/2015 00:00	4.845	4.845	4.658	4.694	575768	EUR	
01/09/2015 00:00	4.711	4.751	4.565	4.575	676527	EUR	
02/09/2015 00:00	4.567	4.625	4.375	4.416	829638	EUR	
03/09/2015 00:00	4.45	4.694	4.426	4.598	772616	EUR	
04/09/2015 00:00	4.553	4.56	4.407	4.407	725053	EUR	
07/09/2015 00:00	4.41	4.42	4.25	4.258	637829	EUR	
08/09/2015 00:00	4.265	4.281	4.153	4.166	698207	EUR	
09/09/2015 00:00	4.251	4.28	4.131	4.14	638327	EUR	
10/09/2015 00:00	4.11	4.131	3.951	4.04	1038542	EUR	
11/09/2015 00:00	4.087	4.163	3.911	3.923	736785	EUR	
14/09/2015 00:00	3.94	4.026	3.792	3.792	753583	EUR	
15/09/2015 00:00	3.81	3.819	3.602	3.671	1232720	EUR	
16/09/2015 00:00	3.69	3.8	3.666	3.798	868673	EUR	
17/09/2015 00:00	3.82	3.865	3.607	3.649	1104184	EUR	
18/09/2015 00:00	3.658	3.67	3.56	3.655	1256564	EUR	
21/09/2015 00:00	3.65	3.695	3.57	3.579	511934	EUR	
22/09/2015 00:00	3.64	3.69	3.352	3.411	1083900	EUR	
23/09/2015 00:00	3.41	3.48	3.327	3.327	638683	EUR	
24/09/2015 00:00	3.33	3.368	3.13	3.169	1053925	EUR	
25/09/2015 00:00	3.206	3.274	3.132	3.153	909054	EUR	
28/09/2015 00:00	3.2	3.2	3.055	3.114	814396	EUR	
29/09/2015 00:00	3.053	3.155	3.045	3.082	768722	EUR	
30/09/2015 00:00	3.148	3.34	3.14	3.311	1128727	EUR	
01/10/2015 00:00	3.386	3.556	3.38	3.475	1207601	EUR	
02/10/2015 00:00	3.537	3.64	3.487	3.587	752249	EUR	
05/10/2015 00:00	3.687	4.067	3.687	4.065	1230323	EUR	
06/10/2015 00:00	4.08	4.212	3.9	4.179	955131	EUR	
07/10/2015 00:00	4.292	4.61	4.25	4.384	1810111	EUR	
08/10/2015 00:00	4.356	4.4	4.133	4.309	1307071	EUR	
09/10/2015 00:00	4.414	4.55	4.28	4.345	1412917	EUR	
12/10/2015 00:00	4.411	4.471	4.18	4.232	931182	EUR	
13/10/2015 00:00	4.175	4.175	3.95	4.07	1141535	EUR	
14/10/2015 00:00	4.035	4.1	3.954	4.021	938143	EUR	
15/10/2015 00:00	4.034	4.097	3.924	3.956	904225	EUR	
16/10/2015 00:00	4.009	4.087	3.94	4.004	1160103	EUR	
19/10/2015 00:00	4.01	4.024	3.79	3.811	824642	EUR	
20/10/2015 00:00	3.79	3.79	3.636	3.718	820509	EUR	
21/10/2015 00:00	3.717	3.744	3.587	3.614	1079407	EUR	
22/10/2015 00:00	3.635	3.65	3.583	3.625	655812	EUR	
23/10/2015 00:00	3.676	3.71	3.516	3.55	898747	EUR	
26/10/2015 00:00	3.55	3.569	3.42	3.468	744606	EUR	
27/10/2015 00:00	3.451	3.451	3.27	3.29	1130365	EUR	
28/10/2015 00:00	3.301	3.54	3.275	3.469	1346334	EUR	
29/10/2015 00:00	3.493	3.5	3.28	3.294	1245564	EUR	
30/10/2015 00:00	3.312	3.319	3.231	3.279	1060871	EUR	
02/11/2015 00:00	3.289	3.365	3.26	3.335	1122411	EUR	
03/11/2015 00:00	3.33	3.519	3.302	3.51	1764585	EUR	
04/11/2015 00:00	3.639	3.804	3.582	3.583	2817251	EUR	
05/11/2015 00:00	3.605	3.662	3.321	3.356	2100942	EUR	
06/11/2015 00:00	3.295	3.478	3.275	3.328	1633374	EUR	
09/11/2015 00:00	3.375	3.635	3.361	3.45	1712273	EUR	
10/11/2015 00:00	3.476	3.506	3.274	3.276	1745754	EUR	
11/11/2015 00:00	3.3	3.36	3.211	3.212	1664395	EUR	
12/11/2015 00:00	3.231	3.253	3.11	3.11	1404914	EUR	
13/11/2015 00:00	3.12	3.196	3.028	3.06	1607520	EUR	
16/11/2015 00:00	3.096	3.248	3	3.001	2021834	EUR	
17/11/2015 00:00	3.079	3.125	3.009	3.046	1421625	EUR	
18/11/2015 00:00	3.05	3.19	3.049	3.131	1456350	EUR	
19/11/2015 00:00	3.184	3.19	3.102	3.16	1107404	EUR	
20/11/2015 00:00	3.152	3.16	3.053	3.067	838487	EUR	
23/11/2015 00:00	3.051	3.063	2.953	3.03	1602594	EUR	
24/11/2015 00:00	3.048	3.109	2.981	3.07	945436	EUR	
25/11/2015 00:00	3.099	3.139	3.011	3.04	1253259	EUR	
26/11/2015 00:00	3.074	3.14	3.046	3.12	1072542	EUR	
27/11/2015 00:00	3.102	3.102	3.019	3.036	1491663	EUR	
30/11/2015 00:00	3.055	3.08	3.012	3.054	726094	EUR	
01/12/2015 00:00	3.087	3.113	3.05	3.073	685281	EUR	
02/12/2015 00:00	3.087	3.087	3.015	3.029	895853	EUR	
03/12/2015 00:00	3.02	3.088	3	3.011	1278204	EUR	
04/12/2015 00:00	3.017	3.068	2.86	2.895	2070152	EUR	
07/12/2015 00:00	2.92	2.95	2.715	2.716	1941155	EUR	
08/12/2015 00:00	2.73	2.787	2.642	2.746	1744184	EUR	
09/12/2015 00:00	2.752	2.82	2.64	2.766	1621604	EUR	
10/12/2015 00:00	2.759	2.862	2.733	2.84	1610168	EUR	
11/12/2015 00:00	2.834	2.834	2.76	2.801	1396958	EUR	
14/12/2015 00:00	2.794	2.794	2.661	2.661	1268948	EUR	
15/12/2015 00:00	2.689	2.785	2.651	2.771	1960325	EUR	
16/12/2015 00:00	2.855	2.882	2.77	2.789	1758398	EUR	
17/12/2015 00:00	2.819	2.845	2.715	2.758	1318864	EUR	
18/12/2015 00:00	2.765	2.795	2.637	2.641	1976485	EUR	
21/12/2015 00:00	2.649	2.736	2.648	2.681	1175114	EUR	
22/12/2015 00:00	2.701	2.769	2.665	2.769	822660	EUR	
23/12/2015 00:00	2.799	3.043	2.79	3.043	2951779	EUR	
24/12/2015 00:00	3.068	3.09	3.041	3.062	728751	EUR	
28/12/2015 00:00	3.077	3.125	3.037	3.042	1042763	EUR	
29/12/2015 00:00	3.04	3.12	2.97	3.12	732137	EUR	
30/12/2015 00:00	3.11	3.12	3.02	3.03	789575	EUR	
31/12/2015 00:00	3.02	3.02	2.97	2.97	420650	EUR	
04/01/2016 00:00	2.97	3	2.94	2.95	875933	EUR	
05/01/2016 00:00	2.97	2.99	2.87	2.88	712278	EUR	
06/01/2016 00:00	2.88	2.89	2.75	2.76	1169359	EUR	
07/01/2016 00:00	2.64	2.69	2.6	2.63	1414573	EUR	
08/01/2016 00:00	2.66	2.68	2.51	2.51	1426693	EUR	
11/01/2016 00:00	2.51	2.51	2.4	2.4	1166575	EUR	
12/01/2016 00:00	2.32	2.46	2.26	2.35	2201753	EUR	
13/01/2016 00:00	2.43	2.56	2.41	2.47	1855985	EUR	
14/01/2016 00:00	2.43	2.7	2.34	2.71	1966820	EUR	
