date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	2.67	2.67	2.61	2.67	1037	EUR	
19/05/2015 00:00	2.58	2.59	2.5	2.59	11240	EUR	
20/05/2015 00:00	2.53	2.53	2.49	2.53	5991	EUR	
21/05/2015 00:00	2.53	2.53	2.53	2.53	821	EUR	
22/05/2015 00:00	2.53	2.55	2.43	2.54	1930	EUR	
25/05/2015 00:00	2.52	2.52	2.52	2.52	1	EUR	
26/05/2015 00:00	2.5	2.5	2.42	2.5	1333	EUR	
27/05/2015 00:00	2.49	2.49	2.4	2.48	1668	EUR	
28/05/2015 00:00	2.48	2.48	2.48	2.48	1	EUR	
29/05/2015 00:00	2.48	2.48	2.38	2.44	202	EUR	
01/06/2015 00:00	2.4	2.41	2.34	2.41	2469	EUR	
02/06/2015 00:00	2.39	2.39	2.34	2.34	2562	EUR	
03/06/2015 00:00	2.37	2.44	2.31	2.39	14902	EUR	
04/06/2015 00:00	2.44	2.44	2.36	2.37	1762	EUR	
05/06/2015 00:00	2.37	2.44	2.37	2.38	691	EUR	
08/06/2015 00:00	2.37	2.37	2.37	2.37	510	EUR	
09/06/2015 00:00	2.37	2.46	2.37	2.38	502	EUR	
10/06/2015 00:00	2.39	2.39	2.39	2.39	1	EUR	
11/06/2015 00:00	2.39	2.49	2.39	2.39	7	EUR	
12/06/2015 00:00	2.39	2.43	2.37	2.43	2807	EUR	
15/06/2015 00:00	2.42	2.49	2.42	2.45	1170	EUR	
16/06/2015 00:00	2.44	2.44	2.35	2.36	2274	EUR	
17/06/2015 00:00	2.36	2.36	2.32	2.34	292	EUR	
18/06/2015 00:00	2.34	2.35	2.31	2.35	1641	EUR	
19/06/2015 00:00	2.34	2.34	2.15	2.29	8589	EUR	
22/06/2015 00:00	2.29	2.3	2.19	2.3	2979	EUR	
23/06/2015 00:00	2.3	2.39	2.3	2.39	2798	EUR	
24/06/2015 00:00	2.38	2.38	2.3	2.38	1868	EUR	
25/06/2015 00:00	2.38	2.38	2.31	2.38	1503	EUR	
26/06/2015 00:00	2.38	2.43	2.38	2.38	131	EUR	
29/06/2015 00:00	2.38	2.38	2.38	2.38	1	EUR	
30/06/2015 00:00	2.38	2.38	2.26	2.37	2331	EUR	
01/07/2015 00:00	2.37	2.43	2.37	2.43	2305	EUR	
02/07/2015 00:00	2.43	2.43	2.43	2.43	501	EUR	
03/07/2015 00:00	2.43	2.52	2.43	2.5	1796	EUR	
06/07/2015 00:00	2.48	2.52	2.48	2.51	891	EUR	
07/07/2015 00:00	2.51	2.53	2.51	2.53	1599	EUR	
08/07/2015 00:00	2.52	2.65	2.5	2.58	2560	EUR	
09/07/2015 00:00	2.58	2.58	2.58	2.58	1	EUR	
10/07/2015 00:00	2.58	2.58	2.41	2.46	1779	EUR	
13/07/2015 00:00	2.47	2.56	2.47	2.56	916	EUR	
14/07/2015 00:00	2.56	2.58	2.5	2.57	622	EUR	
15/07/2015 00:00	2.57	2.57	2.43	2.57	1724	EUR	
16/07/2015 00:00	2.78	2.78	2.66	2.71	17083	EUR	
17/07/2015 00:00	2.84	2.84	2.76	2.82	11154	EUR	
20/07/2015 00:00	2.75	2.82	2.71	2.78	11740	EUR	
21/07/2015 00:00	2.78	2.78	2.72	2.75	2751	EUR	
22/07/2015 00:00	2.75	2.75	2.72	2.72	133	EUR	
23/07/2015 00:00	2.72	2.72	2.72	2.72	1011	EUR	
24/07/2015 00:00	2.72	2.75	2.65	2.75	991	EUR	
27/07/2015 00:00	2.66	2.66	2.66	2.66	700	EUR	
28/07/2015 00:00	2.66	2.72	2.65	2.65	1720	EUR	
29/07/2015 00:00	2.65	2.65	2.41	2.6	4848	EUR	
30/07/2015 00:00	2.59	2.59	2.49	2.57	1769	EUR	
31/07/2015 00:00	2.57	2.6	2.44	2.6	3148	EUR	
03/08/2015 00:00	2.63	2.63	2.52	2.58	2866	EUR	
04/08/2015 00:00	2.58	2.58	2.55	2.57	1072	EUR	
05/08/2015 00:00	2.57	2.63	2.57	2.63	20	EUR	
06/08/2015 00:00	2.64	2.75	2.64	2.73	4375	EUR	
07/08/2015 00:00	2.73	2.74	2.6	2.72	1733	EUR	
10/08/2015 00:00	2.72	2.72	2.63	2.72	811	EUR	
11/08/2015 00:00	2.72	2.72	2.51	2.69	4420	EUR	
12/08/2015 00:00	2.56	2.71	2.55	2.69	708	EUR	
13/08/2015 00:00	2.69	2.69	2.56	2.63	1609	EUR	
14/08/2015 00:00	2.65	2.65	2.56	2.64	216	EUR	
17/08/2015 00:00	2.64	2.64	2.55	2.64	2721	EUR	
18/08/2015 00:00	2.64	2.64	2.64	2.64	951	EUR	
19/08/2015 00:00	2.64	2.64	2.52	2.62	1455	EUR	
20/08/2015 00:00	2.62	2.62	2.52	2.52	633	EUR	
21/08/2015 00:00	2.52	2.57	2.52	2.57	401	EUR	
24/08/2015 00:00	2.69	2.69	2.33	2.44	2970	EUR	
25/08/2015 00:00	2.44	2.57	2.44	2.56	1728	EUR	
26/08/2015 00:00	2.55	2.55	2.55	2.55	1	EUR	
27/08/2015 00:00	2.55	2.58	2.54	2.58	2108	EUR	
28/08/2015 00:00	2.58	2.62	2.58	2.62	633	EUR	
31/08/2015 00:00	2.69	2.7	2.65	2.65	3299	EUR	
01/09/2015 00:00	2.65	2.65	2.57	2.57	1401	EUR	
02/09/2015 00:00	2.56	2.65	2.56	2.65	549	EUR	
03/09/2015 00:00	2.65	2.65	2.65	2.65	576	EUR	
04/09/2015 00:00	2.65	2.66	2.65	2.65	230	EUR	
07/09/2015 00:00	2.65	2.65	2.65	2.65	483	EUR	
08/09/2015 00:00	2.65	2.65	2.65	2.65	1001	EUR	
09/09/2015 00:00	2.65	2.65	2.65	2.65	551	EUR	
10/09/2015 00:00	2.57	2.58	2.57	2.58	986	EUR	
11/09/2015 00:00	2.58	2.6	2.43	2.6	1761	EUR	
14/09/2015 00:00	2.6	2.6	2.51	2.59	2570	EUR	
15/09/2015 00:00	2.59	2.59	2.51	2.58	762	EUR	
16/09/2015 00:00	2.58	2.58	2.58	2.58	1	EUR	
17/09/2015 00:00	2.58	2.59	2.5	2.59	601	EUR	
18/09/2015 00:00	2.59	2.59	2.59	2.59	1	EUR	
21/09/2015 00:00	2.58	2.58	2.58	2.58	1	EUR	
22/09/2015 00:00	2.58	2.58	2.58	2.58	1	EUR	
23/09/2015 00:00	2.57	2.57	2.57	2.57	1	EUR	
24/09/2015 00:00	2.57	2.57	2.57	2.57	1	EUR	
25/09/2015 00:00	2.57	2.59	2.46	2.46	1476	EUR	
28/09/2015 00:00	2.46	2.46	2.45	2.45	251	EUR	
29/09/2015 00:00	2.42	2.43	2.42	2.43	2170	EUR	
30/09/2015 00:00	2.43	2.64	2.43	2.64	5423	EUR	
01/10/2015 00:00	2.64	2.69	2.64	2.68	1076	EUR	
02/10/2015 00:00	2.68	2.74	2.68	2.74	381	EUR	
05/10/2015 00:00	2.66	2.67	2.53	2.67	1401	EUR	
06/10/2015 00:00	2.66	2.78	2.48	2.78	7433	EUR	
07/10/2015 00:00	2.77	2.95	2.65	2.88	9246	EUR	
08/10/2015 00:00	2.86	2.86	2.76	2.8	397	EUR	
09/10/2015 00:00	2.8	3.08	2.79	3.08	16728	EUR	
12/10/2015 00:00	3.05	3.08	2.95	3.08	12653	EUR	
13/10/2015 00:00	3.01	3.09	2.71	2.73	35107	EUR	
14/10/2015 00:00	2.73	2.9	2.63	2.67	10542	EUR	
15/10/2015 00:00	2.67	2.73	2.59	2.72	5035	EUR	
16/10/2015 00:00	2.72	2.73	2.63	2.72	1471	EUR	
19/10/2015 00:00	2.73	2.74	2.62	2.74	7201	EUR	
20/10/2015 00:00	2.73	2.79	2.66	2.78	6067	EUR	
21/10/2015 00:00	2.77	2.77	2.68	2.75	6707	EUR	
