date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	2.06	2.06	1.97	2.04	16893	EUR	
19/05/2015 00:00	2.04	2.06	2.03	2.05	5333	EUR	
20/05/2015 00:00	2.03	2.07	2.03	2.07	2598	EUR	
21/05/2015 00:00	2.06	2.06	2.03	2.03	12007	EUR	
22/05/2015 00:00	2.04	2.04	2.02	2.02	4545	EUR	
25/05/2015 00:00	2.05	2.05	2	2.03	5334	EUR	
26/05/2015 00:00	2.03	2.05	2.01	2.01	6065	EUR	
27/05/2015 00:00	2.02	2.04	2	2.01	10939	EUR	
28/05/2015 00:00	2.02	2.04	2.02	2.03	3547	EUR	
29/05/2015 00:00	2.01	2.03	1.99	2.01	24747	EUR	
01/06/2015 00:00	2	2.03	1.98	2.01	12622	EUR	
02/06/2015 00:00	2.01	2.01	1.96	2	12902	EUR	
03/06/2015 00:00	2.01	2.02	1.99	2.02	4317	EUR	
04/06/2015 00:00	2.03	2.03	1.98	2	21271	EUR	
05/06/2015 00:00	2.01	2.03	2	2	12358	EUR	
08/06/2015 00:00	2	2	1.98	1.98	5066	EUR	
09/06/2015 00:00	1.98	2	1.97	1.98	4071	EUR	
10/06/2015 00:00	1.99	2.16	1.99	2.12	83535	EUR	
11/06/2015 00:00	2.15	2.16	2.11	2.15	37821	EUR	
12/06/2015 00:00	2.14	2.14	2.09	2.09	12510	EUR	
15/06/2015 00:00	2.11	2.11	2.01	2.04	42438	EUR	
16/06/2015 00:00	2.01	2.04	2.01	2.03	9695	EUR	
17/06/2015 00:00	2.03	2.05	2.01	2.01	12033	EUR	
18/06/2015 00:00	2.02	2.02	1.96	2	27423	EUR	
19/06/2015 00:00	2	2.02	1.97	2.02	16506	EUR	
22/06/2015 00:00	2.03	2.08	1.99	2.08	29496	EUR	
23/06/2015 00:00	2.05	2.18	2.05	2.18	116278	EUR	
24/06/2015 00:00	2.15	2.19	2.13	2.18	18451	EUR	
25/06/2015 00:00	2.16	2.19	2.14	2.15	20443	EUR	
26/06/2015 00:00	2.16	2.17	2.12	2.13	21897	EUR	
29/06/2015 00:00	2	2.03	1.95	1.99	47982	EUR	
30/06/2015 00:00	1.98	1.99	1.96	1.97	4101	EUR	
01/07/2015 00:00	2.02	2.06	2.01	2.05	12186	EUR	
02/07/2015 00:00	2.04	2.04	2	2	3586	EUR	
03/07/2015 00:00	1.98	2	1.9	1.99	13837	EUR	
06/07/2015 00:00	1.97	1.99	1.94	1.99	7152	EUR	
07/07/2015 00:00	1.99	2	1.96	2	10678	EUR	
08/07/2015 00:00	2	2.1	1.95	2.08	17312	EUR	
09/07/2015 00:00	2.05	2.1	2	2.04	14474	EUR	
10/07/2015 00:00	2.04	2.07	2.04	2.05	5352	EUR	
13/07/2015 00:00	2.03	2.15	2.03	2.07	17129	EUR	
14/07/2015 00:00	2.07	2.09	2.07	2.09	1158	EUR	
15/07/2015 00:00	2.08	2.13	2.06	2.12	6758	EUR	
16/07/2015 00:00	2.11	2.13	2.08	2.1	12677	EUR	
17/07/2015 00:00	2.14	2.15	2.1	2.14	19995	EUR	
20/07/2015 00:00	2.15	2.19	2.13	2.19	33782	EUR	
21/07/2015 00:00	2.22	2.4	2.22	2.31	180626	EUR	
22/07/2015 00:00	2.35	2.35	2.19	2.35	54198	EUR	
23/07/2015 00:00	2.34	2.34	2.2	2.25	51609	EUR	
24/07/2015 00:00	2.25	2.26	2.22	2.25	17089	EUR	
27/07/2015 00:00	2.25	2.25	2.17	2.19	26689	EUR	
28/07/2015 00:00	2.15	2.18	2.14	2.18	5250	EUR	
29/07/2015 00:00	2.18	2.27	2.18	2.2	45088	EUR	
30/07/2015 00:00	2.2	2.2	2.15	2.19	12931	EUR	
31/07/2015 00:00	2.19	2.34	2.19	2.24	68293	EUR	
03/08/2015 00:00	2.22	2.26	2.22	2.25	7423	EUR	
04/08/2015 00:00	2.24	2.26	2.2	2.24	10420	EUR	
05/08/2015 00:00	2.24	2.24	2.21	2.22	9075	EUR	
06/08/2015 00:00	2.22	2.23	2.16	2.16	8226	EUR	
07/08/2015 00:00	2.17	2.21	2.15	2.18	11488	EUR	
10/08/2015 00:00	2.18	2.18	2.13	2.18	15755	EUR	
11/08/2015 00:00	2.17	2.18	2.15	2.18	2584	EUR	
12/08/2015 00:00	2.15	2.15	2.05	2.06	47586	EUR	
13/08/2015 00:00	2.05	2.12	2.05	2.09	4137	EUR	
14/08/2015 00:00	2.09	2.13	2.09	2.12	14812	EUR	
17/08/2015 00:00	2.05	2.11	2.05	2.1	2494	EUR	
18/08/2015 00:00	2.1	2.12	2.09	2.12	3695	EUR	
19/08/2015 00:00	2.11	2.11	2.08	2.08	5033	EUR	
20/08/2015 00:00	2.09	2.09	2.07	2.08	4895	EUR	
21/08/2015 00:00	2.07	2.09	2.03	2.05	9042	EUR	
24/08/2015 00:00	2.02	2.02	1.91	1.93	24643	EUR	
25/08/2015 00:00	1.93	2.02	1.93	2.01	14659	EUR	
26/08/2015 00:00	1.97	1.99	1.95	1.97	17289	EUR	
27/08/2015 00:00	1.99	2.06	1.96	2.02	20030	EUR	
28/08/2015 00:00	2.03	2.06	2.02	2.06	3485	EUR	
31/08/2015 00:00	2.06	2.1	1.96	2.03	22496	EUR	
01/09/2015 00:00	2.08	2.39	2.08	2.12	173066	EUR	
02/09/2015 00:00	2.1	2.12	2.05	2.09	30448	EUR	
03/09/2015 00:00	2.08	2.12	2.07	2.08	6381	EUR	
04/09/2015 00:00	2.09	2.09	2.01	2.07	20455	EUR	
07/09/2015 00:00	2.07	2.09	2.02	2.08	8407	EUR	
08/09/2015 00:00	2.08	2.09	2.04	2.07	4200	EUR	
09/09/2015 00:00	2.11	2.11	2	2.05	22347	EUR	
10/09/2015 00:00	2.06	2.06	2.02	2.05	6925	EUR	
11/09/2015 00:00	2.05	2.06	2	2.06	13048	EUR	
14/09/2015 00:00	2.1	2.12	2.08	2.1	6420	EUR	
15/09/2015 00:00	2.1	2.1	2.01	2.09	10352	EUR	
16/09/2015 00:00	2.09	2.09	2.03	2.08	3611	EUR	
17/09/2015 00:00	2.08	2.26	2.03	2.26	72902	EUR	
18/09/2015 00:00	2.18	2.23	2.13	2.19	20498	EUR	
21/09/2015 00:00	2.13	2.2	2.1	2.15	8521	EUR	
22/09/2015 00:00	2.15	2.15	2.09	2.1	7806	EUR	
23/09/2015 00:00	2.09	2.14	2.03	2.14	30299	EUR	
