date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	21.41	21.64	21.355	21.445	103772	EUR	
19/05/2015 00:00	21.45	22.07	21.45	22.06	117760	EUR	
20/05/2015 00:00	22.1	22.135	21.65	21.79	93651	EUR	
21/05/2015 00:00	21.79	21.82	21.605	21.82	186004	EUR	
22/05/2015 00:00	21.82	21.96	21.69	21.73	145386	EUR	
25/05/2015 00:00	21.75	21.825	21.66	21.735	29027	EUR	
26/05/2015 00:00	21.7	21.8	21.5	21.5	129475	EUR	
27/05/2015 00:00	21.48	21.78	21.455	21.685	159596	EUR	
28/05/2015 00:00	21.675	22.015	21.675	21.805	116303	EUR	
29/05/2015 00:00	21.795	21.96	21.595	21.67	203717	EUR	
01/06/2015 00:00	21.68	21.78	21.36	21.4	193544	EUR	
02/06/2015 00:00	21.42	21.44	21.03	21.065	146635	EUR	
03/06/2015 00:00	21.055	21.14	20.57	20.605	144712	EUR	
04/06/2015 00:00	20.65	20.7	20.26	20.53	129409	EUR	
05/06/2015 00:00	20.65	20.65	20.315	20.465	125726	EUR	
08/06/2015 00:00	20.45	20.63	20.39	20.39	83814	EUR	
09/06/2015 00:00	20.35	20.7	20.3	20.605	101240	EUR	
10/06/2015 00:00	20.6	20.83	20.51	20.7	98095	EUR	
11/06/2015 00:00	20.73	21.315	20.69	21.145	142345	EUR	
12/06/2015 00:00	21.135	21.16	20.37	20.685	173128	EUR	
15/06/2015 00:00	20.675	20.72	20.34	20.51	92086	EUR	
16/06/2015 00:00	20.5	20.57	20.225	20.42	145346	EUR	
17/06/2015 00:00	20.41	20.535	19.96	19.99	101124	EUR	
18/06/2015 00:00	19.95	20.03	19.56	19.865	110120	EUR	
19/06/2015 00:00	19.85	20.16	19.7	19.725	156799	EUR	
22/06/2015 00:00	19.94	20.265	19.84	19.96	87486	EUR	
23/06/2015 00:00	20.03	20.89	20.025	20.82	142961	EUR	
24/06/2015 00:00	20.715	20.775	20.45	20.7	74099	EUR	
25/06/2015 00:00	20.63	20.645	20.25	20.395	135313	EUR	
26/06/2015 00:00	20.38	20.8	20.205	20.715	96031	EUR	
29/06/2015 00:00	20.35	20.435	20.115	20.155	75132	EUR	
30/06/2015 00:00	20.17	20.175	19.875	20.015	95818	EUR	
01/07/2015 00:00	20.025	20.195	19.81	19.98	176156	EUR	
02/07/2015 00:00	19.99	20.19	19.925	19.925	99505	EUR	
03/07/2015 00:00	19.99	20.11	19.9	20.11	60132	EUR	
06/07/2015 00:00	20.11	20.11	19.555	19.555	109328	EUR	
07/07/2015 00:00	19.565	19.73	19.48	19.6	101807	EUR	
08/07/2015 00:00	19.61	19.81	19.53	19.64	100568	EUR	
09/07/2015 00:00	19.65	20.015	19.585	19.99	71499	EUR	
10/07/2015 00:00	20.09	20.595	20.02	20.495	115084	EUR	
13/07/2015 00:00	20.55	21.25	20.55	21.175	65591	EUR	
14/07/2015 00:00	21.19	21.19	20.85	21.13	88918	EUR	
15/07/2015 00:00	21.12	21.25	21.045	21.13	48640	EUR	
16/07/2015 00:00	21.14	21.555	21.125	21.555	99692	EUR	
17/07/2015 00:00	21.565	21.61	21.44	21.565	86239	EUR	
20/07/2015 00:00	21.465	21.64	21.35	21.45	100345	EUR	
21/07/2015 00:00	21.45	21.48	20.935	21.065	84387	EUR	
22/07/2015 00:00	21.05	21.05	20.745	20.795	69007	EUR	
23/07/2015 00:00	20.81	20.87	20.365	20.43	89022	EUR	
24/07/2015 00:00	20.485	20.695	20.355	20.43	138550	EUR	
27/07/2015 00:00	20.4	20.55	19.955	20.04	97168	EUR	
28/07/2015 00:00	20.2	21	20	20.7	284509	EUR	
29/07/2015 00:00	20.71	21.2	20.71	20.775	116623	EUR	
30/07/2015 00:00	20.9	20.995	20.56	20.645	103877	EUR	
31/07/2015 00:00	20.65	20.945	20.65	20.76	175742	EUR	
03/08/2015 00:00	20.75	21.15	20.75	20.965	149040	EUR	
04/08/2015 00:00	21.04	21.4	20.865	21.285	116276	EUR	
05/08/2015 00:00	21.28	21.39	21.07	21.16	86981	EUR	
06/08/2015 00:00	21.16	21.34	21.105	21.22	77257	EUR	
07/08/2015 00:00	21.15	21.32	21.045	21.1	78061	EUR	
10/08/2015 00:00	21.095	21.275	20.905	21.08	163721	EUR	
11/08/2015 00:00	21.07	21.125	20.8	20.82	124078	EUR	
12/08/2015 00:00	20.81	20.84	20.275	20.35	171054	EUR	
13/08/2015 00:00	20.6	20.78	20.455	20.675	134637	EUR	
14/08/2015 00:00	20.695	20.99	20.62	20.71	112634	EUR	
17/08/2015 00:00	20.715	20.9	20.485	20.61	165611	EUR	
18/08/2015 00:00	20.6	20.935	20.57	20.935	144161	EUR	
19/08/2015 00:00	20.92	21.035	20.865	20.925	186985	EUR	
20/08/2015 00:00	20.92	20.97	20.615	20.9	186584	EUR	
21/08/2015 00:00	20.91	21.905	20.91	21.145	378812	EUR	
24/08/2015 00:00	20.935	20.935	19.475	19.625	248109	EUR	
25/08/2015 00:00	19.81	20.21	19.66	20.1	176688	EUR	
26/08/2015 00:00	20.09	20.28	19.82	19.995	199860	EUR	
27/08/2015 00:00	20.33	20.545	19.99	20.545	95637	EUR	
28/08/2015 00:00	20.53	20.56	20.17	20.22	180594	EUR	
31/08/2015 00:00	20.21	20.26	20.025	20.05	124566	EUR	
