date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	0.9	0.9	0.9	0.9	2800	EUR	
19/05/2015 00:00	0.97	0.97	0.97	0.97	0	EUR	
22/05/2015 00:00	1	1	1	1	3150	EUR	
25/05/2015 00:00	0.97	0.97	0.97	0.97	3300	EUR	
26/05/2015 00:00	1	1	1	1	1000	EUR	
27/05/2015 00:00	0.93	0.93	0.93	0.93	2733	EUR	
28/05/2015 00:00	0.85	0.85	0.85	0.85	195	EUR	
29/05/2015 00:00	0.98	0.98	0.98	0.98	100	EUR	
01/06/2015 00:00	0.98	0.98	0.98	0.98	820	EUR	
02/06/2015 00:00	0.99	0.99	0.99	0.99	0	EUR	
04/06/2015 00:00	0.93	0.93	0.93	0.93	600	EUR	
05/06/2015 00:00	1	1	1	1	311	EUR	
11/06/2015 00:00	1	1	1	1	2456	EUR	
12/06/2015 00:00	1	1	1	1	2590	EUR	
16/06/2015 00:00	1	1	1	1	0	EUR	
18/06/2015 00:00	0.96	0.96	0.96	0.96	0	EUR	
22/06/2015 00:00	0.93	0.93	0.93	0.93	0	EUR	
25/06/2015 00:00	0.99	0.99	0.99	0.99	122	EUR	
26/06/2015 00:00	1	1	1	1	1010	EUR	
06/07/2015 00:00	0.83	0.83	0.83	0.83	311	EUR	
07/07/2015 00:00	0.9	0.9	0.9	0.9	0	EUR	
13/07/2015 00:00	0.92	0.92	0.92	0.92	816	EUR	
14/07/2015 00:00	1.06	1.06	1.06	1.06	2987	EUR	
15/07/2015 00:00	1.05	1.05	1.05	1.05	1950	EUR	
16/07/2015 00:00	1.07	1.07	1.07	1.07	6900	EUR	
17/07/2015 00:00	1.04	1.04	1.04	1.04	1000	EUR	
20/07/2015 00:00	1.09	1.09	1.09	1.09	715	EUR	
21/07/2015 00:00	1.15	1.15	1.15	1.15	10	EUR	
22/07/2015 00:00	1.15	1.15	1.15	1.15	0	EUR	
24/07/2015 00:00	1.07	1.07	1.07	1.07	500	EUR	
27/07/2015 00:00	1.02	1.02	1.02	1.02	300	EUR	
28/07/2015 00:00	1.02	1.02	1.02	1.02	2000	EUR	
29/07/2015 00:00	1.18	1.18	1.18	1.18	0	EUR	
03/08/2015 00:00	1.15	1.15	1.15	1.15	650	EUR	
04/08/2015 00:00	1.1	1.1	1.1	1.1	50	EUR	
05/08/2015 00:00	1.18	1.18	1.18	1.18	1560	EUR	
06/08/2015 00:00	1.05	1.05	1.05	1.05	0	EUR	
10/08/2015 00:00	1.16	1.16	1.16	1.16	3030	EUR	
11/08/2015 00:00	1.05	1.05	1.05	1.05	1850	EUR	
12/08/2015 00:00	1.05	1.05	1.05	1.05	600	EUR	
13/08/2015 00:00	1.07	1.07	1.07	1.07	1215	EUR	
14/08/2015 00:00	1.14	1.14	1.14	1.14	400	EUR	
17/08/2015 00:00	1.08	1.08	1.08	1.08	5728	EUR	
18/08/2015 00:00	1.08	1.08	1.08	1.08	2330	EUR	
19/08/2015 00:00	1.05	1.05	1.05	1.05	1000	EUR	
20/08/2015 00:00	1	1	1	1	0	EUR	
24/08/2015 00:00	0.99	0.99	0.99	0.99	0	EUR	
26/08/2015 00:00	1.02	1.02	1.02	1.02	0	EUR	
31/08/2015 00:00	1.02	1.02	1.02	1.02	1803	EUR	
01/09/2015 00:00	0.94	0.94	0.94	0.94	0	EUR	
04/09/2015 00:00	0.92	0.92	0.92	0.92	4541	EUR	
14/09/2015 00:00	0.9	0.9	0.9	0.9	0	EUR	
16/09/2015 00:00	0.92	0.92	0.92	0.92	0	EUR	
21/09/2015 00:00	0.9	0.9	0.9	0.9	312	EUR	
22/09/2015 00:00	0.9	0.9	0.9	0.9	93	EUR	
23/09/2015 00:00	0.89	0.89	0.89	0.89	2000	EUR	
24/09/2015 00:00	0.81	0.81	0.81	0.81	0	EUR	
29/09/2015 00:00	0.83	0.83	0.83	0.83	50	EUR	
30/09/2015 00:00	0.96	0.96	0.96	0.96	10	EUR	
01/10/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
05/10/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
08/10/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
14/10/2015 00:00	0.81	0.81	0.81	0.81	0	EUR	
16/10/2015 00:00	0.8	0.8	0.8	0.8	600	EUR	
21/10/2015 00:00	0.8	0.8	0.8	0.8	800	EUR	
22/10/2015 00:00	0.8	0.8	0.8	0.8	135	EUR	
23/10/2015 00:00	0.8	0.8	0.8	0.8	310	EUR	
26/10/2015 00:00	0.8	0.8	0.8	0.8	91	EUR	
27/10/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
02/11/2015 00:00	0.89	0.89	0.89	0.89	112	EUR	
03/11/2015 00:00	0.85	0.85	0.85	0.85	300	EUR	
04/11/2015 00:00	0.83	0.83	0.83	0.83	3950	EUR	
05/11/2015 00:00	0.82	0.82	0.82	0.82	0	EUR	
09/11/2015 00:00	0.82	0.82	0.82	0.82	0	EUR	
11/11/2015 00:00	0.82	0.82	0.82	0.82	0	EUR	
13/11/2015 00:00	0.83	0.83	0.83	0.83	95	EUR	
16/11/2015 00:00	0.83	0.83	0.83	0.83	0	EUR	
18/11/2015 00:00	0.83	0.83	0.83	0.83	599	EUR	
19/11/2015 00:00	0.83	0.83	0.83	0.83	0	EUR	
24/11/2015 00:00	0.81	0.81	0.81	0.81	0	EUR	
26/11/2015 00:00	0.81	0.81	0.81	0.81	0	EUR	
30/11/2015 00:00	0.78	0.78	0.78	0.78	0	EUR	
03/12/2015 00:00	0.78	0.78	0.78	0.78	200	EUR	
04/12/2015 00:00	0.89	0.89	0.89	0.89	10	EUR	
09/12/2015 00:00	0.89	0.89	0.89	0.89	10	EUR	
10/12/2015 00:00	0.89	0.89	0.89	0.89	10	EUR	
11/12/2015 00:00	0.79	0.79	0.79	0.79	365	EUR	
18/12/2015 00:00	0.82	0.82	0.82	0.82	210	EUR	
21/12/2015 00:00	0.82	0.82	0.82	0.82	460	EUR	
22/12/2015 00:00	0.82	0.82	0.82	0.82	1155	EUR	
23/12/2015 00:00	0.86	0.86	0.86	0.86	0	EUR	
31/12/2015 00:00	0.82	0.82	0.82	0.82	1130	EUR	
04/01/2016 00:00	0.85	0.85	0.85	0.85	600	EUR	
05/01/2016 00:00	0.82	0.82	0.82	0.82	0	EUR	
07/01/2016 00:00	0.82	0.82	0.82	0.82	1010	EUR	
08/01/2016 00:00	0.82	0.82	0.82	0.82	2500	EUR	
11/01/2016 00:00	0.92	0.92	0.92	0.92	5905	EUR	
13/01/2016 00:00	0.93	0.93	0.93	0.93	0	EUR	
19/01/2016 00:00	0.78	0.78	0.78	0.78	0	EUR	
22/01/2016 00:00	0.78	0.78	0.78	0.78	10	EUR	
25/01/2016 00:00	0.78	0.78	0.78	0.78	0	EUR	
28/01/2016 00:00	0.9	0.9	0.9	0.9	350	EUR	
29/01/2016 00:00	0.76	0.76	0.76	0.76	7	EUR	
03/02/2016 00:00	0.8	0.8	0.8	0.8	260	EUR	
04/02/2016 00:00	0.85	0.85	0.85	0.85	258	EUR	
05/02/2016 00:00	0.89	0.89	0.89	0.89	3000	EUR	
09/02/2016 00:00	0.85	0.85	0.85	0.85	0	EUR	
12/02/2016 00:00	0.84	0.84	0.84	0.84	300	EUR	
15/02/2016 00:00	0.71	0.71	0.71	0.71	10240	EUR	
16/02/2016 00:00	0.71	0.71	0.71	0.71	200	EUR	
17/02/2016 00:00	0.74	0.74	0.74	0.74	0	EUR	
19/02/2016 00:00	0.85	0.85	0.85	0.85	3550	EUR	
22/02/2016 00:00	0.77	0.77	0.77	0.77	2	EUR	
23/02/2016 00:00	0.8	0.8	0.8	0.8	1700	EUR	
24/02/2016 00:00	0.8	0.8	0.8	0.8	0	EUR	
26/02/2016 00:00	0.9	0.9	0.9	0.9	120	EUR	
29/02/2016 00:00	0.82	0.82	0.82	0.82	0	EUR	
02/03/2016 00:00	0.86	0.86	0.86	0.86	2809	EUR	
