date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	100.45	101.65	99.77	101.5	390526	EUR	
19/05/2015 00:00	102.15	103.8	101.8	103.05	640422	EUR	
20/05/2015 00:00	103.05	103.9	102.15	102.45	656849	EUR	
21/05/2015 00:00	102.25	103.4	101.85	103.25	419997	EUR	
22/05/2015 00:00	103.05	103.4	102.05	102.6	349811	EUR	
25/05/2015 00:00	102.8	103	102	102.55	107173	EUR	
26/05/2015 00:00	101.2	101.75	99.99	100.75	578914	EUR	
27/05/2015 00:00	100.65	103	100.65	102.4	518057	EUR	
28/05/2015 00:00	102.15	102.2	99.27	99.89	698658	EUR	
29/05/2015 00:00	99.99	100.25	97.57	97.57	922438	EUR	
01/06/2015 00:00	97.5	98.85	97.03	98.51	440967	EUR	
02/06/2015 00:00	98.48	98.77	96.76	97.6	638128	EUR	
03/06/2015 00:00	97.54	99.05	97.27	98.35	566129	EUR	
04/06/2015 00:00	98.16	98.2	95.86	97.16	649594	EUR	
05/06/2015 00:00	96.49	97.13	95.6	96.56	565896	EUR	
08/06/2015 00:00	96.5	96.67	95.23	95.61	562691	EUR	
09/06/2015 00:00	95.41	97.93	94.6	97.8	1083782	EUR	
10/06/2015 00:00	98.05	101.7	97.53	101.4	1260963	EUR	
11/06/2015 00:00	101.05	102.35	100.7	100.95	576668	EUR	
12/06/2015 00:00	100	101	98.47	99.2	703710	EUR	
15/06/2015 00:00	97.5	98.73	97.44	98.14	518601	EUR	
16/06/2015 00:00	97.48	98.53	96.53	98.14	728827	EUR	
17/06/2015 00:00	98.31	98.37	96.49	96.77	654641	EUR	
18/06/2015 00:00	96.32	96.65	94.88	96.45	752955	EUR	
19/06/2015 00:00	96.6	98.23	96.48	97.83	1121432	EUR	
22/06/2015 00:00	99.88	100.15	98.63	99.35	743991	EUR	
23/06/2015 00:00	99.9	100.4	99.27	99.91	519491	EUR	
24/06/2015 00:00	99.8	100.15	98.01	98.6	798668	EUR	
25/06/2015 00:00	97.99	99.44	97.93	98.97	868210	EUR	
26/06/2015 00:00	98.5	99.2	97.73	98.57	540952	EUR	
29/06/2015 00:00	94.1	96.84	93	95.49	824851	EUR	
30/06/2015 00:00	95.17	95.82	93.99	93.99	1220142	EUR	
