date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	28.75	28.77	28.49	28.76	59610	USD	
19/05/2015 00:00	28.71	28.85	28.48	28.63	61028	USD	
20/05/2015 00:00	28.64	28.9	28.5	28.79	227376	USD	
21/05/2015 00:00	28.83	28.83	28.39	28.6	78481	USD	
22/05/2015 00:00	28.59	28.73	28.26	28.62	130374	USD	
26/05/2015 00:00	28.52	28.65	28.19	28.47	135457	USD	
27/05/2015 00:00	28.5	29.41	28.5	29.31	195395	USD	
28/05/2015 00:00	29.01	29.14	28.46	29.14	241897	USD	
29/05/2015 00:00	29.16	29.22	28.51	28.91	129007	USD	
01/06/2015 00:00	28.94	29.35	28.655	28.84	115779	USD	
02/06/2015 00:00	28.91	29.12	28.68	29.01	248000	USD	
03/06/2015 00:00	29.11	29.75	28.77	29.68	143591	USD	
04/06/2015 00:00	29.67	29.89	29.47	29.7	140920	USD	
05/06/2015 00:00	29.61	30.22	29.38	30.05	313173	USD	
08/06/2015 00:00	30.25	30.35	29.73	29.76	234080	USD	
09/06/2015 00:00	29.67	29.97	29.32	29.94	152130	USD	
10/06/2015 00:00	29.89	30.65	29.86	30.35	315607	USD	
11/06/2015 00:00	30.32	30.86	30.23	30.57	271340	USD	
12/06/2015 00:00	30.18	30.495	30.17	30.23	158646	USD	
15/06/2015 00:00	29.625	30.21	28.86	30.14	207396	USD	
16/06/2015 00:00	30.14	30.395	29.8	30.22	181025	USD	
17/06/2015 00:00	30.45	30.52	29.9	30.07	142620	USD	
18/06/2015 00:00	30.31	30.49	30.15	30.22	116281	USD	
19/06/2015 00:00	30.32	30.52	30.06	30.48	247977	USD	
22/06/2015 00:00	30.5	30.67	30.14	30.22	208242	USD	
23/06/2015 00:00	30.4	30.45	29.8	30	186505	USD	
24/06/2015 00:00	29.92	30.28	29.415	29.44	108305	USD	
25/06/2015 00:00	29.25	29.44	28.95	29.13	151864	USD	
26/06/2015 00:00	29.17	29.29	28.65	28.78	921703	USD	
29/06/2015 00:00	28.66	28.91	28.37	28.46	200396	USD	
30/06/2015 00:00	28.65	28.72	28.32	28.71	136619	USD	
01/07/2015 00:00	29.09	29.41	28.58	29.02	124106	USD	
02/07/2015 00:00	29.13	29.17	28.73	28.89	67357	USD	
06/07/2015 00:00	28.51	28.83	28.46	28.81	111449	USD	
07/07/2015 00:00	28.53	28.98	28.08	28.61	100344	USD	
08/07/2015 00:00	28.41	28.41	27.96	28.09	77374	USD	
09/07/2015 00:00	28.36	28.67	28.16	28.31	60332	USD	
10/07/2015 00:00	28.57	29.06	28.37	28.85	90058	USD	
13/07/2015 00:00	28.99	28.995	28.12	28.66	87110	USD	
14/07/2015 00:00	28.73	29.21	28.58	29.1	92191	USD	
15/07/2015 00:00	28.96	29.22	28.8	29.09	129294	USD	
16/07/2015 00:00	29.11	29.14	28.675	28.71	103809	USD	
17/07/2015 00:00	28.575	29.03	28.47	28.84	80125	USD	
20/07/2015 00:00	28.83	28.99	28.55	28.68	39511	USD	
21/07/2015 00:00	28.93	29.05	28.61	28.77	43503	USD	
22/07/2015 00:00	28.68	29.345	28.68	29.04	154581	USD	
23/07/2015 00:00	29.17	29.31	28.55	28.61	56570	USD	
24/07/2015 00:00	28.38	28.5	28.08	28.14	90901	USD	
27/07/2015 00:00	27.91	28.19	27.426	27.97	75890	USD	
28/07/2015 00:00	28.03	28.03	27.63	27.94	136291	USD	
29/07/2015 00:00	27.96	28.1	27.71	27.88	60810	USD	
30/07/2015 00:00	29.34	29.96	28.854	29.32	490642	USD	
31/07/2015 00:00	29.42	29.99	29.33	29.99	170082	USD	
03/08/2015 00:00	29.9	30.59	29.855	30.47	124289	USD	
04/08/2015 00:00	30.71	30.85	30.04	30.44	86077	USD	
05/08/2015 00:00	30.76	30.86	29.888	30.18	54494	USD	
06/08/2015 00:00	30.12	30.31	29.88	30.05	79914	USD	
07/08/2015 00:00	29.72	30.085	29.48	30	79464	USD	
10/08/2015 00:00	30.19	30.19	29.7	30.06	91165	USD	
11/08/2015 00:00	30.675	30.73	29.86	30.01	204935	USD	
12/08/2015 00:00	29.99	30.08	29.55	29.81	126606	USD	
13/08/2015 00:00	30.39	30.65	29.45	29.88	73454	USD	
14/08/2015 00:00	29.72	30.01	29.51	29.96	51778	USD	
17/08/2015 00:00	29.69	30.23	29.69	30.18	40457	USD	
18/08/2015 00:00	29.92	30.16	29.85	29.99	77858	USD	
19/08/2015 00:00	29.85	30.02	29.585	29.88	74959	USD	
20/08/2015 00:00	29.81	29.86	29.43	29.68	102002	USD	
21/08/2015 00:00	29.15	29.46	28.59	28.65	102083	USD	
24/08/2015 00:00	27.18	28.55	26.45	27	239003	USD	
25/08/2015 00:00	27.35	27.62	26.67	26.84	91470	USD	
26/08/2015 00:00	27.09	27.245	26.49	27.12	85925	USD	
27/08/2015 00:00	27.34	27.548	26.97	27.1	90585	USD	
28/08/2015 00:00	27.6	27.6	26.73	27.19	74576	USD	
31/08/2015 00:00	27.56	27.56	27.06	27.25	66555	USD	
01/09/2015 00:00	26.98	27.055	26.5	26.54	148280	USD	
02/09/2015 00:00	26.77	26.89	26.11	26.31	116562	USD	
03/09/2015 00:00	26.56	26.93	26.21	26.33	63407	USD	
04/09/2015 00:00	26.06	26.33	26	26.27	74891	USD	
08/09/2015 00:00	27	27.4	26.525	27.19	99751	USD	
09/09/2015 00:00	27.18	27.36	26.79	26.9	75647	USD	
10/09/2015 00:00	26.85	27.1	26.97	26.97	64703	USD	
11/09/2015 00:00	27.06	27.15	26.52	26.89	130162	USD	
14/09/2015 00:00	26.64	27.015	26.551	26.73	45681	USD	
15/09/2015 00:00	26.74	26.945	26.55	26.59	100245	USD	
16/09/2015 00:00	26.57	27.265	26.57	27.19	109214	USD	
17/09/2015 00:00	27.51	27.62	27.02	27.28	82941	USD	
18/09/2015 00:00	26.95	27.56	26.76	27.17	291675	USD	
21/09/2015 00:00	27.44	28.15	27.28	27.98	98033	USD	
22/09/2015 00:00	27.36	27.71	27.23	27.535	58886	USD	
23/09/2015 00:00	27.61	27.83	27.405	27.61	48698	USD	
24/09/2015 00:00	27.46	27.82	27.36	27.71	78136	USD	
25/09/2015 00:00	27.92	28.145	27.37	27.4	72795	USD	
28/09/2015 00:00	27.29	27.36	26.49	26.63	86533	USD	
29/09/2015 00:00	26.53	26.58	25.42	25.98	154024	USD	
30/09/2015 00:00	26.28	26.45	25.86	26.27	102041	USD	
01/10/2015 00:00	26.38	26.56	25.74	26.13	177473	USD	
02/10/2015 00:00	26.24	26.24	24.9	25.57	197650	USD	
05/10/2015 00:00	25.9	26.91	25.83	26.63	145339	USD	
06/10/2015 00:00	26.57	27.58	26.51	27.12	115893	USD	
07/10/2015 00:00	27.08	27.58	26.95	27.34	127557	USD	
08/10/2015 00:00	27.12	27.68	27.12	27.54	71847	USD	
09/10/2015 00:00	27.17	27.76	27.17	27.44	69933	USD	
12/10/2015 00:00	27.44	27.44	26.95	27.23	104394	USD	
13/10/2015 00:00	27.28	27.77	27.16	27.24	87343	USD	
14/10/2015 00:00	27.31	27.47	26.9	26.96	60564	USD	
15/10/2015 00:00	27.04	27.93	27.04	27.92	33875	USD	
16/10/2015 00:00	27.7	28.28	27.7	28.22	48106	USD	
19/10/2015 00:00	28.36	28.36	27.78	28.01	28694	USD	
20/10/2015 00:00	27.8	28.64	27.8	28.43	44827	USD	
21/10/2015 00:00	28.44	28.555	27.75	27.78	38964	USD	
22/10/2015 00:00	28.23	28.73	28.07	28.29	29118	USD	
23/10/2015 00:00	28.46	28.98	28.46	28.85	64818	USD	
26/10/2015 00:00	28.65	28.99	28.58	28.9	98115	USD	
27/10/2015 00:00	28.55	28.67	28.1	28.54	97069	USD	
28/10/2015 00:00	28.44	29.49	28.44	29.48	96175	USD	
29/10/2015 00:00	30.22	31.84	29.44	30.19	267416	USD	
30/10/2015 00:00	29.93	30.33	29.09	29.48	103578	USD	
02/11/2015 00:00	29.58	30.09	29.5	29.96	78038	USD	
03/11/2015 00:00	29.78	30.266	29.69	30.02	92728	USD	
04/11/2015 00:00	30.09	30.18	29.93	29.95	81747	USD	
05/11/2015 00:00	29.99	30.115	29.74	30.03	61263	USD	
06/11/2015 00:00	30.22	30.83	29.88	30.63	155793	USD	
09/11/2015 00:00	30.61	30.62	29.66	29.99	54124	USD	
10/11/2015 00:00	29.81	30.01	29.49	29.53	58258	USD	
11/11/2015 00:00	29.39	29.82	29.17	29.5	70975	USD	
12/11/2015 00:00	29.19	29.42	28.36	28.44	83238	USD	
13/11/2015 00:00	28.3	28.73	27.91	28.07	37549	USD	
16/11/2015 00:00	28.03	28.36	27.74	28.3	47399	USD	
17/11/2015 00:00	28.13	28.32	27.555	27.79	84081	USD	
18/11/2015 00:00	27.81	28.17	27.6	28.05	108586	USD	
19/11/2015 00:00	27.71	28.23	27.27	27.495	111439	USD	
20/11/2015 00:00	27.85	28.34	27.55	28.05	176083	USD	
23/11/2015 00:00	28.25	28.59	28.21	28.39	122583	USD	
24/11/2015 00:00	28.03	29.06	27.89	28.92	97003	USD	
25/11/2015 00:00	29.08	29.47	28.74	29.36	75580	USD	
27/11/2015 00:00	29.29	29.59	29.05	29.38	60767	USD	
30/11/2015 00:00	30.16	30.16	29.27	29.48	140993	USD	
01/12/2015 00:00	29.73	30	29.25	29.8	87911	USD	
02/12/2015 00:00	29.57	29.99	29.4	29.66	78411	USD	
03/12/2015 00:00	29.66	29.92	28.89	29.05	83104	USD	
04/12/2015 00:00	29.2	29.75	28.79	29.6	47781	USD	
07/12/2015 00:00	29.59	29.69	29.5	29.61	50898	USD	
08/12/2015 00:00	29.46	29.805	29.29	29.45	60638	USD	
09/12/2015 00:00	29.58	29.9	29.35	29.38	64806	USD	
10/12/2015 00:00	29.58	29.75	29.385	29.48	80139	USD	
11/12/2015 00:00	29.01	29.29	27.81	27.97	107663	USD	
14/12/2015 00:00	27.95	28.98	27.86	28.23	218967	USD	
15/12/2015 00:00	28.7	29.23	28.285	29.23	154250	USD	
16/12/2015 00:00	29.38	29.99	29.13	29.93	145167	USD	
17/12/2015 00:00	30	30.16	29.185	29.35	69762	USD	
18/12/2015 00:00	29.1	29.3	28.03	28.23	365966	USD	
21/12/2015 00:00	28.28	28.48	27.37	27.62	166567	USD	
22/12/2015 00:00	27.68	28.03	27.36	27.73	129789	USD	
23/12/2015 00:00	27.75	28.1	27.67	27.94	90357	USD	
24/12/2015 00:00	28.04	28.69	27.96	28.49	248648	USD	
28/12/2015 00:00	27.8	28.94	27.59	28.85	186563	USD	
29/12/2015 00:00	29.03	29.378	28.81	29.3	145276	USD	
30/12/2015 00:00	29.4	29.72	29.17	29.34	152473	USD	
31/12/2015 00:00	29.11	29.53	29.005	29.19	143343	USD	
04/01/2016 00:00	28.58	28.61	28.07	28.44	148160	USD	
05/01/2016 00:00	28.43	28.74	28.2	28.535	58714	USD	
06/01/2016 00:00	28.28	28.38	27.64	27.7	103810	USD	
07/01/2016 00:00	27.3	27.46	25.72	25.86	242659	USD	
08/01/2016 00:00	25.72	26.395	25.485	25.74	175454	USD	
11/01/2016 00:00	25.68	25.79	24.51	25.04	214313	USD	
12/01/2016 00:00	25.27	26.37	25.15	26.03	322863	USD	
13/01/2016 00:00	26.6	27.295	25.1	25.31	256489	USD	
14/01/2016 00:00	25.46	25.7	24.84	25.3	171997	USD	
15/01/2016 00:00	24.23	24.23	23.915	24.23	201712	USD	
19/01/2016 00:00	24.59	24.8	24.09	24.4	125158	USD	
20/01/2016 00:00	23.97	24.075	22.91	23.64	371728	USD	
21/01/2016 00:00	23.64	24.4	23.6	24.01	195081	USD	
22/01/2016 00:00	24.4	24.77	24.11	24.47	118230	USD	
25/01/2016 00:00	24.52	24.52	23.97	24.1	153485	USD	
26/01/2016 00:00	24.33	24.59	24.225	24.44	84675	USD	
27/01/2016 00:00	24.41	24.91	24.19	24.27	126860	USD	
28/01/2016 00:00	24.7	24.88	24.2	24.36	67592	USD	
29/01/2016 00:00	24.55	25.44	24.39	25.44	134526	USD	
