date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	13.3	13.41	13.25	13.3	1596	EUR	
19/05/2015 00:00	13.3	13.3	13.21	13.21	291	EUR	
20/05/2015 00:00	13.21	13.3	13.2	13.2	406	EUR	
21/05/2015 00:00	13.21	13.21	12.95	13.2	1768	EUR	
22/05/2015 00:00	13.19	13.2	13.1	13.1	185	EUR	
25/05/2015 00:00	12.91	12.96	12.77	12.8	2777	EUR	
26/05/2015 00:00	12.79	12.8	12.67	12.8	1423	EUR	
27/05/2015 00:00	12.78	12.83	12.65	12.8	586	EUR	
28/05/2015 00:00	12.8	12.8	12.64	12.8	341	EUR	
29/05/2015 00:00	12.8	12.95	12.7	12.9	1007	EUR	
01/06/2015 00:00	12.89	12.95	12.85	12.85	451	EUR	
02/06/2015 00:00	12.85	12.85	12.8	12.8	572	EUR	
03/06/2015 00:00	12.81	12.85	12.8	12.8	451	EUR	
04/06/2015 00:00	12.8	12.8	12.8	12.8	152	EUR	
05/06/2015 00:00	12.75	13.15	12.75	12.9	1224	EUR	
08/06/2015 00:00	13.15	13.15	13.15	13.15	1111	EUR	
09/06/2015 00:00	13.23	13.25	12.95	13.08	2010	EUR	
10/06/2015 00:00	13.08	13.2	13	13.2	251	EUR	
11/06/2015 00:00	13.19	13.2	12.85	12.9	741	EUR	
12/06/2015 00:00	12.9	12.95	12.73	12.8	2134	EUR	
15/06/2015 00:00	12.79	12.89	12.65	12.72	3033	EUR	
16/06/2015 00:00	12.68	12.84	12.62	12.84	914	EUR	
17/06/2015 00:00	12.84	12.85	12.68	12.8	1462	EUR	
18/06/2015 00:00	12.81	12.91	12.76	12.76	40	EUR	
19/06/2015 00:00	12.76	12.9	12.76	12.8	1271	EUR	
22/06/2015 00:00	12.8	13.02	12.8	12.9	833	EUR	
23/06/2015 00:00	12.95	13.02	12.8	12.8	1820	EUR	
24/06/2015 00:00	12.94	12.94	12.81	12.9	480	EUR	
25/06/2015 00:00	12.9	13	12.88	13	1236	EUR	
26/06/2015 00:00	12.98	12.99	12.98	12.99	294	EUR	
29/06/2015 00:00	12.85	12.85	12.8	12.82	409	EUR	
30/06/2015 00:00	12.85	12.85	12.82	12.82	481	EUR	
01/07/2015 00:00	12.83	12.83	12.68	12.75	1656	EUR	
02/07/2015 00:00	12.74	12.82	12.74	12.82	171	EUR	
03/07/2015 00:00	12.8	12.9	12.8	12.82	244	EUR	
06/07/2015 00:00	12.9	12.9	12.75	12.75	351	EUR	
07/07/2015 00:00	12.76	12.76	12.7	12.7	2137	EUR	
08/07/2015 00:00	12.62	12.63	12.62	12.63	1709	EUR	
09/07/2015 00:00	12.64	12.74	12.64	12.74	652	EUR	
10/07/2015 00:00	12.62	12.75	12.62	12.7	379	EUR	
13/07/2015 00:00	12.8	12.84	12.8	12.83	1180	EUR	
14/07/2015 00:00	12.83	12.83	12.8	12.8	101	EUR	
15/07/2015 00:00	12.79	12.8	12.69	12.69	368	EUR	
