date	ouv	haut	bas	clot	vol	devise	
23/10/2015 00:00	1.13	1.13	1.13	1.13	4	EUR	
02/11/2015 00:00	1.13	1.13	1.13	1.13	0	EUR	
11/11/2015 00:00	1.15	1.15	1.15	1.15	210	EUR	
12/11/2015 00:00	1.11	1.11	1.11	1.11	1550	EUR	
13/11/2015 00:00	1.15	1.15	1.15	1.15	210	EUR	
18/11/2015 00:00	1.15	1.15	1.15	1.15	0	EUR	
23/11/2015 00:00	0.94	0.94	0.94	0.94	0	EUR	
30/11/2015 00:00	0.99	0.99	0.99	0.99	0	EUR	
23/12/2015 00:00	0.99	0.99	0.99	0.99	0	EUR	
20/01/2016 00:00	1.1	1.1	1.1	1.1	0	EUR	
07/06/2016 00:00	0.49	0.49	0.49	0.49	375	EUR	
08/06/2016 00:00	0.51	0.51	0.51	0.51	0	EUR	
23/06/2016 00:00	0.6	0.6	0.6	0.6	0	EUR	
27/06/2016 00:00	0.6	0.6	0.6	0.6	0	EUR	
18/07/2016 00:00	0.8	0.8	0.8	0.8	0	EUR	
19/10/2016 00:00	0.75	0.75	0.75	0.75	0	EUR	
21/10/2016 00:00	0.75	0.75	0.75	0.75	10000	EUR	
14/11/2016 00:00	0.73	0.73	0.73	0.73	0	EUR	
21/11/2016 00:00	0.65	0.65	0.65	0.65	0	EUR	
02/12/2016 00:00	0.57	0.57	0.57	0.57	5000	EUR	
07/12/2016 00:00	0.6	0.6	0.6	0.6	0	EUR	
13/12/2016 00:00	0.59	0.59	0.59	0.59	0	EUR	
21/12/2016 00:00	0.57	0.57	0.57	0.57	0	EUR	
03/01/2017 00:00	0.56	0.56	0.56	0.56	10000	EUR	
04/01/2017 00:00	0.55	0.55	0.55	0.55	1400	EUR	
05/01/2017 00:00	0.51	0.51	0.51	0.51	5000	EUR	
06/01/2017 00:00	0.47	0.47	0.47	0.47	8475	EUR	
09/01/2017 00:00	0.43	0.43	0.43	0.43	2280	EUR	
10/01/2017 00:00	0.42	0.42	0.42	0.42	0	EUR	
12/01/2017 00:00	0.39	0.39	0.39	0.39	9050	EUR	
13/01/2017 00:00	0.42	0.42	0.42	0.42	2180	EUR	
16/01/2017 00:00	0.38	0.38	0.38	0.38	5000	EUR	
17/01/2017 00:00	0.36	0.36	0.36	0.36	5000	EUR	
18/01/2017 00:00	0.33	0.33	0.33	0.33	0	EUR	
20/01/2017 00:00	0.32	0.32	0.32	0.32	29200	EUR	
23/01/2017 00:00	0.31	0.31	0.31	0.31	1750	EUR	
24/01/2017 00:00	0.28	0.28	0.28	0.28	11575	EUR	
25/01/2017 00:00	0.26	0.26	0.26	0.26	0	EUR	
27/01/2017 00:00	0.27	0.27	0.27	0.27	15350	EUR	
02/02/2017 00:00	0.3	0.3	0.3	0.3	27001	EUR	
03/02/2017 00:00	0.3	0.3	0.3	0.3	43000	EUR	
06/02/2017 00:00	0.3	0.3	0.3	0.3	11001	EUR	
07/02/2017 00:00	0.3	0.3	0.3	0.3	0	EUR	
10/02/2017 00:00	0.25	0.25	0.25	0.25	8000	EUR	
13/02/2017 00:00	0.25	0.25	0.25	0.25	12800	EUR	
14/02/2017 00:00	0.25	0.25	0.25	0.25	20000	EUR	
15/02/2017 00:00	0.27	0.27	0.27	0.27	21400	EUR	
16/02/2017 00:00	0.25	0.25	0.25	0.25	94000	EUR	
17/02/2017 00:00	0.25	0.25	0.25	0.25	39473	EUR	
23/02/2017 00:00	0.24	0.24	0.24	0.24	39518	EUR	
24/02/2017 00:00	0.22	0.22	0.22	0.22	3000	EUR	
01/03/2017 00:00	0.2	0.2	0.2	0.2	20000	EUR	
02/03/2017 00:00	0.2	0.2	0.2	0.2	34000	EUR	
03/03/2017 00:00	0.18	0.18	0.18	0.18	25000	EUR	
06/03/2017 00:00	0.18	0.18	0.18	0.18	23474	EUR	
07/03/2017 00:00	0.18	0.18	0.18	0.18	60000	EUR	
08/03/2017 00:00	0.18	0.18	0.18	0.18	0	EUR	
13/03/2017 00:00	0.17	0.17	0.17	0.17	10003	EUR	
14/03/2017 00:00	0.16	0.16	0.16	0.16	0	EUR	
16/03/2017 00:00	0.15	0.15	0.15	0.15	0	EUR	
20/03/2017 00:00	0.14	0.14	0.14	0.14	0	EUR	
23/03/2017 00:00	0.12	0.12	0.12	0.12	30000	EUR	
24/03/2017 00:00	0.12	0.12	0.12	0.12	625	EUR	
27/03/2017 00:00	0.12	0.12	0.12	0.12	0	EUR	
29/03/2017 00:00	0.1	0.1	0.1	0.1	0	EUR	
04/04/2017 00:00	0.11	0.11	0.11	0.11	2000	EUR	
05/04/2017 00:00	0.12	0.12	0.12	0.12	0	EUR	
07/04/2017 00:00	0.1	0.1	0.1	0.1	1	EUR	
11/04/2017 00:00	0.11	0.11	0.11	0.11	65000	EUR	
12/04/2017 00:00	0.12	0.12	0.12	0.12	1	EUR	
13/04/2017 00:00	0.11	0.11	0.11	0.11	20000	EUR	
18/04/2017 00:00	0.11	0.11	0.11	0.11	60001	EUR	
19/04/2017 00:00	0.11	0.11	0.11	0.11	19044	EUR	
20/04/2017 00:00	0.1	0.1	0.1	0.1	1	EUR	
21/04/2017 00:00	0.11	0.11	0.11	0.11	40956	EUR	
24/04/2017 00:00	0.1	0.1	0.1	0.1	51200	EUR	
25/04/2017 00:00	0.1	0.1	0.1	0.1	140000	EUR	
26/04/2017 00:00	0.1	0.1	0.1	0.1	0	EUR	
03/05/2017 00:00	0.1	0.1	0.1	0.1	0	EUR	
10/05/2017 00:00	0.1	0.1	0.1	0.1	0	EUR	
12/05/2017 00:00	0.11	0.11	0.11	0.11	8950	EUR	
17/05/2017 00:00	0.11	0.11	0.11	0.11	89150	EUR	
18/05/2017 00:00	0.1	0.1	0.1	0.1	20000	EUR	
19/05/2017 00:00	0.1	0.1	0.1	0.1	36748	EUR	
22/05/2017 00:00	0.1	0.1	0.1	0.1	0	EUR	
24/05/2017 00:00	0.1	0.1	0.1	0.1	0	EUR	
26/05/2017 00:00	0.11	0.11	0.11	0.11	240	EUR	
29/05/2017 00:00	0.11	0.11	0.11	0.11	3350	EUR	
30/05/2017 00:00	0.1	0.1	0.1	0.1	0	EUR	
01/06/2017 00:00	0.1	0.1	0.1	0.1	37002	EUR	
02/06/2017 00:00	0.1	0.1	0.1	0.1	17608	EUR	
05/06/2017 00:00	0.09	0.09	0.09	0.09	1	EUR	
06/06/2017 00:00	0.09	0.09	0.09	0.09	0	EUR	
09/06/2017 00:00	0.09	0.09	0.09	0.09	600	EUR	
12/06/2017 00:00	0.09	0.09	0.09	0.09	0	EUR	
23/06/2017 00:00	0.09	0.09	0.09	0.09	27100	EUR	
26/06/2017 00:00	0.09	0.09	0.09	0.09	1000	EUR	
27/06/2017 00:00	0.09	0.09	0.09	0.09	1000	EUR	
28/06/2017 00:00	0.09	0.09	0.09	0.09	0	EUR	
30/06/2017 00:00	0.09	0.09	0.09	0.09	5987	EUR	
03/07/2017 00:00	0.1	0.1	0.1	0.1	1000	EUR	
04/07/2017 00:00	0.1	0.1	0.1	0.1	0	EUR	
11/08/2017 00:00	0.1	0.1	0.1	0.1	1700	EUR	
15/08/2017 00:00	0.08	0.08	0.08	0.08	0	EUR	
23/08/2017 00:00	0.08	0.08	0.08	0.08	4375	EUR	
24/08/2017 00:00	0.08	0.08	0.08	0.08	0	EUR	
06/09/2017 00:00	0.08	0.08	0.08	0.08	1000	EUR	
07/09/2017 00:00	0.08	0.08	0.08	0.08	59011	EUR	
08/09/2017 00:00	0.1	0.1	0.1	0.1	16767	EUR	
12/09/2017 00:00	0.1	0.1	0.1	0.1	0	EUR	
20/09/2017 00:00	0.08	0.08	0.08	0.08	10000	EUR	
21/09/2017 00:00	0.07	0.07	0.07	0.07	10000	EUR	
22/09/2017 00:00	0.07	0.07	0.07	0.07	9999	EUR	
26/09/2017 00:00	0.06	0.07	0.06	0.07	30000	EUR	
27/09/2017 00:00	0.07	0.07	0.07	0.07	1000	EUR	
28/09/2017 00:00	0.07	0.07	0.07	0.07	40000	EUR	
29/09/2017 00:00	0.07	0.07	0.07	0.07	7075	EUR	
09/10/2017 00:00	0.06	0.06	0.06	0.06	39998	EUR	
10/10/2017 00:00	0.04	0.04	0.04	0.04	241	EUR	
11/10/2017 00:00	0.03	0.03	0.03	0.03	0	EUR	
16/10/2017 00:00	0.05	0.05	0.05	0.05	12500	EUR	
17/10/2017 00:00	0.04	0.04	0.04	0.04	12500	EUR	
18/10/2017 00:00	0.05	0.05	0.05	0.05	9000	EUR	
19/10/2017 00:00	0.05	0.05	0.05	0.05	5000	EUR	
20/10/2017 00:00	0.05	0.05	0.05	0.05	40000	EUR	
23/10/2017 00:00	0.05	0.05	0.05	0.05	15000	EUR	
24/10/2017 00:00	0.07	0.07	0.07	0.07	24700	EUR	
25/10/2017 00:00	0.08	0.09	0.08	0.09	65984	EUR	
26/10/2017 00:00	0.09	0.09	0.09	0.09	20000	EUR	
27/10/2017 00:00	0.09	0.09	0.09	0.09	11331	EUR	
01/11/2017 00:00	0.06	0.06	0.06	0.06	3000	EUR	
02/11/2017 00:00	0.07	0.07	0.07	0.07	11881	EUR	
03/11/2017 00:00	0.09	0.09	0.09	0.09	9000	EUR	
06/11/2017 00:00	0.09	0.09	0.09	0.09	0	EUR	
08/11/2017 00:00	0.07	0.07	0.07	0.07	2000	EUR	
09/11/2017 00:00	0.07	0.07	0.07	0.07	3	EUR	
10/11/2017 00:00	0.07	0.07	0.07	0.07	19710	EUR	
14/11/2017 00:00	0.06	0.06	0.06	0.06	0	EUR	
17/11/2017 00:00	0.06	0.06	0.06	0.06	15840	EUR	
20/11/2017 00:00	0.06	0.06	0.06	0.06	0	EUR	
27/11/2017 00:00	0.07	0.07	0.07	0.07	0	EUR	
30/11/2017 00:00	0.07	0.07	0.07	0.07	0	EUR	
04/12/2017 00:00	0.06	0.06	0.06	0.06	0	EUR	
06/12/2017 00:00	0.07	0.07	0.07	0.07	15000	EUR	
07/12/2017 00:00	0.07	0.07	0.07	0.07	7142	EUR	
08/12/2017 00:00	0.06	0.06	0.06	0.06	1430	EUR	
11/12/2017 00:00	0.05	0.05	0.05	0.05	567	EUR	
12/12/2017 00:00	0.04	0.04	0.04	0.04	0	EUR	
15/12/2017 00:00	0.04	0.04	0.04	0.04	7142	EUR	
04/01/2018 00:00	0.05	0.05	0.05	0.05	0	EUR	
15/01/2018 00:00	0.051	0.051	0.051	0.051	0	EUR	
17/01/2018 00:00	0.09	0.09	0.09	0.09	25000	EUR	
18/01/2018 00:00	0.09	0.09	0.09	0.09	2040	EUR	
19/01/2018 00:00	0.09	0.09	0.09	0.09	1111	EUR	
29/01/2018 00:00	0.09	0.09	0.09	0.09	100	EUR	
30/01/2018 00:00	0.09	0.09	0.09	0.09	0	EUR	
21/02/2018 00:00	0.06	0.06	0.06	0.06	2223	EUR	
22/02/2018 00:00	0.09	0.09	0.09	0.09	0	EUR	
26/02/2018 00:00	0.06	0.06	0.06	0.06	0	EUR	
07/03/2018 00:00	0.06	0.06	0.06	0.06	0	EUR	
12/03/2018 00:00	0.05	0.05	0.05	0.05	0	EUR	
23/03/2018 00:00	0.055	0.055	0.051	0.051	20001	EUR	
27/04/2018 00:00	0.089	0.089	0.089	0.089	14100	EUR	
10/05/2018 00:00	0.09	0.09	0.09	0.09	3523	EUR	
11/05/2018 00:00	0.09	0.1	0.09	0.1	64479	EUR	
14/05/2018 00:00	0.09	0.09	0.09	0.09	9507	EUR	
15/05/2018 00:00	0.1	0.1	0.1	0.1	1958	EUR	
16/05/2018 00:00	0.1	0.1	0.1	0.1	0	EUR	
25/05/2018 00:00	0.035	0.035	0.035	0.035	58117	EUR	
30/05/2018 00:00	0.092	0.092	0.092	0.092	0	EUR	
04/06/2018 00:00	0.045	0.045	0.045	0.045	0	EUR	
06/06/2018 00:00	0.07	0.07	0.07	0.07	0	EUR	
12/06/2018 00:00	0.049	0.049	0.049	0.049	0	EUR	
21/06/2018 00:00	0.091	0.091	0.091	0.091	26400	EUR	
22/06/2018 00:00	0.091	0.091	0.091	0.091	2492	EUR	
02/07/2018 00:00	0.09	0.09	0.09	0.09	0	EUR	
09/07/2018 00:00	0.09	0.09	0.09	0.09	100	EUR	
10/07/2018 00:00	0.09	0.09	0.09	0.09	59000	EUR	
11/07/2018 00:00	0.09	0.09	0.09	0.09	350	EUR	
12/07/2018 00:00	0.09	0.09	0.09	0.09	0	EUR	
