date	ouv	haut	bas	clot	vol	devise	
24/07/2018 00:00	7.9	8	7.1	7.15	45850	EUR	
25/07/2018 00:00	7.3	7.3	7.15	7.15	14348	EUR	
26/07/2018 00:00	7.37	7.49	7.15	7.15	10099	EUR	
27/07/2018 00:00	7.3	7.35	7.161	7.25	11474	EUR	
30/07/2018 00:00	7.32	7.32	7.1	7.3	11212	EUR	
31/07/2018 00:00	7.32	7.32	7.06	7.26	6584	EUR	
01/08/2018 00:00	7.16	7.269	7.16	7.26	4044	EUR	
02/08/2018 00:00	7.27	7.27	6.557	6.97	10589	EUR	
03/08/2018 00:00	7	7.06	6.9	7.059	4115	EUR	
06/08/2018 00:00	7.1	7.1	6.78	6.85	6413	EUR	
07/08/2018 00:00	6.9	7	6.8	6.8	10314	EUR	
08/08/2018 00:00	6.91	7	6.822	6.921	6631	EUR	
09/08/2018 00:00	6.98	6.98	6.95	6.95	1541	EUR	
10/08/2018 00:00	6.95	7	6.931	6.94	7626	EUR	
13/08/2018 00:00	6.93	6.95	6.812	6.95	4788	EUR	
14/08/2018 00:00	6.98	6.98	6.911	6.911	3206	EUR	
15/08/2018 00:00	6.94	6.94	6.85	6.86	4374	EUR	
16/08/2018 00:00	6.86	7	6.85	6.85	6322	EUR	
17/08/2018 00:00	6.86	6.89	6.821	6.849	3461	EUR	
20/08/2018 00:00	6.85	6.85	6.79	6.79	10361	EUR	
21/08/2018 00:00	6.791	6.849	6.791	6.8	1331	EUR	
22/08/2018 00:00	6.82	6.83	6.8	6.82	6781	EUR	
23/08/2018 00:00	6.84	6.84	6.79	6.79	1459	EUR	
24/08/2018 00:00	6.78	6.8	6.711	6.711	6328	EUR	
27/08/2018 00:00	6.72	6.74	6.61	6.61	7705	EUR	
28/08/2018 00:00	6.6	6.699	6.561	6.58	1662	EUR	
29/08/2018 00:00	6.59	6.639	6.5	6.58	4922	EUR	
30/08/2018 00:00	6.56	6.56	6.51	6.55	1247	EUR	
31/08/2018 00:00	6.549	6.549	6.49	6.49	4132	EUR	
03/09/2018 00:00	6.51	6.51	6.4	6.4	5269	EUR	
04/09/2018 00:00	6.4	6.49	6.4	6.47	4885	EUR	
05/09/2018 00:00	6.54	6.64	6.47	6.471	10363	EUR	
06/09/2018 00:00	6.5	6.55	6.485	6.49	5899	EUR	
07/09/2018 00:00	6.603	6.61	6.461	6.461	12945	EUR	
10/09/2018 00:00	6.49	6.49	6	6.349	10265	EUR	
11/09/2018 00:00	6.349	6.349	5.96	6.199	10277	EUR	
12/09/2018 00:00	6.16	6.196	6	6.149	4726	EUR	
13/09/2018 00:00	6.15	6.15	6	6	2118	EUR	
14/09/2018 00:00	6.09	6.09	5.95	6.02	4817	EUR	
17/09/2018 00:00	6.09	6.2	6.089	6.2	9475	EUR	
18/09/2018 00:00	6.2	6.24	6.11	6.2	3687	EUR	
19/09/2018 00:00	6.161	6.162	6.06	6.06	4936	EUR	
20/09/2018 00:00	6.061	6.1	6.01	6.08	3059	EUR	
21/09/2018 00:00	6	6.089	5.95	5.97	8682	EUR	
24/09/2018 00:00	5.971	6.039	5.97	5.971	3677	EUR	
25/09/2018 00:00	5.97	6	5.93	5.93	3375	EUR	
26/09/2018 00:00	5.9	5.927	5.87	5.9	1643	EUR	
27/09/2018 00:00	5.86	5.89	5.84	5.86	2884	EUR	
28/09/2018 00:00	5.85	5.86	5.76	5.84	2302	EUR	
01/10/2018 00:00	5.84	5.84	5.41	5.599	5773	EUR	
02/10/2018 00:00	5.589	5.589	5.26	5.3	9930	EUR	
03/10/2018 00:00	5.301	5.49	5.3	5.418	11984	EUR	
04/10/2018 00:00	5.54	5.59	5.495	5.58	8191	EUR	
05/10/2018 00:00	5.64	5.79	5.635	5.79	7323	EUR	
08/10/2018 00:00	5.84	5.89	5.76	5.83	5301	EUR	
09/10/2018 00:00	5.82	5.84	5.76	5.761	3317	EUR	
10/10/2018 00:00	5.84	5.84	5.761	5.761	1292	EUR	
11/10/2018 00:00	5.75	5.79	5.7	5.79	3843	EUR	
12/10/2018 00:00	5.789	5.789	5.71	5.72	1684	EUR	
15/10/2018 00:00	5.75	5.759	5.71	5.71	3792	EUR	
16/10/2018 00:00	5.74	5.74	5.68	5.69	1396	EUR	
17/10/2018 00:00	5.73	5.73	5.66	5.66	1726	EUR	
18/10/2018 00:00	5.65	5.69	5.61	5.679	6788	EUR	
