date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	1.862	1.88	1.862	1.88	17181	EUR	
19/05/2015 00:00	1.889	1.907	1.889	1.898	27888	EUR	
20/05/2015 00:00	1.925	2.106	1.907	2.088	90253	EUR	
21/05/2015 00:00	2.043	2.07	1.998	2.07	32115	EUR	
22/05/2015 00:00	2.097	2.106	2.061	2.061	14728	EUR	
25/05/2015 00:00	2.07	2.079	2.07	2.079	8926	EUR	
26/05/2015 00:00	2.079	2.079	2.016	2.016	15645	EUR	
27/05/2015 00:00	2.079	2.088	2.034	2.052	34084	EUR	
28/05/2015 00:00	2.052	2.052	2.043	2.052	7228	EUR	
29/05/2015 00:00	2.016	2.034	1.988	2.025	18899	EUR	
01/06/2015 00:00	1.988	2.034	1.988	2.007	18266	EUR	
02/06/2015 00:00	1.998	2.016	1.998	1.998	5165	EUR	
03/06/2015 00:00	1.988	2.016	1.988	1.998	4080	EUR	
04/06/2015 00:00	2.007	2.016	1.998	1.998	12453	EUR	
05/06/2015 00:00	1.998	1.998	1.988	1.998	10357	EUR	
08/06/2015 00:00	1.988	2.007	1.943	2.007	26705	EUR	
09/06/2015 00:00	2.007	2.007	1.998	1.998	2615	EUR	
10/06/2015 00:00	2.007	2.034	1.998	2.025	14562	EUR	
11/06/2015 00:00	2.034	2.061	2.016	2.016	14297	EUR	
12/06/2015 00:00	2.034	2.061	2.025	2.025	28093	EUR	
15/06/2015 00:00	2.034	2.043	1.979	1.979	34201	EUR	
16/06/2015 00:00	1.988	2.007	1.925	1.961	16686	EUR	
17/06/2015 00:00	1.817	1.844	1.817	1.826	4274	EUR	
18/06/2015 00:00	1.826	1.826	1.799	1.808	23703	EUR	
19/06/2015 00:00	1.808	1.853	1.799	1.808	12612	EUR	
22/06/2015 00:00	1.817	1.88	1.817	1.88	7450	EUR	
23/06/2015 00:00	1.88	1.925	1.853	1.871	26166	EUR	
24/06/2015 00:00	1.871	1.871	1.844	1.853	3534	EUR	
25/06/2015 00:00	1.853	1.853	1.844	1.844	2330	EUR	
26/06/2015 00:00	1.835	1.844	1.817	1.835	4931	EUR	
29/06/2015 00:00	1.79	1.808	1.753	1.808	17383	EUR	
30/06/2015 00:00	1.817	1.844	1.817	1.844	7214	EUR	
01/07/2015 00:00	1.862	1.916	1.862	1.898	10974	EUR	
02/07/2015 00:00	1.925	1.952	1.907	1.952	13858	EUR	
03/07/2015 00:00	1.988	2.025	1.871	1.952	49753	EUR	
06/07/2015 00:00	1.943	1.952	1.916	1.934	5467	EUR	
07/07/2015 00:00	1.934	1.934	1.907	1.925	3276	EUR	
08/07/2015 00:00	1.889	1.934	1.88	1.934	10369	EUR	
09/07/2015 00:00	1.934	2.034	1.925	1.988	24466	EUR	
10/07/2015 00:00	1.998	2.133	1.998	2.115	48614	EUR	
13/07/2015 00:00	2.088	2.187	2.088	2.187	26250	EUR	
14/07/2015 00:00	2.187	2.187	2.169	2.187	16523	EUR	
15/07/2015 00:00	2.187	2.187	2.142	2.169	10695	EUR	
16/07/2015 00:00	2.16	2.169	2.151	2.169	7632	EUR	
17/07/2015 00:00	2.151	2.205	2.151	2.169	32901	EUR	
20/07/2015 00:00	2.187	2.205	2.169	2.187	12177	EUR	
21/07/2015 00:00	2.187	2.187	2.169	2.169	32450	EUR	
22/07/2015 00:00	2.169	2.178	2.169	2.169	14058	EUR	
23/07/2015 00:00	2.178	2.187	2.169	2.178	5279	EUR	
24/07/2015 00:00	2.187	2.187	2.169	2.178	5045	EUR	
27/07/2015 00:00	2.187	2.187	2.178	2.187	11222	EUR	
28/07/2015 00:00	2.196	2.196	2.178	2.187	6119	EUR	
29/07/2015 00:00	2.196	2.205	2.196	2.196	9417	EUR	
30/07/2015 00:00	2.196	2.196	2.088	2.178	30195	EUR	
31/07/2015 00:00	2.151	2.169	2.106	2.133	15707	EUR	
03/08/2015 00:00	2.142	2.151	2.142	2.142	1158	EUR	
04/08/2015 00:00	2.151	2.151	2.133	2.142	3621	EUR	
05/08/2015 00:00	2.151	2.151	2.133	2.142	9877	EUR	
06/08/2015 00:00	2.142	2.16	2.142	2.151	2443	EUR	
07/08/2015 00:00	2.151	2.169	2.025	2.142	40050	EUR	
