date	ouv	haut	bas	clot	vol	devise	
03/06/2015 00:00	0.72	0.72	0.72	0.72	0	EUR	
05/06/2015 00:00	0.79	0.79	0.79	0.79	15500	EUR	
08/06/2015 00:00	0.79	0.79	0.79	0.79	0	EUR	
12/06/2015 00:00	0.91	0.91	0.91	0.91	20	EUR	
15/06/2015 00:00	0.94	0.94	0.94	0.94	9	EUR	
16/06/2015 00:00	0.96	0.96	0.96	0.96	4	EUR	
17/06/2015 00:00	0.96	0.96	0.96	0.96	0	EUR	
14/07/2015 00:00	0.75	0.75	0.75	0.75	1000	EUR	
15/07/2015 00:00	0.75	0.75	0.75	0.75	0	EUR	
23/07/2015 00:00	0.75	0.75	0.75	0.75	0	EUR	
28/07/2015 00:00	0.97	0.97	0.97	0.97	6104	EUR	
29/07/2015 00:00	0.97	0.97	0.97	0.97	0	EUR	
31/07/2015 00:00	1.04	1.04	1.04	1.04	1850	EUR	
04/08/2015 00:00	0.85	0.85	0.85	0.85	508	EUR	
05/08/2015 00:00	0.82	0.82	0.82	0.82	0	EUR	
12/08/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
24/08/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
31/08/2015 00:00	0.83	0.83	0.83	0.83	0	EUR	
09/09/2015 00:00	0.79	0.79	0.79	0.79	0	EUR	
15/09/2015 00:00	0.86	0.86	0.86	0.86	5000	EUR	
16/09/2015 00:00	0.79	0.79	0.79	0.79	0	EUR	
22/09/2015 00:00	0.8	0.8	0.8	0.8	700	EUR	
23/09/2015 00:00	0.85	0.85	0.85	0.85	2999	EUR	
24/09/2015 00:00	0.85	0.85	0.85	0.85	0	EUR	
14/10/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
21/10/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
23/10/2015 00:00	0.8	0.8	0.8	0.8	680	EUR	
27/10/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
29/10/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
09/11/2015 00:00	0.82	0.82	0.82	0.82	0	EUR	
11/11/2015 00:00	0.9	0.9	0.9	0.9	66	EUR	
12/11/2015 00:00	0.89	0.89	0.89	0.89	0	EUR	
17/11/2015 00:00	0.87	0.87	0.87	0.87	220	EUR	
18/11/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
24/11/2015 00:00	0.87	0.87	0.87	0.87	0	EUR	
30/11/2015 00:00	0.8	0.8	0.8	0.8	1140	EUR	
01/12/2015 00:00	0.8	0.8	0.8	0.8	64	EUR	
02/12/2015 00:00	0.8	0.8	0.8	0.8	0	EUR	
04/12/2015 00:00	0.8	0.8	0.8	0.8	30	EUR	
10/12/2015 00:00	0.82	0.82	0.82	0.82	0	EUR	
15/12/2015 00:00	0.81	0.81	0.81	0.81	0	EUR	
18/12/2015 00:00	0.8	0.8	0.8	0.8	2000	EUR	
21/12/2015 00:00	0.8	0.8	0.8	0.8	300	EUR	
22/12/2015 00:00	0.81	0.81	0.81	0.81	0	EUR	
29/12/2015 00:00	0.81	0.81	0.81	0.81	0	EUR	
04/01/2016 00:00	0.81	0.81	0.81	0.81	0	EUR	
11/01/2016 00:00	0.88	0.88	0.88	0.88	0	EUR	
14/01/2016 00:00	0.8	0.8	0.8	0.8	5	EUR	
15/01/2016 00:00	0.8	0.8	0.8	0.8	1906	EUR	
22/01/2016 00:00	0.8	0.8	0.8	0.8	2460	EUR	
27/01/2016 00:00	0.87	0.87	0.87	0.87	0	EUR	
03/02/2016 00:00	0.8	0.8	0.8	0.8	1	EUR	
04/02/2016 00:00	0.8	0.8	0.8	0.8	0	EUR	
08/02/2016 00:00	0.8	0.8	0.8	0.8	0	EUR	
11/02/2016 00:00	0.8	0.8	0.8	0.8	1760	EUR	
12/02/2016 00:00	0.8	0.8	0.8	0.8	1638	EUR	
15/02/2016 00:00	0.8	0.8	0.8	0.8	0	EUR	
24/02/2016 00:00	0.81	0.81	0.81	0.81	0	EUR	
01/03/2016 00:00	0.8	0.8	0.8	0.8	0	EUR	
03/03/2016 00:00	0.81	0.81	0.81	0.81	0	EUR	
15/03/2016 00:00	0.81	0.81	0.81	0.81	865	EUR	
16/03/2016 00:00	0.81	0.81	0.81	0.81	0	EUR	
23/03/2016 00:00	0.93	0.93	0.93	0.93	0	EUR	
29/03/2016 00:00	0.82	0.82	0.82	0.82	573	EUR	
30/03/2016 00:00	0.83	0.83	0.83	0.83	0	EUR	
04/04/2016 00:00	0.9	0.9	0.9	0.9	0	EUR	
12/04/2016 00:00	0.9	0.9	0.9	0.9	6500	EUR	
13/04/2016 00:00	0.82	0.82	0.82	0.82	0	EUR	
21/04/2016 00:00	0.9	0.9	0.9	0.9	0	EUR	
27/04/2016 00:00	0.83	0.83	0.83	0.83	0	EUR	
04/05/2016 00:00	0.83	0.83	0.83	0.83	0	EUR	
12/05/2016 00:00	0.83	0.83	0.83	0.83	6000	EUR	
13/05/2016 00:00	0.8	0.8	0.8	0.8	4651	EUR	
16/05/2016 00:00	0.83	0.83	0.83	0.83	7938	EUR	
17/05/2016 00:00	0.82	0.82	0.82	0.82	6400	EUR	
18/05/2016 00:00	0.84	0.84	0.84	0.84	0	EUR	
20/05/2016 00:00	0.81	0.81	0.81	0.81	2386	EUR	
25/05/2016 00:00	0.82	0.82	0.82	0.82	0	EUR	
31/05/2016 00:00	0.86	0.86	0.86	0.86	1700	EUR	
01/06/2016 00:00	0.88	0.88	0.88	0.88	0	EUR	
10/06/2016 00:00	0.9	0.9	0.9	0.9	3000	EUR	
14/06/2016 00:00	0.85	0.85	0.85	0.85	0	EUR	
16/06/2016 00:00	0.85	0.85	0.85	0.85	0	EUR	
21/06/2016 00:00	0.8	0.8	0.8	0.8	0	EUR	
30/06/2016 00:00	0.9	0.9	0.9	0.9	0	EUR	
05/07/2016 00:00	0.81	0.81	0.81	0.81	11000	EUR	
06/07/2016 00:00	0.8	0.8	0.8	0.8	0	EUR	
08/07/2016 00:00	0.8	0.8	0.8	0.8	230	EUR	
13/07/2016 00:00	0.85	0.85	0.85	0.85	4740	EUR	
14/07/2016 00:00	0.8	0.8	0.8	0.8	0	EUR	
02/08/2016 00:00	0.79	0.79	0.79	0.79	0	EUR	
04/08/2016 00:00	0.8	0.8	0.8	0.8	100	EUR	
05/08/2016 00:00	0.8	0.8	0.8	0.8	500	EUR	
12/08/2016 00:00	0.81	0.81	0.81	0.81	3	EUR	
16/08/2016 00:00	0.81	0.81	0.81	0.81	0	EUR	
22/08/2016 00:00	0.94	0.94	0.94	0.94	0	EUR	
06/09/2016 00:00	0.9	0.9	0.9	0.9	0	EUR	
15/09/2016 00:00	0.83	0.83	0.83	0.83	26	EUR	
16/09/2016 00:00	0.83	0.83	0.83	0.83	2000	EUR	
28/09/2016 00:00	0.83	0.83	0.83	0.83	0	EUR	
30/09/2016 00:00	0.83	0.83	0.83	0.83	250	EUR	
06/10/2016 00:00	0.83	0.83	0.83	0.83	459	EUR	
07/10/2016 00:00	0.81	0.81	0.81	0.81	11	EUR	
10/10/2016 00:00	0.81	0.81	0.81	0.81	360	EUR	
11/10/2016 00:00	0.81	0.81	0.81	0.81	0	EUR	
18/10/2016 00:00	0.81	0.81	0.81	0.81	400	EUR	
19/10/2016 00:00	0.88	0.88	0.88	0.88	1	EUR	
20/10/2016 00:00	0.94	0.94	0.94	0.94	0	EUR	
26/10/2016 00:00	0.94	0.94	0.94	0.94	1518	EUR	
27/10/2016 00:00	1.01	1.01	1.01	1.01	0	EUR	
10/11/2016 00:00	0.83	0.83	0.83	0.83	0	EUR	
18/11/2016 00:00	1.01	1.01	1.01	1.01	4518	EUR	
21/11/2016 00:00	1.01	1.01	1.01	1.01	1247	EUR	
22/11/2016 00:00	1.04	1.04	1.04	1.04	1387	EUR	
23/11/2016 00:00	1.07	1.07	1.07	1.07	0	EUR	
14/12/2016 00:00	0.93	0.93	0.93	0.93	30	EUR	
15/12/2016 00:00	0.88	0.88	0.88	0.88	0	EUR	
21/12/2016 00:00	0.9	0.9	0.9	0.9	0	EUR	
12/01/2017 00:00	0.9	0.9	0.9	0.9	5525	EUR	
13/01/2017 00:00	0.9	0.9	0.9	0.9	100	EUR	
17/01/2017 00:00	0.9	0.9	0.9	0.9	0	EUR	
20/01/2017 00:00	0.9	0.9	0.9	0.9	266	EUR	
27/01/2017 00:00	1.06	1.06	1.06	1.06	4950	EUR	
10/02/2017 00:00	1.11	1.11	1.11	1.11	500	EUR	
23/02/2017 00:00	1.1	1.1	1.1	1.1	0	EUR	
15/03/2017 00:00	1.08	1.08	1.08	1.08	0	EUR	
17/03/2017 00:00	1.09	1.09	1.09	1.09	1146	EUR	
20/03/2017 00:00	1.09	1.09	1.09	1.09	0	EUR	
27/03/2017 00:00	1.01	1.01	1.01	1.01	8200	EUR	
28/03/2017 00:00	1.08	1.08	1.08	1.08	0	EUR	
04/04/2017 00:00	1.08	1.08	1.08	1.08	1150	EUR	
05/04/2017 00:00	1.08	1.08	1.08	1.08	0	EUR	
18/04/2017 00:00	1	1	1	1	1000	EUR	
19/04/2017 00:00	0.97	0.97	0.97	0.97	0	EUR	
28/04/2017 00:00	0.98	0.98	0.98	0.98	150	EUR	
15/05/2017 00:00	1.01	1.01	1.01	1.01	5303	EUR	
16/05/2017 00:00	0.95	0.95	0.95	0.95	0	EUR	
23/05/2017 00:00	1.08	1.08	1.08	1.08	0	EUR	
25/05/2017 00:00	0.99	0.99	0.99	0.99	0	EUR	
06/06/2017 00:00	0.91	0.91	0.91	0.91	0	EUR	
09/06/2017 00:00	1.09	1.09	1.09	1.09	250	EUR	
14/06/2017 00:00	1.09	1.09	1.09	1.09	3085	EUR	
15/06/2017 00:00	1	1	1	1	1000	EUR	
16/06/2017 00:00	1.09	1.09	1.09	1.09	2000	EUR	
23/06/2017 00:00	0.91	0.91	0.91	0.91	38	EUR	
27/06/2017 00:00	0.94	0.94	0.94	0.94	0	EUR	
06/07/2017 00:00	1.09	1.09	1.09	1.09	28661	EUR	
07/07/2017 00:00	1.13	1.13	1.13	1.13	4160	EUR	
10/07/2017 00:00	1.13	1.13	1.13	1.13	0	EUR	
14/07/2017 00:00	1.18	1.18	1.18	1.18	3350	EUR	
26/07/2017 00:00	1.05	1.05	1.05	1.05	1	EUR	
27/07/2017 00:00	1.05	1.05	1.05	1.05	0	EUR	
