date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	2.24	2.3	2.23	2.3	3363	EUR	
19/05/2015 00:00	2.29	2.4	2.21	2.4	42609	EUR	
20/05/2015 00:00	2.4	2.4	2.27	2.35	2420	EUR	
21/05/2015 00:00	2.35	2.4	2.31	2.31	17039	EUR	
22/05/2015 00:00	2.32	2.36	2.32	2.32	1431	EUR	
25/05/2015 00:00	2.36	2.36	2.27	2.34	6022	EUR	
26/05/2015 00:00	2.36	2.41	2.28	2.4	57226	EUR	
27/05/2015 00:00	2.4	2.5	2.34	2.44	803864	EUR	
28/05/2015 00:00	2.45	2.45	2.4	2.4	3733	EUR	
29/05/2015 00:00	2.39	2.44	2.35	2.44	80351	EUR	
01/06/2015 00:00	2.43	2.43	2.43	2.43	1	EUR	
02/06/2015 00:00	2.39	2.45	2.32	2.45	26552	EUR	
03/06/2015 00:00	2.45	2.45	2.45	2.45	1	EUR	
04/06/2015 00:00	2.49	2.49	2.4	2.4	10289	EUR	
05/06/2015 00:00	2.45	2.75	2.45	2.69	57384	EUR	
08/06/2015 00:00	2.66	2.66	2.6	2.64	2198	EUR	
09/06/2015 00:00	2.63	2.89	2.62	2.85	345659	EUR	
10/06/2015 00:00	2.77	2.87	2.6	2.82	141366	EUR	
11/06/2015 00:00	2.79	2.85	2.73	2.82	30632	EUR	
12/06/2015 00:00	2.81	2.81	2.68	2.75	72874	EUR	
15/06/2015 00:00	2.73	2.77	2.68	2.68	18121	EUR	
16/06/2015 00:00	2.73	2.73	2.55	2.72	11159	EUR	
17/06/2015 00:00	2.72	2.72	2.65	2.65	787	EUR	
18/06/2015 00:00	2.69	2.69	2.5	2.55	51857	EUR	
19/06/2015 00:00	2.51	2.64	2.44	2.64	4586	EUR	
22/06/2015 00:00	2.62	2.63	2.46	2.55	10872	EUR	
23/06/2015 00:00	2.53	2.58	2.53	2.58	201	EUR	
24/06/2015 00:00	2.57	2.57	2.57	2.57	1	EUR	
25/06/2015 00:00	2.57	2.57	2.57	2.57	1	EUR	
26/06/2015 00:00	2.54	2.54	2.54	2.54	369	EUR	
01/07/2015 00:00	2.54	2.66	2.4	2.53	5069	EUR	
02/07/2015 00:00	2.52	2.52	2.4	2.5	251	EUR	
03/07/2015 00:00	2.44	2.5	2.31	2.5	2502	EUR	
06/07/2015 00:00	2.5	2.5	2.5	2.5	10	EUR	
07/07/2015 00:00	2.49	2.5	2.25	2.28	11837	EUR	
08/07/2015 00:00	2.22	2.27	2.11	2.11	19109	EUR	
09/07/2015 00:00	2.28	2.37	2.16	2.35	2094	EUR	
10/07/2015 00:00	2.33	2.33	2.33	2.33	1	EUR	
13/07/2015 00:00	2.35	2.35	2.25	2.35	2013	EUR	
14/07/2015 00:00	2.32	2.33	2.32	2.33	2501	EUR	
