date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	10.18	10.29	9.82	9.95	6055	EUR	
19/05/2015 00:00	9.77	9.94	9.5	9.65	17395	EUR	
20/05/2015 00:00	9.79	9.79	9.5	9.7	5768	EUR	
21/05/2015 00:00	9.7	9.8	9.5	9.63	12025	EUR	
22/05/2015 00:00	9.7	9.7	9.55	9.7	7800	EUR	
25/05/2015 00:00	9.7	9.76	9.67	9.67	7115	EUR	
26/05/2015 00:00	9.68	9.8	9.51	9.52	14398	EUR	
27/05/2015 00:00	9.52	9.68	9.49	9.49	9474	EUR	
28/05/2015 00:00	9.45	9.95	9.45	9.75	15290	EUR	
29/05/2015 00:00	9.65	10	9.65	9.95	9970	EUR	
01/06/2015 00:00	10	10.15	9.87	10.02	10931	EUR	
02/06/2015 00:00	10.14	10.14	9.9	10	13619	EUR	
03/06/2015 00:00	9.95	10.29	9.95	10.2	12971	EUR	
04/06/2015 00:00	10.02	10.15	9.9	9.99	6189	EUR	
05/06/2015 00:00	9.99	9.99	9.82	9.82	2912	EUR	
08/06/2015 00:00	9.82	10.15	9.82	10	13011	EUR	
09/06/2015 00:00	9.91	10.04	9.8	9.99	8257	EUR	
10/06/2015 00:00	9.8	9.9	9.71	9.82	5119	EUR	
11/06/2015 00:00	9.8	9.92	9.79	9.8	7848	EUR	
12/06/2015 00:00	9.71	9.89	9.55	9.7	7937	EUR	
15/06/2015 00:00	9.6	9.89	9.6	9.77	5501	EUR	
16/06/2015 00:00	9.81	9.9	9.7	9.9	8588	EUR	
17/06/2015 00:00	9.9	9.9	9.65	9.77	5902	EUR	
18/06/2015 00:00	9.77	9.82	9.6	9.8	5975	EUR	
19/06/2015 00:00	9.7	9.8	9.59	9.72	9081	EUR	
22/06/2015 00:00	10.16	12.15	10.16	11.6	281179	EUR	
23/06/2015 00:00	11.7	11.74	10.82	11.2	52375	EUR	
24/06/2015 00:00	10.91	10.98	10.21	10.42	46927	EUR	
25/06/2015 00:00	10.68	10.68	10.32	10.48	8800	EUR	
26/06/2015 00:00	10.6	10.83	10.25	10.78	17122	EUR	
29/06/2015 00:00	10.01	10.28	9.72	9.95	43969	EUR	
30/06/2015 00:00	10	10.28	9.9	10.12	7900	EUR	
01/07/2015 00:00	10.17	10.34	10.03	10.16	9840	EUR	
02/07/2015 00:00	10.27	10.27	9.97	10.2	8893	EUR	
03/07/2015 00:00	10.2	10.2	9.75	9.78	19866	EUR	
06/07/2015 00:00	9.72	10.1	9.7	9.83	3803	EUR	
07/07/2015 00:00	9.94	10.19	9.88	9.91	10230	EUR	
08/07/2015 00:00	9.91	9.95	9.75	9.76	4647	EUR	
09/07/2015 00:00	9.8	9.88	9.7	9.85	9238	EUR	
10/07/2015 00:00	9.91	9.91	9.53	9.83	19097	EUR	
13/07/2015 00:00	9.8	9.9	9.58	9.7	4312	EUR	
14/07/2015 00:00	9.91	9.95	9.55	9.58	15846	EUR	
15/07/2015 00:00	9.81	9.9	9.7	9.78	13645	EUR	
16/07/2015 00:00	9.9	10.17	9.62	10.13	17803	EUR	
17/07/2015 00:00	10.33	10.79	10.19	10.57	20737	EUR	
20/07/2015 00:00	10.6	10.6	10.41	10.51	10677	EUR	
21/07/2015 00:00	10.17	10.55	10.17	10.45	11664	EUR	
22/07/2015 00:00	10.3	10.33	10.2	10.26	2624	EUR	
23/07/2015 00:00	10.34	10.34	10.1	10.11	4581	EUR	
24/07/2015 00:00	10.3	10.8	10.28	10.73	26122	EUR	
27/07/2015 00:00	10.8	10.8	10.01	10.09	11160	EUR	
28/07/2015 00:00	10.37	10.37	10	10.04	6124	EUR	
29/07/2015 00:00	10.25	10.32	10.19	10.2	2602	EUR	
30/07/2015 00:00	10.23	10.39	10.23	10.24	1849	EUR	
31/07/2015 00:00	10.34	10.49	10.26	10.49	5627	EUR	
03/08/2015 00:00	10.5	10.55	10.31	10.52	2903	EUR	
04/08/2015 00:00	10.39	10.47	10.25	10.25	3063	EUR	
05/08/2015 00:00	10.27	11.29	10.27	11.15	44889	EUR	
06/08/2015 00:00	11.18	11.41	10.8	11	26947	EUR	
07/08/2015 00:00	10.91	11.1	10.8	10.81	5600	EUR	
10/08/2015 00:00	10.8	10.8	10.4	10.69	6682	EUR	
11/08/2015 00:00	10.42	10.6	10.4	10.6	4808	EUR	
12/08/2015 00:00	10.56	10.56	10.29	10.47	3681	EUR	
13/08/2015 00:00	10.57	10.57	10.3	10.45	2404	EUR	
14/08/2015 00:00	10.37	10.37	10.2	10.21	5449	EUR	
17/08/2015 00:00	10.12	10.5	10.12	10.37	3553	EUR	
18/08/2015 00:00	10.2	10.96	10.2	10.96	27342	EUR	
19/08/2015 00:00	10.99	11.9	10.78	11.3	143908	EUR	
20/08/2015 00:00	11.5	12.65	11.02	11.13	161604	EUR	
21/08/2015 00:00	11.7	12.38	11.2	11.32	99775	EUR	
24/08/2015 00:00	10.6	10.91	9.63	10.3	73552	EUR	
25/08/2015 00:00	10.59	10.7	10.1	10.2	28202	EUR	
26/08/2015 00:00	10.2	10.4	9.81	9.9	26503	EUR	
27/08/2015 00:00	10.2	10.55	10	10.22	20845	EUR	
28/08/2015 00:00	10.22	10.47	10.05	10.33	20753	EUR	
31/08/2015 00:00	10.3	10.59	10.11	10.11	13540	EUR	
01/09/2015 00:00	10.11	10.12	9.69	9.71	20288	EUR	
02/09/2015 00:00	10.35	10.9	10.12	10.25	30705	EUR	
03/09/2015 00:00	10.31	10.49	10.12	10.25	9943	EUR	
04/09/2015 00:00	10.13	10.24	9.9	10.13	7009	EUR	
07/09/2015 00:00	9.96	10.11	9.95	10.04	5192	EUR	
08/09/2015 00:00	9.92	10.08	9.8	9.93	9127	EUR	
09/09/2015 00:00	10.28	10.29	9.87	9.9	19613	EUR	
10/09/2015 00:00	9.9	10.05	9.82	9.86	6522	EUR	
11/09/2015 00:00	9.84	10.1	9.69	9.8	14198	EUR	
14/09/2015 00:00	9.7	9.72	9.2	9.42	13166	EUR	
15/09/2015 00:00	9.41	9.48	9.1	9.47	16182	EUR	
16/09/2015 00:00	9.4	9.48	9.2	9.48	8087	EUR	
17/09/2015 00:00	9.48	9.48	9.05	9.3	4112	EUR	
18/09/2015 00:00	9.3	9.48	9.29	9.3	3011	EUR	
21/09/2015 00:00	9.43	9.43	9.3	9.3	2188	EUR	
22/09/2015 00:00	9.46	9.46	8.93	9.07	9968	EUR	
23/09/2015 00:00	8.93	9.09	8.9	8.93	5084	EUR	
24/09/2015 00:00	8.91	9.05	8.88	9.03	8923	EUR	
25/09/2015 00:00	8.95	9.03	8.89	8.92	5676	EUR	
28/09/2015 00:00	8.92	9.03	8.88	8.88	4543	EUR	
29/09/2015 00:00	8.89	8.92	8.45	8.78	16024	EUR	
30/09/2015 00:00	8.8	8.9	8.6	8.8	12265	EUR	
01/10/2015 00:00	8.6	8.87	8.41	8.41	4390	EUR	
02/10/2015 00:00	8.63	8.63	8.48	8.48	2940	EUR	
05/10/2015 00:00	8.4	8.7	8.4	8.59	5485	EUR	
06/10/2015 00:00	8.69	8.7	8.55	8.56	1971	EUR	
07/10/2015 00:00	8.55	8.69	8.5	8.6	3996	EUR	
08/10/2015 00:00	8.77	9.09	8.61	9.08	7778	EUR	
09/10/2015 00:00	9.3	9.41	9	9.41	6997	EUR	
12/10/2015 00:00	9.49	9.59	9.32	9.35	6810	EUR	
13/10/2015 00:00	9.5	9.5	9.15	9.3	3021	EUR	
14/10/2015 00:00	9.25	9.25	8.81	9.09	4046	EUR	
15/10/2015 00:00	8.9	9.07	8.85	8.86	2380	EUR	
16/10/2015 00:00	9	9.2	8.91	9.07	1695	EUR	
19/10/2015 00:00	9.2	9.22	9	9.22	1958	EUR	
20/10/2015 00:00	8.9	9.2	8.9	9.2	2082	EUR	
21/10/2015 00:00	9.19	9.19	8.8	9.02	2278	EUR	
22/10/2015 00:00	8.83	9.05	8.8	8.93	2219	EUR	
23/10/2015 00:00	8.9	9.2	8.8	9.01	10605	EUR	
26/10/2015 00:00	9.05	9.25	9	9.2	3137	EUR	
27/10/2015 00:00	9.2	9.2	9	9.11	2561	EUR	
28/10/2015 00:00	9.09	9.09	8.95	8.96	1321	EUR	
29/10/2015 00:00	8.95	8.98	8.8	8.8	2908	EUR	
30/10/2015 00:00	8.8	9.03	8.7	8.71	3015	EUR	
02/11/2015 00:00	9.7	9.79	9.35	9.63	37797	EUR	
03/11/2015 00:00	9.6	9.63	9.3	9.31	9764	EUR	
04/11/2015 00:00	9.4	9.4	9.05	9.05	2038	EUR	
05/11/2015 00:00	9.05	9.37	9.05	9.3	2020	EUR	
06/11/2015 00:00	9.29	9.29	9.04	9.19	1632	EUR	
09/11/2015 00:00	9.21	9.21	9	9.01	4881	EUR	
10/11/2015 00:00	9	9.19	8.79	9.1	5442	EUR	
11/11/2015 00:00	9.03	9.19	8.89	9	3126	EUR	
12/11/2015 00:00	9.1	9.1	8.9	8.91	1582	EUR	
13/11/2015 00:00	8.9	8.95	8.8	8.95	2418	EUR	
