date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	84	84	82.6	84	222	EUR	
19/05/2015 00:00	82.95	84	81.55	82.25	422	EUR	
20/05/2015 00:00	81.55	84	81.55	82.95	1062	EUR	
21/05/2015 00:00	81.55	82.25	74.9	75.6	1566	EUR	
22/05/2015 00:00	71.75	74.9	66.5	68.25	3871	EUR	
25/05/2015 00:00	68.95	70	67.9	68.6	577	EUR	
26/05/2015 00:00	67.9	71.05	66.15	67.9	2141	EUR	
27/05/2015 00:00	67.9	68.95	66.5	67.2	408	EUR	
28/05/2015 00:00	67.9	67.9	66.5	67.2	768	EUR	
29/05/2015 00:00	67.55	68.95	65.8	68.95	540	EUR	
01/06/2015 00:00	68.95	68.95	66.5	68.25	706	EUR	
02/06/2015 00:00	66.85	67.9	66.15	67.2	627	EUR	
03/06/2015 00:00	67.2	67.2	65.8	66.5	178	EUR	
04/06/2015 00:00	66.5	66.5	61.95	63.7	901	EUR	
05/06/2015 00:00	63.7	64.75	62.3	63.7	293	EUR	
08/06/2015 00:00	63.7	64.05	63	63	55	EUR	
09/06/2015 00:00	63.35	63.35	57.75	60.2	461	EUR	
10/06/2015 00:00	60.2	60.2	58.45	58.8	342	EUR	
11/06/2015 00:00	59.5	59.5	57.75	58.8	732	EUR	
12/06/2015 00:00	59.15	60.9	58.1	58.1	1496	EUR	
15/06/2015 00:00	58.45	58.45	56.7	57.05	276	EUR	
16/06/2015 00:00	57.05	57.05	54.95	54.95	319	EUR	
17/06/2015 00:00	54.95	56	51.8	54.6	1051	EUR	
18/06/2015 00:00	54.6	54.6	52.85	53.9	122	EUR	
19/06/2015 00:00	53.9	55.3	52.85	52.85	592	EUR	
22/06/2015 00:00	52.15	53.2	51.8	52.15	555	EUR	
23/06/2015 00:00	51.8	54.25	51.8	52.15	624	EUR	
24/06/2015 00:00	53.2	53.2	52.15	52.5	249	EUR	
25/06/2015 00:00	52.5	52.5	49	49.7	1820	EUR	
26/06/2015 00:00	50.75	50.75	46.9	48.65	981	EUR	
29/06/2015 00:00	47.25	47.95	44.45	46.55	1096	EUR	
30/06/2015 00:00	46.55	46.9	44.8	46.9	588	EUR	
01/07/2015 00:00	46.9	48.65	46.9	47.95	438	EUR	
02/07/2015 00:00	47.95	57.4	47.25	53.2	3468	EUR	
03/07/2015 00:00	53.9	71.05	49.7	69.65	10163	EUR	
06/07/2015 00:00	67.55	108.15	64.4	95.55	43809	EUR	
07/07/2015 00:00	113.75	118.3	91.35	91.35	29769	EUR	
08/07/2015 00:00	89.6	96.25	82.25	84	7653	EUR	
09/07/2015 00:00	84.35	89.25	78.05	82.25	3848	EUR	
10/07/2015 00:00	82.25	82.25	77	77.7	1244	EUR	
13/07/2015 00:00	79.45	88.55	78.75	81.9	2997	EUR	
14/07/2015 00:00	81.9	81.9	73.85	74.2	2976	EUR	
15/07/2015 00:00	77.7	77.7	70	71.75	6231	EUR	
16/07/2015 00:00	70.35	77.35	70.35	71.75	2105	EUR	
17/07/2015 00:00	72.1	72.8	70	70	1467	EUR	
20/07/2015 00:00	70	70	64.75	66.15	2479	EUR	
21/07/2015 00:00	65.45	86.45	65.45	75.25	12902	EUR	
22/07/2015 00:00	74.9	75.25	71.05	73.15	2402	EUR	
23/07/2015 00:00	72.8	73.15	70.35	72.1	1115	EUR	
24/07/2015 00:00	72.45	86.45	70	78.75	6615	EUR	
27/07/2015 00:00	78.75	84	71.05	73.85	2323	EUR	
28/07/2015 00:00	73.15	78.75	72.45	75.25	948	EUR	
29/07/2015 00:00	75.25	78.75	73.85	75.95	1163	EUR	
30/07/2015 00:00	75.95	78.05	72.45	74.9	1044	EUR	
31/07/2015 00:00	74.9	76.3	72.8	73.5	553	EUR	
03/08/2015 00:00	73.5	80.85	73.5	74.55	3604	EUR	
04/08/2015 00:00	79.1	88.2	78.4	78.4	6563	EUR	
05/08/2015 00:00	79.1	82.25	74.2	78.05	3650	EUR	
06/08/2015 00:00	77	77	73.15	74.2	2545	EUR	
07/08/2015 00:00	73.15	75.95	72.8	74.55	1182	EUR	
10/08/2015 00:00	70.7	71.05	65.45	67.9	3874	EUR	
11/08/2015 00:00	67.55	68.95	64.75	66.85	1003	EUR	
12/08/2015 00:00	66.85	66.85	65.45	66.85	354	EUR	
13/08/2015 00:00	66.85	68.95	66.15	67.9	555	EUR	
14/08/2015 00:00	67.9	67.9	66.15	66.85	134	EUR	
17/08/2015 00:00	66.85	67.2	65.45	66.85	138	EUR	
18/08/2015 00:00	66.85	66.85	62.65	64.4	424	EUR	
19/08/2015 00:00	65.45	65.45	60.2	60.55	1045	EUR	
20/08/2015 00:00	60.55	61.25	58.45	59.85	852	EUR	
21/08/2015 00:00	59.85	62.65	59.5	62.65	906	EUR	
24/08/2015 00:00	60.9	60.9	54.25	56.35	1137	EUR	
25/08/2015 00:00	56	58.8	56	58.8	359	EUR	
26/08/2015 00:00	58.8	64.4	56.7	59.85	3232	EUR	
27/08/2015 00:00	60.9	64.4	60.9	64.05	1251	EUR	
28/08/2015 00:00	64.75	64.75	58.45	59.15	1177	EUR	
31/08/2015 00:00	59.5	61.25	59.5	60.2	362	EUR	
