date	ouv	haut	bas	clot	vol	devise	
20/05/2015 00:00	12	12	12	12	0	EUR	
26/05/2015 00:00	11.6	11.6	11.6	11.6	0	EUR	
28/05/2015 00:00	11.95	11.95	11.95	11.95	0	EUR	
01/06/2015 00:00	11.95	11.95	11.95	11.95	1	EUR	
02/06/2015 00:00	12.5	12.5	12.5	12.5	0	EUR	
24/06/2015 00:00	11.85	11.85	11.85	11.85	0	EUR	
26/06/2015 00:00	12	12	12	12	200	EUR	
01/07/2015 00:00	12	12	12	12	0	EUR	
06/07/2015 00:00	11.5	11.5	11.5	11.5	0	EUR	
10/07/2015 00:00	12	12	12	12	900	EUR	
14/07/2015 00:00	12	12	12	12	21	EUR	
15/07/2015 00:00	12	12	12	12	0	EUR	
22/07/2015 00:00	12	12	12	12	0	EUR	
03/08/2015 00:00	12	12	12	12	0	EUR	
18/08/2015 00:00	12	12	12	12	0	EUR	
15/09/2015 00:00	9.5	9.5	9.5	9.5	12	EUR	
16/09/2015 00:00	9.5	9.5	9.5	9.5	11	EUR	
17/09/2015 00:00	10.15	10.15	10.15	10.15	25	EUR	
18/09/2015 00:00	9.8	9.8	9.8	9.8	3	EUR	
22/09/2015 00:00	9.99	9.99	9.99	9.99	0	EUR	
29/09/2015 00:00	10.1	10.1	10.1	10.1	9	EUR	
30/09/2015 00:00	10.1	10.1	10.1	10.1	5	EUR	
01/10/2015 00:00	10.1	10.1	10.1	10.1	5	EUR	
02/10/2015 00:00	10.1	10.1	10.1	10.1	30	EUR	
21/10/2015 00:00	9.99	9.99	9.99	9.99	0	EUR	
26/10/2015 00:00	10.7	10.7	10.7	10.7	260	EUR	
27/10/2015 00:00	11	11	11	11	0	EUR	
29/10/2015 00:00	11.1	11.1	11.1	11.1	581	EUR	
30/10/2015 00:00	11.1	11.1	11.1	11.1	1	EUR	
26/11/2015 00:00	11	11	11	11	0	EUR	
02/12/2015 00:00	11.1	11.1	11.1	11.1	122	EUR	
03/12/2015 00:00	11.1	11.1	11.1	11.1	0	EUR	
