date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	21.71	22.1	21.7	21.88	9875	EUR	
19/05/2015 00:00	21.9	21.95	21.85	21.93	4935	EUR	
20/05/2015 00:00	21.94	22.97	21.94	22.51	4740	EUR	
21/05/2015 00:00	22.6	22.7	21.84	22	6250	EUR	
22/05/2015 00:00	22.1	22.1	21.95	22.01	2745	EUR	
25/05/2015 00:00	22.01	22.53	22	22.35	1965	EUR	
26/05/2015 00:00	22.35	22.36	22.2	22.2	835	EUR	
27/05/2015 00:00	22.1	22.35	22.1	22.34	1790	EUR	
28/05/2015 00:00	22.34	22.4	22.19	22.3	835	EUR	
29/05/2015 00:00	22.3	22.32	22.17	22.17	1660	EUR	
01/06/2015 00:00	22.17	22.17	22	22	1375	EUR	
02/06/2015 00:00	22	22	21.83	21.9	1795	EUR	
03/06/2015 00:00	21.89	21.92	21.81	21.82	1375	EUR	
04/06/2015 00:00	21.82	21.84	21.82	21.82	1260	EUR	
05/06/2015 00:00	21.8	21.8	21.61	21.61	2495	EUR	
08/06/2015 00:00	21.61	21.61	21.2	21.3	4680	EUR	
09/06/2015 00:00	21.3	21.3	20.4	20.6	6035	EUR	
10/06/2015 00:00	20.49	21.52	20.4	21.31	6325	EUR	
11/06/2015 00:00	21.4	22	21.4	21.65	2900	EUR	
12/06/2015 00:00	21.93	21.96	21.68	21.96	1260	EUR	
15/06/2015 00:00	21.9	21.9	21.4	21.4	2955	EUR	
16/06/2015 00:00	21.4	21.6	21.06	21.6	3360	EUR	
17/06/2015 00:00	21.6	21.6	21.38	21.51	690	EUR	
18/06/2015 00:00	21.51	21.51	20.97	21.1	6850	EUR	
19/06/2015 00:00	21.1	21.56	21.1	21.5	1160	EUR	
22/06/2015 00:00	21.55	21.85	21.55	21.85	980	EUR	
23/06/2015 00:00	21.85	21.85	21.71	21.85	1515	EUR	
24/06/2015 00:00	21.82	21.82	21.77	21.8	1180	EUR	
25/06/2015 00:00	21.8	21.98	21.8	21.8	1800	EUR	
26/06/2015 00:00	21.87	21.9	21.79	21.79	715	EUR	
29/06/2015 00:00	21.2	21.2	20.49	20.74	8555	EUR	
30/06/2015 00:00	20.77	20.94	20.77	20.92	980	EUR	
01/07/2015 00:00	20.82	21.46	20.82	20.97	2300	EUR	
02/07/2015 00:00	20.97	21.4	20.97	21.08	855	EUR	
03/07/2015 00:00	21.08	21.2	21.08	21.2	165	EUR	
06/07/2015 00:00	21	21.11	21	21.11	2465	EUR	
07/07/2015 00:00	21.11	21.91	21.11	21.62	2395	EUR	
08/07/2015 00:00	21.62	22.22	21.62	22	2390	EUR	
09/07/2015 00:00	22	22.6	21.92	22.28	3235	EUR	
10/07/2015 00:00	22.69	22.8	22.69	22.69	1360	EUR	
13/07/2015 00:00	22.69	22.9	22.69	22.9	3530	EUR	
14/07/2015 00:00	22.78	22.78	22.73	22.73	1350	EUR	
15/07/2015 00:00	22.73	22.73	22.65	22.65	440	EUR	
16/07/2015 00:00	22.65	22.9	22.65	22.79	2920	EUR	
17/07/2015 00:00	22.79	23.01	22.79	23	2360	EUR	
20/07/2015 00:00	23	23.08	22.99	23.08	1480	EUR	
21/07/2015 00:00	23.15	23.26	23.08	23.18	6970	EUR	
22/07/2015 00:00	23.17	23.17	23	23	1565	EUR	
23/07/2015 00:00	23	23.02	22.84	22.84	1225	EUR	
24/07/2015 00:00	22.84	22.89	22.84	22.85	680	EUR	
27/07/2015 00:00	23	23.03	22.36	22.36	6095	EUR	
28/07/2015 00:00	22.36	22.5	22.3	22.5	1625	EUR	
29/07/2015 00:00	22.4	22.9	22.4	22.6	1750	EUR	
30/07/2015 00:00	22.6	22.79	22.6	22.71	1700	EUR	
31/07/2015 00:00	22.84	22.93	22.73	22.92	1135	EUR	
05/08/2015 00:00	23.25	25.65	23.25	25.6	19952	EUR	
06/08/2015 00:00	25.84	25.9	23.6	24	19935	EUR	
07/08/2015 00:00	24	24.49	23.7	23.82	4497	EUR	
10/08/2015 00:00	23.89	23.9	22	22.64	11874	EUR	
11/08/2015 00:00	22.68	22.68	21.66	22.3	11012	EUR	
12/08/2015 00:00	22.2	22.2	21.7	21.92	7750	EUR	
13/08/2015 00:00	21.95	22.6	21.95	22.6	6595	EUR	
14/08/2015 00:00	22.63	23.5	22.63	23.42	4479	EUR	
17/08/2015 00:00	23.42	24.4	23.1	23.64	6221	EUR	
18/08/2015 00:00	23.64	23.64	23.45	23.6	2536	EUR	
19/08/2015 00:00	23.64	23.65	23.4	23.45	3598	EUR	
20/08/2015 00:00	23.45	23.66	23.26	23.27	5248	EUR	
21/08/2015 00:00	23.18	23.18	22.7	22.71	7812	EUR	
24/08/2015 00:00	22.71	22.71	20.8	21.39	8459	EUR	
25/08/2015 00:00	21.39	22.41	21.39	22.41	2501	EUR	
26/08/2015 00:00	22.43	22.8	22.35	22.35	1519	EUR	
27/08/2015 00:00	22.6	23.45	22.6	22.87	3352	EUR	
28/08/2015 00:00	22.89	23	22.86	22.88	541	EUR	
31/08/2015 00:00	22.99	22.99	22.88	22.89	1230	EUR	
01/09/2015 00:00	22.89	22.89	22.3	22.5	1245	EUR	
02/09/2015 00:00	22.3	22.45	22.3	22.37	2306	EUR	
03/09/2015 00:00	22.68	22.89	22.6	22.73	3052	EUR	
04/09/2015 00:00	22.86	22.95	22.72	22.76	1196	EUR	
07/09/2015 00:00	22.76	23.45	22.76	23.45	2674	EUR	
08/09/2015 00:00	23.43	23.43	22.8	23.18	1376	EUR	
09/09/2015 00:00	23.3	23.41	23.18	23.4	3817	EUR	
10/09/2015 00:00	23.39	23.39	22.76	22.87	1155	EUR	
11/09/2015 00:00	22.87	22.88	22.7	22.84	345	EUR	
14/09/2015 00:00	22.84	22.84	22	22.38	4019	EUR	
15/09/2015 00:00	22.55	22.92	22.37	22.92	1475	EUR	
16/09/2015 00:00	22.95	23	22.92	22.99	1248	EUR	
17/09/2015 00:00	23	23.25	23	23.25	1250	EUR	
18/09/2015 00:00	23.25	23.25	22.61	22.61	867	EUR	
21/09/2015 00:00	22.6	23.25	22.6	23.25	1175	EUR	
22/09/2015 00:00	23.19	23.44	22.83	23.29	2394	EUR	
23/09/2015 00:00	23.38	25.58	23.29	24.3	13990	EUR	
24/09/2015 00:00	24.01	24.3	23.91	24.05	1632	EUR	
25/09/2015 00:00	24.05	24.05	23.85	23.9	1840	EUR	
28/09/2015 00:00	23.99	24.14	23.65	24.08	2865	EUR	
29/09/2015 00:00	24.14	24.24	23.75	24.24	2510	EUR	
30/09/2015 00:00	24.24	24.31	23.65	24.31	3442	EUR	
01/10/2015 00:00	24.5	25.15	24.15	24.8	9286	EUR	
02/10/2015 00:00	24.9	25	24.25	25	10005	EUR	
05/10/2015 00:00	25	25.1	24.71	24.71	4765	EUR	
06/10/2015 00:00	24.94	24.94	24.34	24.52	2158	EUR	
07/10/2015 00:00	24.52	24.93	24.5	24.93	5390	EUR	
08/10/2015 00:00	24.93	24.96	24.78	24.96	3236	EUR	
09/10/2015 00:00	24.99	25	24.6	24.85	6199	EUR	
12/10/2015 00:00	24.85	25.2	24.76	24.9	14002	EUR	
13/10/2015 00:00	24.98	25.5	24.91	25.27	11619	EUR	
14/10/2015 00:00	25.27	25.27	24.9	25.1	2046	EUR	
15/10/2015 00:00	25.1	25.1	24.86	24.86	1952	EUR	
16/10/2015 00:00	24.88	24.9	24.76	24.79	1150	EUR	
19/10/2015 00:00	24.8	24.95	24.78	24.94	2153	EUR	
20/10/2015 00:00	24.94	24.94	24.76	24.82	576	EUR	
21/10/2015 00:00	24.82	24.95	24.6	24.9	2876	EUR	
22/10/2015 00:00	24.95	24.98	24.63	24.8	3443	EUR	
23/10/2015 00:00	24.9	24.98	24.8	24.9	2454	EUR	
26/10/2015 00:00	25.02	25.02	24.6	24.89	3964	EUR	
27/10/2015 00:00	24.89	24.89	24.7	24.71	479	EUR	
28/10/2015 00:00	24.7	24.71	24.66	24.68	1595	EUR	
29/10/2015 00:00	24.71	24.75	24.67	24.7	1445	EUR	
30/10/2015 00:00	24.7	24.74	24.61	24.7	2730	EUR	
02/11/2015 00:00	24.7	24.7	24.55	24.55	1245	EUR	
03/11/2015 00:00	24.55	24.55	24.25	24.29	2023	EUR	
04/11/2015 00:00	24.29	24.29	24.11	24.24	1643	EUR	
05/11/2015 00:00	24.25	24.35	24.11	24.13	1269	EUR	
06/11/2015 00:00	24.13	24.5	24.11	24.49	1120	EUR	
09/11/2015 00:00	24.47	24.47	24.06	24.07	7343	EUR	
10/11/2015 00:00	24.03	24.08	24.02	24.03	3735	EUR	
11/11/2015 00:00	24.03	24.14	23.24	23.8	11821	EUR	
12/11/2015 00:00	23.55	23.81	23.52	23.81	1746	EUR	
13/11/2015 00:00	23.45	23.74	23.2	23.43	4683	EUR	
16/11/2015 00:00	23.15	23.15	22.35	23.07	9232	EUR	
17/11/2015 00:00	23.06	23.07	22.5	22.98	6824	EUR	
18/11/2015 00:00	22.8	22.8	22.55	22.55	3352	EUR	
19/11/2015 00:00	22.55	22.56	22.4	22.49	6886	EUR	
20/11/2015 00:00	22.49	22.8	22.41	22.5	4106	EUR	
23/11/2015 00:00	22.55	22.64	22.3	22.45	12483	EUR	
24/11/2015 00:00	22.46	22.55	22.4	22.54	4090	EUR	
25/11/2015 00:00	22.5	22.55	22.42	22.54	2473	EUR	
26/11/2015 00:00	22.59	22.91	22.31	22.52	4441	EUR	
27/11/2015 00:00	22.52	22.92	22.52	22.62	955	EUR	
30/11/2015 00:00	22.92	23.4	22.63	23.4	2154	EUR	
01/12/2015 00:00	23.52	24.04	23.52	23.96	3555	EUR	
02/12/2015 00:00	24	24	23.5	23.99	3082	EUR	
03/12/2015 00:00	23.99	24	23.5	23.8	1596	EUR	
04/12/2015 00:00	23.61	24	23.5	23.68	1820	EUR	
07/12/2015 00:00	24	24.3	23.92	24.06	4623	EUR	
08/12/2015 00:00	24.06	24.08	23.83	23.83	995	EUR	
09/12/2015 00:00	23.86	24.05	23.7	23.75	1714	EUR	
10/12/2015 00:00	23.75	24	23.75	24	1025	EUR	
11/12/2015 00:00	24	24	22.5	22.5	11551	EUR	
14/12/2015 00:00	21.3	22.39	19.84	21.39	29518	EUR	
15/12/2015 00:00	21.51	21.99	21.41	21.6	6077	EUR	
16/12/2015 00:00	21.6	21.98	21.59	21.61	2268	EUR	
17/12/2015 00:00	21.61	22.1	21.61	22.09	2846	EUR	
18/12/2015 00:00	22.18	22.18	21.81	21.81	3399	EUR	
21/12/2015 00:00	21.63	21.64	21.2	21.5	7507	EUR	
22/12/2015 00:00	21.51	21.69	21.4	21.68	3425	EUR	
23/12/2015 00:00	21.68	21.96	21.6	21.77	2502	EUR	
24/12/2015 00:00	21.78	21.8	21.23	21.28	807	EUR	
28/12/2015 00:00	21.21	21.3	20.61	21	6174	EUR	
29/12/2015 00:00	20.87	21.22	20.87	21.07	2940	EUR	
30/12/2015 00:00	21.1	21.1	20.62	20.71	19395	EUR	
31/12/2015 00:00	20.71	21.32	20.71	21.32	2317	EUR	
04/01/2016 00:00	21	21.4	20.61	21.13	4824	EUR	
05/01/2016 00:00	21.13	21.84	21.1	21.84	4371	EUR	
06/01/2016 00:00	21.96	21.96	21.06	21.4	2195	EUR	
07/01/2016 00:00	21.6	21.71	21.44	21.71	8279	EUR	
08/01/2016 00:00	21.99	21.99	21.76	21.83	4562	EUR	
