date	ouv	haut	bas	clot	vol	devise	
21/05/2015 00:00	0.5	0.5	0.5	0.5	0	EUR	
22/06/2015 00:00	0.47	0.47	0.47	0.47	0	EUR	
29/06/2015 00:00	0.49	0.49	0.49	0.49	5294	EUR	
30/06/2015 00:00	0.51	0.51	0.51	0.51	0	EUR	
24/07/2015 00:00	0.48	0.48	0.48	0.48	650	EUR	
21/08/2015 00:00	0.48	0.48	0.48	0.48	300	EUR	
03/09/2015 00:00	0.47	0.47	0.47	0.47	0	EUR	
15/09/2015 00:00	0.47	0.47	0.47	0.47	0	EUR	
22/09/2015 00:00	0.47	0.47	0.47	0.47	0	EUR	
09/10/2015 00:00	0.5	0.5	0.5	0.5	410	EUR	
03/12/2015 00:00	0.47	0.47	0.47	0.47	0	EUR	
15/01/2016 00:00	0.47	0.47	0.47	0.47	380	EUR	
25/01/2016 00:00	0.47	0.47	0.47	0.47	0	EUR	
29/02/2016 00:00	0.47	0.47	0.47	0.47	0	EUR	
14/06/2016 00:00	0.81	0.81	0.81	0.81	3248	EUR	
15/06/2016 00:00	0.89	0.89	0.89	0.89	1500	EUR	
16/06/2016 00:00	0.89	0.89	0.89	0.89	70	EUR	
17/06/2016 00:00	0.81	0.81	0.81	0.81	3000	EUR	
24/06/2016 00:00	0.7	0.7	0.7	0.7	650	EUR	
05/07/2016 00:00	0.76	0.76	0.76	0.76	0	EUR	
05/08/2016 00:00	0.96	0.96	0.96	0.96	200	EUR	
09/08/2016 00:00	0.95	0.95	0.95	0.95	0	EUR	
17/10/2016 00:00	0.66	0.66	0.66	0.66	0	EUR	
27/10/2016 00:00	0.86	0.86	0.86	0.86	0	EUR	
22/11/2016 00:00	0.77	0.77	0.77	0.77	0	EUR	
05/12/2016 00:00	0.78	0.78	0.78	0.78	0	EUR	
12/12/2016 00:00	0.6	0.6	0.6	0.6	0	EUR	
20/12/2016 00:00	0.61	0.61	0.61	0.61	0	EUR	
02/01/2017 00:00	0.77	0.77	0.77	0.77	1710	EUR	
03/01/2017 00:00	0.84	0.84	0.84	0.84	250	EUR	
04/01/2017 00:00	0.84	0.84	0.84	0.84	0	EUR	
12/01/2017 00:00	0.77	0.77	0.77	0.77	0	EUR	
16/01/2017 00:00	0.78	0.78	0.78	0.78	2200	EUR	
17/01/2017 00:00	0.72	0.72	0.72	0.72	0	EUR	
26/01/2017 00:00	0.78	0.78	0.78	0.78	0	EUR	
30/01/2017 00:00	0.79	0.79	0.79	0.79	0	EUR	
07/02/2017 00:00	0.79	0.79	0.79	0.79	0	EUR	
22/02/2017 00:00	0.79	0.79	0.79	0.79	0	EUR	
24/02/2017 00:00	0.79	0.79	0.79	0.79	3400	EUR	
27/02/2017 00:00	0.79	0.79	0.79	0.79	0	EUR	
02/03/2017 00:00	0.79	0.79	0.79	0.79	3726	EUR	
03/03/2017 00:00	0.79	0.79	0.79	0.79	3726	EUR	
06/03/2017 00:00	0.79	0.79	0.79	0.79	3726	EUR	
07/03/2017 00:00	0.79	0.79	0.79	0.79	3726	EUR	
08/03/2017 00:00	0.79	0.79	0.79	0.79	0	EUR	
10/03/2017 00:00	0.74	0.74	0.74	0.74	1550	EUR	
13/03/2017 00:00	0.72	0.72	0.72	0.72	0	EUR	
15/03/2017 00:00	0.65	0.65	0.65	0.65	0	EUR	
24/03/2017 00:00	0.85	0.85	0.85	0.85	5626	EUR	
27/03/2017 00:00	0.85	0.85	0.85	0.85	0	EUR	
29/03/2017 00:00	0.85	0.85	0.85	0.85	0	EUR	
31/03/2017 00:00	0.85	0.85	0.85	0.85	1998	EUR	
05/04/2017 00:00	0.82	0.82	0.82	0.82	2845	EUR	
06/04/2017 00:00	0.78	0.78	0.78	0.78	0	EUR	
18/04/2017 00:00	0.8	0.8	0.8	0.8	0	EUR	
24/04/2017 00:00	0.72	0.72	0.72	0.72	0	EUR	
27/04/2017 00:00	0.72	0.72	0.72	0.72	112	EUR	
28/04/2017 00:00	0.65	0.65	0.65	0.65	8677	EUR	
02/05/2017 00:00	0.66	0.66	0.66	0.66	13213	EUR	
03/05/2017 00:00	0.66	0.66	0.66	0.66	11573	EUR	
04/05/2017 00:00	0.7	0.7	0.7	0.7	2000	EUR	
05/05/2017 00:00	0.72	0.72	0.72	0.72	750	EUR	
09/05/2017 00:00	0.73	0.73	0.73	0.73	0	EUR	
22/05/2017 00:00	0.8	0.8	0.8	0.8	0	EUR	
06/06/2017 00:00	0.75	0.75	0.75	0.75	0	EUR	
09/06/2017 00:00	0.75	0.75	0.75	0.75	2000	EUR	
12/06/2017 00:00	0.75	0.75	0.75	0.75	2606	EUR	
13/06/2017 00:00	0.75	0.75	0.75	0.75	0	EUR	
21/06/2017 00:00	0.89	0.89	0.89	0.89	0	EUR	
23/06/2017 00:00	0.7	0.7	0.7	0.7	5194	EUR	
03/08/2017 00:00	0.63	0.63	0.63	0.63	0	EUR	
08/08/2017 00:00	0.7	0.7	0.7	0.7	0	EUR	
24/08/2017 00:00	0.64	0.64	0.64	0.64	0	EUR	
05/09/2017 00:00	0.6	0.6	0.6	0.6	0	EUR	
21/09/2017 00:00	0.6	0.6	0.6	0.6	0	EUR	
04/10/2017 00:00	0.63	0.63	0.63	0.63	0	EUR	
23/10/2017 00:00	0.63	0.63	0.63	0.63	0	EUR	
25/10/2017 00:00	0.6	0.6	0.6	0.6	0	EUR	
10/11/2017 00:00	0.62	0.62	0.62	0.62	1	EUR	
13/11/2017 00:00	0.62	0.62	0.62	0.62	0	EUR	
20/11/2017 00:00	0.69	0.69	0.69	0.69	0	EUR	
08/12/2017 00:00	0.43	0.43	0.43	0.43	1	EUR	
11/12/2017 00:00	0.43	0.43	0.43	0.43	500	EUR	
12/12/2017 00:00	0.47	0.47	0.47	0.47	1850	EUR	
13/12/2017 00:00	0.47	0.47	0.47	0.47	0	EUR	
29/12/2017 00:00	0.47	0.47	0.47	0.47	1998	EUR	
03/01/2018 00:00	0.44	0.44	0.44	0.44	0	EUR	
19/01/2018 00:00	0.46	0.46	0.46	0.46	2503	EUR	
30/01/2018 00:00	0.45	0.45	0.45	0.45	0	EUR	
16/02/2018 00:00	0.43	0.43	0.43	0.43	1000	EUR	
21/02/2018 00:00	0.442	0.442	0.442	0.442	0	EUR	
12/03/2018 00:00	0.54	0.54	0.54	0.54	0	EUR	
20/04/2018 00:00	0.54	0.54	0.54	0.54	50	EUR	
24/04/2018 00:00	0.53	0.53	0.53	0.53	0	EUR	
17/05/2018 00:00	0.6	0.6	0.6	0.6	1786	EUR	
18/05/2018 00:00	0.69	0.69	0.69	0.69	4971	EUR	
21/05/2018 00:00	0.69	0.7	0.69	0.7	4909	EUR	
22/05/2018 00:00	0.69	0.69	0.69	0.69	0	EUR	
24/05/2018 00:00	0.7	0.7	0.7	0.7	0	EUR	
29/05/2018 00:00	0.68	0.68	0.68	0.68	0	EUR	
05/06/2018 00:00	0.68	0.68	0.68	0.68	0	EUR	
11/06/2018 00:00	0.68	0.68	0.68	0.68	0	EUR	
14/06/2018 00:00	0.78	0.78	0.78	0.78	5001	EUR	
15/06/2018 00:00	0.79	0.79	0.75	0.75	86017	EUR	
18/06/2018 00:00	0.79	0.79	0.79	0.79	0	EUR	
03/07/2018 00:00	0.79	0.79	0.79	0.79	4000	EUR	
04/07/2018 00:00	0.86	0.86	0.86	0.86	0	EUR	
06/07/2018 00:00	0.7	0.7	0.7	0.7	7500	EUR	
19/07/2018 00:00	0.89	0.89	0.89	0.89	17	EUR	
20/07/2018 00:00	0.89	0.89	0.85	0.85	3730	EUR	
23/07/2018 00:00	0.85	0.85	0.85	0.85	3274	EUR	
24/07/2018 00:00	0.85	0.85	0.85	0.85	0	EUR	
30/07/2018 00:00	0.68	0.68	0.68	0.68	350	EUR	
31/07/2018 00:00	0.68	0.68	0.68	0.68	0	EUR	
08/08/2018 00:00	0.68	0.68	0.68	0.68	5000	EUR	
09/08/2018 00:00	0.68	0.68	0.68	0.68	0	EUR	
15/08/2018 00:00	0.68	0.68	0.68	0.68	0	EUR	
24/08/2018 00:00	0.62	0.62	0.62	0.62	761	EUR	
27/08/2018 00:00	0.56	0.56	0.56	0.56	0	EUR	
29/08/2018 00:00	0.56	0.56	0.56	0.56	0	EUR	
06/09/2018 00:00	0.56	0.56	0.56	0.56	0	EUR	
02/10/2018 00:00	0.56	0.56	0.56	0.56	10000	EUR	
03/10/2018 00:00	0.56	0.56	0.56	0.56	0	EUR	
08/10/2018 00:00	0.66	0.66	0.66	0.66	21	EUR	
09/10/2018 00:00	0.66	0.66	0.66	0.66	0	EUR	
16/10/2018 00:00	0.66	0.66	0.66	0.66	0	EUR	
02/11/2018 00:00	0.65	0.65	0.65	0.65	2000	EUR	
27/11/2018 00:00	0.75	0.75	0.75	0.75	0	EUR	
04/12/2018 00:00	0.75	0.75	0.75	0.75	6	EUR	
05/12/2018 00:00	0.76	0.76	0.76	0.76	0	EUR	
19/12/2018 00:00	0.75	0.75	0.75	0.75	0	EUR	
09/01/2019 00:00	0.68	0.68	0.68	0.68	0	EUR	
14/01/2019 00:00	0.68	0.68	0.68	0.68	0	EUR	
19/02/2019 00:00	0.7	0.7	0.7	0.7	0	EUR	
27/02/2019 00:00	0.695	0.695	0.695	0.695	0	EUR	
01/03/2019 00:00	0.695	0.695	0.695	0.695	675	EUR	
07/03/2019 00:00	0.695	0.695	0.695	0.695	0	EUR	
14/03/2019 00:00	0.695	0.695	0.695	0.695	200	EUR	
16/04/2019 00:00	0.77	0.77	0.77	0.77	0	EUR	
02/05/2019 00:00	0.73	0.73	0.73	0.73	1000	EUR	
07/05/2019 00:00	0.66	0.66	0.66	0.66	0	EUR	
10/05/2019 00:00	0.595	0.595	0.595	0.595	1	EUR	
21/05/2019 00:00	0.6	0.6	0.6	0.6	1	EUR	
22/05/2019 00:00	0.6	0.6	0.6	0.6	0	EUR	
30/05/2019 00:00	0.62	0.62	0.62	0.62	0	EUR	
03/06/2019 00:00	0.56	0.56	0.56	0.56	0	EUR	
07/06/2019 00:00	0.56	0.56	0.56	0.56	90	EUR	
26/06/2019 00:00	0.55	0.55	0.55	0.55	0	EUR	
17/07/2019 00:00	0.62	0.62	0.62	0.62	0	EUR	
07/08/2019 00:00	0.55	0.55	0.55	0.55	0	EUR	
12/09/2019 00:00	0.6	0.6	0.6	0.6	0	EUR	
17/09/2019 00:00	0.55	0.55	0.55	0.55	0	EUR	
04/10/2019 00:00	0.55	0.55	0.55	0.55	1988	EUR	
15/10/2019 00:00	0.6	0.6	0.6	0.6	250	EUR	
16/10/2019 00:00	0.6	0.6	0.6	0.6	0	EUR	
22/10/2019 00:00	0.7	0.7	0.7	0.7	0	EUR	
29/10/2019 00:00	0.55	0.55	0.55	0.55	0	EUR	
31/10/2019 00:00	0.55	0.55	0.55	0.55	1000	EUR	
01/11/2019 00:00	0.51	0.51	0.51	0.51	3000	EUR	
04/11/2019 00:00	0.575	0.575	0.575	0.575	5746	EUR	
05/11/2019 00:00	0.52	0.52	0.52	0.52	1	EUR	
06/11/2019 00:00	0.59	0.59	0.59	0.59	0	EUR	
11/11/2019 00:00	0.525	0.525	0.525	0.525	952	EUR	
12/11/2019 00:00	0.525	0.55	0.525	0.55	2511	EUR	
13/11/2019 00:00	0.53	0.53	0.53	0.53	0	EUR	
18/11/2019 00:00	0.57	0.57	0.57	0.57	0	EUR	
20/11/2019 00:00	0.625	0.625	0.625	0.625	0	EUR	
26/11/2019 00:00	0.69	0.69	0.69	0.69	0	EUR	
29/11/2019 00:00	0.69	0.69	0.69	0.69	9923	EUR	
06/12/2019 00:00	0.79	0.79	0.79	0.79	373	EUR	
09/12/2019 00:00	0.79	0.79	0.79	0.79	0	EUR	
12/12/2019 00:00	0.8	0.8	0.8	0.8	25000	EUR	
13/12/2019 00:00	0.88	0.88	0.88	0.88	3000	EUR	
16/12/2019 00:00	0.95	0.98	0.95	0.98	14462	EUR	
17/12/2019 00:00	0.985	0.985	0.985	0.985	400	EUR	
18/12/2019 00:00	1.07	1.13	1.07	1.13	21569	EUR	
19/12/2019 00:00	1.12	1.12	1.12	1.12	89662	EUR	
20/12/2019 00:00	1.08	1.08	1.08	1.08	16000	EUR	
23/12/2019 00:00	1.13	1.13	1.13	1.13	0	EUR	
27/12/2019 00:00	1.11	1.11	1.11	1.11	6500	EUR	
30/12/2019 00:00	1.08	1.08	1.08	1.08	1500	EUR	
31/12/2019 00:00	0.9	0.9	0.9	0.9	437	EUR	
02/01/2020 00:00	0.76	0.76	0.76	0.76	500	EUR	
03/01/2020 00:00	0.665	0.665	0.665	0.665	2709	EUR	
06/01/2020 00:00	0.69	0.69	0.65	0.65	15308	EUR	
07/01/2020 00:00	0.61	0.61	0.61	0.61	95406	EUR	
08/01/2020 00:00	0.65	0.65	0.65	0.65	0	EUR	
10/01/2020 00:00	0.735	0.735	0.735	0.735	250	EUR	
14/01/2020 00:00	1.11	1.11	1.11	1.11	73311	EUR	
15/01/2020 00:00	1.15	1.15	1.15	1.15	0	EUR	
21/01/2020 00:00	0.9	0.9	0.9	0.9	300	EUR	
22/01/2020 00:00	0.9	0.9	0.9	0.9	10	EUR	
23/01/2020 00:00	0.9	0.9	0.9	0.9	0	EUR	
27/01/2020 00:00	0.9	0.9	0.9	0.9	481	EUR	
28/01/2020 00:00	0.74	0.74	0.74	0.74	52299	EUR	
29/01/2020 00:00	0.68	0.68	0.68	0.68	73401	EUR	
30/01/2020 00:00	0.68	0.68	0.68	0.68	0	EUR	
06/02/2020 00:00	0.97	1.06	0.97	1.06	59843	EUR	
07/02/2020 00:00	1.06	1.06	1.06	1.06	68250	EUR	
11/02/2020 00:00	1.05	1.05	1.05	1.05	50	EUR	
12/02/2020 00:00	0.86	0.86	0.86	0.86	0	EUR	
17/02/2020 00:00	0.77	0.77	0.77	0.77	7550	EUR	
18/02/2020 00:00	0.71	0.71	0.71	0.71	35931	EUR	
19/02/2020 00:00	0.715	0.785	0.715	0.785	85219	EUR	
20/02/2020 00:00	0.86	0.945	0.86	0.945	1449	EUR	
21/02/2020 00:00	1.03	1.03	1.03	1.03	200	EUR	
24/02/2020 00:00	1.04	1.04	1.04	1.04	105074	EUR	
25/02/2020 00:00	1.09	1.09	1.09	1.09	0	EUR	
27/02/2020 00:00	0.83	0.83	0.75	0.75	131	EUR	
28/02/2020 00:00	0.68	0.68	0.68	0.68	138658	EUR	
03/03/2020 00:00	0.98	0.98	0.98	0.98	0	EUR	
05/03/2020 00:00	0.705	0.705	0.705	0.705	42420	EUR	
06/03/2020 00:00	0.725	0.725	0.71	0.71	93989	EUR	
09/03/2020 00:00	0.855	0.855	0.855	0.855	5250	EUR	
10/03/2020 00:00	0.94	0.94	0.94	0.94	0	EUR	
16/03/2020 00:00	1	1	1	1	0	EUR	
18/03/2020 00:00	0.98	0.98	0.98	0.98	0	EUR	
