date	ouv	haut	bas	clot	vol	devise	
20/05/2015 00:00	2092	2092	2092	2092	0	EUR	
09/06/2015 00:00	2301.2	2301.2	2301.2	2301.2	0	EUR	
15/06/2015 00:00	2784	2784	2784	2784	0	EUR	
30/06/2015 00:00	2071.01	2071.01	2071.01	2071.01	6	EUR	
01/07/2015 00:00	2083.03	2083.03	2083.03	2083.03	0	EUR	
03/07/2015 00:00	2130	2130	2130	2130	11	EUR	
06/07/2015 00:00	2118	2118	2118	2118	0	EUR	
17/07/2015 00:00	2330	2330	2330	2330	2	EUR	
29/07/2015 00:00	2330	2330	2330	2330	0	EUR	
03/08/2015 00:00	2400	2400	2400	2400	0	EUR	
25/08/2015 00:00	2335	2335	2335	2335	6	EUR	
30/10/2015 00:00	2430	2430	2430	2430	1	EUR	
04/11/2015 00:00	2420	2420	2420	2420	0	EUR	
30/11/2015 00:00	2490	2490	2490	2490	0	EUR	
20/01/2016 00:00	2500	2500	2500	2500	0	EUR	
22/01/2016 00:00	2500	2500	2500	2500	1	EUR	
11/02/2016 00:00	2510.01	2510.01	2510.01	2510.01	0	EUR	
08/03/2016 00:00	2550	2550	2550	2550	1	EUR	
09/03/2016 00:00	2560.01	2560.01	2560.01	2560.01	0	EUR	
13/05/2016 00:00	3097.61	3097.61	3097.61	3097.61	15	EUR	
23/05/2016 00:00	2802	2802	2802	2802	0	EUR	
27/06/2016 00:00	2900	2900	2900	2900	0	EUR	
16/08/2016 00:00	3160	3160	3160	3160	0	EUR	
08/09/2016 00:00	3160	3160	3160	3160	0	EUR	
05/10/2016 00:00	3110	3110	3110	3110	0	EUR	
07/10/2016 00:00	3110	3110	3110	3110	3	EUR	
19/10/2016 00:00	3400	3400	3400	3400	0	EUR	
28/10/2016 00:00	4110	4110	4110	4110	2	EUR	
31/10/2016 00:00	4110	4110	4110	4110	0	EUR	
04/11/2016 00:00	3850	3850	3850	3850	16	EUR	
07/11/2016 00:00	3875	3875	3875	3875	0	EUR	
09/11/2016 00:00	3885	3885	3885	3885	0	EUR	
16/11/2016 00:00	4210	4210	4210	4210	0	EUR	
18/11/2016 00:00	4500	4500	4500	4500	26	EUR	
22/11/2016 00:00	4450	4450	4450	4450	1	EUR	
23/11/2016 00:00	4500	4500	4500	4500	0	EUR	
29/11/2016 00:00	3922	3922	3922	3922	0	EUR	
01/12/2016 00:00	4500	4500	4500	4500	0	EUR	
07/12/2016 00:00	4550	4550	4550	4550	0	EUR	
14/12/2016 00:00	4600	4600	4600	4600	0	EUR	
22/12/2016 00:00	4660	4660	4660	4660	0	EUR	
13/01/2017 00:00	4660	4660	4660	4660	9	EUR	
17/01/2017 00:00	4660	4660	4660	4660	0	EUR	
08/02/2017 00:00	4660	4660	4660	4660	0	EUR	
20/03/2017 00:00	4660	4660	4660	4660	0	EUR	
07/04/2017 00:00	4660	4660	4660	4660	6	EUR	
19/04/2017 00:00	4660	4660	4660	4660	0	EUR	
11/05/2017 00:00	4950	4950	4950	4950	0	EUR	
15/05/2017 00:00	5000.01	5000.01	5000.01	5000.01	0	EUR	
18/05/2017 00:00	5000.01	5000.01	5000.01	5000.01	0	EUR	
01/06/2017 00:00	5000.01	5000.01	5000.01	5000.01	0	EUR	
09/06/2017 00:00	5001.01	5001.01	5001.01	5001.01	14	EUR	
13/06/2017 00:00	5249.99	5249.99	5249.99	5249.99	1	EUR	
14/06/2017 00:00	5250	5250	5250	5250	0	EUR	
21/06/2017 00:00	5250	5250	5250	5250	0	EUR	
21/07/2017 00:00	5600	5600	5600	5600	1	EUR	
19/09/2017 00:00	5600	5600	5600	5600	0	EUR	
22/09/2017 00:00	5600	5600	5600	5600	9	EUR	
03/10/2017 00:00	5600	5600	5600	5600	0	EUR	
09/10/2017 00:00	5700	5700	5700	5700	0	EUR	
12/10/2017 00:00	5700	5700	5700	5700	0	EUR	
16/10/2017 00:00	5700	5700	5700	5700	0	EUR	
20/10/2017 00:00	5600	5600	5600	5600	1	EUR	
23/10/2017 00:00	5650	5650	5650	5650	1	EUR	
24/10/2017 00:00	5700	5700	5700	5700	0	EUR	
07/11/2017 00:00	5700	5700	5700	5700	0	EUR	
08/12/2017 00:00	5600.01	5600.01	5600.01	5600.01	1	EUR	
12/12/2017 00:00	5600	5600	5600	5600	5	EUR	
13/12/2017 00:00	5600	5600	5600	5600	2	EUR	
14/12/2017 00:00	5600	5600	5600	5600	1	EUR	
15/12/2017 00:00	5600	5600	5600	5600	1	EUR	
18/12/2017 00:00	5600	5600	5600	5600	0	EUR	
15/01/2018 00:00	5600	5600	5600	5600	0	EUR	
26/01/2018 00:00	5800	5800	5750	5750	15	EUR	
01/02/2018 00:00	5600	5600	5600	5600	0	EUR	
09/02/2018 00:00	5600	5600	5600	5600	1	EUR	
19/02/2018 00:00	5600	5600	5600	5600	0	EUR	
05/03/2018 00:00	8100	8100	8100	8100	0	EUR	
07/03/2018 00:00	6250	6250	5850	5850	5	EUR	
08/03/2018 00:00	5900	5900	5900	5900	0	EUR	
23/03/2018 00:00	5900	5900	5900	5900	2	EUR	
10/04/2018 00:00	5900	5900	5900	5900	0	EUR	
15/05/2018 00:00	6100	6100	6100	6100	0	EUR	
04/06/2018 00:00	6100	6100	6100	6100	0	EUR	
18/06/2018 00:00	5650	5650	5650	5650	0	EUR	
25/06/2018 00:00	5600	5600	5600	5600	0	EUR	
27/06/2018 00:00	5600	5600	5600	5600	3	EUR	
28/06/2018 00:00	5600	5600	5600	5600	0	EUR	
09/07/2018 00:00	5600	5600	5600	5600	0	EUR	
12/07/2018 00:00	5600	5600	5600	5600	1	EUR	
13/07/2018 00:00	5600	5600	5600	5600	5	EUR	
16/07/2018 00:00	5600	5600	5600	5600	35	EUR	
17/07/2018 00:00	5600	5600	5600	5600	0	EUR	
26/07/2018 00:00	5200	5200	5200	5200	16	EUR	
27/07/2018 00:00	4800	4800	4800	4800	1	EUR	
30/07/2018 00:00	4740	4740	4740	4740	0	EUR	
