date	ouv	haut	bas	clot	vol	devise	
21/12/2018 00:00	9.35	9.7	9.3	9.3	1738	EUR	
24/12/2018 00:00	9.35	9.65	9.3	9.3	348	EUR	
27/12/2018 00:00	9.25	9.25	9.25	9.25	302	EUR	
28/12/2018 00:00	9.25	9.25	9.2	9.2	69	EUR	
31/12/2018 00:00	9.3	9.35	9.3	9.35	18	EUR	
02/01/2019 00:00	9.2	9.25	9.2	9.25	300	EUR	
03/01/2019 00:00	9.3	9.3	9.3	9.3	1	EUR	
04/01/2019 00:00	9.35	9.35	9.35	9.35	50	EUR	
07/01/2019 00:00	9.3	9.35	9.3	9.35	4	EUR	
08/01/2019 00:00	9.35	9.4	9.35	9.35	480	EUR	
09/01/2019 00:00	9.35	9.35	9.35	9.35	1	EUR	
10/01/2019 00:00	9.3	9.4	9.3	9.4	686	EUR	
11/01/2019 00:00	9.4	9.4	9.4	9.4	1	EUR	
14/01/2019 00:00	9.3	9.35	9.3	9.35	250	EUR	
15/01/2019 00:00	9.35	9.35	9.35	9.35	1	EUR	
16/01/2019 00:00	9.35	9.35	9.3	9.35	168	EUR	
17/01/2019 00:00	9.35	9.35	9.35	9.35	94	EUR	
18/01/2019 00:00	9.4	9.4	9.25	9.25	507	EUR	
21/01/2019 00:00	9.4	9.4	9.35	9.4	12	EUR	
22/01/2019 00:00	9.35	9.35	9.25	9.25	51	EUR	
23/01/2019 00:00	9.15	9.15	7.8	8	1900	EUR	
24/01/2019 00:00	8.8	8.8	8.55	8.55	151	EUR	
25/01/2019 00:00	8.55	8.8	8.55	8.8	241	EUR	
28/01/2019 00:00	9	9	8.6	8.6	106	EUR	
29/01/2019 00:00	8.6	8.8	8.55	8.55	109	EUR	
30/01/2019 00:00	8.6	8.6	8.45	8.45	328	EUR	
31/01/2019 00:00	8.3	8.3	8.15	8.15	493	EUR	
01/02/2019 00:00	8.2	8.2	8.15	8.15	101	EUR	
04/02/2019 00:00	8.15	8.15	8.15	8.15	18	EUR	
05/02/2019 00:00	8.15	8.15	8.15	8.15	1	EUR	
06/02/2019 00:00	8.15	8.15	8.15	8.15	1	EUR	
07/02/2019 00:00	8.15	8.25	8.15	8.25	3	EUR	
08/02/2019 00:00	8.3	8.35	8.3	8.35	27	EUR	
11/02/2019 00:00	8.3	8.3	8.3	8.3	22	EUR	
12/02/2019 00:00	8.3	8.3	8.3	8.3	31	EUR	
13/02/2019 00:00	8.3	8.3	8.1	8.1	101	EUR	
14/02/2019 00:00	8.1	8.1	8.1	8.1	24	EUR	
15/02/2019 00:00	8.25	8.4	8.25	8.4	239	EUR	
18/02/2019 00:00	8.55	8.55	8.4	8.4	121	EUR	
19/02/2019 00:00	8.35	8.35	8.35	8.35	103	EUR	
20/02/2019 00:00	8.35	8.6	8.2	8.2	280	EUR	
21/02/2019 00:00	8.25	8.4	8.25	8.4	37	EUR	
22/02/2019 00:00	8.4	8.4	8.4	8.4	1	EUR	
25/02/2019 00:00	8.1	8.1	8.1	8.1	500	EUR	
26/02/2019 00:00	8.1	8.1	8	8	22	EUR	
27/02/2019 00:00	8.05	8.4	8.05	8.4	656	EUR	
28/02/2019 00:00	8.65	8.65	8.65	8.65	181	EUR	
01/03/2019 00:00	8.4	8.4	8.4	8.4	541	EUR	
04/03/2019 00:00	8.65	8.65	8.45	8.65	285	EUR	
05/03/2019 00:00	8.4	8.4	8.4	8.4	59	EUR	
06/03/2019 00:00	8.45	8.45	8.45	8.45	1	EUR	
07/03/2019 00:00	8.45	8.45	8.45	8.45	1	EUR	
08/03/2019 00:00	8.4	8.65	8.4	8.65	120	EUR	
11/03/2019 00:00	8.7	8.7	8.65	8.65	455	EUR	
12/03/2019 00:00	8.65	8.65	8.65	8.65	21	EUR	
13/03/2019 00:00	8.65	8.65	8.65	8.65	1	EUR	
14/03/2019 00:00	8.7	8.7	8.7	8.7	10	EUR	
15/03/2019 00:00	8.7	8.7	8.65	8.65	55	EUR	
18/03/2019 00:00	8.65	8.65	8.6	8.6	25	EUR	
19/03/2019 00:00	8.6	8.65	8.4	8.4	984	EUR	
20/03/2019 00:00	8.4	8.4	8.4	8.4	75	EUR	
21/03/2019 00:00	8.4	8.4	8.4	8.4	1	EUR	
22/03/2019 00:00	8.4	8.4	8.2	8.2	3	EUR	
25/03/2019 00:00	8.45	8.45	8.45	8.45	36	EUR	
26/03/2019 00:00	8.4	8.45	8.4	8.45	21	EUR	
27/03/2019 00:00	8.45	8.45	8.45	8.45	1	EUR	
28/03/2019 00:00	8.45	8.7	8.15	8.7	141	EUR	
29/03/2019 00:00	8.7	8.7	8.7	8.7	11	EUR	
01/04/2019 00:00	8.65	8.65	8.65	8.65	1	EUR	
02/04/2019 00:00	8.65	8.65	8.65	8.65	1	EUR	
03/04/2019 00:00	8.7	8.7	8.45	8.45	101	EUR	
04/04/2019 00:00	8.5	8.5	8.5	8.5	1	EUR	
05/04/2019 00:00	8.5	8.5	8.35	8.35	260	EUR	
08/04/2019 00:00	8.35	8.6	8.3	8.6	32	EUR	
09/04/2019 00:00	8.3	8.3	8.3	8.3	20	EUR	
10/04/2019 00:00	8.35	8.35	8.3	8.3	111	EUR	
11/04/2019 00:00	8.3	8.4	8.3	8.4	161	EUR	
12/04/2019 00:00	8.45	8.45	8.45	8.45	1	EUR	
15/04/2019 00:00	8.55	8.55	8.55	8.55	41	EUR	
16/04/2019 00:00	8.55	8.55	8.55	8.55	1	EUR	
17/04/2019 00:00	8.55	8.55	8.55	8.55	1	EUR	
18/04/2019 00:00	8.35	8.35	8.35	8.35	200	EUR	
23/04/2019 00:00	8.3	8.3	8.3	8.3	1	EUR	
24/04/2019 00:00	8.3	8.3	8.3	8.3	1	EUR	
25/04/2019 00:00	8.3	8.3	8.25	8.25	51	EUR	
26/04/2019 00:00	8.25	8.25	8.25	8.25	1	EUR	
