date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	8.2	8.25	7.8	8.2	1095	EUR	
19/05/2015 00:00	8.2	8.2	8	8.15	141	EUR	
20/05/2015 00:00	8	8	7.85	7.85	786	EUR	
21/05/2015 00:00	7.85	8.14	7.8	7.8	572	EUR	
22/05/2015 00:00	7.81	8.19	7.81	8.19	160	EUR	
25/05/2015 00:00	8.19	8.2	8.19	8.2	51	EUR	
26/05/2015 00:00	8.18	8.21	7.9	8.21	642	EUR	
27/05/2015 00:00	8.21	8.21	8.2	8.2	71	EUR	
28/05/2015 00:00	8.2	8.2	8.15	8.16	97	EUR	
29/05/2015 00:00	8.16	8.5	8	8.5	641	EUR	
01/06/2015 00:00	8.48	8.48	8.2	8.2	78	EUR	
02/06/2015 00:00	8.2	8.2	8.2	8.2	110	EUR	
03/06/2015 00:00	8.2	9	8.18	9	2714	EUR	
04/06/2015 00:00	8.99	8.99	8.3	8.56	1230	EUR	
05/06/2015 00:00	8.84	8.84	8.25	8.55	367	EUR	
08/06/2015 00:00	8.55	8.55	8.11	8.49	313	EUR	
09/06/2015 00:00	8.48	8.48	8.01	8.4	461	EUR	
10/06/2015 00:00	8.4	8.66	8.39	8.45	238	EUR	
11/06/2015 00:00	8.5	8.7	8.5	8.7	389	EUR	
12/06/2015 00:00	8.7	8.8	8.7	8.8	6	EUR	
15/06/2015 00:00	8.93	8.93	8.55	8.7	224	EUR	
16/06/2015 00:00	8.7	8.8	8.55	8.8	933	EUR	
17/06/2015 00:00	8.8	8.99	8.6	8.98	1124	EUR	
18/06/2015 00:00	8.98	8.99	8.6	8.99	463	EUR	
19/06/2015 00:00	8.98	9.06	8.9	9	1394	EUR	
22/06/2015 00:00	9.18	9.18	8.99	9.18	414	EUR	
23/06/2015 00:00	8.92	9.05	8.92	9.04	278	EUR	
24/06/2015 00:00	8.9	8.95	8.87	8.95	518	EUR	
25/06/2015 00:00	8.95	9	8.32	8.75	1540	EUR	
26/06/2015 00:00	8.75	9	8.75	9	205	EUR	
29/06/2015 00:00	8.74	8.95	8.71	8.95	301	EUR	
30/06/2015 00:00	8.7	8.7	8.3	8.7	544	EUR	
01/07/2015 00:00	8.7	8.8	8.41	8.79	386	EUR	
02/07/2015 00:00	8.79	8.79	8.55	8.57	67	EUR	
03/07/2015 00:00	8.57	8.8	8.57	8.8	993	EUR	
06/07/2015 00:00	8.8	8.8	8.8	8.8	1	EUR	
07/07/2015 00:00	8.8	8.85	8.51	8.51	124	EUR	
08/07/2015 00:00	8.51	8.51	8.51	8.51	51	EUR	
09/07/2015 00:00	8.4	8.45	8.4	8.45	254	EUR	
10/07/2015 00:00	8.41	8.49	8.4	8.49	1023	EUR	
13/07/2015 00:00	8.49	8.51	8.45	8.51	203	EUR	
14/07/2015 00:00	8.51	8.52	8.4	8.4	157	EUR	
15/07/2015 00:00	8.98	9	8.66	8.7	3448	EUR	
16/07/2015 00:00	8.71	8.9	8.69	8.69	398	EUR	
17/07/2015 00:00	8.65	8.66	8.65	8.66	168	EUR	
20/07/2015 00:00	8.66	9	8.62	9	3482	EUR	
21/07/2015 00:00	8.98	9	8.6	9	3023	EUR	
22/07/2015 00:00	8.99	9	8.67	8.7	310	EUR	
23/07/2015 00:00	8.7	8.7	8.7	8.7	1	EUR	
24/07/2015 00:00	8.7	8.7	8.6	8.6	841	EUR	
27/07/2015 00:00	8.95	8.95	8.57	8.6	11159	EUR	
28/07/2015 00:00	8.6	9	8.6	8.95	396	EUR	
29/07/2015 00:00	8.95	8.95	8.95	8.95	1	EUR	
30/07/2015 00:00	8.94	8.94	8.8	8.8	13	EUR	
31/07/2015 00:00	8.8	8.8	8.7	8.7	23	EUR	
03/08/2015 00:00	8.7	8.7	8.7	8.7	1	EUR	
04/08/2015 00:00	8.7	8.8	8.7	8.8	12	EUR	
05/08/2015 00:00	8.8	8.8	8.8	8.8	1	EUR	
06/08/2015 00:00	8.6	8.95	8.5	8.95	1646	EUR	
07/08/2015 00:00	8.92	8.92	8.4	8.79	483	EUR	
10/08/2015 00:00	8.79	8.79	8.41	8.44	108	EUR	
