date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	0.15	0.15	0.14	0.15	7340	EUR	
19/05/2015 00:00	0.15	0.15	0.14	0.15	7414	EUR	
20/05/2015 00:00	0.15	0.15	0.14	0.15	14730	EUR	
21/05/2015 00:00	0.15	0.15	0.14	0.15	1340	EUR	
22/05/2015 00:00	0.14	0.15	0.13	0.14	2451611	EUR	
25/05/2015 00:00	0.13	0.14	0.13	0.14	32540	EUR	
26/05/2015 00:00	0.14	0.14	0.14	0.14	2400	EUR	
27/05/2015 00:00	0.14	0.14	0.13	0.14	60224	EUR	
28/05/2015 00:00	0.13	0.14	0.13	0.13	12950	EUR	
29/05/2015 00:00	0.14	0.14	0.13	0.14	58735	EUR	
01/06/2015 00:00	0.14	0.14	0.13	0.14	91314	EUR	
02/06/2015 00:00	0.14	0.14	0.13	0.14	69209	EUR	
03/06/2015 00:00	0.14	0.14	0.13	0.14	70771	EUR	
04/06/2015 00:00	0.14	0.14	0.13	0.14	19735	EUR	
05/06/2015 00:00	0.14	0.14	0.13	0.14	28187	EUR	
08/06/2015 00:00	0.14	0.14	0.14	0.14	0	EUR	
10/06/2015 00:00	0.19	0.19	0.18	0.18	1853519	EUR	
11/06/2015 00:00	0.18	0.18	0.18	0.18	475974	EUR	
12/06/2015 00:00	0.18	0.19	0.18	0.18	896429	EUR	
15/06/2015 00:00	0.18	0.18	0.18	0.18	71345	EUR	
16/06/2015 00:00	0.18	0.19	0.18	0.19	387823	EUR	
17/06/2015 00:00	0.19	0.19	0.18	0.18	46430	EUR	
18/06/2015 00:00	0.18	0.19	0.18	0.18	93164	EUR	
19/06/2015 00:00	0.18	0.19	0.18	0.18	88018	EUR	
22/06/2015 00:00	0.18	0.18	0.18	0.18	22564	EUR	
23/06/2015 00:00	0.19	0.19	0.18	0.18	86130	EUR	
24/06/2015 00:00	0.18	0.19	0.18	0.18	252410	EUR	
25/06/2015 00:00	0.19	0.19	0.18	0.18	56006	EUR	
26/06/2015 00:00	0.18	0.18	0.18	0.18	33968	EUR	
29/06/2015 00:00	0.18	0.19	0.18	0.18	680550	EUR	
30/06/2015 00:00	0.18	0.18	0.18	0.18	461675	EUR	
01/07/2015 00:00	0.19	0.19	0.18	0.18	107501	EUR	
02/07/2015 00:00	0.18	0.19	0.18	0.19	16730	EUR	
03/07/2015 00:00	0.18	0.18	0.18	0.18	19226	EUR	
06/07/2015 00:00	0.19	0.19	0.18	0.18	225782	EUR	
07/07/2015 00:00	0.19	0.19	0.18	0.18	74373	EUR	
08/07/2015 00:00	0.18	0.18	0.18	0.18	37349	EUR	
09/07/2015 00:00	0.19	0.19	0.18	0.18	34996	EUR	
10/07/2015 00:00	0.18	0.19	0.18	0.19	30991	EUR	
13/07/2015 00:00	0.18	0.18	0.18	0.18	111672	EUR	
14/07/2015 00:00	0.18	0.19	0.18	0.18	10231	EUR	
15/07/2015 00:00	0.18	0.19	0.18	0.19	4700	EUR	
16/07/2015 00:00	0.18	0.18	0.18	0.18	124	EUR	
17/07/2015 00:00	0.18	0.18	0.18	0.18	41000	EUR	
20/07/2015 00:00	0.18	0.19	0.18	0.19	29964	EUR	
21/07/2015 00:00	0.18	0.19	0.18	0.18	100354	EUR	
22/07/2015 00:00	0.18	0.18	0.18	0.18	1005876	EUR	
23/07/2015 00:00	0.19	0.19	0.18	0.18	257870	EUR	
24/07/2015 00:00	0.18	0.19	0.18	0.19	21273	EUR	
27/07/2015 00:00	0.18	0.18	0.18	0.18	0	EUR	
03/08/2015 00:00	0.19	0.19	0.18	0.18	39431	EUR	
04/08/2015 00:00	0.18	0.2	0.18	0.18	134829	EUR	
05/08/2015 00:00	0.19	0.19	0.18	0.18	160758	EUR	
06/08/2015 00:00	0.18	0.18	0.18	0.18	3000	EUR	
07/08/2015 00:00	0.18	0.18	0.18	0.18	36719	EUR	
10/08/2015 00:00	0.18	0.18	0.18	0.18	0	EUR	
13/08/2015 00:00	0.18	0.18	0.18	0.18	0	EUR	
17/08/2015 00:00	0.18	0.18	0.18	0.18	260	EUR	
18/08/2015 00:00	0.18	0.18	0.18	0.18	700	EUR	
19/08/2015 00:00	0.19	0.19	0.18	0.19	35221	EUR	
20/08/2015 00:00	0.18	0.19	0.18	0.19	5300	EUR	
21/08/2015 00:00	0.18	0.18	0.18	0.18	5920	EUR	
24/08/2015 00:00	0.18	0.19	0.18	0.18	108925	EUR	
25/08/2015 00:00	0.19	0.19	0.18	0.18	42104	EUR	
26/08/2015 00:00	0.18	0.18	0.18	0.18	14120	EUR	
27/08/2015 00:00	0.18	0.18	0.18	0.18	1550	EUR	
28/08/2015 00:00	0.19	0.19	0.18	0.19	22200	EUR	
31/08/2015 00:00	0.19	0.19	0.18	0.18	16528	EUR	
01/09/2015 00:00	0.19	0.19	0.19	0.19	103263	EUR	
02/09/2015 00:00	0.18	0.19	0.18	0.19	91792	EUR	
03/09/2015 00:00	0.18	0.18	0.18	0.18	0	EUR	
10/09/2015 00:00	0.22	0.22	0.2	0.2	8400	EUR	
11/09/2015 00:00	0.2	0.2	0.19	0.2	4015	EUR	
14/09/2015 00:00	0.2	0.2	0.2	0.2	6032	EUR	
15/09/2015 00:00	0.2	0.2	0.19	0.2	3572	EUR	
16/09/2015 00:00	0.19	0.2	0.19	0.2	7211	EUR	
17/09/2015 00:00	0.2	0.2	0.19	0.19	57861	EUR	
18/09/2015 00:00	0.19	0.19	0.18	0.19	16801	EUR	
21/09/2015 00:00	0.19	0.19	0.18	0.19	44130	EUR	
22/09/2015 00:00	0.18	0.18	0.18	0.18	200	EUR	
23/09/2015 00:00	0.18	0.19	0.18	0.19	17686	EUR	
24/09/2015 00:00	0.19	0.19	0.19	0.19	522	EUR	
25/09/2015 00:00	0.19	0.19	0.19	0.19	5351	EUR	
28/09/2015 00:00	0.19	0.19	0.19	0.19	6269	EUR	
29/09/2015 00:00	0.19	0.19	0.17	0.18	300253	EUR	
30/09/2015 00:00	0.18	0.18	0.17	0.18	36000	EUR	
01/10/2015 00:00	0.18	0.18	0.17	0.17	15600	EUR	
02/10/2015 00:00	0.17	0.17	0.17	0.17	13054	EUR	
05/10/2015 00:00	0.17	0.17	0.17	0.17	1300	EUR	
06/10/2015 00:00	0.17	0.17	0.17	0.17	1	EUR	
07/10/2015 00:00	0.17	0.18	0.17	0.18	61730	EUR	
08/10/2015 00:00	0.18	0.18	0.17	0.17	861	EUR	
09/10/2015 00:00	0.17	0.17	0.17	0.17	61400	EUR	
