date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	6.56	6.69	6.55	6.59	4113	EUR	
19/05/2015 00:00	6.6	6.66	6.55	6.57	4603	EUR	
20/05/2015 00:00	6.57	6.6	6.49	6.54	22371	EUR	
21/05/2015 00:00	6.57	6.67	6.56	6.64	3560	EUR	
22/05/2015 00:00	6.64	6.65	6.56	6.58	6612	EUR	
25/05/2015 00:00	6.58	6.6	6.49	6.58	5298	EUR	
26/05/2015 00:00	6.61	6.61	6.48	6.54	10607	EUR	
27/05/2015 00:00	6.57	6.65	6.56	6.63	8145	EUR	
28/05/2015 00:00	6.65	6.68	6.58	6.61	7855	EUR	
29/05/2015 00:00	6.63	6.65	6.53	6.6	10779	EUR	
01/06/2015 00:00	6.63	6.65	6.59	6.63	2755	EUR	
02/06/2015 00:00	6.62	6.63	6.58	6.59	2709	EUR	
03/06/2015 00:00	6.59	6.6	6.52	6.57	3648	EUR	
04/06/2015 00:00	6.57	6.57	6.51	6.52	2845	EUR	
05/06/2015 00:00	6.52	6.52	6.45	6.51	19277	EUR	
08/06/2015 00:00	6.51	6.51	6.4	6.4	6071	EUR	
09/06/2015 00:00	6.4	6.47	6.32	6.37	7743	EUR	
10/06/2015 00:00	6.36	6.47	6.35	6.47	8743	EUR	
11/06/2015 00:00	6.47	6.47	6.32	6.34	6738	EUR	
12/06/2015 00:00	6.35	6.42	6.26	6.38	11885	EUR	
15/06/2015 00:00	6.34	6.34	6.06	6.08	24100	EUR	
16/06/2015 00:00	6.09	6.12	6.01	6.07	12982	EUR	
17/06/2015 00:00	6.07	6.2	6.07	6.2	3339	EUR	
18/06/2015 00:00	6.2	6.2	6.07	6.07	4546	EUR	
19/06/2015 00:00	6.1	6.15	6.03	6.12	10955	EUR	
22/06/2015 00:00	6.13	6.31	6.07	6.2	11788	EUR	
23/06/2015 00:00	6.21	6.32	6.21	6.32	3698	EUR	
24/06/2015 00:00	6.37	6.37	6.23	6.33	3911	EUR	
25/06/2015 00:00	6.33	6.33	6.2	6.29	5646	EUR	
26/06/2015 00:00	6.29	6.29	6.2	6.2	4644	EUR	
29/06/2015 00:00	6.01	6.08	6.01	6.05	20772	EUR	
30/06/2015 00:00	6.02	6.15	6.01	6.14	7683	EUR	
01/07/2015 00:00	6.14	6.21	6.13	6.2	4458	EUR	
02/07/2015 00:00	6.2	6.2	6.11	6.11	1313	EUR	
03/07/2015 00:00	6.11	6.14	6.05	6.06	5507	EUR	
06/07/2015 00:00	6.05	6.1	6.02	6.04	6526	EUR	
07/07/2015 00:00	6.04	6.04	5.87	5.95	19052	EUR	
08/07/2015 00:00	5.95	5.99	5.86	5.94	6236	EUR	
09/07/2015 00:00	5.9	5.96	5.9	5.96	3121	EUR	
10/07/2015 00:00	6.02	6.3	6.02	6.21	18788	EUR	
13/07/2015 00:00	6.18	7.08	6.13	6.5	73910	EUR	
14/07/2015 00:00	6.49	6.49	6.28	6.44	20057	EUR	
15/07/2015 00:00	6.43	6.43	6.34	6.35	11574	EUR	
16/07/2015 00:00	6.47	6.47	6.27	6.35	12581	EUR	
17/07/2015 00:00	6.4	6.41	6.04	6.17	30821	EUR	
20/07/2015 00:00	6.12	6.28	6.11	6.21	13686	EUR	
21/07/2015 00:00	6.22	6.37	6.2	6.21	10363	EUR	
22/07/2015 00:00	6.18	6.25	6.17	6.17	4532	EUR	
23/07/2015 00:00	6.17	6.25	6.17	6.22	3877	EUR	
24/07/2015 00:00	6.23	6.39	6.2	6.35	18691	EUR	
27/07/2015 00:00	6.37	6.37	6.24	6.32	10103	EUR	
28/07/2015 00:00	6.3	6.34	6.27	6.27	3285	EUR	
29/07/2015 00:00	6.27	6.41	6.22	6.41	13076	EUR	
30/07/2015 00:00	6.41	6.42	6.31	6.33	7971	EUR	
31/07/2015 00:00	6.3	6.3	6.2	6.26	11875	EUR	
03/08/2015 00:00	6.26	6.31	6.24	6.27	7339	EUR	
04/08/2015 00:00	6.27	6.27	6.2	6.23	5395	EUR	
05/08/2015 00:00	6.24	6.24	6.22	6.23	2990	EUR	
06/08/2015 00:00	6.23	6.47	6.23	6.37	15126	EUR	
07/08/2015 00:00	6.39	6.39	6.25	6.25	6922	EUR	
10/08/2015 00:00	6.3	6.34	6.27	6.33	3432	EUR	
11/08/2015 00:00	6.34	6.46	6.34	6.37	3191	EUR	
12/08/2015 00:00	6.37	6.42	6.3	6.39	18671	EUR	
13/08/2015 00:00	6.4	6.47	6.34	6.4	14238	EUR	
14/08/2015 00:00	6.41	6.64	6.4	6.45	19564	EUR	
17/08/2015 00:00	6.5	6.59	6.45	6.57	13051	EUR	
18/08/2015 00:00	6.57	6.57	6.48	6.55	2759	EUR	
19/08/2015 00:00	6.55	6.55	6.46	6.53	4750	EUR	
20/08/2015 00:00	6.5	6.5	6.33	6.39	4011	EUR	
21/08/2015 00:00	6.25	6.28	6.1	6.17	25925	EUR	
24/08/2015 00:00	6.18	6.2	5.75	5.95	57221	EUR	
25/08/2015 00:00	5.95	6.22	5.95	6.22	6318	EUR	
26/08/2015 00:00	6.28	6.3	6.11	6.21	4749	EUR	
27/08/2015 00:00	6.23	6.3	6.12	6.27	6047	EUR	
28/08/2015 00:00	6.27	6.3	5.98	6.16	10936	EUR	
31/08/2015 00:00	6.15	6.16	6.08	6.16	5692	EUR	
01/09/2015 00:00	6.11	6.14	5.83	6	15366	EUR	
02/09/2015 00:00	6.02	6.02	6	6.02	5393	EUR	
03/09/2015 00:00	6.02	6.02	5.92	5.97	7561	EUR	
04/09/2015 00:00	5.96	5.97	5.93	5.97	3479	EUR	
07/09/2015 00:00	5.97	6	5.95	5.99	8025	EUR	
08/09/2015 00:00	6	6.05	5.93	6.05	7575	EUR	
09/09/2015 00:00	6.05	6.08	6	6.03	5804	EUR	
10/09/2015 00:00	6.03	6.03	5.96	5.96	6501	EUR	
11/09/2015 00:00	5.96	6.02	5.96	6	3969	EUR	
14/09/2015 00:00	6	6	5.9	5.99	10662	EUR	
15/09/2015 00:00	5.99	5.99	5.85	5.85	5402	EUR	
16/09/2015 00:00	5.85	5.92	5.75	5.75	10303	EUR	
