date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	31.323	31.343	31.245	31.304	1863	EUR	
19/05/2015 00:00	31.304	31.343	31.278	31.31	1739	EUR	
20/05/2015 00:00	31.31	31.31	31.245	31.245	1332	EUR	
21/05/2015 00:00	31.245	31.245	30.334	31.115	4311	EUR	
22/05/2015 00:00	31.115	31.115	30.789	30.92	1046	EUR	
25/05/2015 00:00	31.245	31.245	30.926	31.05	1069	EUR	
26/05/2015 00:00	31.056	31.245	31.043	31.082	3214	EUR	
27/05/2015 00:00	31.076	31.245	31.05	31.147	880	EUR	
28/05/2015 00:00	30.594	30.594	30.431	30.594	1215	EUR	
29/05/2015 00:00	30.594	30.607	30.334	30.594	1693	EUR	
01/06/2015 00:00	30.594	30.601	30.562	30.601	931	EUR	
02/06/2015 00:00	30.601	30.627	30.594	30.614	1381	EUR	
03/06/2015 00:00	30.614	30.659	30.594	30.659	1977	EUR	
04/06/2015 00:00	30.666	30.666	30.464	30.594	1180	EUR	
05/06/2015 00:00	30.529	30.601	30.464	30.529	2000	EUR	
08/06/2015 00:00	30.529	30.529	30.471	30.529	358	EUR	
09/06/2015 00:00	30.529	30.529	30.399	30.399	793	EUR	
10/06/2015 00:00	30.399	30.399	30.008	30.236	2894	EUR	
11/06/2015 00:00	30.236	30.523	30.236	30.497	2286	EUR	
12/06/2015 00:00	30.49	30.594	30.269	30.594	1128	EUR	
15/06/2015 00:00	30.269	30.334	30.008	30.269	2496	EUR	
16/06/2015 00:00	30.165	30.165	29.488	29.683	4461	EUR	
17/06/2015 00:00	29.683	29.937	28.641	28.967	3639	EUR	
18/06/2015 00:00	28.967	29.709	28.765	29.709	2255	EUR	
19/06/2015 00:00	29.715	29.728	29.553	29.683	2802	EUR	
22/06/2015 00:00	29.683	30.789	29.65	30.399	3096	EUR	
23/06/2015 00:00	30.399	30.816	30.275	30.594	1596	EUR	
24/06/2015 00:00	30.601	30.816	30.601	30.659	455	EUR	
25/06/2015 00:00	30.659	30.92	30.627	30.913	1507	EUR	
26/06/2015 00:00	30.907	30.907	30.594	30.848	401	EUR	
29/06/2015 00:00	30.139	30.594	29.488	30.594	3821	EUR	
30/06/2015 00:00	30.269	30.588	30.145	30.575	670	EUR	
01/07/2015 00:00	30.575	30.848	30.562	30.562	241	EUR	
02/07/2015 00:00	30.562	30.562	30.562	30.562	2	EUR	
03/07/2015 00:00	30.497	30.516	30.497	30.516	230	EUR	
06/07/2015 00:00	30.516	30.516	30.399	30.503	619	EUR	
07/07/2015 00:00	30.464	30.471	30.269	30.269	1521	EUR	
08/07/2015 00:00	30.269	30.269	30.204	30.204	406	EUR	
09/07/2015 00:00	30.204	30.334	30.204	30.269	694	EUR	
10/07/2015 00:00	30.269	30.497	30.204	30.497	2275	EUR	
13/07/2015 00:00	30.503	31.082	30.464	31.082	1874	EUR	
14/07/2015 00:00	31.154	31.154	30.985	31.082	1025	EUR	
15/07/2015 00:00	31.082	31.636	30.985	31.636	3238	EUR	
16/07/2015 00:00	31.636	32.222	31.577	32.222	2022	EUR	
17/07/2015 00:00	32.417	32.514	32.156	32.482	2996	EUR	
20/07/2015 00:00	32.482	32.534	32.358	32.501	2240	EUR	
21/07/2015 00:00	32.501	32.547	32.495	32.547	1261	EUR	
22/07/2015 00:00	32.547	32.554	32.488	32.514	845	EUR	
23/07/2015 00:00	32.514	32.514	32.488	32.488	108	EUR	
24/07/2015 00:00	32.514	32.872	32.514	32.872	3570	EUR	
27/07/2015 00:00	32.872	32.879	32.742	32.775	1498	EUR	
28/07/2015 00:00	32.781	32.872	32.755	32.807	807	EUR	
29/07/2015 00:00	32.781	33.328	32.781	33.198	5255	EUR	
30/07/2015 00:00	33.849	34.76	33.784	34.695	8979	EUR	
31/07/2015 00:00	34.76	34.825	34.565	34.76	1725	EUR	
03/08/2015 00:00	34.63	34.76	34.63	34.754	782	EUR	
04/08/2015 00:00	34.754	34.754	34.5	34.63	496	EUR	
05/08/2015 00:00	34.617	34.63	34.565	34.63	928	EUR	
06/08/2015 00:00	34.63	34.637	34.565	34.637	120	EUR	
07/08/2015 00:00	34.637	34.643	34.376	34.63	2226	EUR	
