date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	5.95	5.95	5.93	5.93	299	EUR	
19/05/2015 00:00	5.93	5.93	5.93	5.93	1	EUR	
20/05/2015 00:00	5.93	5.94	5.93	5.94	421	EUR	
21/05/2015 00:00	5.94	5.94	5.94	5.94	1	EUR	
22/05/2015 00:00	5.94	5.94	5.94	5.94	11	EUR	
25/05/2015 00:00	5.94	5.94	5.94	5.94	1	EUR	
26/05/2015 00:00	5.94	5.95	5.94	5.95	663	EUR	
27/05/2015 00:00	5.95	5.95	5.95	5.95	1	EUR	
28/05/2015 00:00	5.95	5.95	5.95	5.95	1	EUR	
29/05/2015 00:00	5.95	5.95	5.95	5.95	1	EUR	
01/06/2015 00:00	5.95	5.95	5.95	5.95	65	EUR	
02/06/2015 00:00	5.95	5.95	5.95	5.95	221	EUR	
03/06/2015 00:00	5.95	5.95	5.95	5.95	379	EUR	
04/06/2015 00:00	5.95	5.95	5.91	5.91	428	EUR	
05/06/2015 00:00	5.91	5.91	5.91	5.91	1	EUR	
08/06/2015 00:00	5.91	5.91	5.91	5.91	1	EUR	
09/06/2015 00:00	5.91	5.91	5.91	5.91	1	EUR	
10/06/2015 00:00	5.91	5.92	5.91	5.92	351	EUR	
11/06/2015 00:00	5.92	5.92	5.92	5.92	1	EUR	
12/06/2015 00:00	5.92	5.92	5.92	5.92	1	EUR	
15/06/2015 00:00	5.92	5.92	5.92	5.92	21	EUR	
16/06/2015 00:00	5.92	5.92	5.92	5.92	1	EUR	
17/06/2015 00:00	5.95	5.95	5.95	5.95	1001	EUR	
18/06/2015 00:00	5.95	5.95	5.95	5.95	89	EUR	
19/06/2015 00:00	5.95	5.95	5.95	5.95	71	EUR	
22/06/2015 00:00	5.95	5.95	5.95	5.95	132	EUR	
23/06/2015 00:00	5.95	5.99	5.95	5.99	1771	EUR	
24/06/2015 00:00	5.99	5.99	5.99	5.99	1	EUR	
25/06/2015 00:00	5.99	5.99	5.99	5.99	1	EUR	
26/06/2015 00:00	5.99	5.99	5.99	5.99	1	EUR	
29/06/2015 00:00	5.99	5.99	5.94	5.94	531	EUR	
30/06/2015 00:00	5.94	5.94	5.94	5.94	2	EUR	
01/07/2015 00:00	5.94	5.94	5.94	5.94	1	EUR	
02/07/2015 00:00	5.94	5.94	5.94	5.94	1	EUR	
03/07/2015 00:00	5.94	5.94	5.94	5.94	1	EUR	
06/07/2015 00:00	5.94	5.94	5.94	5.94	1	EUR	
07/07/2015 00:00	5.94	5.94	5.94	5.94	17617	EUR	
08/07/2015 00:00	5.95	5.95	5.95	5.95	1	EUR	
09/07/2015 00:00	5.95	5.95	5.95	5.95	201	EUR	
10/07/2015 00:00	5.95	5.95	5.95	5.95	1	EUR	
13/07/2015 00:00	5.95	5.95	5.95	5.95	1	EUR	
14/07/2015 00:00	5.95	5.95	5.95	5.95	1	EUR	
15/07/2015 00:00	5.95	5.95	5.95	5.95	1	EUR	
16/07/2015 00:00	5.93	5.93	5.93	5.93	646	EUR	
17/07/2015 00:00	5.93	5.93	5.9	5.9	321	EUR	
20/07/2015 00:00	5.93	5.93	5.93	5.93	1246	EUR	
21/07/2015 00:00	5.93	5.93	5.93	5.93	95	EUR	
22/07/2015 00:00	5.94	5.95	5.94	5.95	457	EUR	
23/07/2015 00:00	5.95	5.95	5.95	5.95	81	EUR	
24/07/2015 00:00	5.95	6	5.95	6	341	EUR	
27/07/2015 00:00	6.11	6.15	6.11	6.15	411	EUR	
28/07/2015 00:00	6.15	6.15	6.15	6.15	1	EUR	
29/07/2015 00:00	6.15	6.15	6.15	6.15	171	EUR	
30/07/2015 00:00	6.15	6.15	6.15	6.15	151	EUR	
31/07/2015 00:00	6.15	6.15	5.95	5.95	1611	EUR	
03/08/2015 00:00	5.95	5.95	5.85	5.85	1404	EUR	
04/08/2015 00:00	5.85	5.85	5.85	5.85	101	EUR	
05/08/2015 00:00	5.84	5.84	5.84	5.84	51	EUR	
06/08/2015 00:00	5.84	5.84	5.84	5.84	1	EUR	
07/08/2015 00:00	5.84	5.84	5.84	5.84	1	EUR	
10/08/2015 00:00	5.84	5.84	5.84	5.84	1	EUR	
11/08/2015 00:00	5.84	5.84	5.84	5.84	1	EUR	
12/08/2015 00:00	5.84	5.84	5.84	5.84	1	EUR	
13/08/2015 00:00	5.84	5.84	5.8	5.82	946	EUR	
14/08/2015 00:00	5.82	5.82	5.81	5.81	181	EUR	
17/08/2015 00:00	5.81	5.81	5.81	5.81	56	EUR	
18/08/2015 00:00	5.81	5.82	5.81	5.82	1251	EUR	
19/08/2015 00:00	5.82	6.05	5.82	6.05	2359	EUR	
20/08/2015 00:00	6.05	6.16	6.05	6.15	2101	EUR	
21/08/2015 00:00	6.15	6.25	6.15	6.25	816	EUR	
24/08/2015 00:00	6.25	6.5	6.21	6.21	3722	EUR	
25/08/2015 00:00	6.21	6.21	6.19	6.19	320	EUR	
26/08/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
27/08/2015 00:00	6.19	6.19	6.19	6.19	301	EUR	
28/08/2015 00:00	6.19	6.19	6.19	6.19	192	EUR	
31/08/2015 00:00	6.19	6.19	6.19	6.19	401	EUR	
01/09/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
02/09/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
03/09/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
04/09/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
07/09/2015 00:00	6.19	6.19	6.19	6.19	18	EUR	
08/09/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
09/09/2015 00:00	6.19	6.19	6.19	6.19	2	EUR	
10/09/2015 00:00	6.19	6.19	6.19	6.19	61	EUR	
11/09/2015 00:00	6.19	6.19	6.19	6.19	101	EUR	
14/09/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
15/09/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
16/09/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
17/09/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
18/09/2015 00:00	6.19	6.19	6.19	6.19	1	EUR	
21/09/2015 00:00	6.2	6.2	6.2	6.2	1	EUR	
22/09/2015 00:00	6.2	6.2	6.2	6.2	1	EUR	
23/09/2015 00:00	6.2	6.2	6.2	6.2	1	EUR	
24/09/2015 00:00	6.2	6.2	6.2	6.2	31	EUR	
25/09/2015 00:00	6.2	6.2	6.2	6.2	1	EUR	
28/09/2015 00:00	6.21	6.21	6.21	6.21	1	EUR	
29/09/2015 00:00	6.21	6.21	6.19	6.19	301	EUR	
30/09/2015 00:00	6.19	6.19	6.09	6.09	1806	EUR	
01/10/2015 00:00	6.19	6.21	6.19	6.21	121	EUR	
02/10/2015 00:00	6.21	6.5	6.21	6.45	5725	EUR	
05/10/2015 00:00	6.4	6.55	6.4	6.51	4086	EUR	
06/10/2015 00:00	6.51	6.75	6.51	6.68	6115	EUR	
07/10/2015 00:00	6.68	6.68	6.63	6.63	701	EUR	
08/10/2015 00:00	6.63	6.63	6.59	6.59	700	EUR	
09/10/2015 00:00	6.59	6.59	6.5	6.5	2872	EUR	
12/10/2015 00:00	6.5	6.5	6.5	6.5	600	EUR	
13/10/2015 00:00	6.5	6.5	6.5	6.5	61	EUR	
14/10/2015 00:00	6.5	6.5	6.5	6.5	1	EUR	
15/10/2015 00:00	6.5	6.5	6.5	6.5	1	EUR	
16/10/2015 00:00	6.5	6.5	6.5	6.5	61	EUR	
19/10/2015 00:00	6.5	6.5	6.5	6.5	1	EUR	
20/10/2015 00:00	6.5	6.5	6.46	6.48	1201	EUR	
21/10/2015 00:00	6.48	6.48	6.48	6.48	226	EUR	
22/10/2015 00:00	6.48	6.48	6.48	6.48	1	EUR	
23/10/2015 00:00	6.48	6.48	6.37	6.42	88651	EUR	
26/10/2015 00:00	6.42	6.42	6.42	6.42	351	EUR	
27/10/2015 00:00	6.42	6.42	6.29	6.29	1095	EUR	
28/10/2015 00:00	6.29	6.29	6.29	6.29	1	EUR	
29/10/2015 00:00	6.29	6.29	6.29	6.29	1	EUR	
30/10/2015 00:00	6.29	6.29	6.29	6.29	1001	EUR	
02/11/2015 00:00	6.22	6.32	6.22	6.32	2101	EUR	
03/11/2015 00:00	6.4	6.45	6.4	6.4	3011	EUR	
04/11/2015 00:00	6.4	6.4	6.4	6.4	79	EUR	
05/11/2015 00:00	6.4	6.63	6.4	6.63	1825	EUR	
06/11/2015 00:00	6.63	7.25	6.63	7.25	2676	EUR	
09/11/2015 00:00	7.25	7.25	7.08	7.08	1064	EUR	
10/11/2015 00:00	7.08	7.08	6.79	6.79	2751	EUR	
11/11/2015 00:00	6.79	6.79	6.79	6.79	86815	EUR	
12/11/2015 00:00	6.79	6.79	6.65	6.65	1152	EUR	
13/11/2015 00:00	6.65	6.65	6.5	6.5	714	EUR	
16/11/2015 00:00	6.4	6.4	6.4	6.4	1049	EUR	
17/11/2015 00:00	6.4	6.61	6.4	6.5	2890	EUR	
18/11/2015 00:00	6.5	6.84	6.5	6.84	2422	EUR	
19/11/2015 00:00	6.84	6.96	6.84	6.96	806	EUR	
20/11/2015 00:00	6.96	6.96	6.68	6.68	2740	EUR	
23/11/2015 00:00	6.68	6.68	6.48	6.62	3889	EUR	
24/11/2015 00:00	6.62	6.62	6.62	6.62	1	EUR	
25/11/2015 00:00	6.62	6.62	6.62	6.62	21	EUR	
26/11/2015 00:00	6.62	6.88	6.62	6.88	3597	EUR	
27/11/2015 00:00	6.88	6.88	6.88	6.88	1	EUR	
30/11/2015 00:00	6.77	6.77	6.72	6.72	1772	EUR	
01/12/2015 00:00	6.72	6.72	6.63	6.63	3511	EUR	
02/12/2015 00:00	6.63	6.8	6.63	6.7	3075	EUR	
03/12/2015 00:00	6.7	6.7	6.64	6.64	6556	EUR	
04/12/2015 00:00	6.6	6.6	6.55	6.55	3851	EUR	
07/12/2015 00:00	6.55	6.62	6.55	6.59	2685	EUR	
08/12/2015 00:00	6.59	6.66	6.57	6.57	2070	EUR	
09/12/2015 00:00	6.57	6.57	6.51	6.57	7181	EUR	
10/12/2015 00:00	6.57	6.69	6.57	6.69	1001	EUR	
11/12/2015 00:00	6.69	6.89	6.69	6.89	2217	EUR	
14/12/2015 00:00	6.89	6.92	6.89	6.92	1271	EUR	
15/12/2015 00:00	6.8	6.8	6.8	6.8	1866	EUR	
16/12/2015 00:00	6.8	6.8	6.71	6.71	10579	EUR	
17/12/2015 00:00	6.72	6.8	6.72	6.8	2161	EUR	
18/12/2015 00:00	6.8	6.8	6.8	6.8	601	EUR	
21/12/2015 00:00	6.8	6.8	6.72	6.72	1711	EUR	
22/12/2015 00:00	6.72	6.72	6.72	6.72	1	EUR	
23/12/2015 00:00	6.72	6.72	6.7	6.7	901	EUR	
24/12/2015 00:00	6.7	6.7	6.7	6.7	1	EUR	
28/12/2015 00:00	6.7	6.7	6.7	6.7	1	EUR	
29/12/2015 00:00	6.7	6.7	6.62	6.62	1077	EUR	
30/12/2015 00:00	6.62	6.63	6.62	6.63	321	EUR	
31/12/2015 00:00	6.63	6.63	6.5	6.5	2544	EUR	
04/01/2016 00:00	6.5	6.5	6.35	6.35	1392	EUR	
05/01/2016 00:00	6.35	6.35	6.35	6.35	301	EUR	
06/01/2016 00:00	6.35	6.35	6.33	6.33	125	EUR	
07/01/2016 00:00	6.33	6.33	6.33	6.33	13	EUR	
08/01/2016 00:00	6.2	6.2	5.6	5.64	2451	EUR	
11/01/2016 00:00	5.66	5.81	5.66	5.81	5291	EUR	
12/01/2016 00:00	5.77	5.77	5.66	5.66	2196	EUR	
13/01/2016 00:00	5.66	5.86	5.66	5.86	3009	EUR	
14/01/2016 00:00	5.84	6.11	5.84	6.11	2616	EUR	
15/01/2016 00:00	6.11	6.3	6.05	6.25	2343	EUR	
18/01/2016 00:00	6.25	6.25	5.99	5.99	2769	EUR	
19/01/2016 00:00	5.93	5.93	5.79	5.79	2026	EUR	
20/01/2016 00:00	5.79	5.79	5.74	5.74	461	EUR	
21/01/2016 00:00	5.74	5.74	5.55	5.55	1305	EUR	
22/01/2016 00:00	5.55	5.55	5.55	5.55	171	EUR	
25/01/2016 00:00	5.55	5.55	5.55	5.55	41	EUR	
26/01/2016 00:00	5.55	5.55	5.55	5.55	96	EUR	
27/01/2016 00:00	5.55	5.56	5.55	5.55	2147	EUR	
28/01/2016 00:00	5.55	5.55	5.55	5.55	1	EUR	
29/01/2016 00:00	5.55	5.55	5.55	5.55	1	EUR	
01/02/2016 00:00	5.55	5.55	5.55	5.55	86	EUR	
02/02/2016 00:00	5.55	5.55	5.55	5.55	1	EUR	
03/02/2016 00:00	5.55	5.55	5.55	5.55	1	EUR	
04/02/2016 00:00	5.55	5.55	5.55	5.55	1	EUR	
05/02/2016 00:00	5.55	5.55	5.55	5.55	151	EUR	
08/02/2016 00:00	5.55	5.55	5.55	5.55	1	EUR	
09/02/2016 00:00	5.55	5.56	5.55	5.56	81	EUR	
10/02/2016 00:00	5.56	5.56	5.56	5.56	1	EUR	
11/02/2016 00:00	5.56	5.56	5.56	5.56	201	EUR	
12/02/2016 00:00	5.56	5.56	5.56	5.56	201	EUR	
15/02/2016 00:00	5.56	5.56	5.54	5.54	155	EUR	
16/02/2016 00:00	5.54	5.54	5.54	5.54	1	EUR	
17/02/2016 00:00	5.54	5.54	5.54	5.54	1	EUR	
18/02/2016 00:00	5.54	5.55	5.54	5.55	181	EUR	
19/02/2016 00:00	5.55	5.55	5.55	5.55	2301	EUR	
22/02/2016 00:00	5.55	5.56	5.55	5.56	850	EUR	
23/02/2016 00:00	5.56	5.56	5.55	5.55	336	EUR	
24/02/2016 00:00	5.55	5.9	5.55	5.9	7486	EUR	
25/02/2016 00:00	5.9	5.9	5.8	5.8	826	EUR	
26/02/2016 00:00	5.8	5.8	5.8	5.8	95	EUR	
29/02/2016 00:00	5.8	5.8	5.8	5.8	1	EUR	
01/03/2016 00:00	5.8	5.8	5.8	5.8	1	EUR	
02/03/2016 00:00	5.8	5.8	5.8	5.8	101	EUR	
03/03/2016 00:00	5.8	5.8	5.8	5.8	1	EUR	
04/03/2016 00:00	5.8	5.8	5.8	5.8	1	EUR	
07/03/2016 00:00	5.8	5.8	5.8	5.8	1	EUR	
08/03/2016 00:00	5.8	5.8	5.8	5.8	1	EUR	
09/03/2016 00:00	5.8	5.8	5.8	5.8	1	EUR	
10/03/2016 00:00	5.8	5.8	5.8	5.8	1	EUR	
11/03/2016 00:00	5.8	5.8	5.6	5.6	2786	EUR	
