date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	64.625	65.618	64.252	65.618	104636	EUR	
19/05/2015 00:00	65.667	66.975	65.657	66.847	156958	EUR	
20/05/2015 00:00	66.945	66.945	65.864	66.257	127134	EUR	
21/05/2015 00:00	65.972	66.444	65.47	66.149	100699	EUR	
22/05/2015 00:00	66.159	66.503	65.726	66.129	98488	EUR	
25/05/2015 00:00	66.06	66.395	65.883	66.05	18389	EUR	
26/05/2015 00:00	66.218	66.345	65.176	65.5	105519	EUR	
27/05/2015 00:00	65.569	65.903	65.274	65.893	116729	EUR	
28/05/2015 00:00	65.47	66.296	65.47	65.962	108330	EUR	
29/05/2015 00:00	65.923	66.021	64.497	64.546	130356	EUR	
01/06/2015 00:00	64.782	65.657	64.576	65.215	124664	EUR	
02/06/2015 00:00	65.47	65.47	63.652	63.976	170337	EUR	
03/06/2015 00:00	64.34	65.048	63.79	64.183	119854	EUR	
04/06/2015 00:00	64.35	64.35	62.571	63.445	136020	EUR	
05/06/2015 00:00	63.239	63.249	62.226	62.295	112923	EUR	
08/06/2015 00:00	62.335	62.561	61.863	62.354	116221	EUR	
09/06/2015 00:00	62.325	62.659	61.519	62.502	129600	EUR	
10/06/2015 00:00	62.423	62.954	62.02	62.905	136542	EUR	
11/06/2015 00:00	62.698	63.652	62.59	62.826	135164	EUR	
12/06/2015 00:00	62.767	62.983	61.607	62	129113	EUR	
15/06/2015 00:00	61.637	62.099	61.401	61.735	119377	EUR	
16/06/2015 00:00	61.44	63.092	61.312	63.013	113469	EUR	
17/06/2015 00:00	67.122	68.813	63.21	64.93	577346	EUR	
18/06/2015 00:00	64.881	66.208	64.242	66.188	303835	EUR	
19/06/2015 00:00	65.903	66.827	65.225	65.225	354470	EUR	
22/06/2015 00:00	65.864	65.962	64.389	65.52	239996	EUR	
23/06/2015 00:00	66.208	66.729	65.834	66.404	157179	EUR	
24/06/2015 00:00	65.647	67.466	65.647	66.876	152984	EUR	
25/06/2015 00:00	66.925	67.24	66.06	66.817	127326	EUR	
26/06/2015 00:00	66.739	67.604	66.08	67.151	87266	EUR	
29/06/2015 00:00	65.225	66.227	64.782	65.461	147418	EUR	
30/06/2015 00:00	65.382	65.579	63.554	63.554	237955	EUR	
01/07/2015 00:00	63.907	64.832	63.367	64.34	186023	EUR	
02/07/2015 00:00	63.603	64.448	63.603	64.399	154120	EUR	
03/07/2015 00:00	64.605	64.605	63.642	63.868	106090	EUR	
06/07/2015 00:00	63.613	63.898	63.18	63.652	157539	EUR	
07/07/2015 00:00	63.534	64.193	63.475	63.858	184947	EUR	
08/07/2015 00:00	63.966	64.055	63.101	63.2	118988	EUR	
09/07/2015 00:00	63.406	64.045	62.964	63.839	128722	EUR	
10/07/2015 00:00	64.635	65.52	64.124	65.47	115595	EUR	
13/07/2015 00:00	66.001	66.463	65.765	65.864	92418	EUR	
