date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	1.12	1.14	1.1	1.14	6707	EUR	
19/05/2015 00:00	1.14	1.14	1.05	1.13	5911	EUR	
20/05/2015 00:00	1.12	1.13	1.07	1.11	1898	EUR	
21/05/2015 00:00	1.07	1.13	1.07	1.12	3261	EUR	
22/05/2015 00:00	1.12	1.13	1.05	1.1	19461	EUR	
25/05/2015 00:00	1.1	1.1	1.04	1.07	89164	EUR	
26/05/2015 00:00	1.07	1.07	0.99	1	89315	EUR	
27/05/2015 00:00	1	1.04	1	1.04	18051	EUR	
28/05/2015 00:00	1.04	1.04	1	1.03	7986	EUR	
29/05/2015 00:00	1.03	1.03	1	1.03	4092	EUR	
01/06/2015 00:00	1.03	1.05	1.01	1.03	8758	EUR	
02/06/2015 00:00	1.03	1.04	1.01	1.04	4877	EUR	
03/06/2015 00:00	1.04	1.05	1.03	1.04	5530	EUR	
04/06/2015 00:00	1.04	1.05	1.02	1.04	2874	EUR	
05/06/2015 00:00	1.03	1.03	1	1.03	6889	EUR	
08/06/2015 00:00	1.03	1.03	1	1.02	801	EUR	
09/06/2015 00:00	1.01	1.02	0.99	1	6731	EUR	
10/06/2015 00:00	1	1.01	0.99	1.01	6791	EUR	
11/06/2015 00:00	0.99	1	0.97	1	8558	EUR	
12/06/2015 00:00	0.99	1	0.95	0.98	18560	EUR	
15/06/2015 00:00	0.97	0.98	0.93	0.95	16880	EUR	
16/06/2015 00:00	0.94	0.95	0.93	0.94	21372	EUR	
17/06/2015 00:00	0.94	0.98	0.93	0.98	25978	EUR	
18/06/2015 00:00	0.97	0.98	0.93	0.95	12178	EUR	
19/06/2015 00:00	0.95	0.96	0.94	0.96	2801	EUR	
22/06/2015 00:00	0.95	0.97	0.95	0.97	4991	EUR	
23/06/2015 00:00	0.97	0.97	0.92	0.97	28227	EUR	
24/06/2015 00:00	0.96	0.97	0.94	0.96	7341	EUR	
25/06/2015 00:00	0.95	0.95	0.95	0.95	811	EUR	
26/06/2015 00:00	0.95	0.96	0.95	0.96	326	EUR	
29/06/2015 00:00	0.93	0.95	0.92	0.94	6564	EUR	
30/06/2015 00:00	0.94	0.95	0.91	0.95	8801	EUR	
01/07/2015 00:00	0.94	0.96	0.91	0.96	11415	EUR	
02/07/2015 00:00	0.96	0.98	0.94	0.96	5381	EUR	
03/07/2015 00:00	0.96	0.98	0.94	0.96	3791	EUR	
06/07/2015 00:00	0.9	0.95	0.9	0.95	15862	EUR	
07/07/2015 00:00	0.95	0.95	0.93	0.95	531	EUR	
08/07/2015 00:00	0.95	0.95	0.94	0.95	566	EUR	
09/07/2015 00:00	0.95	0.95	0.94	0.95	161	EUR	
10/07/2015 00:00	0.95	0.95	0.92	0.95	841	EUR	
13/07/2015 00:00	0.93	0.95	0.93	0.95	20771	EUR	
14/07/2015 00:00	0.95	0.95	0.91	0.95	1266	EUR	
15/07/2015 00:00	0.95	0.95	0.94	0.95	586	EUR	
16/07/2015 00:00	0.91	0.95	0.91	0.95	4146	EUR	
17/07/2015 00:00	0.92	0.95	0.92	0.95	1166	EUR	
20/07/2015 00:00	0.95	0.97	0.92	0.92	16588	EUR	
21/07/2015 00:00	0.92	0.95	0.92	0.95	4988	EUR	
22/07/2015 00:00	0.95	1.2	0.95	1.06	319539	EUR	
23/07/2015 00:00	1.05	1.26	0.95	1.11	305615	EUR	
24/07/2015 00:00	1.07	1.08	0.97	1.08	104378	EUR	
27/07/2015 00:00	1.01	1.05	0.99	1.01	61179	EUR	
28/07/2015 00:00	1.02	1.08	1	1.04	37193	EUR	
29/07/2015 00:00	1.02	1.04	0.98	1.02	36239	EUR	
30/07/2015 00:00	1.03	1.03	1	1.02	15333	EUR	
31/07/2015 00:00	1.02	1.02	0.99	1.01	12337	EUR	
03/08/2015 00:00	1.01	1.01	1.01	1.01	3717	EUR	
04/08/2015 00:00	1.01	1.01	0.94	0.98	37542	EUR	
05/08/2015 00:00	0.98	0.98	0.95	0.98	13753	EUR	
06/08/2015 00:00	0.98	0.98	0.95	0.97	13550	EUR	
07/08/2015 00:00	0.97	0.97	0.95	0.97	3322	EUR	
10/08/2015 00:00	0.97	0.98	0.97	0.97	2251	EUR	
11/08/2015 00:00	0.97	0.98	0.96	0.97	1251	EUR	
12/08/2015 00:00	0.97	0.97	0.95	0.97	4167	EUR	
13/08/2015 00:00	0.97	1.05	0.97	1.03	29476	EUR	
14/08/2015 00:00	1.03	1.04	0.99	1.03	6793	EUR	
17/08/2015 00:00	1.03	1.03	0.99	1.03	3351	EUR	
18/08/2015 00:00	1.03	1.03	0.99	1.02	2451	EUR	
19/08/2015 00:00	1.02	1.03	1	1.03	711	EUR	
20/08/2015 00:00	1.03	1.03	0.96	0.99	12421	EUR	
21/08/2015 00:00	0.98	0.98	0.91	0.96	26027	EUR	
24/08/2015 00:00	0.96	0.97	0.9	0.91	9751	EUR	
25/08/2015 00:00	0.91	0.95	0.91	0.95	2781	EUR	
26/08/2015 00:00	0.95	0.95	0.95	0.95	21	EUR	
27/08/2015 00:00	0.95	0.96	0.91	0.95	5252	EUR	
28/08/2015 00:00	0.95	0.95	0.91	0.94	3617	EUR	
31/08/2015 00:00	0.95	0.96	0.95	0.96	771	EUR	
01/09/2015 00:00	0.97	0.99	0.96	0.97	4501	EUR	
02/09/2015 00:00	0.97	0.97	0.94	0.97	1002	EUR	
03/09/2015 00:00	0.97	1	0.91	0.97	24508	EUR	
04/09/2015 00:00	0.97	0.97	0.95	0.97	2391	EUR	
07/09/2015 00:00	0.97	0.97	0.93	0.97	951	EUR	
