date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	40.875	41.11	40.27	41.09	2237223	EUR	
19/05/2015 00:00	41.225	42.085	41.19	42.02	2522868	EUR	
20/05/2015 00:00	41.935	42.57	41.67	42.525	1850525	EUR	
21/05/2015 00:00	42.59	43.35	42.515	43.225	3209570	EUR	
22/05/2015 00:00	43.23	43.465	43.055	43.315	2133672	EUR	
25/05/2015 00:00	42.965	43.095	42.76	43.06	255523	EUR	
26/05/2015 00:00	43.015	43.635	42.58	43.13	2406650	EUR	
27/05/2015 00:00	43.34	44	43.035	43.79	2649643	EUR	
28/05/2015 00:00	43.495	43.635	43	43.565	2058302	EUR	
29/05/2015 00:00	43.38	43.545	42.42	42.43	3905046	EUR	
01/06/2015 00:00	42.785	42.895	42.095	42.315	1927060	EUR	
02/06/2015 00:00	42.675	42.685	41.665	42.095	2852128	EUR	
03/06/2015 00:00	42.125	42.8	41.945	42.41	2022435	EUR	
04/06/2015 00:00	42.31	43.015	41.475	42.445	3192423	EUR	
05/06/2015 00:00	42.285	42.965	42.02	42.59	2979468	EUR	
08/06/2015 00:00	42.585	42.95	42.26	42.53	3281238	EUR	
09/06/2015 00:00	42.285	42.465	41.6	41.925	3888512	EUR	
10/06/2015 00:00	40.675	41.74	40.15	41.545	3396211	EUR	
11/06/2015 00:00	41.38	42.245	41.25	41.78	2677150	EUR	
12/06/2015 00:00	41.845	41.91	40.5	41.025	2977752	EUR	
15/06/2015 00:00	40.555	40.87	40.23	40.485	2590172	EUR	
16/06/2015 00:00	40.2	40.845	39.705	40.67	3212758	EUR	
17/06/2015 00:00	40.77	40.78	40.08	40.235	2234171	EUR	
18/06/2015 00:00	40.265	40.595	39.57	40.45	3374856	EUR	
19/06/2015 00:00	40.635	41.295	40.455	40.625	2036864	EUR	
22/06/2015 00:00	41.935	42.885	41.755	42.74	3849993	EUR	
23/06/2015 00:00	43.05	43.48	42.935	43.245	2856647	EUR	
24/06/2015 00:00	43.195	43.53	42.53	42.79	3097701	EUR	
25/06/2015 00:00	42.44	43.29	42.305	42.945	2347490	EUR	
26/06/2015 00:00	42.665	43.125	42.155	42.825	1875208	EUR	
29/06/2015 00:00	40.9	41.725	40.515	41.15	3299743	EUR	
30/06/2015 00:00	41.065	41.31	40.27	40.27	3675908	EUR	
01/07/2015 00:00	40.825	42.03	40.5	41.545	3336720	EUR	
02/07/2015 00:00	41.71	41.715	40.915	40.925	1722341	EUR	
03/07/2015 00:00	40.845	40.925	40.285	40.57	1785077	EUR	
06/07/2015 00:00	39.56	40.285	39.255	39.745	3448238	EUR	
07/07/2015 00:00	39.745	39.85	38.24	38.245	3958531	EUR	
08/07/2015 00:00	38.345	39.215	38.265	38.875	2953391	EUR	
09/07/2015 00:00	39.1	40.01	38.87	39.79	2785329	EUR	
10/07/2015 00:00	41.125	41.335	40.64	41.22	2898393	EUR	
13/07/2015 00:00	41.845	42.36	41.635	42.05	2165946	EUR	
14/07/2015 00:00	42.1	42.155	41.805	41.99	1377441	EUR	
15/07/2015 00:00	41.905	41.99	41.205	41.86	2196076	EUR	
16/07/2015 00:00	42.245	43.08	42.055	42.895	2317151	EUR	
17/07/2015 00:00	43.11	43.34	42.77	43.14	1908364	EUR	
20/07/2015 00:00	43.295	43.64	43.13	43.23	1264939	EUR	
21/07/2015 00:00	43.425	43.595	42.88	43.07	1848376	EUR	
22/07/2015 00:00	42.655	43.105	42.515	42.92	1481395	EUR	
23/07/2015 00:00	43.255	43.285	42.475	42.545	1655233	EUR	
24/07/2015 00:00	42.44	42.815	41.86	41.945	1779033	EUR	
27/07/2015 00:00	41.77	41.89	40.93	41.09	1799064	EUR	
28/07/2015 00:00	41.355	42.005	41.135	41.92	2459166	EUR	
29/07/2015 00:00	42	42.375	41.665	41.98	1851663	EUR	
30/07/2015 00:00	42.47	42.685	41.725	42.685	2464932	EUR	
31/07/2015 00:00	42.68	43.23	42.5	43.165	1774195	EUR	
03/08/2015 00:00	43.115	43.44	42.75	43.295	1612215	EUR	
04/08/2015 00:00	43.305	43.345	42.935	43.185	1073425	EUR	
05/08/2015 00:00	43.26	44.245	43.225	44.055	2431516	EUR	
06/08/2015 00:00	43.975	44.84	43.82	44.475	2488515	EUR	
07/08/2015 00:00	44.27	44.31	43.555	43.56	1890219	EUR	
10/08/2015 00:00	43.785	44.265	43.435	44.185	1383207	EUR	
11/08/2015 00:00	44.12	44.15	43.42	43.535	1433402	EUR	
12/08/2015 00:00	42.98	42.98	41.55	41.665	3182453	EUR	
13/08/2015 00:00	42.485	42.735	42.165	42.435	1639645	EUR	
14/08/2015 00:00	42.35	42.86	42.05	42.39	1202051	EUR	
17/08/2015 00:00	42.785	43.155	41.855	42.53	1326737	EUR	
18/08/2015 00:00	42.405	42.61	42.185	42.36	935816	EUR	
19/08/2015 00:00	42.105	42.155	41.475	41.515	1433627	EUR	
20/08/2015 00:00	41.325	41.465	40.39	40.535	1757584	EUR	
21/08/2015 00:00	40	40.655	39.55	39.665	2946322	EUR	
24/08/2015 00:00	38.35	39.025	36.275	37.46	5544426	EUR	
25/08/2015 00:00	38.045	39.605	37.755	39.4	3952656	EUR	
26/08/2015 00:00	38.84	40.055	38.31	39.495	3296372	EUR	
27/08/2015 00:00	40.42	41.01	40.26	40.63	3324900	EUR	
28/08/2015 00:00	40.57	40.78	40.29	40.75	2160212	EUR	
31/08/2015 00:00	40.5	41.01	40.285	40.965	1467200	EUR	
01/09/2015 00:00	40.15	40.34	39.33	39.755	2937299	EUR	
02/09/2015 00:00	39.985	40.43	39.5	40.15	2119857	EUR	
03/09/2015 00:00	40.515	41.355	40.34	41	2357750	EUR	
04/09/2015 00:00	40.495	40.525	39.7	39.95	2567051	EUR	
07/09/2015 00:00	40.635	40.795	40.065	40.33	1346994	EUR	
08/09/2015 00:00	40.815	41.62	40.78	41.09	2028674	EUR	
09/09/2015 00:00	42.075	42.455	41.61	41.65	2102650	EUR	
10/09/2015 00:00	41.335	41.94	41.19	41.295	1476405	EUR	
11/09/2015 00:00	41.51	41.81	40.63	40.815	1865145	EUR	
14/09/2015 00:00	40.815	41.155	40.32	40.39	1760446	EUR	
15/09/2015 00:00	40.66	41.275	40.155	41.08	1650402	EUR	
16/09/2015 00:00	41.42	41.76	41.195	41.72	1559603	EUR	
17/09/2015 00:00	41.8	41.88	41.315	41.845	1452453	EUR	
18/09/2015 00:00	41.485	41.605	40.41	40.85	3791507	EUR	
21/09/2015 00:00	40.84	41.475	40.8	41.255	1210352	EUR	
22/09/2015 00:00	41.2	41.2	39.535	39.635	2792425	EUR	
23/09/2015 00:00	39.5	40.12	39.145	39.22	3415721	EUR	
24/09/2015 00:00	39.155	39.285	37.155	37.595	5112880	EUR	
25/09/2015 00:00	38.22	39.1	38.14	38.905	3255782	EUR	
28/09/2015 00:00	38.76	38.905	38.035	38.185	2922544	EUR	
29/09/2015 00:00	37.52	38.575	37.35	38.005	2530859	EUR	
30/09/2015 00:00	38.825	39	38.305	38.71	2339373	EUR	
01/10/2015 00:00	39.345	39.445	38.02	38.19	3015235	EUR	
02/10/2015 00:00	38.56	39.38	37.93	38.645	2153759	EUR	
05/10/2015 00:00	39.42	40.56	39.25	40.29	2455854	EUR	
06/10/2015 00:00	40.29	40.875	39.895	40.52	1319002	EUR	
07/10/2015 00:00	40.925	41.35	40.555	40.71	2143904	EUR	
08/10/2015 00:00	40.595	40.87	40.11	40.305	2697600	EUR	
09/10/2015 00:00	40.72	40.72	39.62	39.635	2826770	EUR	
12/10/2015 00:00	39.68	39.905	39.035	39.175	2039015	EUR	
13/10/2015 00:00	39.02	39.275	38.45	39.075	2302948	EUR	
14/10/2015 00:00	38.81	38.94	38.255	38.585	2243641	EUR	
15/10/2015 00:00	38.925	39.37	38.625	39.04	1727340	EUR	
16/10/2015 00:00	39.33	39.33	38.315	38.57	2032826	EUR	
19/10/2015 00:00	38.395	38.94	38.21	38.355	1016705	EUR	
20/10/2015 00:00	37.735	37.9	36.925	37.08	3181478	EUR	
21/10/2015 00:00	36.935	37.79	36.54	37.54	2585592	EUR	
22/10/2015 00:00	37.36	38.22	36.8	38.035	2975010	EUR	
23/10/2015 00:00	38.36	39.995	38.315	39.575	3419449	EUR	
26/10/2015 00:00	39.41	39.42	38.67	39.14	1614731	EUR	
27/10/2015 00:00	39.05	39.325	38.56	38.56	1464108	EUR	
28/10/2015 00:00	38.685	39.61	38.49	39.43	1781457	EUR	
29/10/2015 00:00	37.59	37.725	36.87	37.5	4884242	EUR	
30/10/2015 00:00	37.59	38.23	37.51	38.18	3160691	EUR	
02/11/2015 00:00	37.635	39.115	37.585	38.935	3114561	EUR	
03/11/2015 00:00	39.105	39.52	38.945	39.15	2173288	EUR	
04/11/2015 00:00	39.375	39.8	38.89	38.89	2073284	EUR	
05/11/2015 00:00	39.035	39.68	38.685	39.215	1771687	EUR	
06/11/2015 00:00	39.33	40.88	39.265	40.59	2897193	EUR	
09/11/2015 00:00	40.65	40.825	39.745	39.83	2048761	EUR	
10/11/2015 00:00	39.92	39.98	39.05	39.29	2106959	EUR	
11/11/2015 00:00	39.4	39.915	39.345	39.61	1125402	EUR	
12/11/2015 00:00	39.43	39.905	38.805	38.855	1320890	EUR	
13/11/2015 00:00	38.83	39.02	38.215	38.78	1773299	EUR	
16/11/2015 00:00	38.39	39.22	38.355	39.08	1166555	EUR	
17/11/2015 00:00	39.45	40.465	39.365	40.345	1665750	EUR	
18/11/2015 00:00	40.055	40.465	39.88	40.31	1199686	EUR	
19/11/2015 00:00	40.6	41.19	40.6	40.905	1586091	EUR	
20/11/2015 00:00	41.075	41.265	40.52	41.01	1541865	EUR	
23/11/2015 00:00	41	41.045	40.535	40.675	1169607	EUR	
24/11/2015 00:00	40.5	40.505	39.65	40.15	1492425	EUR	
25/11/2015 00:00	40.28	40.94	40.085	40.64	1411301	EUR	
26/11/2015 00:00	40.54	41.755	40.525	41.575	1298395	EUR	
27/11/2015 00:00	41.395	41.77	41.14	41.295	1024418	EUR	
30/11/2015 00:00	41.25	41.995	41.185	41.83	1649820	EUR	
01/12/2015 00:00	41.995	42.055	41.005	41.125	2307286	EUR	
02/12/2015 00:00	41.29	41.63	40.91	41.325	1301539	EUR	
03/12/2015 00:00	41.325	42.115	39.55	39.67	3584289	EUR	
04/12/2015 00:00	39.4	39.99	39.175	39.81	2320687	EUR	
07/12/2015 00:00	40	40.8	39.845	40.39	1659221	EUR	
08/12/2015 00:00	40.35	40.44	39.27	39.595	2121895	EUR	
09/12/2015 00:00	39.7	39.985	38.66	38.835	2579418	EUR	
10/12/2015 00:00	38.65	39.195	38.405	38.715	1975933	EUR	
11/12/2015 00:00	38.72	38.81	37.825	38.545	2690552	EUR	
