date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	13.5	13.5	13.5	13.5	30	EUR	
19/05/2015 00:00	13.2	13.2	13.2	13.2	100	EUR	
20/05/2015 00:00	11.27	11.27	11.27	11.27	0	EUR	
22/05/2015 00:00	12.01	12.01	12.01	12.01	610	EUR	
25/05/2015 00:00	12.1	12.1	12.1	12.1	0	EUR	
04/06/2015 00:00	12.1	12.1	12.1	12.1	0	EUR	
10/06/2015 00:00	12.5	12.5	12.5	12.5	10	EUR	
11/06/2015 00:00	13	13	13	13	0	EUR	
16/06/2015 00:00	13	13	13	13	0	EUR	
26/06/2015 00:00	12.5	12.5	12.5	12.5	90	EUR	
29/06/2015 00:00	13.08	13.08	13.08	13.08	410	EUR	
30/06/2015 00:00	11.75	11.75	11.75	11.75	1144	EUR	
01/07/2015 00:00	11.99	11.99	11.99	11.99	0	EUR	
03/07/2015 00:00	11.79	11.79	11.79	11.79	310	EUR	
08/07/2015 00:00	11.55	11.55	11.55	11.55	0	EUR	
15/07/2015 00:00	12.99	12.99	12.99	12.99	0	EUR	
22/07/2015 00:00	11.31	11.31	11.31	11.31	0	EUR	
28/07/2015 00:00	12.49	12.49	12.49	12.49	0	EUR	
31/07/2015 00:00	11.12	11.12	11.12	11.12	31	EUR	
03/08/2015 00:00	10.12	10.12	10.12	10.12	63	EUR	
04/08/2015 00:00	10.49	10.49	10.49	10.49	0	EUR	
07/08/2015 00:00	10.49	10.49	10.49	10.49	25	EUR	
11/08/2015 00:00	10.52	10.52	10.52	10.52	0	EUR	
21/08/2015 00:00	10.75	10.75	10.75	10.75	100	EUR	
27/08/2015 00:00	10.11	10.11	10.11	10.11	0	EUR	
07/09/2015 00:00	9.8	9.8	9.8	9.8	263	EUR	
08/09/2015 00:00	10.01	10.01	10.01	10.01	1825	EUR	
09/09/2015 00:00	10.13	10.13	10.13	10.13	0	EUR	
16/09/2015 00:00	12.15	12.15	12.15	12.15	0	EUR	
24/09/2015 00:00	10	10	10	10	0	EUR	
15/10/2015 00:00	9.5	9.5	9.5	9.5	0	EUR	
19/10/2015 00:00	9.7	9.7	9.7	9.7	0	EUR	
04/11/2015 00:00	9.5	9.5	9.5	9.5	0	EUR	
06/11/2015 00:00	9.52	9.52	9.52	9.52	4	EUR	
11/11/2015 00:00	9.75	9.75	9.75	9.75	0	EUR	
18/11/2015 00:00	9.17	9.17	9.17	9.17	75	EUR	
19/11/2015 00:00	9.49	9.49	9.49	9.49	20	EUR	
20/11/2015 00:00	9.5	9.5	9.5	9.5	754	EUR	
25/11/2015 00:00	9.5	9.5	9.5	9.5	0	EUR	
07/12/2015 00:00	9.5	9.5	9.5	9.5	300	EUR	
08/12/2015 00:00	8.16	8.16	8.16	8.16	0	EUR	
11/12/2015 00:00	9.04	9.04	9.04	9.04	450	EUR	
15/12/2015 00:00	8.14	8.14	8.14	8.14	0	EUR	
18/12/2015 00:00	8.14	8.14	8.14	8.14	200	EUR	
21/12/2015 00:00	8.35	8.35	8.35	8.35	607	EUR	
22/12/2015 00:00	8.5	8.5	8.5	8.5	140	EUR	
23/12/2015 00:00	8.35	8.35	8.35	8.35	170	EUR	
24/12/2015 00:00	8.36	8.36	8.36	8.36	100	EUR	
28/12/2015 00:00	8.52	8.52	8.52	8.52	30	EUR	
29/12/2015 00:00	8.35	8.35	8.35	8.35	54	EUR	
30/12/2015 00:00	8.32	8.32	8.32	8.32	0	EUR	
20/01/2016 00:00	8.24	8.24	8.24	8.24	0	EUR	
29/01/2016 00:00	8.24	8.24	8.24	8.24	20	EUR	
01/02/2016 00:00	6.64	6.64	6.64	6.64	0	EUR	
04/02/2016 00:00	8.81	8.81	8.81	8.81	230	EUR	
05/02/2016 00:00	8.81	8.81	8.81	8.81	60	EUR	
08/02/2016 00:00	8.81	8.81	8.81	8.81	0	EUR	
25/02/2016 00:00	8.55	8.55	8.55	8.55	0	EUR	
02/03/2016 00:00	8.53	8.53	8.53	8.53	0	EUR	
07/03/2016 00:00	7.61	7.61	7.61	7.61	170	EUR	
08/03/2016 00:00	8.54	8.54	8.54	8.54	0	EUR	
11/03/2016 00:00	7.53	7.53	7.53	7.53	345	EUR	
15/03/2016 00:00	7.99	7.99	7.99	7.99	0	EUR	
24/03/2016 00:00	7.99	7.99	7.99	7.99	20	EUR	
12/04/2016 00:00	8	8	8	8	0	EUR	
14/04/2016 00:00	8	8	8	8	0	EUR	
18/04/2016 00:00	8.08	8.08	8.08	8.08	30	EUR	
19/04/2016 00:00	8.32	8.32	8.32	8.32	0	EUR	
22/04/2016 00:00	8	8	8	8	20	EUR	
02/05/2016 00:00	7.95	7.95	7.95	7.95	290	EUR	
03/05/2016 00:00	7.7	7.7	7.7	7.7	0	EUR	
06/05/2016 00:00	7.95	7.95	7.95	7.95	7	EUR	
17/05/2016 00:00	7.6	7.6	7.6	7.6	0	EUR	
19/05/2016 00:00	7.7	7.7	7.7	7.7	0	EUR	
15/06/2016 00:00	7.6	7.6	7.6	7.6	0	EUR	
27/06/2016 00:00	8.9	8.9	8.9	8.9	100	EUR	
28/06/2016 00:00	8.89	8.89	8.89	8.89	0	EUR	
30/06/2016 00:00	8.88	8.88	8.88	8.88	0	EUR	
06/07/2016 00:00	9.12	9.12	9.12	9.12	183	EUR	
07/07/2016 00:00	10.37	10.37	10.37	10.37	200	EUR	
08/07/2016 00:00	10.39	10.39	10.39	10.39	464	EUR	
01/08/2016 00:00	10.99	10.99	10.99	10.99	0	EUR	
04/08/2016 00:00	10.99	10.99	10.99	10.99	0	EUR	
08/08/2016 00:00	10.98	10.98	10.98	10.98	0	EUR	
19/08/2016 00:00	10.98	10.98	10.98	10.98	269	EUR	
29/08/2016 00:00	10	10	10	10	0	EUR	
09/09/2016 00:00	8.55	8.55	8.55	8.55	2624	EUR	
16/09/2016 00:00	8.55	8.55	8.55	8.55	3	EUR	
27/09/2016 00:00	9	9	9	9	0	EUR	
29/09/2016 00:00	8.55	8.55	8.55	8.55	0	EUR	
12/10/2016 00:00	8.5	8.5	8.5	8.5	0	EUR	
20/10/2016 00:00	13.28	13.28	13.28	13.28	6269	EUR	
21/10/2016 00:00	14	14	14	14	786	EUR	
31/10/2016 00:00	13.71	13.71	13.71	13.71	625	EUR	
01/11/2016 00:00	13.7	13.7	13.7	13.7	0	EUR	
03/11/2016 00:00	14	14	14	14	0	EUR	
07/11/2016 00:00	13.9	13.9	13.9	13.9	0	EUR	
15/11/2016 00:00	14	14	14	14	0	EUR	
29/11/2016 00:00	14.09	14.09	14.09	14.09	0	EUR	
02/12/2016 00:00	13.6	13.6	13.6	13.6	335	EUR	
05/12/2016 00:00	13.6	13.6	13.6	13.6	600	EUR	
06/12/2016 00:00	13.6	13.6	13.6	13.6	400	EUR	
07/12/2016 00:00	13.6	13.6	13.6	13.6	292	EUR	
08/12/2016 00:00	13.6	13.6	13.6	13.6	200	EUR	
09/12/2016 00:00	13.6	13.6	13.6	13.6	1050	EUR	
14/12/2016 00:00	13.02	13.02	13.02	13.02	991	EUR	
15/12/2016 00:00	13.3	13.3	13.3	13.3	830	EUR	
16/12/2016 00:00	14	14	14	14	635	EUR	
19/12/2016 00:00	14	14	14	14	0	EUR	
22/12/2016 00:00	14.01	14.01	14.01	14.01	100	EUR	
23/12/2016 00:00	15.34	15.34	15.34	15.34	810	EUR	
27/12/2016 00:00	15.35	15.35	15.35	15.35	1502	EUR	
28/12/2016 00:00	15.49	15.49	15.49	15.49	929	EUR	
29/12/2016 00:00	15.49	15.49	15.49	15.49	0	EUR	
03/01/2017 00:00	15	15	15	15	533	EUR	
04/01/2017 00:00	15.63	15.63	15.63	15.63	0	EUR	
10/01/2017 00:00	14.99	14.99	14.99	14.99	0	EUR	
12/01/2017 00:00	14.98	14.98	14.98	14.98	0	EUR	
16/01/2017 00:00	14.96	14.96	14.96	14.96	759	EUR	
17/01/2017 00:00	14.96	14.96	14.96	14.96	0	EUR	
20/01/2017 00:00	14.95	14.95	14.95	14.95	6	EUR	
24/01/2017 00:00	13.11	13.11	13.11	13.11	0	EUR	
26/01/2017 00:00	14.41	14.41	14.41	14.41	0	EUR	
30/01/2017 00:00	14.38	14.38	14.38	14.38	34	EUR	
31/01/2017 00:00	13.25	13.25	13.25	13.25	80	EUR	
01/02/2017 00:00	13.58	13.58	13.58	13.58	0	EUR	
03/02/2017 00:00	13.2	13.2	13.2	13.2	232	EUR	
13/02/2017 00:00	13.57	13.57	13.57	13.57	0	EUR	
15/02/2017 00:00	14.92	14.92	14.92	14.92	175	EUR	
16/02/2017 00:00	15.25	15.25	15.25	15.25	4989	EUR	
17/02/2017 00:00	15.25	15.25	15.25	15.25	290	EUR	
20/02/2017 00:00	15.97	15.97	15.97	15.97	924	EUR	
21/02/2017 00:00	16.01	16.01	16.01	16.01	1829	EUR	
22/02/2017 00:00	17	17	17	17	1686	EUR	
23/02/2017 00:00	17.26	17.26	17.26	17.26	1596	EUR	
24/02/2017 00:00	17	17	17	17	64	EUR	
27/02/2017 00:00	15.01	15.01	15.01	15.01	11963	EUR	
28/02/2017 00:00	15.45	15.45	15.45	15.45	5154	EUR	
01/03/2017 00:00	16.49	16.49	16.49	16.49	505	EUR	
02/03/2017 00:00	16.36	16.36	16.36	16.36	300	EUR	
03/03/2017 00:00	16.3	16.3	16.3	16.3	263	EUR	
06/03/2017 00:00	16.31	16.31	16.31	16.31	358	EUR	
07/03/2017 00:00	16.28	16.28	16.28	16.28	130	EUR	
08/03/2017 00:00	16.49	16.49	16.49	16.49	0	EUR	
10/03/2017 00:00	17	17	17	17	831	EUR	
13/03/2017 00:00	17.4	17.4	17.4	17.4	0	EUR	
15/03/2017 00:00	16.4	16.4	16.4	16.4	1334	EUR	
16/03/2017 00:00	16.22	16.22	16.22	16.22	10	EUR	
17/03/2017 00:00	16.25	16.25	16.25	16.25	194	EUR	
20/03/2017 00:00	16.32	16.32	16.32	16.32	897	EUR	
21/03/2017 00:00	16.71	16.71	16.71	16.71	20	EUR	
22/03/2017 00:00	16.71	16.71	16.71	16.71	600	EUR	
23/03/2017 00:00	16.95	16.95	16.95	16.95	110	EUR	
24/03/2017 00:00	16.99	16.99	16.99	16.99	129	EUR	
