date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	4.84	4.84	4.84	4.84	0	EUR	
21/05/2015 00:00	4.85	4.85	4.85	4.85	1000	EUR	
22/05/2015 00:00	4.6	4.6	4.6	4.6	1000	EUR	
26/05/2015 00:00	4.49	4.49	4.49	4.49	400	EUR	
27/05/2015 00:00	4.5	4.5	4.5	4.5	20	EUR	
28/05/2015 00:00	4.5	4.5	4.5	4.5	0	EUR	
01/06/2015 00:00	4.55	4.55	4.55	4.55	1000	EUR	
02/06/2015 00:00	4.2	4.2	4.2	4.2	1460	EUR	
03/06/2015 00:00	4.62	4.62	4.62	4.62	100	EUR	
04/06/2015 00:00	4.62	4.62	4.62	4.62	0	EUR	
08/06/2015 00:00	4.57	4.57	4.57	4.57	0	EUR	
15/06/2015 00:00	4.5	4.5	4.5	4.5	0	EUR	
18/06/2015 00:00	4.5	4.5	4.5	4.5	401	EUR	
19/06/2015 00:00	4.49	4.49	4.49	4.49	150	EUR	
22/06/2015 00:00	4.47	4.47	4.47	4.47	100	EUR	
23/06/2015 00:00	4.35	4.35	4.35	4.35	150	EUR	
24/06/2015 00:00	4.5	4.5	4.5	4.5	300	EUR	
25/06/2015 00:00	4.2	4.2	4.2	4.2	700	EUR	
26/06/2015 00:00	4.5	4.5	4.5	4.5	100	EUR	
02/07/2015 00:00	4.49	4.49	4.49	4.49	0	EUR	
08/07/2015 00:00	4.25	4.25	4.25	4.25	500	EUR	
09/07/2015 00:00	4.3	4.3	4.3	4.3	0	EUR	
15/07/2015 00:00	4.49	4.49	4.49	4.49	0	EUR	
27/07/2015 00:00	4.39	4.39	4.39	4.39	0	EUR	
30/07/2015 00:00	4	4	4	4	2600	EUR	
31/07/2015 00:00	3.99	3.99	3.99	3.99	2140	EUR	
03/08/2015 00:00	4	4	4	4	500	EUR	
04/08/2015 00:00	4	4	4	4	600	EUR	
05/08/2015 00:00	3.99	3.99	3.99	3.99	200	EUR	
06/08/2015 00:00	4	4	4	4	859	EUR	
07/08/2015 00:00	3.99	3.99	3.99	3.99	486	EUR	
10/08/2015 00:00	3.99	3.99	3.99	3.99	0	EUR	
12/08/2015 00:00	4.2	4.2	4.2	4.2	1000	EUR	
13/08/2015 00:00	4.09	4.09	4.09	4.09	400	EUR	
14/08/2015 00:00	4	4	4	4	750	EUR	
17/08/2015 00:00	4.2	4.2	4.2	4.2	0	EUR	
24/08/2015 00:00	3.99	3.99	3.99	3.99	370	EUR	
25/08/2015 00:00	3.99	3.99	3.99	3.99	500	EUR	
26/08/2015 00:00	4.05	4.05	4.05	4.05	0	EUR	
28/08/2015 00:00	4.05	4.05	4.05	4.05	300	EUR	
31/08/2015 00:00	4.2	4.2	4.2	4.2	100	EUR	
01/09/2015 00:00	3.99	3.99	3.99	3.99	0	EUR	
03/09/2015 00:00	3.99	3.99	3.99	3.99	0	EUR	
07/09/2015 00:00	3.8	3.8	3.8	3.8	666	EUR	
08/09/2015 00:00	3.7	3.7	3.7	3.7	500	EUR	
09/09/2015 00:00	3.4	3.4	3.4	3.4	0	EUR	
11/09/2015 00:00	4	4	4	4	100	EUR	
14/09/2015 00:00	4	4	4	4	0	EUR	
22/09/2015 00:00	3.6	3.6	3.6	3.6	1000	EUR	
23/09/2015 00:00	3.6	3.6	3.6	3.6	0	EUR	
25/09/2015 00:00	3.75	3.75	3.75	3.75	200	EUR	
28/09/2015 00:00	3.75	3.75	3.75	3.75	0	EUR	
30/09/2015 00:00	4	4	4	4	0	EUR	
13/10/2015 00:00	3.65	3.65	3.65	3.65	0	EUR	
16/10/2015 00:00	3.85	3.85	3.85	3.85	1500	EUR	
02/11/2015 00:00	3.5	3.5	3.5	3.5	1650	EUR	
03/11/2015 00:00	3.5	3.5	3.5	3.5	0	EUR	
09/11/2015 00:00	3.5	3.5	3.5	3.5	0	EUR	
25/11/2015 00:00	3.45	3.45	3.45	3.45	0	EUR	
30/11/2015 00:00	3.45	3.45	3.45	3.45	0	EUR	
03/12/2015 00:00	3.44	3.44	3.44	3.44	0	EUR	
07/12/2015 00:00	3.44	3.44	3.44	3.44	200	EUR	
08/12/2015 00:00	3.45	3.45	3.45	3.45	0	EUR	
11/12/2015 00:00	3.45	3.45	3.45	3.45	150	EUR	
17/12/2015 00:00	3.44	3.44	3.44	3.44	200	EUR	
18/12/2015 00:00	3.44	3.44	3.44	3.44	400	EUR	
30/12/2015 00:00	3.43	3.43	3.43	3.43	0	EUR	
05/01/2016 00:00	3.77	3.77	3.77	3.77	100	EUR	
06/01/2016 00:00	4	4	4	4	0	EUR	
08/01/2016 00:00	4.1	4.1	4.1	4.1	100	EUR	
11/01/2016 00:00	4.08	4.08	4.08	4.08	0	EUR	
13/01/2016 00:00	3.99	3.99	3.99	3.99	0	EUR	
15/01/2016 00:00	3.79	3.79	3.79	3.79	100	EUR	
22/01/2016 00:00	4.1	4.1	4.1	4.1	300	EUR	
16/02/2016 00:00	3.45	3.45	3.45	3.45	0	EUR	
