date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	91.79	92.79	90.94	92.79	225240	EUR	
19/05/2015 00:00	92.81	94	92.78	93.71	249758	EUR	
20/05/2015 00:00	93.56	94.18	93.4	94	258465	EUR	
21/05/2015 00:00	93.98	94.41	93.72	94.26	265179	EUR	
22/05/2015 00:00	94.22	94.41	93.66	94.19	169569	EUR	
25/05/2015 00:00	94.11	94.14	93.66	93.98	24061	EUR	
26/05/2015 00:00	93.83	94.48	93.12	94.08	238038	EUR	
27/05/2015 00:00	94.26	95.36	94.03	95.31	310352	EUR	
28/05/2015 00:00	95.25	95.76	94.75	95.1	269225	EUR	
29/05/2015 00:00	94.96	95.2	93.6	93.91	362933	EUR	
01/06/2015 00:00	94.16	94.95	93.86	94.21	215254	EUR	
02/06/2015 00:00	94.55	94.88	93.21	93.37	322093	EUR	
03/06/2015 00:00	93.72	93.92	93.2	93.54	281459	EUR	
04/06/2015 00:00	93.41	93.41	91.57	92.51	243009	EUR	
05/06/2015 00:00	92.03	92.26	90.68	91.16	211645	EUR	
08/06/2015 00:00	91.33	91.46	90.34	90.56	165468	EUR	
09/06/2015 00:00	90.2	90.53	89.59	90.25	292938	EUR	
10/06/2015 00:00	90.23	91.75	89.64	91.6	216750	EUR	
11/06/2015 00:00	91.64	92.49	91.21	91.61	192504	EUR	
12/06/2015 00:00	91.24	91.27	89.84	90.34	335460	EUR	
15/06/2015 00:00	89.49	89.5	88.31	88.89	315467	EUR	
16/06/2015 00:00	88.42	89.1	87.66	89.1	248683	EUR	
17/06/2015 00:00	89.11	89.21	87.94	88.28	239413	EUR	
18/06/2015 00:00	87.99	89.09	87.38	89.07	280793	EUR	
19/06/2015 00:00	89.24	89.64	88.44	89.59	505185	EUR	
22/06/2015 00:00	91.04	91.04	89.66	90.76	270470	EUR	
23/06/2015 00:00	91.66	91.91	91.02	91.33	217280	EUR	
24/06/2015 00:00	91.3	91.46	90.39	90.85	259394	EUR	
25/06/2015 00:00	89.21	89.89	88.28	89	480150	EUR	
26/06/2015 00:00	88.34	88.98	87.99	88.77	202853	EUR	
29/06/2015 00:00	85.33	87.74	85.32	86.9	290577	EUR	
30/06/2015 00:00	86.55	87.12	85.18	85.18	478929	EUR	
01/07/2015 00:00	85.87	87.88	85.73	87.05	267792	EUR	
02/07/2015 00:00	86.91	87.22	85.77	85.99	231740	EUR	
03/07/2015 00:00	85.91	86.2	85.01	85.25	200098	EUR	
06/07/2015 00:00	84.21	85.73	84.09	85.06	302017	EUR	
07/07/2015 00:00	85.48	85.76	84.6	84.6	247736	EUR	
08/07/2015 00:00	82	85.01	81.05	84.48	447676	EUR	
09/07/2015 00:00	84.72	85.03	84.15	84.81	244603	EUR	
10/07/2015 00:00	86.28	86.54	85.49	86.27	217888	EUR	
13/07/2015 00:00	86.82	87.97	86.8	87.71	235184	EUR	
14/07/2015 00:00	87.74	87.94	86.85	87.5	208695	EUR	
15/07/2015 00:00	87.75	87.75	87.11	87.74	179502	EUR	
16/07/2015 00:00	87.92	88.85	87.62	88.66	223629	EUR	
17/07/2015 00:00	88.92	89.11	88.27	88.72	256761	EUR	
20/07/2015 00:00	88.99	89.3	88.61	88.91	129796	EUR	
21/07/2015 00:00	89.16	89.38	87.71	88.03	161407	EUR	
22/07/2015 00:00	87.51	88.24	87.34	87.56	147359	EUR	
23/07/2015 00:00	88.19	88.19	86.66	87.24	157073	EUR	
24/07/2015 00:00	87.2	89	86.47	86.65	128307	EUR	
