date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	81.49	82.9	81.35	82.9	16914	EUR	
19/05/2015 00:00	83	83.54	82.1	83.54	32524	EUR	
20/05/2015 00:00	83.24	83.86	82.13	83.86	21538	EUR	
21/05/2015 00:00	83.66	84.37	83.54	84	60774	EUR	
22/05/2015 00:00	83.75	83.76	79.44	81.4	72445	EUR	
25/05/2015 00:00	81.45	82.39	81.05	82.11	11646	EUR	
26/05/2015 00:00	82.2	82.45	81.25	81.99	33992	EUR	
27/05/2015 00:00	81.99	82.98	81.56	82.29	31453	EUR	
28/05/2015 00:00	82.25	82.9	81.5	81.81	21380	EUR	
29/05/2015 00:00	81.75	81.79	79.64	79.92	75073	EUR	
01/06/2015 00:00	79.9	81.25	79.9	80.13	34080	EUR	
02/06/2015 00:00	80.23	80.94	79.55	80.2	31259	EUR	
03/06/2015 00:00	80.1	80.86	79.45	80	63188	EUR	
04/06/2015 00:00	79.99	81	78.56	80.72	40891	EUR	
05/06/2015 00:00	80.5	80.99	79.94	80.65	19592	EUR	
08/06/2015 00:00	80.5	80.9	79.21	79.23	26933	EUR	
09/06/2015 00:00	78.85	80.12	78.84	79.45	49291	EUR	
10/06/2015 00:00	79.45	82.36	78.71	82.1	36708	EUR	
11/06/2015 00:00	81.94	83	81.88	82.75	35207	EUR	
12/06/2015 00:00	82.65	84.09	81.21	82.32	38906	EUR	
15/06/2015 00:00	81.8	81.99	79.75	80.02	31265	EUR	
16/06/2015 00:00	79.75	80.09	78.35	79.78	40527	EUR	
17/06/2015 00:00	79.69	80.29	79	79.87	25963	EUR	
18/06/2015 00:00	79.7	79.7	78.22	78.34	33674	EUR	
19/06/2015 00:00	78.75	79.24	78.1	79.11	67738	EUR	
22/06/2015 00:00	79.56	80.25	79.51	80.25	73543	EUR	
23/06/2015 00:00	80.5	82.94	80.08	82.86	38197	EUR	
24/06/2015 00:00	82.94	83	81.26	82.15	31804	EUR	
25/06/2015 00:00	82.15	82.51	81.6	82.18	15329	EUR	
26/06/2015 00:00	80	82.51	78.85	80.6	192323	EUR	
29/06/2015 00:00	78.53	81.46	78	81	58149	EUR	
30/06/2015 00:00	80.5	81.4	80.03	80.65	35882	EUR	
01/07/2015 00:00	81	81.75	80.85	81	30339	EUR	
02/07/2015 00:00	81	81.6	80.85	81.01	31049	EUR	
03/07/2015 00:00	81	81.4	80.6	81.12	35645	EUR	
06/07/2015 00:00	78.28	81.14	78.27	80.66	34031	EUR	
07/07/2015 00:00	80.63	80.63	79.05	79.16	44706	EUR	
08/07/2015 00:00	79	80	78.4	79.9	18280	EUR	
09/07/2015 00:00	80	81.5	79.8	81.36	24704	EUR	
10/07/2015 00:00	82	82.2	80.4	81.9	45244	EUR	
13/07/2015 00:00	82.1	82.25	81.42	81.91	35746	EUR	
14/07/2015 00:00	81.95	83.35	81.15	83.35	17146	EUR	
15/07/2015 00:00	83.45	85.19	83.26	85.19	57844	EUR	
16/07/2015 00:00	85.15	88.68	85.15	87	78682	EUR	
17/07/2015 00:00	86.88	87.27	86.4	87	20057	EUR	
20/07/2015 00:00	86.98	87.99	86.78	87.97	35284	EUR	
21/07/2015 00:00	88	88.14	86.6	87.04	27649	EUR	
22/07/2015 00:00	86.9	88.9	85.75	88.58	27661	EUR	
23/07/2015 00:00	88.69	88.95	87.46	87.56	26315	EUR	
24/07/2015 00:00	87.56	88.79	87.16	88.14	27150	EUR	
27/07/2015 00:00	88	88	85.4	85.54	18341	EUR	
28/07/2015 00:00	85.54	87.64	85.54	86.98	27704	EUR	
29/07/2015 00:00	86.98	87.49	86.75	87.41	22686	EUR	
30/07/2015 00:00	87.5	88.5	86.9	87	27347	EUR	
31/07/2015 00:00	87	88	86.87	87	29639	EUR	
03/08/2015 00:00	87	87.6	86.67	86.72	34065	EUR	
04/08/2015 00:00	86.75	87.3	86.6	87.04	26432	EUR	
05/08/2015 00:00	87.25	87.3	84	86	54622	EUR	
06/08/2015 00:00	92	97.67	92	97.04	184077	EUR	
07/08/2015 00:00	97	99.69	95.74	99.05	45186	EUR	
10/08/2015 00:00	98.33	99.75	97.89	99.26	30254	EUR	
11/08/2015 00:00	99.04	99.86	98.59	98.99	15923	EUR	
