date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	21.317	21.366	20.995	21.346	2998	EUR	
19/05/2015 00:00	21.356	21.356	21.024	21.317	1274	EUR	
20/05/2015 00:00	21.171	21.356	21.171	21.317	2649	EUR	
21/05/2015 00:00	21.171	21.434	20.829	21.268	10957	EUR	
22/05/2015 00:00	21.298	21.298	20.849	20.995	4349	EUR	
25/05/2015 00:00	20.995	21.298	20.82	21.073	6436	EUR	
26/05/2015 00:00	21.073	21.073	20.644	20.878	2915	EUR	
27/05/2015 00:00	20.732	21.463	20.702	21.463	7220	EUR	
28/05/2015 00:00	21.415	21.415	21.18	21.337	1613	EUR	
29/05/2015 00:00	21.18	21.346	20.976	21.122	4315	EUR	
01/06/2015 00:00	21.356	21.356	20.78	21.171	2870	EUR	
02/06/2015 00:00	21.22	21.249	20.81	21.229	1928	EUR	
03/06/2015 00:00	21.249	21.385	21.249	21.356	3867	EUR	
04/06/2015 00:00	21.366	21.366	20.985	21.239	4309	EUR	
05/06/2015 00:00	21.054	21.073	20.732	21.024	1581	EUR	
08/06/2015 00:00	20.8	20.927	20.634	20.927	1110	EUR	
09/06/2015 00:00	20.927	20.927	18.878	20.468	9508	EUR	
10/06/2015 00:00	20.156	20.878	20.156	20.878	1994	EUR	
11/06/2015 00:00	20.341	20.917	20.341	20.78	2248	EUR	
12/06/2015 00:00	20.722	20.976	20.498	20.976	2046	EUR	
15/06/2015 00:00	20.517	20.595	20.293	20.478	1467	EUR	
16/06/2015 00:00	20.341	20.341	19.717	19.815	1053	EUR	
17/06/2015 00:00	19.912	20.244	19.912	20.244	2106	EUR	
18/06/2015 00:00	20.244	20.254	20.01	20.254	769	EUR	
19/06/2015 00:00	20.244	20.254	20.098	20.244	1264	EUR	
22/06/2015 00:00	20.302	21.024	20.302	20.82	8028	EUR	
23/06/2015 00:00	20.829	20.985	20.829	20.976	2696	EUR	
24/06/2015 00:00	20.985	21.005	20.888	20.995	1209	EUR	
25/06/2015 00:00	20.937	21.161	20.888	21.132	3075	EUR	
26/06/2015 00:00	21.161	21.346	21.151	21.337	4743	EUR	
29/06/2015 00:00	19.229	20.78	19.054	20.498	7138	EUR	
30/06/2015 00:00	20.488	21.18	20.098	21.122	8949	EUR	
01/07/2015 00:00	21.259	21.259	20.995	21.112	3839	EUR	
02/07/2015 00:00	21.015	21.015	19.805	20.585	3988	EUR	
03/07/2015 00:00	20.585	20.585	20.195	20.566	12064	EUR	
06/07/2015 00:00	20.293	20.488	19.61	20.42	8757	EUR	
07/07/2015 00:00	20.351	20.732	20.107	20.39	24082	EUR	
08/07/2015 00:00	20.39	20.488	20.146	20.488	1464	EUR	
09/07/2015 00:00	20.488	20.761	20.488	20.488	1155	EUR	
10/07/2015 00:00	20.488	20.868	20.488	20.566	1050	EUR	
13/07/2015 00:00	20.566	20.976	20.498	20.878	1924	EUR	
14/07/2015 00:00	20.878	20.878	20.878	20.878	1	EUR	
15/07/2015 00:00	20.956	21.951	20.829	21.951	7666	EUR	
16/07/2015 00:00	22.098	22.927	21.951	22.507	16729	EUR	
17/07/2015 00:00	22.722	22.829	22.546	22.585	16492	EUR	
20/07/2015 00:00	22.439	23.317	22.39	23.122	8101	EUR	
21/07/2015 00:00	22.39	22.537	22.39	22.527	3880	EUR	
22/07/2015 00:00	22.527	22.644	22.527	22.537	625	EUR	
23/07/2015 00:00	22.537	22.976	22.537	22.683	5124	EUR	
24/07/2015 00:00	22.829	22.829	22.537	22.722	2657	EUR	
27/07/2015 00:00	22.615	22.712	22.498	22.507	2483	EUR	
28/07/2015 00:00	22.829	23.21	22.829	23.171	9348	EUR	
29/07/2015 00:00	23.337	23.346	23.122	23.268	4100	EUR	
30/07/2015 00:00	23.415	23.707	23.415	23.6	5019	EUR	
31/07/2015 00:00	23.434	23.61	23.415	23.571	17586	EUR	
03/08/2015 00:00	23.415	23.415	23.22	23.298	3578	EUR	
04/08/2015 00:00	23.298	23.298	23.122	23.278	1114	EUR	
05/08/2015 00:00	23.268	23.268	22.78	23.249	3052	EUR	
06/08/2015 00:00	23.268	23.307	23.19	23.298	1925	EUR	
07/08/2015 00:00	23.268	23.502	22.976	23.454	3242	EUR	
10/08/2015 00:00	23.502	23.59	23.122	23.571	2912	EUR	
11/08/2015 00:00	23.561	23.6	23.327	23.551	2034	EUR	
12/08/2015 00:00	23.541	23.541	23.268	23.463	2712	EUR	
13/08/2015 00:00	23.463	23.463	23.073	23.415	2341	EUR	
14/08/2015 00:00	23.073	23.58	23.073	23.512	1635	EUR	
17/08/2015 00:00	23.561	23.756	23.171	23.61	10019	EUR	
18/08/2015 00:00	23.366	23.678	23.18	23.415	5041	EUR	
19/08/2015 00:00	23.405	23.678	23.073	23.415	12627	EUR	
20/08/2015 00:00	23.239	23.6	23.239	23.239	7008	EUR	
21/08/2015 00:00	23.239	23.551	23.239	23.532	11524	EUR	
24/08/2015 00:00	23.239	23.561	21.951	22.888	26333	EUR	
25/08/2015 00:00	22.439	22.888	22.244	22.732	3636	EUR	
