date	ouv	haut	bas	clot	vol	devise	
21/10/2016 00:00	32.145	32.145	32.145	32.145	0	USD	
17/11/2017 00:00	12.35	12.6	12	12.16	5192615	USD	
20/11/2017 00:00	12.28	12.56	12.27	12.56	409456	USD	
21/11/2017 00:00	12.54	12.83	12.5	12.61	405653	USD	
22/11/2017 00:00	12.8	12.9	12.47	12.8	155533	USD	
24/11/2017 00:00	12.88	12.88	12.6	12.82	32175	USD	
27/11/2017 00:00	12.8	12.86	12.67	12.86	36020	USD	
28/11/2017 00:00	12.83	12.83	12.51	12.685	61798	USD	
29/11/2017 00:00	12.68	12.75	12.55	12.63	254600	USD	
30/11/2017 00:00	12.59	12.815	12.37	12.4	153550	USD	
01/12/2017 00:00	12.4	12.75	12.4	12.75	151157	USD	
04/12/2017 00:00	12.7	13.005	12.46	12.72	186917	USD	
05/12/2017 00:00	12.46	12.85	12.37	12.46	146707	USD	
06/12/2017 00:00	12.46	12.8	12.36	12.78	89445	USD	
07/12/2017 00:00	12.78	13.02	12.71	13	214532	USD	
08/12/2017 00:00	12.98	13.46	12.95	13.32	118743	USD	
11/12/2017 00:00	13.4	13.79	13.1	13.45	206371	USD	
12/12/2017 00:00	13.38	13.59	13.24	13.43	133886	USD	
13/12/2017 00:00	13.27	13.34	13.14	13.24	22861	USD	
14/12/2017 00:00	13.21	13.21	12.37	12.99	53329	USD	
15/12/2017 00:00	13.01	13.02	12.51	12.9	38411	USD	
18/12/2017 00:00	12.8	12.97	12.16	12.68	94541	USD	
19/12/2017 00:00	12.65	12.73	12.41	12.58	64554	USD	
20/12/2017 00:00	12.53	12.75	12.5	12.61	84162	USD	
21/12/2017 00:00	12.67	12.67	12.485	12.67	175836	USD	
22/12/2017 00:00	12.65	12.74	12.275	12.62	78949	USD	
26/12/2017 00:00	12.5	12.92	12.27	12.88	55515	USD	
27/12/2017 00:00	12.72	13	12.661	12.72	33955	USD	
28/12/2017 00:00	12.57	12.83	12.57	12.57	72597	USD	
29/12/2017 00:00	12.82	13	12.56	12.7	37932	USD	
02/01/2018 00:00	12.94	12.94	12.52	12.86	97093	USD	
03/01/2018 00:00	12.9	12.96	12.52	12.89	192076	USD	
04/01/2018 00:00	12.92	13.11	12.92	13.01	119704	USD	
05/01/2018 00:00	13	13.235	13	13.16	91003	USD	
08/01/2018 00:00	13.24	13.37	13.14	13.34	120962	USD	
09/01/2018 00:00	13.32	14.01	13.27	13.93	110059	USD	
10/01/2018 00:00	13.93	13.99	13.73	13.76	77343	USD	
11/01/2018 00:00	13.8	13.88	13.56	13.83	114890	USD	
12/01/2018 00:00	13.9	13.9	13.44	13.61	76675	USD	
16/01/2018 00:00	13.62	13.72	13.31	13.48	113747	USD	
17/01/2018 00:00	13.56	13.85	13.45	13.57	129847	USD	
18/01/2018 00:00	13.51	13.709	13.1	13.21	41865	USD	
19/01/2018 00:00	13.1	13.8	13.1	13.6	68923	USD	
22/01/2018 00:00	13.67	13.74	13.37	13.47	42846	USD	
23/01/2018 00:00	13.5	13.96	13.03	13.04	58521	USD	
24/01/2018 00:00	13.01	13.5	13.01	13.42	145268	USD	
25/01/2018 00:00	13.5	13.66	13.35	13.39	93368	USD	
26/01/2018 00:00	13.31	13.45	13.06	13.31	48124	USD	
29/01/2018 00:00	13.22	13.23	13	13.02	38502	USD	
30/01/2018 00:00	13.02	13.07	12.7	12.8	61422	USD	
31/01/2018 00:00	12.86	13.01	12.61	12.69	158383	USD	
01/02/2018 00:00	12.5	12.86	12.33	12.49	149478	USD	
02/02/2018 00:00	12.38	12.59	12.27	12.33	64206	USD	
05/02/2018 00:00	12.33	12.6	12.18	12.24	91397	USD	
06/02/2018 00:00	12.24	12.63	12.127	12.55	118034	USD	
07/02/2018 00:00	12.5	13.14	12.42	12.96	113522	USD	
08/02/2018 00:00	12.99	13.21	12.42	12.98	97671	USD	
09/02/2018 00:00	13.03	13.22	12.865	13.03	53059	USD	
12/02/2018 00:00	13.01	13.25	13.01	13.06	33605	USD	
13/02/2018 00:00	12.99	13.15	12.73	12.76	32775	USD	
14/02/2018 00:00	12.71	13.39	12.71	13.05	117197	USD	
15/02/2018 00:00	13.11	13.47	12.89	13.25	154618	USD	
16/02/2018 00:00	13.2	13.84	12.89	13.84	178343	USD	
20/02/2018 00:00	13.85	14.678	13.26	13.54	332854	USD	
21/02/2018 00:00	13.58	14.33	13.51	13.95	271386	USD	
22/02/2018 00:00	13.98	14.465	13.635	13.95	102051	USD	
23/02/2018 00:00	13.98	14.04	13.65	14.02	167802	USD	
26/02/2018 00:00	14.04	14.09	13.79	13.88	131772	USD	
27/02/2018 00:00	13.88	14.44	13.84	13.98	259425	USD	
28/02/2018 00:00	14.05	14.98	13.79	14	426478	USD	
01/03/2018 00:00	14	14.34	13.271	14.07	191930	USD	
02/03/2018 00:00	14.08	14.73	13.26	14.22	178877	USD	
05/03/2018 00:00	14.13	14.13	13.73	14.02	82671	USD	
06/03/2018 00:00	14.08	14.15	13.74	13.88	92251	USD	
07/03/2018 00:00	14.1	14.17	13.77	14.1	140115	USD	
