date	ouv	haut	bas	clot	vol	devise	
26/05/2015 00:00	1.24	1.24	1.24	1.24	2313	EUR	
27/05/2015 00:00	1.6	1.6	1.6	1.6	2602	EUR	
28/05/2015 00:00	1.6	1.6	1.6	1.6	0	EUR	
02/06/2015 00:00	1.24	1.24	1.24	1.24	0	EUR	
09/06/2015 00:00	1.7	1.7	1.7	1.7	0	EUR	
11/06/2015 00:00	1.24	1.24	1.24	1.24	0	EUR	
17/06/2015 00:00	1.7	1.7	1.7	1.7	2253	EUR	
18/06/2015 00:00	1.3	1.3	1.3	1.3	0	EUR	
22/06/2015 00:00	1.7	1.7	1.7	1.7	0	EUR	
25/06/2015 00:00	1.14	1.14	1.14	1.14	0	EUR	
01/07/2015 00:00	1.49	1.63	1.49	1.63	1599	EUR	
02/07/2015 00:00	1.7	1.7	1.7	1.7	0	EUR	
07/07/2015 00:00	1.24	1.24	1.24	1.24	2106	EUR	
08/07/2015 00:00	1.63	1.63	1.63	1.63	101	EUR	
09/07/2015 00:00	1.7	1.7	1.7	1.7	2008	EUR	
10/07/2015 00:00	1.25	1.25	1.25	1.25	2008	EUR	
14/07/2015 00:00	1.65	1.65	1.65	1.65	2010	EUR	
15/07/2015 00:00	1.25	1.25	1.25	1.25	2010	EUR	
16/07/2015 00:00	1.28	1.28	1.28	1.28	0	EUR	
20/07/2015 00:00	1.69	1.69	1.69	1.69	2013	EUR	
21/07/2015 00:00	1.3	1.3	1.3	1.3	0	EUR	
24/07/2015 00:00	1.69	1.79	1.69	1.79	2617	EUR	
28/07/2015 00:00	1.32	1.32	1.32	1.32	0	EUR	
30/07/2015 00:00	1.8	1.8	1.8	1.8	0	EUR	
04/08/2015 00:00	1.8	1.8	1.8	1.8	0	EUR	
10/09/2015 00:00	1.61	1.61	1.61	1.61	0	EUR	
07/10/2015 00:00	1.33	1.33	1.33	1.33	0	EUR	
09/10/2015 00:00	1.33	1.33	1.33	1.33	623	EUR	
13/10/2015 00:00	1.82	1.82	1.82	1.82	0	EUR	
16/10/2015 00:00	1.34	1.34	1.34	1.34	642	EUR	
19/10/2015 00:00	1.33	1.33	1.33	1.33	250	EUR	
20/10/2015 00:00	1.33	1.33	1.33	1.33	249	EUR	
21/10/2015 00:00	1.76	1.76	1.76	1.76	0	EUR	
23/10/2015 00:00	1.33	1.33	1.33	1.33	963	EUR	
27/10/2015 00:00	1.82	1.82	1.82	1.82	0	EUR	
30/10/2015 00:00	1.45	1.45	1.45	1.45	1015	EUR	
02/11/2015 00:00	1.82	1.82	1.82	1.82	0	EUR	
04/11/2015 00:00	1.34	1.34	1.34	1.34	0	EUR	
06/11/2015 00:00	1.82	1.82	1.82	1.82	1081	EUR	
10/11/2015 00:00	1.4	1.4	1.4	1.4	0	EUR	
12/11/2015 00:00	1.82	1.82	1.82	1.82	2221	EUR	
13/11/2015 00:00	1.5	1.5	1.5	1.5	2236	EUR	
17/11/2015 00:00	1.82	1.82	1.82	1.82	2325	EUR	
18/11/2015 00:00	1.51	1.51	1.51	1.51	2240	EUR	
19/11/2015 00:00	1.82	1.82	1.64	1.64	2825	EUR	
20/11/2015 00:00	1.56	1.56	1.56	1.56	2225	EUR	
23/11/2015 00:00	1.56	1.56	1.56	1.56	100	EUR	
24/11/2015 00:00	1.81	1.81	1.81	1.81	2825	EUR	
25/11/2015 00:00	1.56	1.56	1.56	1.56	2857	EUR	
26/11/2015 00:00	1.81	1.81	1.81	1.81	2857	EUR	
27/11/2015 00:00	1.56	1.56	1.56	1.56	2924	EUR	
01/12/2015 00:00	1.81	1.81	1.81	1.81	0	EUR	
03/12/2015 00:00	1.56	1.56	1.56	1.56	2924	EUR	
04/12/2015 00:00	1.81	1.81	1.81	1.81	2924	EUR	
07/12/2015 00:00	1.56	1.56	1.56	1.56	0	EUR	
09/12/2015 00:00	1.82	1.82	1.82	1.82	2924	EUR	
10/12/2015 00:00	1.52	1.52	1.52	1.52	2924	EUR	
11/12/2015 00:00	1.82	1.82	1.82	1.82	3024	EUR	
14/12/2015 00:00	1.54	1.54	1.54	1.54	2924	EUR	
15/12/2015 00:00	1.82	1.82	1.82	1.82	2924	EUR	
16/12/2015 00:00	1.55	1.55	1.55	1.55	2924	EUR	
17/12/2015 00:00	1.82	1.82	1.82	1.82	200	EUR	
18/12/2015 00:00	1.9	1.9	1.9	1.9	2924	EUR	
21/12/2015 00:00	1.55	1.55	1.55	1.55	0	EUR	
23/12/2015 00:00	1.83	1.83	1.83	1.83	2924	EUR	
24/12/2015 00:00	1.55	1.55	1.55	1.55	2881	EUR	
29/12/2015 00:00	1.9	1.9	1.9	1.9	2981	EUR	
30/12/2015 00:00	1.66	1.66	1.66	1.66	2924	EUR	
31/12/2015 00:00	1.66	1.66	1.66	1.66	199	EUR	
05/01/2016 00:00	2.1	2.1	2.1	2.1	2924	EUR	
06/01/2016 00:00	1.75	1.9	1.75	1.9	2929	EUR	
07/01/2016 00:00	1.9	1.9	1.75	1.75	5846	EUR	
08/01/2016 00:00	1.9	1.9	1.9	1.9	2923	EUR	
12/01/2016 00:00	1.53	1.53	1.53	1.53	0	EUR	
09/02/2016 00:00	1.68	1.68	1.68	1.68	0	EUR	
18/02/2016 00:00	1.68	1.68	1.68	1.68	0	EUR	
23/02/2016 00:00	1.53	1.53	1.53	1.53	0	EUR	
16/03/2016 00:00	1.79	1.79	1.79	1.79	0	EUR	
21/03/2016 00:00	1.75	1.75	1.75	1.75	0	EUR	
20/04/2016 00:00	1.4	1.4	1.4	1.4	0	EUR	
29/04/2016 00:00	1.4	1.4	1.4	1.4	35	EUR	
10/05/2016 00:00	1.4	1.4	1.4	1.4	0	EUR	
10/08/2016 00:00	1.37	1.37	1.37	1.37	505	EUR	
11/08/2016 00:00	1.37	1.37	1.37	1.37	0	EUR	
29/09/2016 00:00	1.5	1.5	1.5	1.5	0	EUR	
03/10/2016 00:00	1.5	1.5	1.5	1.5	0	EUR	
03/11/2016 00:00	1.5	1.5	1.5	1.5	5672	EUR	
04/11/2016 00:00	1.69	1.69	1.69	1.69	300	EUR	
07/11/2016 00:00	1.5	1.5	1.5	1.5	0	EUR	
21/11/2016 00:00	1.5	1.5	1.5	1.5	0	EUR	
02/12/2016 00:00	1.5	1.5	1.5	1.5	100	EUR	
08/12/2016 00:00	1.5	1.5	1.5	1.5	66	EUR	
09/12/2016 00:00	1.5	1.5	1.5	1.5	1000	EUR	
13/01/2017 00:00	1.35	1.35	1.35	1.35	573	EUR	
20/01/2017 00:00	1.35	1.35	1.35	1.35	150	EUR	
25/01/2017 00:00	1.35	1.35	1.35	1.35	210	EUR	
26/01/2017 00:00	1.35	1.35	1.35	1.35	0	EUR	
31/01/2017 00:00	1.35	1.35	1.35	1.35	0	EUR	
06/02/2017 00:00	1.35	1.35	1.35	1.35	0	EUR	
09/02/2017 00:00	1.35	1.35	1.35	1.35	0	EUR	
