date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	7.28	7.28	7.28	7.28	1	EUR	
19/05/2015 00:00	7.27	7.27	7.27	7.27	1	EUR	
20/05/2015 00:00	7.26	7.26	7.26	7.26	201	EUR	
21/05/2015 00:00	7.26	7.26	7.26	7.26	42	EUR	
22/05/2015 00:00	7.27	7.27	7.27	7.27	1	EUR	
25/05/2015 00:00	7.28	7.28	7.28	7.28	56	EUR	
26/05/2015 00:00	7.28	7.28	7.28	7.28	1	EUR	
27/05/2015 00:00	7.28	7.28	7.28	7.28	1	EUR	
28/05/2015 00:00	7.28	7.28	7.28	7.28	1	EUR	
29/05/2015 00:00	7.28	7.28	7.28	7.28	1	EUR	
01/06/2015 00:00	7.28	7.28	7.28	7.28	1	EUR	
02/06/2015 00:00	7.28	7.28	7.28	7.28	1	EUR	
03/06/2015 00:00	7.28	7.28	7.28	7.28	1	EUR	
04/06/2015 00:00	7.28	7.28	7.28	7.28	1	EUR	
05/06/2015 00:00	7.26	7.26	7.26	7.26	42	EUR	
08/06/2015 00:00	7.27	7.27	7.27	7.27	1	EUR	
09/06/2015 00:00	7.25	7.25	7.25	7.25	542	EUR	
10/06/2015 00:00	7.25	7.25	7.25	7.25	1	EUR	
11/06/2015 00:00	7.25	7.25	7.25	7.25	1	EUR	
12/06/2015 00:00	7.25	7.25	7.25	7.25	1	EUR	
15/06/2015 00:00	7.25	7.25	7.25	7.25	1	EUR	
16/06/2015 00:00	7.24	7.24	7.24	7.24	1	EUR	
17/06/2015 00:00	7.24	7.24	7.24	7.24	1	EUR	
18/06/2015 00:00	7.24	7.24	7.24	7.24	1	EUR	
19/06/2015 00:00	7.24	7.24	7.24	7.24	1	EUR	
22/06/2015 00:00	7.24	7.24	7.24	7.24	1	EUR	
23/06/2015 00:00	7.24	7.24	7.24	7.24	1	EUR	
24/06/2015 00:00	7.3	7.3	7.3	7.3	301	EUR	
25/06/2015 00:00	7.29	7.29	7.29	7.29	1	EUR	
26/06/2015 00:00	7.29	7.29	7.29	7.29	201	EUR	
29/06/2015 00:00	7.29	7.29	7.29	7.29	1	EUR	
30/06/2015 00:00	7.35	7.35	7.35	7.35	151	EUR	
01/07/2015 00:00	7.27	7.27	7.27	7.27	231	EUR	
02/07/2015 00:00	7.19	7.19	7.19	7.19	77	EUR	
03/07/2015 00:00	7.2	7.2	7.2	7.2	1	EUR	
06/07/2015 00:00	7.2	7.2	7.2	7.2	1	EUR	
07/07/2015 00:00	7.2	7.2	7.2	7.2	1	EUR	
08/07/2015 00:00	7.19	7.19	7.19	7.19	1995	EUR	
09/07/2015 00:00	7.18	7.18	7.18	7.18	1	EUR	
10/07/2015 00:00	7.18	7.18	7.18	7.18	1	EUR	
13/07/2015 00:00	7.15	7.15	7.15	7.15	2001	EUR	
14/07/2015 00:00	7.14	7.14	7.14	7.14	1	EUR	
15/07/2015 00:00	7.14	7.14	7.14	7.14	1	EUR	
16/07/2015 00:00	7.12	7.12	7.12	7.12	21	EUR	
17/07/2015 00:00	7.11	7.11	7.11	7.11	2001	EUR	
20/07/2015 00:00	7.07	7.07	7.07	7.07	11	EUR	
21/07/2015 00:00	7.05	7.05	7.05	7.05	2991	EUR	
22/07/2015 00:00	7.05	7.05	7.05	7.05	1	EUR	
23/07/2015 00:00	7.05	7.05	7.05	7.05	1	EUR	
24/07/2015 00:00	7.14	7.14	7.14	7.14	2001	EUR	
27/07/2015 00:00	7.06	7.06	7.06	7.06	341	EUR	
28/07/2015 00:00	7.13	7.13	7.13	7.13	201	EUR	
29/07/2015 00:00	7.12	7.12	7.12	7.12	1	EUR	
30/07/2015 00:00	7.12	7.12	7.12	7.12	1	EUR	
31/07/2015 00:00	7.12	7.12	7.12	7.12	1	EUR	
03/08/2015 00:00	7.04	7.04	7.04	7.04	12	EUR	
04/08/2015 00:00	7.04	7.04	7.04	7.04	1	EUR	
05/08/2015 00:00	7.04	7.04	7.04	7.04	1	EUR	
06/08/2015 00:00	7.04	7.04	7.04	7.04	1	EUR	
07/08/2015 00:00	7.04	7.04	7.04	7.04	1	EUR	
10/08/2015 00:00	6.96	6.96	6.96	6.96	1291	EUR	
11/08/2015 00:00	6.92	6.92	6.92	6.92	501	EUR	
12/08/2015 00:00	6.83	6.83	6.83	6.83	1071	EUR	
13/08/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
14/08/2015 00:00	6.83	6.83	6.83	6.83	1001	EUR	
17/08/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
18/08/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
19/08/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
20/08/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
21/08/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
24/08/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
25/08/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
26/08/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
27/08/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
28/08/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
31/08/2015 00:00	6.71	6.71	6.71	6.71	1851	EUR	
01/09/2015 00:00	6.64	6.64	6.64	6.64	1301	EUR	
02/09/2015 00:00	6.57	6.57	6.57	6.57	801	EUR	
03/09/2015 00:00	6.56	6.56	6.56	6.56	1	EUR	
04/09/2015 00:00	6.63	6.63	6.63	6.63	2001	EUR	
07/09/2015 00:00	6.63	6.63	6.63	6.63	1	EUR	
08/09/2015 00:00	6.63	6.63	6.63	6.63	1	EUR	
09/09/2015 00:00	6.63	6.63	6.63	6.63	1	EUR	
10/09/2015 00:00	6.63	6.63	6.63	6.63	1	EUR	
11/09/2015 00:00	6.65	6.65	6.65	6.65	128	EUR	
14/09/2015 00:00	6.56	6.56	6.56	6.56	1207	EUR	
15/09/2015 00:00	6.56	6.56	6.56	6.56	1	EUR	
16/09/2015 00:00	6.56	6.56	6.56	6.56	1	EUR	
17/09/2015 00:00	6.56	6.56	6.56	6.56	1	EUR	
18/09/2015 00:00	6.83	6.83	6.83	6.83	1001	EUR	
21/09/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
22/09/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
23/09/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
24/09/2015 00:00	6.82	6.82	6.82	6.82	1	EUR	
25/09/2015 00:00	6.83	6.83	6.83	6.83	101	EUR	
28/09/2015 00:00	6.71	6.71	6.71	6.71	5011	EUR	
29/09/2015 00:00	6.65	6.65	6.65	6.65	561	EUR	
30/09/2015 00:00	6.6	6.6	6.6	6.6	5001	EUR	
01/10/2015 00:00	6.45	6.45	6.45	6.45	2301	EUR	
02/10/2015 00:00	6.41	6.41	6.41	6.41	2001	EUR	
05/10/2015 00:00	6.4	6.4	6.4	6.4	3001	EUR	
06/10/2015 00:00	6.29	6.29	6.29	6.29	2001	EUR	
07/10/2015 00:00	6.2	6.2	6.2	6.2	1551	EUR	
